sku,categoria_str,categoria_id,img_caratula,precio_intercambio,titulo,precio_compra,precio_venta
885370662221,Xbox One,1002,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,11.00,Ryse: Son Of Rome,8.00,18.00
4012927110355,Xbox One,1002,/product_images/Juegos/Xbox One Juegos/4012927110355_s.jpg,9.00,Metal Gear Solid V: The Phantom Pain,7.00,15.00
889842150070,Xbox One,1002,/product_images/Juegos/Xbox One Juegos/889842150070_s.jpg,29.00,Forza Horizon 3,21.00,45.00
3307215803530,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,19.00,Assassin's Creed: Unity,14.00,30.00
5030934121637,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,19.00,Star Wars: Battlefront,14.00,30.00
3307215793633,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,16.00,Far Cry 4,12.00,25.00
4012927100417,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,16.00,Metal Gear Solid V: The Phantom Pain,12.00,25.00
5051893179637,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,19.00,Batman: Arkham Knight,14.00,30.00
5055856406242,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,19.00,Fallout 4,14.00,30.00
5030917124549,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,11.00,Destiny,8.00,18.00
711719407515,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,26.00,"Last of Us, The - Remastered",19.00,40.00
5030947112387,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,1.80,FIFA 15,0.90,6.00
3391891979016,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,22.00,Witcher 3: Wild Hunt,16.00,35.00
5030917148019,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,10.00,Call Of Duty: Advanced Warfare,6.00,28.00
711719866534,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,27.00,Uncharted: The Nathan Drake Collection,20.00,42.00
711719277071,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,16.00,DriveClub,12.00,25.00
5055856403418,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,18.00,Doom (2016),13.00,28.00
5030936111346,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,16.00,Battlefield 4,12.00,25.00
4012927102336,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,29.00,Pro Evolution Soccer 2017,21.00,45.00
5030946112425,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/5030946112425_s.jpg,11.00,Battlefield Hardline,8.00,18.00
4020628868550,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg,13.00,Homefront: The Revolution,9.00,20.00
711719275473,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,9.00,Killzone: Shadow Fall,7.00,15.00
3307215715239,PlayStation 4,1001,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,16.00,Assassin's Creed 4: Black Flag,12.00,25.00
