categoria_str,precio_compra,img_caratula,categoria_id,titulo,precio_venta,sku,precio_intercambio
Nintendo DS,1.00,/product_images/Juegos/DS Juegos/045496470647_s.jpg,834,Inazuma Eleven,4.50,045496470647,1.70
Nintendo DS,11.00,/product_images/Juegos/DS Juegos/045496465537_s.jpg,834,Pokemon Edicion Blanca 2,25.00,045496465537,15.00
Nintendo DS,5.00,/product_images/Juegos/DS Juegos/045496465377_s.jpg,834,Legend of Zelda: Phantom Hourglass,12.00,045496465377,7.00
Nintendo DS,8.00,/product_images/Juegos/DS Juegos/045496471118_s.jpg,834,Pokemon Edicion Blanca,18.00,045496471118,11.00
Nintendo DS,2.00,/product_images/Juegos/DS Juegos/045496471644_s.jpg,834,Inazuma Eleven 2  Tormenta De Fuego,6.00,045496471644,3.00
Nintendo DS,6.00,/product_images/Juegos/DS Juegos/045496464936_s.jpg,834,Pokemon Perla,15.00,045496464936,9.00
PC,0.50,/product_images/Juegos/PC Juegos/8436016710770_s.jpg,830,"Whispered World, The - Edición Especial",2.50,8436016710770,0.90
PC,0.20,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,830,Imperium,1.50,8436010150275,0.40
PC,0.40,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,830,Imperium III,3.00,8436010150671,0.90
PC,0.10,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,830,Imperium II,1.00,8436010150572,0.30
PC,2.00,/product_images/Juegos/PC Juegos/8414185051528_s.jpg,830,Los Sims 2 (SN),10.00,8414185051528,3.00
PC,3.00,/product_images/Juegos/PC Juegos/3307210245281_s.jpg,830,Age of Empires Collectors Edition,14.00,3307210245281,5.00
PC,0.40,/product_images/Juegos/PC Juegos/8414185032879_s.jpg,830,Los Sims 2 Mascotas Expansion (SN),3.00,8414185032879,0.90
PC,0.01,/product_images/defimg1_s.jpg,830,Apache vs Havoc,0.10,8436010150541,0.01
PC,0.10,/product_images/Juegos/PC Juegos/3307211657861_s.jpg,830,Call of Juarez: Bound in Blood,1.00,3307211657861,0.30
PC,0.10,/product_images/Juegos/PC Juegos/3307210217493_s.jpg,830,Heroes of Might & Magic V (SN),1.00,3307210217493,0.30
PC,0.01,/product_images/Juegos/PC Juegos/3307210249555_s.jpg,830,Ghost Recon Advanced Warfighter 2,0.25,3307210249555,0.01
PC,0.30,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,830,Warhammer 40000 - Armageddon (SN),2.00,5060193302294,0.60
PC,0.01,/product_images/Juegos/PC Juegos/843601015054100001_s.jpg,830,Colin McRae Rally 2,0.25,843601015054100001,0.01
PC,0.10,/product_images/Juegos/PC Juegos/3307211609143_s.jpg,830,Prince of Persia (2008),1.00,3307211609143,0.30
PlayStation 3,6.00,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,821,Grand Theft Auto V (5),15.00,5026555410267,9.00
PlayStation 3,3.00,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,821,FIFA 15,7.00,5030937112373,4.00
PlayStation 3,2.00,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,821,Call Of Duty: Black Ops II,12.00,5030917111761,4.00
PlayStation 3,2.00,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,821,Call Of Duty: Modern Warfare 3,5.00,5030917096808,3.00
PlayStation 3,2.00,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,821,Grand Theft Auto IV,6.00,5026555400251,3.00
PlayStation 3,0.30,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,821,FIFA 14,2.00,5030933111103,0.60
PlayStation 3,2.00,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,821,Call Of Duty: Ghosts,5.00,5030917126116,3.00
PlayStation 3,3.00,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,821,Call Of Duty: Black Ops,7.00,5030917085802,4.00
PlayStation 3,5.00,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,821,FIFA 16,22.00,5030946112869,8.00
PlayStation 3,0.90,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,821,Gran Turismo 5,4.00,711719190059,1.50
PlayStation 3,3.00,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,821,Uncharted 3: Traicion de Drake,8.00,711719123996,5.00
PlayStation 3,9.00,/product_images/Juegos/PS3 Juegos/0711719274551_s.jpg,821,Last Of Us,20.00,0711719274551,12.00
PlayStation 3,5.00,/product_images/Juegos/PS3 Juegos/711719412915_s.jpg,821,Minecraft,12.00,711719412915,7.00
PlayStation 3,0.10,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,821,FIFA 13,0.75,5030934109680,0.20
PlayStation 3,6.00,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,821,Call Of Duty: Advanced Warfare,15.00,5030917147906,9.00
PlayStation Vita,9.00,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,990,FIFA 15,20.00,5035225113223,13.00
PlayStation Vita,0.90,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,990,FIFA 13,4.00,5030934109901,1.50
PlayStation Vita,5.00,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,990,Minecraft,12.00,711719438519,7.00
PlayStation Vita,9.00,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,990,Call of Duty Black Ops- Declassified,20.00,5030917114083,13.00
PlayStation Vita,0.90,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,990,Invizimals - La Alianza,4.00,711719287667,1.50
PlayStation Vita,5.00,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,990,Assassin's Creed III (3): Liberation,12.00,3307215652312,7.00
PlayStation Vita,5.00,/product_images/Juegos/PS Vita Juegos/3307215916520_s.jpg,990,Assassins Creed Chronicles,12.00,3307215916520,7.00
PlayStation Vita,8.00,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,990,Uncharted: Golden Abyss,18.00,711719200628,11.00
PlayStation Vita,3.00,/product_images/Juegos/PS Vita Juegos/711719236542_s.jpg,990,Little Big Planet,8.00,711719236542,5.00
PlayStation Vita,4.00,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,990,FIFA 14,9.00,5030939111404,5.00
PlayStation Vita,7.00,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,990,Killzone Mercenary,15.00,711719251163,9.00
PlayStation Vita,3.00,/product_images/Juegos/PS Vita Juegos/5055277016259_s.jpg,990,Virtua Tennis 4: Edicion World Tour,8.00,5055277016259,5.00
PlayStation Vita,7.00,/product_images/Juegos/PS Vita Juegos/3391891975971_s.jpg,990,Dragon Ball Z: Battle Of Z D1 edition,15.00,3391891975971,9.00
PlayStation Vita,4.00,/product_images/Juegos/PS Vita Juegos/8717418455200_s.jpg,990,Disney Infinity 2.0 Marvel Superheroes Starter  Pack,10.00,8717418455200,6.00
PlayStation Vita,5.00,/product_images/Juegos/PS Vita Juegos/5051893143447_s.jpg,990,Lego Marvel Superheroes,12.00,5051893143447,7.00
PSP,1.00,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,862,Grand Theft Auto Vice City Stories,5.00,5026555280785,1.80
PSP,0.40,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,862,Daxter,3.00,711719646266,0.90
PSP,1.00,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,862,Grand Theft Auto: Liberty City Stories,5.00,5026555280143,1.80
PSP,1.00,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,862,Assassin's Creed: Bloodlines,5.00,3307211667679,1.80
PSP,0.01,/product_images/Juegos/PSP Juegos/8414646244995_s.jpg,862,Invizimals: Las tribus perdidas,0.50,8414646244995,0.10
PSP,0.40,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,862,Gran Turismo,3.00,711719151159,0.90
PSP,0.40,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,862,Ratchet & Clank: El Tamano Importa,3.00,711719651888,0.90
PSP,0.40,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,862,God of War: Chains of Olympus,3.00,711719908128,0.90
PSP,0.40,/product_images/Juegos/PSP Juegos/711719660071_s.jpg,862,Tekken Dark Resurrection,3.00,711719660071,0.90
PSP,0.01,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,862,Invizimals La Otra Dimension (Solo Juego,0.25,711719169772,0.01
PSP,0.30,/product_images/Juegos/PSP Juegos/4012927065174_s.jpg,862,Pro Evolution Soccer 2012,2.00,4012927065174,0.60
PSP,0.01,/product_images/Juegos/PSP Juegos/711719738657_s.jpg,862,Play Chapas,0.50,711719738657,0.10
PSP,0.30,/product_images/Juegos/PSP Juegos/711719195399_s.jpg,862,"Geronimo Stilton, En El Reino De La Fant",2.00,711719195399,0.60
PSP,0.60,/product_images/Juegos/PSP Juegos/4012927066225_s.jpg,862,Pro Evolution Soccer (PES) 2013,4.00,4012927066225,1.20
PSP,0.80,/product_images/Juegos/PSP Juegos/711719231219_s.jpg,862,Cars 2,4.00,711719231219,1.40
Wii,8.00,/product_images/Juegos/Wii Juegos/045496365202_s.jpg,831,Mario Kart Wii (Solo Juego),18.00,045496365202,11.00
Wii,11.00,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,831,New Super Mario Bros. Wii,25.00,045496368098,15.00
Wii,1.40,/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,831,Wii Play (solo juego),6.00,045496362201,2.00
Wii,6.00,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,831,Super Mario Galaxy,15.00,045496363932,9.00
Wii,9.00,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,831,Super Mario Galaxy 2,22.00,045496368869,13.00
Wii,6.00,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,831,Super Smash Bros. Brawl,15.00,045496365899,9.00
Wii,6.00,/product_images/Juegos/Wii Juegos/045496367473_s.jpg,831,Wii Sports Resort (Solo Juego),15.00,045496367473,9.00
Wii,1.20,/product_images/Juegos/Wii Juegos/045496367916_s.jpg,831,Wii Fit Plus (Solo Juego),5.00,045496367916,1.90
Wii,1.80,/product_images/Juegos/Wii Juegos/045496362102_s.jpg,831,Wii Sports (Solo Juego),4.00,045496362102,2.00
Wii,8.00,/product_images/Juegos/Wii Juegos/3307215647196_s.jpg,831,Just Dance 4,18.00,3307215647196,11.00
Wii,5.00,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,831,Legend of Zelda: Twilight Princess,12.00,045496362393,7.00
Wii,6.00,/product_images/Juegos/Wii Juegos/5055277000876_s.jpg,831,Mario & Sonic Juegos Olimpicos de Invern,15.00,5055277000876,9.00
Wii U,11.00,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,996,Super Mario 3D World,26.00,045496332785,16.00
Wii U,12.00,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,996,Mario Kart 8,28.00,045496333288,17.00
Wii U,8.00,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,996,New Super Mario Bros. U & Super Luigi U,18.00,045496332198,11.00
Wii U,1.40,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,996,ZombiU,6.00,3307215654293,2.00
Wii U,17.00,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,996,Super Smash Bros,32.00,045496333621,21.00
Wii U,4.00,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,996,Nintendo Land,10.00,045496331085,6.00
Wii U,12.00,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,996,Super Mario Maker,28.00,045496334987,17.00
Wii U,8.00,/product_images/Juegos/Wii U Juegos/0045496332303_s.jpg,996,Legend Of Zelda: Wind Waker HD,18.00,0045496332303,11.00
Wii U,12.00,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,996,Splatoon,28.00,045496334475,17.00
Wii U,9.00,/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg,996,Donkey Kong Country: Tropical Freeze,20.00,0045496332716,12.00
Wii U,9.00,/product_images/Juegos/Wii U Juegos/045496334161_s.jpg,996,Mario Party 10,20.00,045496334161,12.00
Wii U,15.00,/product_images/Juegos/Wii U Juegos/045496335489_s.jpg,996,Legend Of Zelda: Twilight Princess HD,28.00,045496335489,19.00
Wii U,6.00,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,996,New Super Mario Bros. U,15.00,045496331207,9.00
Wii U,21.00,/product_images/Juegos/Wii U Juegos/0045496335618_s.jpg,996,Pokken Tournament (No Mewtwo Card),38.00,0045496335618,25.00
Wii U,3.00,/product_images/Juegos/Wii U Juegos/5030917114014_s.jpg,996,Call Of Duty: Black Ops II,7.00,5030917114014,4.00
Xbox 360,8.00,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,827,Grand Theft Auto V (5) 2 Disco,18.00,5026555258098,11.00
Xbox 360,5.00,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,827,FIFA 15,12.00,5035228112377,7.00
Xbox 360,6.00,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,827,Call Of Duty: Black Ops II,15.00,5030917111679,9.00
Xbox 360,4.00,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,827,Gears of War 3,9.00,0885370309607,5.00
Xbox 360,2.00,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,827,Gears of War 2,5.00,882224721141,3.00
Xbox 360,0.90,/product_images/Juegos/Xbox 360 Juegos/882224260145_s.jpg,827,Gears of War,4.00,882224260145,1.50
Xbox 360,2.00,/product_images/Juegos/Xbox 360 Juegos/5030934102421_s.jpg,827,Battlefield 3 *2 Discos*,6.00,5030934102421,3.00
Xbox 360,3.00,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,827,Call Of Duty: Modern Warfare 3,8.00,5030917096891,5.00
Xbox 360,4.00,/product_images/Juegos/Xbox 360 Juegos/5030917085864_s.jpg,827,Call Of Duty: Black Ops,10.00,5030917085864,6.00
Xbox 360,12.00,/product_images/Juegos/Xbox 360 Juegos/5030938112877_s.jpg,827,FIFA 16,28.00,5030938112877,17.00
Xbox 360,0.90,/product_images/Juegos/Xbox 360 Juegos/882224918343_s.jpg,827,Forza Motorsport 3 (2 Discos),4.00,882224918343,1.50
Xbox 360,3.00,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,827,Call Of Duty: Ghosts *2 Disc*,8.00,5030917125911,5.00
Xbox 360,4.00,/product_images/Juegos/Xbox 360 Juegos/3307215633342_s.jpg,827,Far Cry 3,10.00,3307215633342,6.00
Xbox 360,0.60,/product_images/Juegos/Xbox 360 Juegos/882224482479_s.jpg,827,Halo 3,2.50,882224482479,0.90
Xbox One,25.00,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,1002,FIFA 17,45.00,5030937116425,30.00
Xbox One,18.00,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,1002,Gears of War 4,38.00,0889842121575,24.00
Xbox One,19.00,/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg,1002,Battlefield 1,40.00,5035228113763,26.00
Xbox One,19.00,/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,1002,Grand Theft Auto V (5),40.00,5026555284127,26.00
Xbox One,7.00,/product_images/Juegos/Xbox One Juegos/0885370863956_s.jpg,1002,Halo: The Master Chief Collection,15.00,0885370863956,9.00
Xbox One,7.00,/product_images/Juegos/Xbox One Juegos/85370663983_s.jpg,1002,Dead Rising 3,15.00,85370663983,9.00
Xbox One,8.00,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,1002,Ryse: Son Of Rome,18.00,885370662221,11.00
Xbox One,12.00,/product_images/Juegos/Xbox One Juegos/885370984750_s.jpg,1002,Rise Of The Tomb Raider,25.00,885370984750,16.00
Xbox One,7.00,/product_images/Juegos/Xbox One Juegos/885370951844_s.jpg,1002,Gears Of War: Ultimate Edition,15.00,885370951844,9.00
Xbox One,8.00,/product_images/Juegos/Xbox One Juegos/885370662023_s.jpg,1002,Forza Motorsport 5,18.00,885370662023,11.00
Xbox One,13.00,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,1002,Call Of Duty: Black Ops III,28.00,5030917181863,18.00
Xbox One,2.00,/product_images/Juegos/Xbox One Juegos/5030917147791_s.jpg,1002,Call Of Duty: Advanced Warfare,12.00,5030917147791,4.00
Xbox One,7.00,/product_images/Juegos/Xbox One Juegos/3307215794722_s.jpg,1002,Far Cry 4,15.00,3307215794722,9.00
Xbox One,9.00,/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,1002,Halo 5: Guardians,20.00,885370929669,13.00
Xbox One,7.00,/product_images/Juegos/Xbox One Juegos/4020628868543_s.jpg,1002,Homefront: The Revolution,15.00,4020628868543,9.00
PlayStation 4,14.00,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,1001,Batman: Arkham Knight,30.00,5051893179637,19.00
PlayStation 4,12.00,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,1001,Far Cry 4,25.00,3307215793633,16.00
PlayStation 4,14.00,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,1001,Star Wars: Battlefront,30.00,5030934121637,19.00
PlayStation 4,25.00,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,1001,"Last Guardian, The",45.00,711719838951,30.00
PlayStation 4,19.00,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,1001,"Last of Us, The - Remastered",40.00,711719407515,26.00
PlayStation 4,0.90,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,1001,FIFA 15,6.00,5030947112387,1.80
PlayStation 4,21.00,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,1001,Pro Evolution Soccer 2017,45.00,4012927102336,29.00
PlayStation 4,14.00,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,1001,Assassin's Creed: Unity,30.00,3307215803530,19.00
PlayStation 4,14.00,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,1001,Fallout 4,30.00,5055856406242,19.00
PlayStation 4,16.00,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,1001,Witcher 3: Wild Hunt,35.00,3391891979016,22.00
PlayStation 4,6.00,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,1001,Call Of Duty: Advanced Warfare,28.00,5030917148019,10.00
PlayStation 4,20.00,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,1001,Uncharted: The Nathan Drake Collection,42.00,711719866534,27.00
PlayStation 4,29.00,/product_images/Juegos/PS4 Juegos/5026555422079_s.jpg,1001,NBA 2K17,52.00,5026555422079,35.00
PlayStation 4,8.00,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,1001,Destiny,18.00,5030917124549,11.00
PlayStation 4,13.00,/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,1001,Doom (2016),28.00,5055856403418,18.00
PlayStation 4,4.00,/product_images/Juegos/PS4 Juegos/5026555421256_s.jpg,1001,NBA 2K16,20.00,5026555421256,7.00
PlayStation 4,19.00,/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,1001,Titanfall 2,40.00,5030932116925,26.00
PlayStation 4,12.00,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,1001,DriveClub,25.00,711719277071,16.00
PlayStation 4,13.00,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,1001,InFamous Second Son,28.00,0711719278870,18.00
PlayStation 4,26.00,/product_images/Juegos/PS4 Juegos/5021290074811_s.jpg,1001,Rise of the Tomb Raider,55.00,5021290074811,35.00
PlayStation 4,12.00,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,1001,Battlefield 4,25.00,5030936111346,16.00
PlayStation 4,9.00,/product_images/Juegos/PS4 Juegos/0711719284697_s.jpg,1001,"Order 1886, The",20.00,0711719284697,13.00
PlayStation 4,14.00,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,1001,Bloodborne,30.00,0711719800415,19.00
PlayStation 4,18.00,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,1001,Rainbow Six: Siege,38.00,3307215889121,24.00
PlayStation 4,19.00,/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,1001,Need For Speed (2015),40.00,5035223113737,26.00
PlayStation 4,13.00,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,1001,God of War 3 - Remasterizado,28.00,711719843337,18.00
PlayStation 4,12.00,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,1001,Assassin's Creed 4: Black Flag,25.00,3307215715239,16.00
PlayStation 4,9.00,/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg,1001,Homefront: The Revolution,20.00,4020628868550,13.00
PlayStation 4,8.00,/product_images/Juegos/PS4 Juegos/5030946112425_s.jpg,1001,Battlefield Hardline,18.00,5030946112425,11.00
PlayStation 4,16.00,/product_images/Juegos/PS4 Juegos/5021290069459_s.jpg,1001,Just Cause 3,35.00,5021290069459,22.00
PlayStation 4,12.00,/product_images/Juegos/PS4 Juegos/0711719849834_s.jpg,1001,No Man's Sky,25.00,0711719849834,16.00
PlayStation 4,18.00,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,1001,Minecraft,38.00,711719439912,24.00
PlayStation 4,19.00,/product_images/Juegos/PS4 Juegos/711719848233_s.jpg,1001,Ratchet & Clank (2016),40.00,711719848233,26.00
PlayStation 4,16.00,/product_images/Juegos/PS4 Juegos/5051893170139_s.jpg,1001,Dying Light,35.00,5051893170139,22.00
PlayStation 4,23.00,/product_images/Juegos/PS4 Juegos/3391891987332_s.jpg,1001,Dark Souls III,48.00,3391891987332,31.00
PlayStation 4,4.00,/product_images/Juegos/PS4 Juegos/4012927101179_s.jpg,1001,Pro Evolution Soccer 2016,18.00,4012927101179,6.00
PlayStation 4,16.00,/product_images/Juegos/PS4 Juegos/711719874737_s.jpg,1001,Until Dawn,35.00,711719874737,22.00
PlayStation 4,7.00,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,1001,Killzone: Shadow Fall,15.00,711719275473,9.00
PlayStation 4,18.00,/product_images/Juegos/PS4 Juegos/711719844341_s.jpg,1001,Bloodborne - Game Of The Year Edition,38.00,711719844341,24.00
PlayStation 4,16.00,/product_images/Juegos/PS4 Juegos/3391891980685_s.jpg,1001,Dragon Ball: Xenoverse,35.00,3391891980685,22.00
