categoria_id,categoria_str,precio_venta,sku,precio_compra,img_caratula,precio_intercambio,titulo
821,PlayStation 3,4.00,5030917126116,1.80,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,2.00,Call Of Duty: Ghosts
821,PlayStation 3,5.00,5026555400251,2.00,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,3.00,Grand Theft Auto IV
821,PlayStation 3,12.00,5030917147906,5.00,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,7.00,Call Of Duty: Advanced Warfare
821,PlayStation 3,7.00,5030917085802,3.00,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,4.00,Call Of Duty: Black Ops
821,PlayStation 3,8.00,5030937112373,1.90,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,3.00,FIFA 15
821,PlayStation 3,0.25,5030934109680,0.01,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,0.01,FIFA 13
821,PlayStation 3,6.00,711719190059,1.40,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,2.00,Gran Turismo 5
821,PlayStation 3,2.00,5030933111103,0.30,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,0.60,FIFA 14
821,PlayStation 3,10.00,711719123996,4.00,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,6.00,Uncharted 3: Traicion de Drake
821,PlayStation 3,5.00,5030934102902,1.20,/product_images/Juegos/PS3 Juegos/5030934102902_s.jpg,1.90,Battlefield 3
821,PlayStation 3,8.00,5030930111137,3.00,/product_images/Juegos/PS3 Juegos/5030930111137_s.jpg,5.00,Battlefield 4
990,PlayStation Vita,15.00,711719200628,7.00,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,9.00,Uncharted: Golden Abyss
990,PlayStation Vita,22.00,5030917114083,10.00,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,14.00,Call of Duty Black Ops- Declassified
990,PlayStation Vita,12.00,3307215652312,5.00,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,7.00,Assassin's Creed III (3): Liberation
990,PlayStation Vita,8.00,5030939111404,3.00,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,5.00,FIFA 14
990,PlayStation Vita,5.00,5030934109901,1.20,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,1.90,FIFA 13
990,PlayStation Vita,28.00,5035225113223,13.00,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,18.00,FIFA 15
990,PlayStation Vita,6.00,711719287667,1.40,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,2.00,Invizimals - La Alianza
990,PlayStation Vita,5.00,5055377602314,2.00,/product_images/Juegos/PS Vita Juegos/5055377602314_s.jpg,3.00,XBlaze Code : Embryo
990,PlayStation Vita,20.00,5021290057791,9.00,/product_images/Juegos/PS Vita Juegos/5021290057791_s.jpg,13.00,Final Fantasy X HD Only
990,PlayStation Vita,7.00,5055377602352,3.00,/product_images/Juegos/PS Vita Juegos/5055377602352_s.jpg,4.00,Space Hulk
990,PlayStation Vita,15.00,5055277016259,7.00,/product_images/Juegos/PS Vita Juegos/5055277016259_s.jpg,9.00,Virtua Tennis 4: Edicion World Tour
990,PlayStation Vita,20.00,711719438519,9.00,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,13.00,Minecraft
990,PlayStation Vita,15.00,711719251163,7.00,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,9.00,Killzone Mercenary
990,PlayStation Vita,7.00,8717418455200,3.00,/product_images/Juegos/PS Vita Juegos/8717418455200_s.jpg,4.00,Disney Infinity 2.0 Marvel Superheroes Starter  Pack
990,PlayStation Vita,12.00,3307215623893,5.00,/product_images/Juegos/PS Vita Juegos/3307215623893_s.jpg,7.00,Rayman Origins
862,PSP,5.00,5026555280785,1.00,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,1.80,Grand Theft Auto Vice City Stories
862,PSP,3.00,711719151159,0.40,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,0.90,Gran Turismo
862,PSP,5.00,3307211667679,1.00,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,1.80,Assassin's Creed: Bloodlines
862,PSP,0.50,711719169772,0.01,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,0.10,Invizimals La Otra Dimension (Solo Juego
862,PSP,0.50,711719142058,0.01,/product_images/Juegos/PSP Juegos/711719142058_s.jpg,0.10,Invizimals (Solo Juego)
862,PSP,3.00,711719651888,0.40,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,0.90,Ratchet & Clank: El Tamano Importa
862,PSP,3.00,711719646266,0.40,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,0.90,Daxter
862,PSP,0.50,711719164777,0.01,/product_images/Juegos/PSP Juegos/711719164777_s.jpg,0.10,EyePet
862,PSP,0.50,711719738657,0.01,/product_images/Juegos/PSP Juegos/711719738657_s.jpg,0.10,Play Chapas
862,PSP,3.00,711719660071,0.40,/product_images/Juegos/PSP Juegos/711719660071_s.jpg,0.90,Tekken Dark Resurrection
862,PSP,3.00,711719908128,0.40,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,0.90,God of War: Chains of Olympus
862,PSP,5.00,5026555280143,1.00,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,1.80,Grand Theft Auto: Liberty City Stories
862,PSP,1.50,711719269335,0.20,/product_images/Juegos/PSP Juegos/711719269335_s.jpg,0.40,Phineas Y Ferb: A Traves De La Segunda..
862,PSP,3.00,5026555282338,0.40,/product_images/Juegos/PSP Juegos/5026555282338_s.jpg,0.90,Grand Theft Auto: China Town Wars
862,PSP,1.50,5030934046206,0.20,/product_images/Juegos/PSP Juegos/5030934046206_s.jpg,0.40,Los Sims 2
831,Wii,18.00,045496365202,8.00,/product_images/Juegos/Wii Juegos/045496365202_s.jpg,11.00,Mario Kart Wii (Solo Juego)
831,Wii,25.00,045496368098,11.00,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,15.00,New Super Mario Bros. Wii
831,Wii,6.00,045496362201,2.00,/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,3.00,Wii Play (solo juego)
831,Wii,15.00,045496365899,6.00,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,9.00,Super Smash Bros. Brawl
831,Wii,15.00,045496367473,6.00,/product_images/Juegos/Wii Juegos/045496367473_s.jpg,9.00,Wii Sports Resort (Solo Juego)
831,Wii,15.00,045496363932,6.00,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,9.00,Super Mario Galaxy
831,Wii,5.00,045496362102,2.00,/product_images/Juegos/Wii Juegos/045496362102_s.jpg,3.00,Wii Sports (Solo Juego)
831,Wii,12.00,045496362393,5.00,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,7.00,Legend of Zelda: Twilight Princess
831,Wii,22.00,045496368869,9.00,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,13.00,Super Mario Galaxy 2
831,Wii,5.00,045496367916,2.00,/product_images/Juegos/Wii Juegos/045496367916_s.jpg,3.00,Wii Fit Plus (Solo Juego)
831,Wii,18.00,3307215647196,8.00,/product_images/Juegos/Wii Juegos/3307215647196_s.jpg,11.00,Just Dance 4
831,Wii,6.00,5030933111424,2.00,/product_images/Juegos/Wii Juegos/5030933111424_s.jpg,3.00,FIFA 14
996,Wii U,25.00,045496332785,11.00,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,15.00,Super Mario 3D World
996,Wii U,28.00,045496333288,12.00,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,17.00,Mario Kart 8
996,Wii U,28.00,045496334987,12.00,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,17.00,Super Mario Maker
996,Wii U,32.00,045496333621,14.00,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,20.00,Super Smash Bros
996,Wii U,30.00,045496334475,13.00,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,18.00,Splatoon
996,Wii U,12.00,045496331085,5.00,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,7.00,Nintendo Land
996,Wii U,18.00,045496331207,8.00,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,11.00,New Super Mario Bros. U
996,Wii U,35.00,045496335090,15.00,/product_images/Juegos/Wii U Juegos/045496335090_s.jpg,22.00,Xenoblade Chronicles X
996,Wii U,8.00,5060112431302,3.00,/product_images/Juegos/Wii U Juegos/5060112431302_s.jpg,5.00,Rodea The Sky Solider
996,Wii U,8.00,5030917114014,3.00,/product_images/Juegos/Wii U Juegos/5030917114014_s.jpg,5.00,Call Of Duty: Black Ops II
996,Wii U,8.00,8718591181337,3.00,/product_images/Juegos/Wii U Juegos/8718591181337_s.jpg,5.00,Teslagrad
996,Wii U,20.00,045496334161,9.00,/product_images/Juegos/Wii U Juegos/045496334161_s.jpg,12.00,Mario Party 10
996,Wii U,22.00,0045496332303,9.00,/product_images/Juegos/Wii U Juegos/0045496332303_s.jpg,13.00,Legend Of Zelda: Wind Waker HD
996,Wii U,22.00,0045496332716,9.00,/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg,13.00,Donkey Kong Country: Tropical Freeze
996,Wii U,20.00,045496332198,9.00,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,12.00,New Super Mario Bros. U & Super Luigi U
827,Xbox 360,20.00,5026555258098,9.00,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,12.00,Grand Theft Auto V (5) 2 Disco
827,Xbox 360,15.00,5030917111679,6.00,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,9.00,Call Of Duty: Black Ops II
827,Xbox 360,8.00,5030917096891,3.00,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,5.00,Call Of Duty: Modern Warfare 3
827,Xbox 360,4.00,882224721141,1.80,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,2.00,Gears of War 2
827,Xbox 360,12.00,5030917085864,5.00,/product_images/Juegos/Xbox 360 Juegos/5030917085864_s.jpg,7.00,Call Of Duty: Black Ops
827,Xbox 360,5.00,3307210263421,1.20,/product_images/Juegos/Xbox 360 Juegos/3307210263421_s.jpg,1.90,Assassin's Creed
827,Xbox 360,6.00,0885370309607,2.00,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,3.00,Gears of War 3
827,Xbox 360,8.00,5026555245968,3.00,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,5.00,Grand Theft Auto IV
827,Xbox 360,5.00,5030949111104,2.00,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,3.00,FIFA 14
827,Xbox 360,10.00,5030917125911,4.00,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,6.00,Call Of Duty: Ghosts *2 Disc*
827,Xbox 360,3.50,882224260145,0.80,/product_images/Juegos/Xbox 360 Juegos/882224260145_s.jpg,1.30,Gears of War
