precio_venta,categoria_id,img_caratula,precio_intercambio,precio_compra,categoria_str,sku,titulo
3.00,862,/product_images/Juegos/PSP Juegos/5026555282338_s.jpg,0.90,0.40,PSP,5026555282338,Grand Theft Auto: China Town Wars
3.00,862,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,0.90,0.40,PSP,711719908128,God of War: Chains of Olympus
3.00,862,/product_images/Juegos/PSP Juegos/711719660071_s.jpg,0.90,0.40,PSP,711719660071,Tekken Dark Resurrection
2.00,862,/product_images/Juegos/PSP Juegos/4012927065174_s.jpg,0.60,0.30,PSP,4012927065174,Pro Evolution Soccer 2012
4.00,862,/product_images/Juegos/PSP Juegos/5030934109888_s.jpg,1.40,0.80,PSP,5030934109888,FIFA 13
2.50,862,/product_images/Juegos/PSP Juegos/711719143451_s.jpg,0.70,0.30,PSP,711719143451,Little Big Planet
0.50,862,/product_images/Juegos/PSP Juegos/711719122678_s.jpg,0.10,0.01,PSP,711719122678,Play English
4.50,862,/product_images/Juegos/PSP Juegos/5030934059435_s.jpg,1.60,0.90,PSP,5030934059435,Los Simpson - El Videojuego
6.00,831,/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,3.00,2.00,Wii,045496362201,Wii Play (solo juego)
18.00,831,/product_images/Juegos/Wii Juegos/045496365202_s.jpg,11.00,8.00,Wii,045496365202,Mario Kart Wii (Solo Juego)
25.00,831,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,15.00,11.00,Wii,045496368098,New Super Mario Bros. Wii
15.00,831,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,9.00,6.00,Wii,045496365899,Super Smash Bros. Brawl
15.00,831,/product_images/Juegos/Wii Juegos/045496367473_s.jpg,9.00,6.00,Wii,045496367473,Wii Sports Resort (Solo Juego)
15.00,831,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,9.00,6.00,Wii,045496363932,Super Mario Galaxy
12.00,831,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,7.00,5.00,Wii,045496362393,Legend of Zelda: Twilight Princess
5.00,831,/product_images/Juegos/Wii Juegos/045496362102_s.jpg,3.00,2.00,Wii,045496362102,Wii Sports (Solo Juego)
22.00,831,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,13.00,9.00,Wii,045496368869,Super Mario Galaxy 2
18.00,831,/product_images/Juegos/Wii Juegos/045496362867_s.jpg,11.00,8.00,Wii,045496362867,Mario Party 8
