categoria_str,sku,precio_intercambio,precio_venta,categoria_id,titulo,img_caratula,precio_compra
PlayStation 3,5030917070990,2.00,4.00,821,Call of Duty: Modern Warfare 2,/product_images/Juegos/PS3 Juegos/5030917070990_s.jpg,1.80
PlayStation 3,5030934109680,0.01,0.25,821,FIFA 13,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,0.01
PlayStation 3,5030937112373,3.00,8.00,821,FIFA 15,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,1.90
PlayStation 3,711719123996,6.00,10.00,821,Uncharted 3: Traicion de Drake,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,4.00
PlayStation 3,5030933111103,0.60,2.00,821,FIFA 14,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,0.30
PlayStation 3,711719190059,2.00,6.00,821,Gran Turismo 5,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,1.40
PlayStation 3,711719412915,9.00,15.00,821,Minecraft,/product_images/Juegos/PS3 Juegos/711719412915_s.jpg,6.00
PlayStation 3,5030946112869,8.00,22.00,821,FIFA 16,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,5.00
PlayStation Vita,711719438519,11.00,18.00,990,Minecraft,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,8.00
PlayStation Vita,5030917114083,14.00,22.00,990,Call of Duty Black Ops- Declassified,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,10.00
PlayStation Vita,711719200628,11.00,18.00,990,Uncharted: Golden Abyss,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,8.00
PlayStation Vita,711719287667,1.90,5.00,990,Invizimals - La Alianza,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,1.20
PlayStation Vita,5035225113223,14.00,22.00,990,FIFA 15,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,10.00
PlayStation Vita,3307215652312,9.00,15.00,990,Assassin's Creed III (3): Liberation,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,7.00
PlayStation Vita,5030934109901,2.00,6.00,990,FIFA 13,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,1.40
PlayStation Vita,5030934109192,11.00,18.00,990,Need For Speed: Most Wanted 12,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,8.00
PlayStation Vita,711719279488,13.00,20.00,990,God Of War Collection,/product_images/Juegos/PS Vita Juegos/711719279488_s.jpg,9.00
PlayStation Vita,5030939111404,7.00,12.00,990,FIFA 14,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,5.00
PlayStation Vita,8059617101312,5.00,8.00,990,Moto GP 13,/product_images/Juegos/PS Vita Juegos/8059617101312_s.jpg,3.00
PlayStation Vita,4020628900403,7.00,12.00,990,Aventuras De Tadeo Jones,/product_images/Juegos/PS Vita Juegos/4020628900403_s.jpg,5.00
