img_caratula,sku,categoria_id,precio_intercambio,precio_compra,precio_venta,categoria_str,titulo
/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,711719251163,990,13.00,9.00,20.00,PlayStation Vita,Killzone Mercenary
/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,5030934109192,990,9.00,7.00,15.00,PlayStation Vita,Need For Speed: Most Wanted 12
/product_images/Juegos/PS Vita Juegos/711719421511_s.jpg,711719421511,990,9.00,7.00,15.00,PlayStation Vita,Borderlands 2
/product_images/Juegos/PS Vita Juegos/5021290057791_s.jpg,5021290057791,990,13.00,9.00,20.00,PlayStation Vita,Final Fantasy X HD Only
/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,3307215652312,990,9.00,7.00,15.00,PlayStation Vita,Assassin's Creed III (3): Liberation
/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,5030939111404,990,6.00,4.00,10.00,PlayStation Vita,FIFA 14
/product_images/Juegos/PS Vita Juegos/4012927066065_s.jpg,4012927066065,990,13.00,9.00,20.00,PlayStation Vita,Metal Gear Solid Hd Colección
/product_images/Juegos/PS Vita Juegos/711719292852_s.jpg,711719292852,990,7.00,5.00,12.00,PlayStation Vita,Soul Sacrifice
/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,711719287667,990,2.00,1.40,6.00,PlayStation Vita,Invizimals - La Alianza
/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,5026555280143,862,1.40,0.80,4.00,PSP,Grand Theft Auto: Liberty City Stories
/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,5026555280785,862,1.40,0.80,4.00,PSP,Grand Theft Auto Vice City Stories
/product_images/Juegos/PSP Juegos/711719151159_s.jpg,711719151159,862,0.90,0.40,3.00,PSP,Gran Turismo
/product_images/Juegos/PSP Juegos/711719646266_s.jpg,711719646266,862,0.90,0.40,3.00,PSP,Daxter
/product_images/Juegos/PSP Juegos/711719651888_s.jpg,711719651888,862,0.90,0.40,3.00,PSP,Ratchet & Clank: El Tamano Importa
/product_images/Juegos/PSP Juegos/4012927064740_s.jpg,4012927064740,862,0.30,0.10,1.00,PSP,Pro Evolution Soccer (PES) 2011
/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,3307211667679,862,1.40,0.80,4.00,PSP,Assassin's Creed: Bloodlines
/product_images/Juegos/PSP Juegos/711719908128_s.jpg,711719908128,862,0.90,0.40,3.00,PSP,God of War: Chains of Olympus
/product_images/Juegos/PSP Juegos/711719169772_s.jpg,711719169772,862,0.10,0.01,0.50,PSP,Invizimals La Otra Dimension (Solo Juego
/product_images/Juegos/PSP Juegos/711719195399_s.jpg,711719195399,862,0.40,0.20,1.50,PSP,"Geronimo Stilton, En El Reino De La Fant"
/product_images/Juegos/PSP Juegos/8414646244995_s.jpg,8414646244995,862,0.10,0.01,0.50,PSP,Invizimals: Las tribus perdidas
/product_images/Juegos/PSP Juegos/711719738657_s.jpg,711719738657,862,0.10,0.01,0.50,PSP,Play Chapas
/product_images/Juegos/PSP Juegos/711719660071_s.jpg,711719660071,862,0.90,0.40,3.00,PSP,Tekken Dark Resurrection
/product_images/Juegos/PSP Juegos/5030934067263_s.jpg,5030934067263,862,0.10,0.01,0.50,PSP,FIFA 09
/product_images/Juegos/PSP Juegos/5030934059435_s.jpg,5030934059435,862,1.60,0.90,4.50,PSP,Los Simpson - El Videojuego
/product_images/Juegos/Wii Juegos/045496365202_s.jpg,045496365202,831,11.00,8.00,18.00,Wii,Mario Kart Wii (Solo Juego)
/product_images/Juegos/Wii Juegos/045496368098_s.jpg,045496368098,831,11.00,8.00,18.00,Wii,New Super Mario Bros. Wii
/product_images/Juegos/Wii Juegos/045496363932_s.jpg,045496363932,831,9.00,6.00,15.00,Wii,Super Mario Galaxy
/product_images/Juegos/Wii Juegos/045496367299_s.jpg,045496367299,831,7.00,5.00,12.00,Wii,Inazuma Eleven Strikers
/product_images/Juegos/Wii Juegos/045496367473_s.jpg,045496367473,831,6.00,4.00,10.00,Wii,Wii Sports Resort (Solo Juego)
/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,045496362201,831,2.00,1.80,4.00,Wii,Wii Play (solo juego)
/product_images/Juegos/Wii Juegos/045496365899_s.jpg,045496365899,831,9.00,6.00,15.00,Wii,Super Smash Bros. Brawl
/product_images/Juegos/Wii Juegos/045496362393_s.jpg,045496362393,831,9.00,6.00,15.00,Wii,Legend of Zelda: Twilight Princess
/product_images/Juegos/Wii Juegos/045496368869_s.jpg,045496368869,831,12.00,9.00,20.00,Wii,Super Mario Galaxy 2
/product_images/Juegos/Wii Juegos/045496363086_s.jpg,045496363086,831,5.00,3.00,8.00,Wii,Mario Strikers Charged Football
/product_images/Juegos/Wii Juegos/045496367916_s.jpg,045496367916,831,2.00,1.80,4.00,Wii,Wii Fit Plus (Solo Juego)
/product_images/Juegos/Wii Juegos/5055277013692_s.jpg,5055277013692,831,11.00,8.00,18.00,Wii,Mario y Sonic en los JJ.OO London 12
/product_images/Juegos/Wii Juegos/4260231341471_s.jpg,4260231341471,831,6.00,4.00,10.00,Wii,La Voz 2wi
/product_images/Juegos/Wii U Juegos/045496337087_s.jpg,045496337087,996,48.00,43.00,62.00,Wii U,Legend of Zelda: Breath of the Wild
/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,045496333288,996,13.00,9.00,22.00,Wii U,Mario Kart 8
/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,045496331207,996,7.00,5.00,12.00,Wii U,New Super Mario Bros. U
/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,045496332785,996,12.00,9.00,20.00,Wii U,Super Mario 3D World
/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,045496331085,996,5.00,3.00,8.00,Wii U,Nintendo Land
/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,045496334475,996,13.00,9.00,22.00,Wii U,Splatoon
/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,045496334987,996,17.00,12.00,28.00,Wii U,Super Mario Maker
/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,045496333621,996,17.00,12.00,28.00,Wii U,Super Smash Bros
/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg,0045496332716,996,11.00,8.00,18.00,Wii U,Donkey Kong Country: Tropical Freeze
/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,3307215654293,996,3.00,2.00,5.00,Wii U,ZombiU
/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,045496332198,996,9.00,6.00,15.00,Wii U,New Super Mario Bros. U & Super Luigi U
