precio_venta,categoria_id,img_caratula,titulo,precio_compra,categoria_str,sku,precio_intercambio
6.00,821,/product_images/Juegos/PS3 Juegos/5030917070990_s.jpg,Call of Duty: Modern Warfare 2,2.00,PlayStation 3,5030917070990,3.00
6.00,821,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,Gran Turismo 5,2.00,PlayStation 3,711719190059,3.00
2.00,821,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,FIFA 14,0.30,PlayStation 3,5030933111103,0.60
10.00,821,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,Uncharted 3: Traicion de Drake,4.00,PlayStation 3,711719123996,6.00
22.00,821,/product_images/Juegos/PS3 Juegos/0711719274551_s.jpg,Last Of Us,9.00,PlayStation 3,0711719274551,13.00
18.00,821,/product_images/Juegos/PS3 Juegos/711719412915_s.jpg,Minecraft,8.00,PlayStation 3,711719412915,11.00
8.00,821,/product_images/Juegos/PS3 Juegos/3307215633243_s.jpg,Far Cry 3,3.00,PlayStation 3,3307215633243,5.00
15.00,990,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,Minecraft,7.00,PlayStation Vita,711719438519,9.00
22.00,990,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,Call of Duty Black Ops- Declassified,10.00,PlayStation Vita,5030917114083,14.00
15.00,990,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,Assassin's Creed III (3): Liberation,7.00,PlayStation Vita,3307215652312,9.00
20.00,990,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,Uncharted: Golden Abyss,9.00,PlayStation Vita,711719200628,13.00
15.00,990,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,Need For Speed: Most Wanted 12,7.00,PlayStation Vita,5030934109192,9.00
6.00,990,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,Invizimals - La Alianza,1.40,PlayStation Vita,711719287667,2.00
22.00,990,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,FIFA 15,10.00,PlayStation Vita,5035225113223,14.00
20.00,990,/product_images/Juegos/PS Vita Juegos/4012927066065_s.jpg,Metal Gear Solid Hd Colección,9.00,PlayStation Vita,4012927066065,13.00
12.00,990,/product_images/Juegos/PS Vita Juegos/711719292852_s.jpg,Soul Sacrifice,5.00,PlayStation Vita,711719292852,7.00
18.00,990,/product_images/Juegos/PS Vita Juegos/711719241638_s.jpg,Gravity Rush,8.00,PlayStation Vita,711719241638,11.00
20.00,990,/product_images/Juegos/PS Vita Juegos/5021290057791_s.jpg,Final Fantasy X HD Only,9.00,PlayStation Vita,5021290057791,13.00
20.00,990,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,Killzone Mercenary,9.00,PlayStation Vita,711719251163,13.00
6.00,990,/product_images/Juegos/PS Vita Juegos/5055377602352_s.jpg,Space Hulk,2.00,PlayStation Vita,5055377602352,3.00
15.00,990,/product_images/Juegos/PS Vita Juegos/711719200147_s.jpg,Resistance: Burning Skies,7.00,PlayStation Vita,711719200147,9.00
6.00,990,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,FIFA 13,1.40,PlayStation Vita,5030934109901,2.00
4.00,862,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,Grand Theft Auto: Liberty City Stories,0.80,PSP,5026555280143,1.40
4.00,862,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,Grand Theft Auto Vice City Stories,0.80,PSP,5026555280785,1.40
0.50,862,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,Invizimals La Otra Dimension (Solo Juego,0.01,PSP,711719169772,0.10
4.00,862,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,Assassin's Creed: Bloodlines,0.80,PSP,3307211667679,1.40
3.00,862,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,God of War: Chains of Olympus,0.40,PSP,711719908128,0.90
3.00,862,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,Gran Turismo,0.40,PSP,711719151159,0.90
3.00,862,/product_images/Juegos/PSP Juegos/711719660071_s.jpg,Tekken Dark Resurrection,0.40,PSP,711719660071,0.90
3.00,862,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,Daxter,0.40,PSP,711719646266,0.90
4.50,862,/product_images/Juegos/PSP Juegos/711719168171_s.jpg,God of War: Ghost of Sparta,0.90,PSP,711719168171,1.60
0.50,862,/product_images/Juegos/PSP Juegos/8414646244995_s.jpg,Invizimals: Las tribus perdidas,0.01,PSP,8414646244995,0.10
1.50,862,/product_images/Juegos/PSP Juegos/4012927065174_s.jpg,Pro Evolution Soccer 2012,0.20,PSP,4012927065174,0.40
3.00,862,/product_images/Juegos/PSP Juegos/5021290046405_s.jpg,Lord Of Arcana: Slayer Edition,0.40,PSP,5021290046405,0.90
0.50,862,/product_images/Juegos/PSP Juegos/711719142058_s.jpg,Invizimals (Solo Juego),0.01,PSP,711719142058,0.10
1.50,862,/product_images/Juegos/PSP Juegos/3307211679115_s.jpg,Avatar: El Videojuego,0.20,PSP,3307211679115,0.40
3.00,862,/product_images/Juegos/PSP Juegos/3296580803354_s.jpg,Dragon Ball Z Shin Budokai 2,0.40,PSP,3296580803354,0.90
18.00,831,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,New Super Mario Bros. Wii,8.00,Wii,045496368098,11.00
18.00,831,/product_images/Juegos/Wii Juegos/045496365202_s.jpg,Mario Kart Wii (Solo Juego),8.00,Wii,045496365202,11.00
10.00,831,/product_images/Juegos/Wii Juegos/045496367473_s.jpg,Wii Sports Resort (Solo Juego),4.00,Wii,045496367473,6.00
15.00,831,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,Super Mario Galaxy,6.00,Wii,045496363932,9.00
4.00,831,/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,Wii Play (solo juego),1.80,Wii,045496362201,2.00
5.00,831,/product_images/Juegos/Wii Juegos/045496362102_s.jpg,Wii Sports (Solo Juego),2.00,Wii,045496362102,3.00
15.00,831,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,Legend of Zelda: Twilight Princess,6.00,Wii,045496362393,9.00
15.00,831,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,Super Smash Bros. Brawl,6.00,Wii,045496365899,9.00
20.00,831,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,Super Mario Galaxy 2,9.00,Wii,045496368869,12.00
4.00,831,/product_images/Juegos/Wii Juegos/045496367916_s.jpg,Wii Fit Plus (Solo Juego),1.80,Wii,045496367916,2.00
22.00,831,/product_images/Juegos/Wii Juegos/045496400736_s.jpg,Legend of Zelda: Skyward Sword,9.00,Wii,045496400736,13.00
10.00,831,/product_images/Juegos/Wii Juegos/3307211686335_s.jpg,Just Dance,4.00,Wii,3307211686335,6.00
25.00,996,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,Mario Kart 8,11.00,Wii U,045496333288,15.00
25.00,996,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,Splatoon,11.00,Wii U,045496334475,15.00
22.00,996,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,Super Mario 3D World,9.00,Wii U,045496332785,13.00
30.00,996,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,Super Mario Maker,13.00,Wii U,045496334987,18.00
65.00,996,/product_images/Juegos/Wii U Juegos/045496337087_s.jpg,Legend of Zelda: Breath of the Wild,45.00,Wii U,045496337087,50.00
20.00,996,/product_images/Juegos/Wii U Juegos/0045496332303_s.jpg,Legend Of Zelda: Wind Waker HD,9.00,Wii U,0045496332303,12.00
10.00,996,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,Nintendo Land,4.00,Wii U,045496331085,6.00
30.00,996,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,Super Smash Bros,13.00,Wii U,045496333621,18.00
6.00,996,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,ZombiU,2.00,Wii U,3307215654293,3.00
20.00,996,/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg,Donkey Kong Country: Tropical Freeze,9.00,Wii U,0045496332716,12.00
25.00,996,/product_images/Juegos/Wii U Juegos/045496335489_s.jpg,Legend Of Zelda: Twilight Princess HD,11.00,Wii U,045496335489,15.00
15.00,996,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,New Super Mario Bros. U & Super Luigi U,6.00,Wii U,045496332198,9.00
15.00,996,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,New Super Mario Bros. U,6.00,Wii U,045496331207,9.00
20.00,996,/product_images/Juegos/Wii U Juegos/045496332839_s.jpg,Wii Party U (Solo Juego),9.00,Wii U,045496332839,12.00
22.00,996,/product_images/Juegos/Wii U Juegos/045496333713_s.jpg,Bayonetta 2,9.00,Wii U,045496333713,13.00
12.00,827,/product_images/Juegos/Xbox 360 Juegos/5026555264785_s.jpg,NBA 2K16,5.00,Xbox 360,5026555264785,7.00
20.00,827,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,Grand Theft Auto V (5) 2 Disco,9.00,Xbox 360,5026555258098,12.00
15.00,827,/product_images/Juegos/Xbox 360 Juegos/5030917147685_s.jpg,Call Of Duty: Advanced Warfare (2 Disc),6.00,Xbox 360,5030917147685,9.00
6.00,827,/product_images/Juegos/Xbox 360 Juegos/3307215590010_s.jpg,Assassin's Creed: Revelations,2.00,Xbox 360,3307215590010,3.00
8.00,827,/product_images/Juegos/Xbox 360 Juegos/3307211666658_s.jpg,Assassin's Creed II,3.00,Xbox 360,3307211666658,5.00
12.00,827,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,FIFA 15,5.00,Xbox 360,5035228112377,7.00
8.00,827,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,Call Of Duty: Ghosts *2 Disc*,3.00,Xbox 360,5030917125911,5.00
6.00,827,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,Call Of Duty: Modern Warfare 3,2.00,Xbox 360,5030917096891,3.00
8.00,827,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,Grand Theft Auto IV,3.00,Xbox 360,5026555245968,5.00
2.00,827,/product_images/Juegos/Xbox 360 Juegos/5030934109734_s.jpg,FIFA 13,0.40,Xbox 360,5030934109734,0.70
