categoria_id,precio_compra,img_caratula,sku,precio_venta,titulo,categoria_str,precio_intercambio
862,0.01,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,711719169772,0.50,Invizimals La Otra Dimension (Solo Juego,PSP,0.10
862,0.01,/product_images/Juegos/PSP Juegos/711719142058_s.jpg,711719142058,0.50,Invizimals (Solo Juego),PSP,0.10
862,0.01,/product_images/Juegos/PSP Juegos/711719164777_s.jpg,711719164777,0.50,EyePet,PSP,0.10
862,0.40,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,711719651888,3.00,Ratchet & Clank: El Tamano Importa,PSP,0.90
862,1.00,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,5026555280143,5.00,Grand Theft Auto: Liberty City Stories,PSP,1.80
862,1.00,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,3307211667679,5.00,Assassin's Creed: Bloodlines,PSP,1.80
862,0.40,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,711719646266,3.00,Daxter,PSP,0.90
862,0.40,/product_images/Juegos/PSP Juegos/711719660071_s.jpg,711719660071,3.00,Tekken Dark Resurrection,PSP,0.90
862,0.20,/product_images/Juegos/PSP Juegos/711719269335_s.jpg,711719269335,1.50,Phineas Y Ferb: A Traves De La Segunda..,PSP,0.40
862,0.01,/product_images/Juegos/PSP Juegos/8414646244995_s.jpg,8414646244995,0.50,Invizimals: Las tribus perdidas,PSP,0.10
862,0.01,/product_images/Juegos/PSP Juegos/5030934059176_s.jpg,5030934059176,0.50,FIFA 08,PSP,0.10
862,0.30,/product_images/Juegos/PSP Juegos/5030934104319_s.jpg,5030934104319,2.00,FIFA 12,PSP,0.60
862,0.40,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,711719908128,3.00,God of War: Chains of Olympus,PSP,0.90
831,8.00,/product_images/Juegos/Wii Juegos/045496365202_s.jpg,045496365202,18.00,Mario Kart Wii (Solo Juego),Wii,11.00
831,2.00,/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,045496362201,6.00,Wii Play (solo juego),Wii,3.00
831,11.00,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,045496368098,25.00,New Super Mario Bros. Wii,Wii,15.00
831,6.00,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,045496365899,15.00,Super Smash Bros. Brawl,Wii,9.00
831,6.00,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,045496363932,15.00,Super Mario Galaxy,Wii,9.00
831,6.00,/product_images/Juegos/Wii Juegos/045496367473_s.jpg,045496367473,15.00,Wii Sports Resort (Solo Juego),Wii,9.00
831,2.00,/product_images/Juegos/Wii Juegos/045496362102_s.jpg,045496362102,5.00,Wii Sports (Solo Juego),Wii,3.00
831,2.00,/product_images/Juegos/Wii Juegos/045496367916_s.jpg,045496367916,5.00,Wii Fit Plus (Solo Juego),Wii,3.00
831,9.00,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,045496368869,22.00,Super Mario Galaxy 2,Wii,13.00
831,5.00,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,045496362393,12.00,Legend of Zelda: Twilight Princess,Wii,7.00
831,2.00,/product_images/Juegos/Wii Juegos/5030933111424_s.jpg,5030933111424,6.00,FIFA 14,Wii,3.00
831,8.00,/product_images/Juegos/Wii Juegos/3307215647196_s.jpg,3307215647196,18.00,Just Dance 4,Wii,11.00
996,11.00,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,045496332785,25.00,Super Mario 3D World,Wii U,15.00
996,14.00,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,045496333621,32.00,Super Smash Bros,Wii U,20.00
996,12.00,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,045496333288,28.00,Mario Kart 8,Wii U,17.00
996,12.00,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,045496334987,28.00,Super Mario Maker,Wii U,17.00
996,5.00,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,045496331085,12.00,Nintendo Land,Wii U,7.00
996,8.00,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,045496331207,18.00,New Super Mario Bros. U,Wii U,11.00
996,13.00,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,045496334475,30.00,Splatoon,Wii U,18.00
996,3.00,/product_images/Juegos/Wii U Juegos/5060112431302_s.jpg,5060112431302,8.00,Rodea The Sky Solider,Wii U,5.00
996,15.00,/product_images/Juegos/Wii U Juegos/045496335090_s.jpg,045496335090,35.00,Xenoblade Chronicles X,Wii U,22.00
996,2.00,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,3307215654293,6.00,ZombiU,Wii U,3.00
996,13.00,/product_images/Juegos/Wii U Juegos/045496334697_s.jpg,045496334697,30.00,Yoshi's Woolly World,Wii U,18.00
996,9.00,/product_images/Juegos/Wii U Juegos/0045496332303_s.jpg,0045496332303,22.00,Legend Of Zelda: Wind Waker HD,Wii U,13.00
996,9.00,/product_images/Juegos/Wii U Juegos/045496334161_s.jpg,045496334161,20.00,Mario Party 10,Wii U,12.00
996,3.00,/product_images/Juegos/Wii U Juegos/5030917114014_s.jpg,5030917114014,8.00,Call Of Duty: Black Ops II,Wii U,5.00
996,4.00,/product_images/Juegos/Wii U Juegos/3307215655078_s.jpg,3307215655078,10.00,Assassins Creed 3,Wii U,6.00
827,9.00,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,5026555258098,20.00,Grand Theft Auto V (5) 2 Disco,Xbox 360,12.00
827,1.80,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,882224721141,4.00,Gears of War 2,Xbox 360,2.00
827,6.00,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,5030917111679,15.00,Call Of Duty: Black Ops II,Xbox 360,9.00
827,3.00,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,5030917096891,8.00,Call Of Duty: Modern Warfare 3,Xbox 360,5.00
827,6.00,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,5035228112377,15.00,FIFA 15,Xbox 360,9.00
827,4.00,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,5030917125911,10.00,Call Of Duty: Ghosts *2 Disc*,Xbox 360,6.00
827,2.00,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,5030949111104,5.00,FIFA 14,Xbox 360,3.00
827,5.00,/product_images/Juegos/Xbox 360 Juegos/5030917085864_s.jpg,5030917085864,12.00,Call Of Duty: Black Ops,Xbox 360,7.00
827,1.20,/product_images/Juegos/Xbox 360 Juegos/3307210263421_s.jpg,3307210263421,5.00,Assassin's Creed,Xbox 360,1.90
827,3.00,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,5026555245968,8.00,Grand Theft Auto IV,Xbox 360,5.00
827,2.00,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,0885370309607,6.00,Gears of War 3,Xbox 360,3.00
