img_caratula,titulo,categoria_str,precio_intercambio,precio_compra,categoria_id,sku,precio_venta
/product_images/Juegos/Xbox 360 Juegos/093155126657_s.jpg,Fallout 3: Broken Steel & Point Lockout,Xbox 360,0.90,0.60,827,093155126657,2.50
/product_images/Juegos/Xbox 360 Juegos/4005209112963_s.jpg,Red Faction: Guerrilla,Xbox 360,1.30,0.80,827,4005209112963,3.50
/product_images/Juegos/Xbox 360 Juegos/3391891983006_s.jpg,Dark Souls II (2): Scholar Of The First Sin *2 Disc*,Xbox 360,12.00,9.00,827,3391891983006,20.00
/product_images/Juegos/Xbox 360 Juegos/3307215625033_s.jpg,Beyond Good And Evil+ Outland+ From Dust,Xbox 360,7.00,5.00,827,3307215625033,12.00
/product_images/Juegos/Xbox 360 Juegos/4005209137089_s.jpg,Megamind - Comienza La Batalla,Xbox 360,3.00,2.00,827,4005209137089,6.00
/product_images/Juegos/Xbox 360 Juegos/5030934050524_s.jpg,Batalla Por La Tierra Media II,Xbox 360,5.00,3.00,827,5030934050524,8.00
/product_images/Juegos/Xbox 360 Juegos/5055060962671_s.jpg,Super Street Fighter IV Arcade Edition,Xbox 360,7.00,5.00,827,5055060962671,12.00
/product_images/Juegos/Xbox 360 Juegos/5060073307234_s.jpg,Quantum Theory,Xbox 360,3.00,2.00,827,5060073307234,6.00
/product_images/Juegos/Xbox 360 Juegos/5030917049187_s.jpg,Guitar Hero 3 Legends of Rock (Game Only),Xbox 360,3.00,2.00,827,5030917049187,6.00
/product_images/Juegos/Xbox 360 Juegos/3348542219779_s.jpg,Crash: Guerra al Coco-Maniaco!,Xbox 360,12.00,9.00,827,3348542219779,20.00
/product_images/Juegos/Xbox 360 Juegos/5026555245494_s.jpg,Prey,Xbox 360,0.90,0.60,827,5026555245494,2.50
/product_images/Juegos/Xbox 360 Juegos/5030934057042_s.jpg,Tiger Woods PGA Tour 08,Xbox 360,0.10,0.01,827,5030934057042,0.50
/product_images/Juegos/Xbox 360 Juegos/5055277001903_s.jpg,Vancouver Winter Olympics,Xbox 360,1.50,0.90,827,5055277001903,4.00
/product_images/Juegos/Xbox 360 Juegos/5030917072147_s.jpg,Guitar Hero 5 (Solo Juego),Xbox 360,1.30,0.80,827,5030917072147,3.50
