img_caratula,titulo,categoria_str,precio_intercambio,precio_compra,categoria_id,sku,precio_venta
/product_images/Juegos/3DS Juegos/045496474362_s.jpg,Picross 3D: Round 2,Nintendo 3DS,14.00,10.00,977,045496474362,22.00
/product_images/Juegos/DS Juegos/5037930140068_s.jpg,Happy Feet,Nintendo DS,1.10,0.70,834,5037930140068,3.00
/product_images/Juegos/DS Juegos/5051272004437_s.jpg,Bob y sus Amigos: Festival de la Diversi,Nintendo DS,5.00,3.00,834,5051272004437,8.00
/product_images/Juegos/DS Juegos/5051272004703_s.jpg,Jetix Puzzle Bubble,Nintendo DS,1.30,0.80,834,5051272004703,3.50
/product_images/Juegos/3DS Juegos/5030930101909_s.jpg,Sims 3 - Pets,Nintendo 3DS,3.00,2.00,977,5030930101909,6.00
/product_images/Juegos/3DS Juegos/5055277013098_s.jpg,Capitan America Supersoldado,Nintendo 3DS,11.00,8.00,977,5055277013098,18.00
/product_images/Juegos/3DS Juegos/5051893074741_s.jpg,Happy Feet 2,Nintendo 3DS,1.50,0.90,977,5051893074741,4.00
/product_images/Juegos/DS Juegos/5051893015256_s.jpg,Scribblenauts,Nintendo DS,3.00,2.00,834,5051893015256,5.00
/product_images/Juegos/DS Juegos/5051893021738_s.jpg,LEGO Rock Band,Nintendo DS,3.00,2.00,834,5051893021738,5.00
/product_images/Juegos/DS Juegos/5051893052954_s.jpg,Lego Ninjago,Nintendo DS,11.00,8.00,834,5051893052954,18.00
/product_images/Juegos/3DS Juegos/5030930100247_s.jpg,Madden NFL Football,Nintendo 3DS,3.00,2.00,977,5030930100247,6.00
/product_images/Juegos/3DS Juegos/5055277010257_s.jpg,Super Monkey Ball 3D,Nintendo 3DS,5.00,3.00,977,5055277010257,8.00
/product_images/Juegos/3DS Juegos/4020628822897_s.jpg,7th Dragon III - Code VFO,Nintendo 3DS,18.00,13.00,977,4020628822897,28.00
/product_images/Juegos/DS Juegos/5051893058857_s.jpg,Green Lantern: Rise Of The Manhunters,Nintendo DS,2.00,1.80,834,5051893058857,4.00
/product_images/Juegos/DS Juegos/5060015538740_s.jpg,Mi Estudio de Maquillaje,Nintendo DS,1.50,0.90,834,5060015538740,4.00
/product_images/Juegos/DS Juegos/5060050944179_s.jpg,Puyo Pop Fever,Nintendo DS,3.00,2.00,834,5060050944179,5.00
/product_images/Juegos/3DS Juegos/045496472610_s.jpg,Metroid Prime: Federation Force,Nintendo 3DS,14.00,10.00,977,045496472610,22.00
/product_images/Juegos/3DS Juegos/3307215588796_s.jpg,Imagina Ser Mamá,Nintendo 3DS,1.50,0.90,977,3307215588796,4.00
/product_images/Juegos/3DS Juegos/5060112431173_s.jpg,Etrian Odyssey Untold: Millennium Girl,Nintendo 3DS,18.00,13.00,977,5060112431173,28.00
/product_images/Juegos/DS Juegos/5060050944964_s.jpg,SNK Vs Capcom Card Fighters,Nintendo DS,3.00,2.00,834,5060050944964,6.00
/product_images/Juegos/DS Juegos/5060057023433_s.jpg,Tennis Master,Nintendo DS,0.90,0.60,834,5060057023433,2.50
/product_images/Juegos/DS Juegos/5060102950042_s.jpg,Rainbow Islands Revolution,Nintendo DS,3.00,2.00,834,5060102950042,6.00
/product_images/Juegos/3DS Juegos/4510772106948_s.jpg,Senran Kagura Burst,Nintendo 3DS,13.00,9.00,977,4510772106948,20.00
/product_images/Juegos/3DS Juegos/5060216311395_s.jpg,Chevrolet Camaro 3D,Nintendo 3DS,1.50,0.90,977,5060216311395,4.00
/product_images/Juegos/3DS Juegos/3760156480022_s.jpg,Yakari: The Mystery Of Four Seasons,Nintendo 3DS,5.00,3.00,977,3760156480022,8.00
/product_images/Juegos/DS Juegos/5060102950684_s.jpg,HoneyComb Beat,Nintendo DS,1.10,0.70,834,5060102950684,3.00
/product_images/Juegos/DS Juegos/5060102951797_s.jpg,XG Blast,Nintendo DS,0.40,0.20,834,5060102951797,1.50
/product_images/Juegos/DS Juegos/5060102953197_s.jpg,To-Fu Collection,Nintendo DS,0.90,0.60,834,5060102953197,2.50
/product_images/Juegos/3DS Juegos/045496523886_s.jpg,Disney's Planes,Nintendo 3DS,6.00,4.00,977,045496523886,10.00
/product_images/Juegos/DS Juegos/5060118410042_s.jpg,Vegas Casino High 5,Nintendo DS,0.90,0.60,834,5060118410042,2.50
/product_images/Juegos/DS Juegos/5060121822030_s.jpg,Heroes of Mana,Nintendo DS,9.00,6.00,834,5060121822030,15.00
/product_images/Juegos/DS Juegos/5060121824126_s.jpg,Chrono Trigger,Nintendo DS,31.00,22.00,834,5060121824126,50.00
/product_images/Juegos/DS Juegos/5060125483763_s.jpg,Secret Saturdays - Beasts of the 5th Sun,Nintendo DS,1.50,0.90,834,5060125483763,4.00
/product_images/Juegos/DS Juegos/5060125485545_s.jpg,Ben10 Ultimate Alien: Cosmic Destruction,Nintendo DS,1.10,0.70,834,5060125485545,3.00
/product_images/Juegos/DS Juegos/5060136650031_s.jpg,Dino Master,Nintendo DS,0.20,0.10,834,5060136650031,0.75
/product_images/Juegos/DS Juegos/5060136650635_s.jpg,Babysitting Mania,Nintendo DS,6.00,4.00,834,5060136650635,10.00
/product_images/Juegos/PC Juegos/3307210243928_s.jpg,Rayman,PC,0.50,0.30,830,3307210243928,1.50
/product_images/Juegos/DS Juegos/5060138436688_s.jpg,Brain Assist,Nintendo DS,0.01,0.01,834,5060138436688,0.25
/product_images/Juegos/DS Juegos/5060143480638_s.jpg,Fizz,Nintendo DS,0.40,0.20,834,5060143480638,1.50
/product_images/Juegos/DS Juegos/5060189090150_s.jpg,Moon,Nintendo DS,2.00,1.80,834,5060189090150,4.00
/product_images/Juegos/DS Juegos/5390102488956_s.jpg,MTV Fan Attack,Nintendo DS,0.70,0.30,834,5390102488956,2.50
/product_images/Juegos/DS Juegos/5743211740338_s.jpg,Strawberry Shortcake,Nintendo DS,4.00,3.00,834,5743211740338,7.00
/product_images/Juegos/PC Juegos/5021290030756_s.jpg,Tomb Raider Anniversary,PC,1.20,0.60,830,5021290030756,4.00
/product_images/Juegos/PC Juegos/8436010151852_s.jpg,Trackmania United: Forever,PC,0.60,0.30,830,8436010151852,2.00
/product_images/Juegos/DS Juegos/5743211740574_s.jpg,Pet Alien,Nintendo DS,0.60,0.30,834,5743211740574,2.00
/product_images/Juegos/DS Juegos/5743211740628_s.jpg,Cartoon Network Racing,Nintendo DS,5.00,3.00,834,5743211740628,8.00
/product_images/Juegos/PC Juegos/5060146460095_s.jpg,War Rock,PC,0.10,0.01,830,5060146460095,0.50
/product_images/Juegos/PC Juegos/3760137142000_s.jpg,Eva Cash: D.I.R.T Project,PC,0.10,0.01,830,3760137142000,0.50
/product_images/Juegos/PC Juegos/3348542198982_s.jpg,Scarface,PC,1.50,0.70,830,3348542198982,5.00
/product_images/Juegos/DS Juegos/5743211741144_s.jpg,Bratz Kidz Party,Nintendo DS,3.00,2.00,834,5743211741144,5.00
/product_images/Juegos/DS Juegos/5906961197634_s.jpg,Logic Machines,Nintendo DS,5.00,3.00,834,5906961197634,8.00
/product_images/Juegos/DS Juegos/712725003500_s.jpg,High School Musical: Makin' The Cut,Nintendo DS,0.01,0.01,834,712725003500,0.25
/product_images/Juegos/PC Juegos/5060264370542_s.jpg,Albedo: Eyes From Outer Space (P),PC,0.40,0.20,830,5060264370542,1.50
/product_images/Juegos/PC Juegos/8717418221201_s.jpg,Shin Chan: 3 Minutos Para Salvar el Mund,PC,0.01,0.01,830,8717418221201,0.25
/product_images/Juegos/DS Juegos/8023171013633_s.jpg,Dolphins: Tus Amigos del Mar,Nintendo DS,1.50,0.90,834,8023171013633,4.00
/product_images/Juegos/PC Juegos/8414185034170_s.jpg,Los Sims 2 y sus Hobbies (SN) Expansion,PC,2.00,1.40,830,8414185034170,7.00
/product_images/Juegos/PC Juegos/5030917030703_s.jpg,X-men Legends II 1DVD,PC,0.30,0.10,830,5030917030703,1.00
/product_images/Juegos/PC Juegos/5055277018666_s.jpg,Football Manager 2013 (P),PC,0.01,0.01,830,5055277018666,0.10
/product_images/Juegos/PC Juegos/8431474000494_s.jpg,Planeta Tesoro Rescate Arriesgado,PC,0.01,0.01,830,8431474000494,0.10
/product_images/Juegos/PC Juegos/3348542152748_s.jpg,Diablo II Expansion Set,PC,0.70,0.30,830,3348542152748,2.50
/product_images/Juegos/PC Juegos/8414185051412_s.jpg,Need For Speed: Underground (SN) 2CD,PC,0.60,0.30,830,8414185051412,2.00
/product_images/Juegos/PS3 Juegos/3307210266583_s.jpg,Haze,PlayStation 3,1.50,0.90,821,3307210266583,4.00
/product_images/Juegos/PC Juegos/5030934078283_s.jpg,Fifa Manager 10,PC,0.10,0.01,830,5030934078283,0.50
/product_images/Juegos/PS3 Juegos/5026555402705_s.jpg,NBA 2K10,PlayStation 3,0.50,0.30,821,5026555402705,1.50
/product_images/Juegos/PS3 Juegos/5030934057578_s.jpg,Skate,PlayStation 3,1.50,0.90,821,5030934057578,4.00
/product_images/Juegos/PS3 Juegos/4005209136686_s.jpg,WWE Smackdown Vs Raw 2011,PlayStation 3,1.50,0.90,821,4005209136686,4.00
/product_images/Juegos/PS3 Juegos/5030934055031_s.jpg,Burnout Paradise,PlayStation 3,6.00,4.00,821,5030934055031,10.00
/product_images/Juegos/PS3 Juegos/5030934088503_s.jpg,Copa Mundial de la FIFA Sudafrica 2010,PlayStation 3,0.90,0.60,821,5030934088503,2.50
/product_images/Juegos/PS3 Juegos/5055060926857_s.jpg,Moto GP 10/11,PlayStation 3,6.00,4.00,821,5055060926857,10.00
/product_images/Juegos/PC Juegos/4020636127014_s.jpg,Mega Tycoon,PC,0.10,0.01,830,4020636127014,0.50
/product_images/Juegos/PC Juegos/5030917050763_s.jpg,Soldier of Fortune 3: Venganza,PC,1.00,0.50,830,5030917050763,3.50
/product_images/Juegos/PC Juegos/5055060970171_s.jpg,Chaos Legion,PC,0.30,0.10,830,5055060970171,1.00
/product_images/Juegos/PSP Juegos/3348542213067_s.jpg,Alien Vs Predator,PSP,3.00,2.00,862,3348542213067,10.00
/product_images/Juegos/PS3 Juegos/5030917141522_s.jpg,Amazing Spiderman 2,PlayStation 3,12.00,9.00,821,5030917141522,20.00
/product_images/Juegos/PS3 Juegos/4020628512279_s.jpg,Metro Last Light,PlayStation 3,5.00,3.00,821,4020628512279,8.00
/product_images/Juegos/PC Juegos/5030917023330_s.jpg,Vampire The Masquerade: Bloodlines,PC,1.80,0.90,830,5030917023330,6.00
/product_images/Juegos/PC Juegos/8426412004023_s.jpg,Pro Cycling Manager Temporada 2005,PC,0.01,0.01,830,8426412004023,0.10
/product_images/Juegos/PSP Juegos/3348542213074_s.jpg,Alien Vs. Predator 2,PSP,0.70,0.30,862,3348542213074,2.50
/product_images/Juegos/PSP Juegos/3546430119860_s.jpg,Kao challengers,PSP,0.60,0.30,862,3546430119860,2.00
/product_images/Juegos/PS3 Juegos/5060146461689_s.jpg,Walking Dead: Telltale Games Series 2,PlayStation 3,11.00,8.00,821,5060146461689,18.00
/product_images/Juegos/PS3 Juegos/711719626299_s.jpg,Lair,PlayStation 3,3.00,2.00,821,711719626299,5.00
/product_images/Juegos/PC Juegos/5030943111087_s.jpg,Sims 3: Cine Accesorios,PC,1.80,1.00,830,5030943111087,5.00
/product_images/Juegos/PC Juegos/8431474001118_s.jpg,Disney Magic Artist Deluxe,PC,0.01,0.01,830,8431474001118,0.25
/product_images/Juegos/PSP Juegos/3546430124215_s.jpg,Battlezone,PSP,2.00,1.20,862,3546430124215,6.00
/product_images/Juegos/PSP Juegos/3546430124796_s.jpg,Dungeons & Dragons Tactics,PSP,1.60,0.90,862,3546430124796,4.50
/product_images/Juegos/PS3 Juegos/5024866345070_s.jpg,Operation Flashpoint Red River,PlayStation 3,3.00,2.00,821,5024866345070,5.00
/product_images/Juegos/PS3 Juegos/5030934086073_s.jpg,MMA: Mixed Martial Arts,PlayStation 3,6.00,4.00,821,5030934086073,10.00
/product_images/Juegos/PC Juegos/3348542161443_s.jpg,No One Lives Forever,PC,0.10,0.01,830,3348542161443,0.50
/product_images/Juegos/PC Juegos/3546430118900_s.jpg,Desperados 2 Coopers Revenge,PC,0.70,0.30,830,3546430118900,2.50
/product_images/Juegos/PSP Juegos/3546430128961_s.jpg,Thrillville,PSP,0.40,0.20,862,3546430128961,1.50
/product_images/Juegos/PSP Juegos/3546430134719_s.jpg,N+,PSP,4.00,2.00,862,3546430134719,12.00
/product_images/Juegos/PS3 Juegos/5051603222882_s.jpg,F.E.A.R. 2: Project Origin,PlayStation 3,3.00,2.00,821,5051603222882,6.00
/product_images/Juegos/PS3 Juegos/5060073306749_s.jpg,Ninja Gaiden Sigma 2,PlayStation 3,5.00,3.00,821,5060073306749,8.00
/product_images/Juegos/PC Juegos/3307210243003_s.jpg,Heroes Of Might And Magic,PC,0.10,0.01,830,3307210243003,0.50
/product_images/Juegos/PC Juegos/4005209030243_s.jpg,Evil Dead Hail To The King,PC,0.10,0.01,830,4005209030243,0.50
/product_images/Juegos/PSP Juegos/3700577000331_s.jpg,Ace Combat: Joint Assault,PSP,1.40,0.80,862,3700577000331,4.00
/product_images/Juegos/PSP Juegos/3700577000454_s.jpg,Full Metal Alchemist Brotherhood,PSP,5.00,3.00,862,3700577000454,15.00
/product_images/Juegos/PS3 Juegos/5030934103275_s.jpg,"Sims 3, Vaya Fauna!",PlayStation 3,9.00,6.00,821,5030934103275,15.00
/product_images/Juegos/PS3 Juegos/5030917069444_s.jpg,Wolfenstein,PlayStation 3,5.00,3.00,821,5030917069444,8.00
/product_images/Juegos/PC Juegos/842897002252_s.jpg,Cenicienta - Juego Decorar Castillos,PC,0.01,0.01,830,842897002252,0.10
/product_images/Juegos/PC Juegos/3546430016572_s.jpg,Technomage,PC,0.10,0.01,830,3546430016572,0.50
/product_images/Juegos/PSP Juegos/3700577002106_s.jpg,God Eater Burst,PSP,2.00,1.60,862,3700577002106,8.00
/product_images/Juegos/PSP Juegos/3760007414930_s.jpg,X-treme Party,PSP,0.30,0.10,862,3760007414930,1.00
/product_images/Juegos/PS3 Juegos/8717418176990_s.jpg,Pure,PlayStation 3,1.30,0.80,821,8717418176990,3.50
/product_images/Juegos/PS3 Juegos/711719153887_s.jpg,Motorstorm Apocalypse,PlayStation 3,5.00,3.00,821,711719153887,8.00
/product_images/Juegos/PC Juegos/5032921020862_s.jpg,Thief Deadly Shadows,PC,0.30,0.10,830,5032921020862,1.00
/product_images/Juegos/PC Juegos/5030917014239_s.jpg,Spiderman,PC,0.60,0.30,830,5030917014239,2.00
/product_images/Juegos/PSP Juegos/3760165160236_s.jpg,Metal Slug Double X,PSP,12.00,7.00,862,3760165160236,35.00
/product_images/Juegos/PSP Juegos/400289888632_s.jpg,MLB 10: The Show,PSP,3.00,1.80,862,400289888632,9.00
/product_images/Juegos/PS3 Juegos/5055060926352_s.jpg,Super Street Fighter IV,PlayStation 3,6.00,4.00,821,5055060926352,10.00
/product_images/Juegos/PS3 Juegos/5060146461382_s.jpg,"Wolf Among Us, The",PlayStation 3,7.00,5.00,821,5060146461382,12.00
/product_images/Juegos/PC Juegos/3760137143359_s.jpg,Helldorado,PC,0.40,0.20,830,3760137143359,1.50
/product_images/Juegos/PC Juegos/8414185050804_s.jpg,Medal of Honor Spearhead Expansion,PC,1.30,0.60,830,8414185050804,4.50
/product_images/Juegos/PSP Juegos/4005209064293_s.jpg,MX Vs. ATV On The Edge,PSP,0.90,0.40,862,4005209064293,3.00
/product_images/Juegos/PSP Juegos/4005209068420_s.jpg,WWE Smackdown Vs. Raw 2006,PSP,0.40,0.20,862,4005209068420,1.50
/product_images/Juegos/PS3 Juegos/5030934076937_s.jpg,Brutal Legend,PlayStation 3,3.00,2.00,821,5030934076937,6.00
/product_images/Juegos/PS3 Juegos/5030934078047_s.jpg,Dragon Age: Origins,PlayStation 3,5.00,3.00,821,5030934078047,8.00
/product_images/Juegos/PC Juegos/8423817602748_s.jpg,Painkiller (SN) 4CD,PC,0.30,0.10,830,8423817602748,1.00
/product_images/Juegos/PC Juegos/3307210222596_s.jpg,Impossible Creatures,PC,0.10,0.01,830,3307210222596,0.50
/product_images/Juegos/PSP Juegos/4005209073332_s.jpg,SpongeBob SquarePants: The Yellow Avenge,PSP,2.00,1.20,862,4005209073332,6.00
/product_images/Juegos/PSP Juegos/4005209083164_s.jpg,Guilty Gear Judgment,PSP,0.90,0.40,862,4005209083164,3.00
/product_images/Juegos/PS3 Juegos/3391891977883_s.jpg,Naruto Shippuden: Ultimate Ninja. Storm Revolution,PlayStation 3,12.00,9.00,821,3391891977883,20.00
/product_images/Juegos/PS3 Juegos/8023171019895_s.jpg,IL-2 Sturmovik Birds of Prey,PlayStation 3,6.00,4.00,821,8023171019895,10.00
/product_images/Juegos/PC Juegos/5051603222837_s.jpg,Lego Batman,PC,0.90,0.40,830,5051603222837,3.00
/product_images/Juegos/PC Juegos/5906961199461_s.jpg,Chronicles of Mystery: Scorpio Ritual,PC,1.20,0.60,830,5906961199461,4.00
/product_images/Juegos/PSP Juegos/4005209083416_s.jpg,Scooby Doo Quien Esta Mirando A Quien,PSP,1.40,0.80,862,4005209083416,4.00
/product_images/Juegos/PSP Juegos/4005209084789_s.jpg,Avatar: The Legend of Aang,PSP,2.00,1.60,862,4005209084789,8.00
/product_images/Juegos/PS3 Juegos/5024866333114_s.jpg,Colin McRae: Dirt,PlayStation 3,6.00,4.00,821,5024866333114,10.00
/product_images/Juegos/PS3 Juegos/4012927056028_s.jpg,Castlevania: Lords Of Shadow 2,PlayStation 3,12.00,9.00,821,4012927056028,20.00
/product_images/Juegos/PC Juegos/3307210259592_s.jpg,Locos por el Surf,PC,0.01,0.01,830,3307210259592,0.10
/product_images/Juegos/PC Juegos/8431474055265_s.jpg,Final Conquest,PC,0.20,0.10,830,8431474055265,0.75
/product_images/Juegos/PSP Juegos/4005209120753_s.jpg,Cars: Race O Rama,PSP,0.90,0.40,862,4005209120753,3.00
/product_images/Juegos/PSP Juegos/4005209124843_s.jpg,SpongeBob: Truth or Square,PSP,2.00,1.60,862,4005209124843,8.00
/product_images/Juegos/PS3 Juegos/5030917065767_s.jpg,X-Men Origenes: Lobezno,PlayStation 3,6.00,4.00,821,5030917065767,10.00
/product_images/Juegos/PC Juegos/9006113065050_s.jpg,Zax The Alien Hunter,PC,0.10,0.01,830,9006113065050,0.50
/product_images/Juegos/PC Juegos/3546430130100_s.jpg,Witcher,PC,2.00,1.40,830,3546430130100,7.00
/product_images/Juegos/PSP Juegos/4005209125031_s.jpg,Marvel Super Hero Squad,PSP,1.60,0.90,862,4005209125031,4.50
/product_images/Juegos/PSP Juegos/4005209125482_s.jpg,WWE Smackdown Vs. Raw 2010,PSP,0.60,0.30,862,4005209125482,2.00
/product_images/Juegos/PS3 Juegos/3307210252203_s.jpg,Splinter Cell Double Agent,PlayStation 3,1.50,0.90,821,3307210252203,4.00
/product_images/Juegos/PS3 Juegos/093155122376_s.jpg,Rogue Warrior,PlayStation 3,3.00,2.00,821,093155122376,5.00
/product_images/Juegos/Wii Juegos/4005209120975_s.jpg,Big Family Games,Wii,7.00,5.00,831,4005209120975,12.00
/product_images/Juegos/PC Juegos/8436010150336_s.jpg,Los Dominios De La Magia,PC,0.01,0.01,830,8436010150336,0.25
/product_images/Juegos/PC Juegos/8414185032343_s.jpg,Los Sims La Familia Al Completo (SN) (4CD),PC,5.00,3.00,830,8414185032343,15.00
/product_images/Juegos/PSP Juegos/4012927060186_s.jpg,Death Jr.,PSP,2.00,1.20,862,4012927060186,6.00
/product_images/Juegos/PSP Juegos/4012927060346_s.jpg,"Frogger, Helmet Chaos",PSP,1.40,0.80,862,4012927060346,4.00
/product_images/Juegos/PS3 Juegos/5055060925447_s.jpg,Bionic Commando,PlayStation 3,3.00,2.00,821,5055060925447,5.00
/product_images/Juegos/PS3 Juegos/023272008512_s.jpg,Lego Indiana Jones 2,PlayStation 3,9.00,6.00,821,023272008512,15.00
/product_images/Juegos/Wii Juegos/4005209139236_s.jpg,Marvel Super Hero Squad: Infinity Gauntl,Wii,1.70,1.00,831,4005209139236,4.50
/product_images/Juegos/Wii Juegos/5030934078023_s.jpg,FIFA 10,Wii,0.70,0.40,831,5030934078023,2.00
/product_images/Juegos/PC Juegos/5024866332933_s.jpg,Colin McRae: Dirt,PC,0.40,0.20,830,5024866332933,1.50
/product_images/Juegos/PC Juegos/5906961198402_s.jpg,Art of Murder - FBI Confidential,PC,1.20,0.70,830,5906961198402,3.50
/product_images/Juegos/PSP Juegos/4012927060582_s.jpg,The Ark of Napishtim,PSP,6.00,3.00,862,4012927060582,18.00
/product_images/Juegos/PSP Juegos/4012927060650_s.jpg,Street Supremacy,PSP,0.40,0.20,862,4012927060650,1.50
/product_images/Juegos/PS3 Juegos/5026555413442_s.jpg,WWE 2K14,PlayStation 3,5.00,3.00,821,5026555413442,8.00
/product_images/Juegos/PS3 Juegos/3307217935291_s.jpg,Racket Sports,PlayStation 3,0.90,0.60,821,3307217935291,2.50
/product_images/Juegos/Wii Juegos/4020628089009_s.jpg,Sing 4,Wii,6.00,4.00,831,4020628089009,10.00
/product_images/Juegos/Wii Juegos/4005209132909_s.jpg,"Last Airbender, El",Wii,3.00,2.00,831,4005209132909,5.00
/product_images/Juegos/PC Juegos/8431474073580_s.jpg,Legend: Hand of God,PC,0.70,0.30,830,8431474073580,2.50
/product_images/Juegos/PC Juegos/051581111692_s.jpg,Diablo,PC,2.00,1.20,830,051581111692,6.00
/product_images/Juegos/PSP Juegos/4012927060728_s.jpg,Pocket Racers,PSP,0.70,0.30,862,4012927060728,2.50
/product_images/Juegos/PSP Juegos/4012927060797_s.jpg,Metal Gear Acid 2,PSP,5.00,3.00,862,4012927060797,15.00
/product_images/Juegos/PS3 Juegos/5030917132353_s.jpg,Angry Birds: Star Wars,PlayStation 3,6.00,4.00,821,5030917132353,10.00
/product_images/Juegos/PS3 Juegos/8717418319656_s.jpg,Phineas & Ferb - A Traves de la Segunda Dimension,PlayStation 3,5.00,3.00,821,8717418319656,8.00
/product_images/Juegos/Wii Juegos/4005209124065_s.jpg,World Of Zoo,Wii,3.00,2.00,831,4005209124065,6.00
/product_images/Juegos/Wii Juegos/4005209103367_s.jpg,MX Vs. ATV Untamed,Wii,3.00,2.00,831,4005209103367,6.00
/product_images/Juegos/Wii Juegos/8023171016399_s.jpg,Princesas Sobre Hielo,Wii,3.00,2.00,831,8023171016399,5.00
/product_images/Juegos/PC Juegos/5030934105804_s.jpg,Los Sims 3 Diesel Accesorios,PC,1.30,0.60,830,5030934105804,4.50
/product_images/Juegos/PC Juegos/3307210149022_s.jpg,Combat Flight Simulator Serie Europa,PC,0.40,0.20,830,3307210149022,1.50
/product_images/Juegos/PC Juegos/3760137140945_s.jpg,The Secrets of Atlantis El Legado Sagrad,PC,0.01,0.01,830,3760137140945,0.10
/product_images/Juegos/PSP Juegos/4012927060988_s.jpg,Gradius Collection,PSP,4.00,2.00,862,4012927060988,12.00
/product_images/Juegos/PSP Juegos/4012927061381_s.jpg,Xiaolin Showdown,PSP,1.20,0.70,862,4012927061381,3.50
/product_images/Juegos/PSP Juegos/4012927061466_s.jpg,Marvel Trading Card Game,PSP,1.60,0.90,862,4012927061466,4.50
/product_images/Juegos/PS3 Juegos/8717418281861_s.jpg,Tron: Evolution,PlayStation 3,1.10,0.70,821,8717418281861,3.00
/product_images/Juegos/PS3 Juegos/3391891977234_s.jpg,One Piece: Unlimited World Red,PlayStation 3,6.00,4.00,821,3391891977234,10.00
/product_images/Juegos/PS3 Juegos/5030934069410_s.jpg,Trivial Pursuit,PlayStation 3,9.00,6.00,821,5030934069410,15.00
/product_images/Juegos/Wii Juegos/503093406798B_s.jpg,EA Active Personal Trainer (Solo Juego),Wii,0.90,0.60,831,503093406798,2.50
/product_images/Juegos/Wii Juegos/3307210254955_s.jpg,Teenage Mutant Ninja Turtles,Wii,3.00,2.00,831,3307210254955,5.00
/product_images/Juegos/Wii Juegos/4012927091166_s.jpg,Pro Evolution Soccer 2009,Wii,0.20,0.10,831,4012927091166,0.75
/product_images/Juegos/PC Juegos/8436010155584_s.jpg,Kings Of Adventure,PC,0.60,0.30,830,8436010155584,2.00
/product_images/Juegos/PC Juegos/8426412003507_s.jpg,"Gladiators, The",PC,0.10,0.01,830,8426412003507,0.50
/product_images/Juegos/PC Juegos/8436010151661_s.jpg,Cossacks Anthology Edicion de Oro,PC,0.30,0.10,830,8436010151661,1.00
/product_images/Juegos/PSP Juegos/4012927061626_s.jpg,Rengoku II The Stairway to H.E.A.V.E.N.,PSP,0.70,0.30,862,4012927061626,2.50
/product_images/Juegos/PSP Juegos/4012927061701_s.jpg,Bomberman,PSP,4.00,2.00,862,4012927061701,12.00
/product_images/Juegos/PSP Juegos/4012927062036_s.jpg,Death Jr. 2: Root of Evil,PSP,1.40,0.80,862,4012927062036,4.00
/product_images/Juegos/PS3 Juegos/5026555404365_s.jpg,NBA 2K11,PlayStation 3,0.70,0.40,821,5026555404365,2.00
/product_images/Juegos/PS3 Juegos/4012927054918_s.jpg,Zone Of The Enders Hd Collection,PlayStation 3,9.00,6.00,821,4012927054918,15.00
/product_images/Juegos/PS3 Juegos/5026555401456_s.jpg,Top Spin 3,PlayStation 3,0.70,0.40,821,5026555401456,2.00
/product_images/Juegos/Wii Juegos/5030934055451_s.jpg,Padrino el Chantaje,Wii,5.00,3.00,831,5030934055451,8.00
/product_images/Juegos/Wii Juegos/5030934055239_s.jpg,SSX Blur,Wii,3.00,2.00,831,5030934055239,6.00
/product_images/Juegos/Wii Juegos/5030917132759_s.jpg,Skylanders: Swap Force - Starter Pack,Wii,3.00,2.00,831,5030917132759,6.00
/product_images/Juegos/PC Juegos/5032921015851_s.jpg,Soul Reaver 2,PC,0.40,0.20,830,5032921015851,1.50
/product_images/Juegos/PC Juegos/9788439590675_s.jpg,Sega Rally Championship,PC,0.20,0.10,830,9788439590675,0.75
/product_images/Juegos/PC Juegos/3700664506487_s.jpg,Grandes Invasions 350-1066,PC,0.10,0.01,830,3700664506487,0.50
/product_images/Juegos/PSP Juegos/4012927062111_s.jpg,Steel Horizon,PSP,1.60,0.90,862,4012927062111,4.50
/product_images/Juegos/PSP Juegos/4012927062197_s.jpg,Winx Club: Unete al Club,PSP,1.60,0.90,862,4012927062197,4.50
/product_images/Juegos/PSP Juegos/4012927062302_s.jpg,Coded Arms 2: Contagion,PSP,2.00,1.60,862,4012927062302,8.00
/product_images/Juegos/PS3 Juegos/5030934092548_s.jpg,Dead Space 2,PlayStation 3,6.00,4.00,821,5030934092548,10.00
/product_images/Juegos/PS3 Juegos/5021290034785_s.jpg,Conflict: Denied Ops.,PlayStation 3,5.00,3.00,821,5021290034785,8.00
/product_images/Juegos/PS3 Juegos/5026555401852_s.jpg,NBA 2K9,PlayStation 3,0.20,0.10,821,5026555401852,0.75
/product_images/Juegos/Wii Juegos/5030934075978_s.jpg,My Sims Agents,Wii,4.00,3.00,831,5030934075978,7.00
/product_images/Juegos/Wii Juegos/4005209113571_s.jpg,All Star Cheerleader,Wii,2.00,1.80,831,4005209113571,4.00
/product_images/Juegos/Wii Juegos/4005209156431_s.jpg,Marvel Super Hero Squad Comic Combat,Wii,0.90,0.60,831,4005209156431,2.50
/product_images/Juegos/PC Juegos/3700211501972_s.jpg,Zoo Empire,PC,0.01,0.01,830,3700211501972,0.25
/product_images/Juegos/PC Juegos/3760007410505_s.jpg,Economic War,PC,0.10,0.01,830,3760007410505,0.50
/product_images/Juegos/PSP Juegos/4012927062609_s.jpg,Yu-Gi-Oh! GX Tag Force 2,PSP,0.60,0.30,862,4012927062609,2.00
/product_images/Juegos/PSP Juegos/4012927063606_s.jpg,Metal Gear Solid: Portable Ops/Coded Arm,PSP,1.80,1.00,862,4012927063606,5.00
