precio_compra,categoria_id,img_caratula,titulo,precio_venta,precio_intercambio,categoria_str,sku
6.00,831,/product_images/Juegos/Wii Juegos/045496367473_s.jpg,Wii Sports Resort (Solo Juego),15.00,9.00,Wii,045496367473
6.00,831,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,Super Mario Galaxy,15.00,9.00,Wii,045496363932
9.00,831,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,Super Mario Galaxy 2,22.00,13.00,Wii,045496368869
2.00,831,/product_images/Juegos/Wii Juegos/045496362102_s.jpg,Wii Sports (Solo Juego),5.00,3.00,Wii,045496362102
5.00,831,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,Legend of Zelda: Twilight Princess,12.00,7.00,Wii,045496362393
9.00,831,/product_images/Juegos/Wii Juegos/045496400736_s.jpg,Legend of Zelda: Skyward Sword,22.00,13.00,Wii,045496400736
8.00,831,/product_images/Juegos/Wii Juegos/045496362867_s.jpg,Mario Party 8,18.00,11.00,Wii,045496362867
2.00,831,/product_images/Juegos/Wii Juegos/045496367916_s.jpg,Wii Fit Plus (Solo Juego),5.00,3.00,Wii,045496367916
12.00,996,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,Mario Kart 8,28.00,17.00,Wii U,045496333288
9.00,996,/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg,Donkey Kong Country: Tropical Freeze,20.00,12.00,Wii U,0045496332716
5.00,996,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,Nintendo Land,12.00,7.00,Wii U,045496331085
12.00,996,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,Splatoon,28.00,17.00,Wii U,045496334475
14.00,996,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,Super Smash Bros,32.00,20.00,Wii U,045496333621
6.00,996,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,New Super Mario Bros. U,15.00,9.00,Wii U,045496331207
12.00,996,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,Super Mario 3D World,28.00,17.00,Wii U,045496332785
13.00,996,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,Super Mario Maker,30.00,18.00,Wii U,045496334987
8.00,996,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,New Super Mario Bros. U & Super Luigi U,18.00,11.00,Wii U,045496332198
9.00,996,/product_images/Juegos/Wii U Juegos/045496334161_s.jpg,Mario Party 10,20.00,12.00,Wii U,045496334161
3.00,996,/product_images/Juegos/Wii U Juegos/3307215654460_s.jpg,Just Dance 4,8.00,5.00,Wii U,3307215654460
9.00,996,/product_images/Juegos/Wii U Juegos/0045496332303_s.jpg,Legend Of Zelda: Wind Waker HD,20.00,12.00,Wii U,0045496332303
12.00,996,/product_images/Juegos/Wii U Juegos/045496334697_s.jpg,Yoshi's Woolly World,28.00,17.00,Wii U,045496334697
3.00,996,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,ZombiU,8.00,5.00,Wii U,3307215654293
3.00,996,/product_images/Juegos/Wii U Juegos/5030917114014_s.jpg,Call Of Duty: Black Ops II,7.00,4.00,Wii U,5030917114014
9.00,827,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,Grand Theft Auto V (5) 2 Disco,20.00,12.00,Xbox 360,5026555258098
2.00,827,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,FIFA 14,5.00,3.00,Xbox 360,5030949111104
2.00,827,/product_images/Juegos/Xbox 360 Juegos/5030917071065_s.jpg,Call of Duty: Modern Warfare 2,5.00,3.00,Xbox 360,5030917071065
3.00,827,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,Call Of Duty: Modern Warfare 3,8.00,5.00,Xbox 360,5030917096891
6.00,827,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,Call Of Duty: Black Ops II,15.00,9.00,Xbox 360,5030917111679
1.80,827,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,Gears of War 2,4.00,2.00,Xbox 360,882224721141
3.00,827,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,Grand Theft Auto IV,8.00,5.00,Xbox 360,5026555245968
2.00,827,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,Gears of War 3,6.00,3.00,Xbox 360,0885370309607
4.00,827,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,Call Of Duty: Ghosts *2 Disc*,10.00,6.00,Xbox 360,5030917125911
6.00,827,/product_images/Juegos/Xbox 360 Juegos/0885370606515_s.jpg,Minecraft,15.00,9.00,Xbox 360,0885370606515
0.70,827,/product_images/Juegos/Xbox 360 Juegos/882224482479_s.jpg,Halo 3,3.00,1.10,Xbox 360,882224482479
2.00,827,/product_images/Juegos/Xbox 360 Juegos/885370439939_s.jpg,Halo 4 *2 Disc*,6.00,3.00,Xbox 360,885370439939
4.00,827,/product_images/Juegos/Xbox 360 Juegos/3307215633342_s.jpg,Far Cry 3,10.00,6.00,Xbox 360,3307215633342
5.00,827,/product_images/Juegos/Xbox 360 Juegos/3307215634936_s.jpg,Assassin's Creed III (3) 2 Discos,12.00,7.00,Xbox 360,3307215634936
42.00,1002,/product_images/Juegos/Xbox One Juegos/5055060965924_s.jpg,Resident Evil 7: Biohazard,60.00,46.00,Xbox One,5055060965924
4.00,1002,/product_images/Juegos/Xbox One Juegos/4020628868543_s.jpg,Homefront: The Revolution,10.00,6.00,Xbox One,4020628868543
8.00,1002,/product_images/Juegos/Xbox One Juegos/85370663983_s.jpg,Dead Rising 3,18.00,11.00,Xbox One,85370663983
17.00,1002,/product_images/Juegos/Xbox One Juegos/889842148671_s.jpg,Dead Rising 4,38.00,24.00,Xbox One,889842148671
18.00,1002,/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,Grand Theft Auto V (5),40.00,25.00,Xbox One,5026555284127
