sku,categoria_id,precio_venta,precio_intercambio,categoria_str,titulo,img_caratula,precio_compra
5030917111761,821,15.00,5.00,PlayStation 3,Call Of Duty: Black Ops II,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,3.00
5030937112373,821,8.00,5.00,PlayStation 3,FIFA 15,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,3.00
5030917126116,821,6.00,3.00,PlayStation 3,Call Of Duty: Ghosts,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,2.00
5030933111103,821,2.00,0.60,PlayStation 3,FIFA 14,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,0.30
5030946112869,821,22.00,13.00,PlayStation 3,FIFA 16,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,9.00
5030917085802,821,8.00,5.00,PlayStation 3,Call Of Duty: Black Ops,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,3.00
5030917070990,821,6.00,3.00,PlayStation 3,Call of Duty: Modern Warfare 2,/product_images/Juegos/PS3 Juegos/5030917070990_s.jpg,2.00
711719190059,821,6.00,3.00,PlayStation 3,Gran Turismo 5,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,2.00
5026555400251,821,6.00,3.00,PlayStation 3,Grand Theft Auto IV,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,2.00
711719412915,821,18.00,11.00,PlayStation 3,Minecraft,/product_images/Juegos/PS3 Juegos/711719412915_s.jpg,8.00
5030917147906,821,15.00,9.00,PlayStation 3,Call Of Duty: Advanced Warfare,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,6.00
3307215793299,821,15.00,9.00,PlayStation 3,Far Cry 4,/product_images/Juegos/PS3 Juegos/3307215793299_s.jpg,6.00
711719438519,990,12.00,7.00,PlayStation Vita,Minecraft,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,5.00
5030917114083,990,18.00,11.00,PlayStation Vita,Call of Duty Black Ops- Declassified,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,8.00
5030934109192,990,15.00,9.00,PlayStation Vita,Need For Speed: Most Wanted 12,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,7.00
5030934109901,990,5.00,1.90,PlayStation Vita,FIFA 13,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,1.20
5030939111404,990,12.00,7.00,PlayStation Vita,FIFA 14,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,5.00
