categoria_str,categoria_id,sku,precio_compra,precio_intercambio,titulo,img_caratula,precio_venta
Nintendo DS,834,5051893130096,4.00,6.00,Lego Senor De Los Anillos,/product_images/Juegos/DS Juegos/5051893130096_s.jpg,10.00
Nintendo DS,834,045496462338,6.00,9.00,Mario Kart DS,/product_images/Juegos/DS Juegos/045496462338_s.jpg,15.00
Nintendo DS,834,045496463106,9.00,12.00,New Super Mario Bros.,/product_images/Juegos/DS Juegos/045496463106_s.jpg,20.00
Nintendo DS,834,045496464936,5.00,7.00,Pokemon Perla,/product_images/Juegos/DS Juegos/045496464936_s.jpg,12.00
Nintendo DS,834,5051893027747,5.00,7.00,Las Aventuras De Aragorn,/product_images/Juegos/DS Juegos/5051893027747_s.jpg,12.00
Nintendo DS,834,5051893041279,3.00,5.00,Super ScribbleNauts,/product_images/Juegos/DS Juegos/5051893041279_s.jpg,8.00
Nintendo DS,834,5051893153217,8.00,11.00,LEGO Friends,/product_images/Juegos/DS Juegos/5051893153217_s.jpg,18.00
Nintendo DS,834,045496464844,6.00,9.00,Pokemon Diamante,/product_images/Juegos/DS Juegos/045496464844_s.jpg,15.00
Nintendo DS,834,045496471644,3.00,5.00,Inazuma Eleven 2: Tormenta De Fuego,/product_images/Juegos/DS Juegos/045496471644_s.jpg,8.00
Nintendo DS,834,045496463595,4.00,6.00,Pokemon Mundo Misterioso Equipo Azul,/product_images/Juegos/DS Juegos/045496463595_s.jpg,10.00
Nintendo DS,834,045496471057,8.00,11.00,Pokemon Edicion Negra,/product_images/Juegos/DS Juegos/045496471057_s.jpg,18.00
Nintendo DS,834,045496465896,5.00,7.00,Mario Party DS,/product_images/Juegos/DS Juegos/045496465896_s.jpg,12.00
Nintendo DS,834,045496462567,0.40,0.70,Brain Training,/product_images/Juegos/DS Juegos/045496462567_s.jpg,2.00
Nintendo DS,834,045496471118,6.00,9.00,Pokemon Edicion Blanca,/product_images/Juegos/DS Juegos/045496471118_s.jpg,15.00
PC,830,8436010150671,0.30,0.70,Imperium III,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,2.50
PC,830,8414185032879,0.30,0.60,Los Sims 2 Mascotas Expansion (SN),/product_images/Juegos/PC Juegos/8414185032879_s.jpg,2.00
PC,830,8414185051528,2.00,3.00,Los Sims 2 (SN),/product_images/Juegos/PC Juegos/8414185051528_s.jpg,10.00
PC,830,3307210245281,3.00,5.00,Age of Empires Collectors Edition,/product_images/Juegos/PC Juegos/3307210245281_s.jpg,15.00
PC,830,8436016710787,0.30,0.60,Blackguards,/product_images/Juegos/PC Juegos/8436016710787_s.jpg,2.00
PC,830,5060193302294,0.10,0.30,Warhammer 40000 - Armageddon (SN),/product_images/Juegos/PC Juegos/5060193302294_s.jpg,1.00
PC,830,8436016710770,0.50,0.90,"Whispered World, The - Edición Especial",/product_images/Juegos/PC Juegos/8436016710770_s.jpg,2.50
PC,830,3307210153470,0.01,0.10,Beyond Good & Evil,/product_images/Juegos/PC Juegos/3307210153470_s.jpg,0.50
PC,830,8414606866977,0.30,0.60,Stasis,/product_images/Juegos/PC Juegos/8414606866977_s.jpg,2.00
PC,830,8414185032411,0.20,0.40,Los Sims 2 Abren Negocios (SN)(CD),/product_images/Juegos/PC Juegos/8414185032411_s.jpg,1.50
PC,830,3307210243874,1.00,1.80,Age of Mythology Gold Edition,/product_images/Juegos/PC Juegos/3307210243874_s.jpg,5.00
PC,830,4260089416369,0.20,0.40,Tropico Dictator Pack (P),/product_images/Juegos/PC Juegos/4260089416369_s.jpg,1.50
PC,830,3307210212368,0.10,0.20,Prince Of Persia El Alma Del Guerrero,/product_images/Juegos/PC Juegos/3307210212368_s.jpg,0.75
PC,830,8436010150572,0.30,0.60,Imperium II,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,2.00
PC,830,8436010150275,0.20,0.40,Imperium,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,1.50
PlayStation 3,821,5026555410267,6.00,9.00,Grand Theft Auto V (5),/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,15.00
PlayStation 3,821,5030917111761,3.00,5.00,Call Of Duty: Black Ops II,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,15.00
PlayStation 3,821,5030917096808,2.00,3.00,Call Of Duty: Modern Warfare 3,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,6.00
PlayStation 3,821,5030937112373,3.00,5.00,FIFA 15,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,8.00
PlayStation 3,821,5030917085802,3.00,5.00,Call Of Duty: Black Ops,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,8.00
PlayStation 3,821,5026555400251,2.00,3.00,Grand Theft Auto IV,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,6.00
PlayStation 3,821,711719190059,2.00,3.00,Gran Turismo 5,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,6.00
PlayStation 3,821,5030946112869,9.00,13.00,FIFA 16,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,22.00
PlayStation 3,821,5030917126116,2.00,3.00,Call Of Duty: Ghosts,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,6.00
PlayStation 3,821,5030933111103,0.30,0.60,FIFA 14,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,2.00
PlayStation 3,821,5030917070990,2.00,3.00,Call of Duty: Modern Warfare 2,/product_images/Juegos/PS3 Juegos/5030917070990_s.jpg,6.00
PlayStation 3,821,3307215793299,6.00,9.00,Far Cry 4,/product_images/Juegos/PS3 Juegos/3307215793299_s.jpg,15.00
PlayStation 3,821,3307215721957,6.00,9.00,Watch Dogs,/product_images/Juegos/PS3 Juegos/3307215721957_s.jpg,15.00
PlayStation 3,821,5030934109680,0.01,0.01,FIFA 13,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,0.25
PlayStation 3,821,5030934102902,2.00,3.00,Battlefield 3,/product_images/Juegos/PS3 Juegos/5030934102902_s.jpg,5.00
PlayStation Vita,990,711719438519,5.00,7.00,Minecraft,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,12.00
PlayStation Vita,990,5030917114083,8.00,11.00,Call of Duty Black Ops- Declassified,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,18.00
PlayStation Vita,990,5030934109192,7.00,9.00,Need For Speed: Most Wanted 12,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,15.00
PlayStation Vita,990,5035225113223,12.00,16.00,FIFA 15,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,25.00
PlayStation Vita,990,5030934109901,1.20,1.90,FIFA 13,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,5.00
PlayStation Vita,990,711719251163,8.00,11.00,Killzone Mercenary,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,18.00
PlayStation Vita,990,5055277016259,5.00,7.00,Virtua Tennis 4: Edicion World Tour,/product_images/Juegos/PS Vita Juegos/5055277016259_s.jpg,12.00
PlayStation Vita,990,5030939111404,5.00,7.00,FIFA 14,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,12.00
PlayStation Vita,990,711719200628,8.00,11.00,Uncharted: Golden Abyss,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,18.00
PlayStation Vita,990,3307215916520,7.00,9.00,Assassins Creed Chronicles,/product_images/Juegos/PS Vita Juegos/3307215916520_s.jpg,15.00
PlayStation Vita,990,5021290057791,7.00,9.00,Final Fantasy X HD Only,/product_images/Juegos/PS Vita Juegos/5021290057791_s.jpg,15.00
PlayStation Vita,990,3307215652312,5.00,7.00,Assassin's Creed III (3): Liberation,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,12.00
PlayStation Vita,990,5051893143447,5.00,7.00,Lego Marvel Superheroes,/product_images/Juegos/PS Vita Juegos/5051893143447_s.jpg,12.00
PlayStation Vita,990,711719279488,8.00,11.00,God Of War Collection,/product_images/Juegos/PS Vita Juegos/711719279488_s.jpg,18.00
PlayStation Vita,990,711719292852,4.00,6.00,Soul Sacrifice,/product_images/Juegos/PS Vita Juegos/711719292852_s.jpg,10.00
PSP,862,5026555280143,0.80,1.40,Grand Theft Auto: Liberty City Stories,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,4.00
PSP,862,5026555280785,0.80,1.40,Grand Theft Auto Vice City Stories,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,4.00
PSP,862,711719646266,0.40,0.90,Daxter,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,3.00
PSP,862,711719151159,0.40,0.90,Gran Turismo,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,3.00
PSP,862,711719908128,0.40,0.90,God of War: Chains of Olympus,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,3.00
PSP,862,711719738657,0.01,0.10,Play Chapas,/product_images/Juegos/PSP Juegos/711719738657_s.jpg,0.50
PSP,862,711719142058,0.01,0.10,Invizimals (Solo Juego),/product_images/Juegos/PSP Juegos/711719142058_s.jpg,0.50
PSP,862,3307211667679,0.80,1.40,Assassin's Creed: Bloodlines,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,4.00
PSP,862,711719651888,0.40,0.90,Ratchet & Clank: El Tamano Importa,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,3.00
PSP,862,4012927066225,0.40,0.90,Pro Evolution Soccer (PES) 2013,/product_images/Juegos/PSP Juegos/4012927066225_s.jpg,3.00
PSP,862,5030917038426,0.40,0.90,Call of Duty: Roads to Victory,/product_images/Juegos/PSP Juegos/5030917038426_s.jpg,3.00
PSP,862,4012927064740,0.10,0.30,Pro Evolution Soccer (PES) 2011,/product_images/Juegos/PSP Juegos/4012927064740_s.jpg,1.00
PSP,862,711719660071,0.40,0.90,Tekken Dark Resurrection,/product_images/Juegos/PSP Juegos/711719660071_s.jpg,3.00
PSP,862,8414646244995,0.01,0.10,Invizimals: Las tribus perdidas,/product_images/Juegos/PSP Juegos/8414646244995_s.jpg,0.50
PSP,862,5030934067263,0.01,0.10,FIFA 09,/product_images/Juegos/PSP Juegos/5030934067263_s.jpg,0.50
Wii,831,045496365202,8.00,11.00,Mario Kart Wii (Solo Juego),/product_images/Juegos/Wii Juegos/045496365202_s.jpg,18.00
Wii,831,045496368098,8.00,11.00,New Super Mario Bros. Wii,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,18.00
Wii,831,4260231341471,4.00,6.00,La Voz 2wi,/product_images/Juegos/Wii Juegos/4260231341471_s.jpg,10.00
Wii,831,045496367299,2.00,4.00,Inazuma Eleven Strikers,/product_images/Juegos/Wii Juegos/045496367299_s.jpg,12.00
Wii,831,045496363932,6.00,9.00,Super Mario Galaxy,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,15.00
Wii,831,045496362393,6.00,9.00,Legend of Zelda: Twilight Princess,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,15.00
Wii,831,045496365899,6.00,9.00,Super Smash Bros. Brawl,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,15.00
Wii,831,045496367473,2.00,3.00,Wii Sports Resort (Solo Juego),/product_images/Juegos/Wii Juegos/045496367473_s.jpg,10.00
Wii,831,5030934069243,4.00,6.00,Trivial Pursuit,/product_images/Juegos/Wii Juegos/5030934069243_s.jpg,10.00
Wii,831,045496366575,3.00,5.00,Animal Crossing Lets Go To The City (Solo Juego),/product_images/Juegos/Wii Juegos/045496366575_s.jpg,8.00
Wii,831,5055277013692,8.00,11.00,Mario y Sonic en los JJ.OO London 12,/product_images/Juegos/Wii Juegos/5055277013692_s.jpg,18.00
Wii,831,8402862155065,5.00,7.00,La Voz 3 (No Microphone),/product_images/Juegos/Wii Juegos/8402862155065_s.jpg,12.00
Wii,831,045496362201,1.80,2.00,Wii Play (solo juego),/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,4.00
Wii,831,045496363086,3.00,5.00,Mario Strikers Charged Football,/product_images/Juegos/Wii Juegos/045496363086_s.jpg,8.00
Wii U,996,045496337087,40.00,45.00,Legend of Zelda: Breath of the Wild,/product_images/Juegos/Wii U Juegos/045496337087_s.jpg,58.00
Wii U,996,045496333288,9.00,13.00,Mario Kart 8,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,22.00
Wii U,996,045496332785,9.00,12.00,Super Mario 3D World,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,20.00
Wii U,996,045496333621,12.00,17.00,Super Smash Bros,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,28.00
Wii U,996,045496331207,5.00,7.00,New Super Mario Bros. U,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,12.00
Wii U,996,045496331085,3.00,5.00,Nintendo Land,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,8.00
Wii U,996,045496332198,6.00,9.00,New Super Mario Bros. U & Super Luigi U,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,15.00
Wii U,996,3307215655184,8.00,11.00,Rayman Legends,/product_images/Juegos/Wii U Juegos/3307215655184_s.jpg,18.00
Wii U,996,045496334987,12.00,17.00,Super Mario Maker,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,28.00
Wii U,996,0045496332303,9.00,13.00,Legend Of Zelda: Wind Waker HD,/product_images/Juegos/Wii U Juegos/0045496332303_s.jpg,22.00
Wii U,996,045496334161,6.00,9.00,Mario Party 10,/product_images/Juegos/Wii U Juegos/045496334161_s.jpg,15.00
Wii U,996,3307215654293,2.00,3.00,ZombiU,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,5.00
Wii U,996,045496332839,8.00,11.00,Wii Party U (Solo Juego),/product_images/Juegos/Wii U Juegos/045496332839_s.jpg,18.00
Wii U,996,0045496332716,8.00,11.00,Donkey Kong Country: Tropical Freeze,/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg,18.00
Wii U,996,045496334475,9.00,13.00,Splatoon,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,22.00
Xbox 360,827,5026555258098,9.00,12.00,Grand Theft Auto V (5) 2 Disco,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,20.00
Xbox 360,827,3307215705728,6.00,9.00,Assassin's Creed 4: Black Flag (2 Disc),/product_images/Juegos/Xbox 360 Juegos/3307215705728_s.jpg,15.00
Xbox 360,827,5030917147685,6.00,9.00,Call Of Duty: Advanced Warfare (2 Disc),/product_images/Juegos/Xbox 360 Juegos/5030917147685_s.jpg,15.00
Xbox 360,827,0885370606515,5.00,7.00,Minecraft,/product_images/Juegos/Xbox 360 Juegos/0885370606515_s.jpg,12.00
Xbox 360,827,3391891984775,9.00,12.00,Fighting Edition: Tekken 6/Tekken Tag Tournament 2 Y Soul Calibur V,/product_images/Juegos/Xbox 360 Juegos/3391891984775_s.jpg,20.00
Xbox 360,827,5035228112377,5.00,7.00,FIFA 15,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,12.00
Xbox 360,827,5030917111679,6.00,9.00,Call Of Duty: Black Ops II,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,15.00
Xbox 360,827,5030938112877,5.00,8.00,FIFA 16,/product_images/Juegos/Xbox 360 Juegos/5030938112877_s.jpg,22.00
Xbox 360,827,5030917096891,2.00,3.00,Call Of Duty: Modern Warfare 3,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,6.00
Xbox 360,827,5026555245968,3.00,5.00,Grand Theft Auto IV,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,8.00
Xbox 360,827,5055060963852,3.00,5.00,Resident Evil 6 *2 Disc*,/product_images/Juegos/Xbox 360 Juegos/5055060963852_s.jpg,8.00
Xbox 360,827,5026555256476,3.00,5.00,Bioshock Infinite,/product_images/Juegos/Xbox 360 Juegos/5026555256476_s.jpg,8.00
Xbox 360,827,5030949111104,2.00,3.00,FIFA 14,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,6.00
Xbox 360,827,5030917085864,2.00,4.00,Call Of Duty: Black Ops,/product_images/Juegos/Xbox 360 Juegos/5030917085864_s.jpg,12.00
Xbox 360,827,3307215633342,3.00,5.00,Far Cry 3,/product_images/Juegos/Xbox 360 Juegos/3307215633342_s.jpg,8.00
Xbox One,1002,885370662221,8.00,11.00,Ryse: Son Of Rome,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,18.00
Xbox One,1002,5030917147791,5.00,7.00,Call Of Duty: Advanced Warfare,/product_images/Juegos/Xbox One Juegos/5030917147791_s.jpg,12.00
Xbox One,1002,5026555284127,17.00,24.00,Grand Theft Auto V (5),/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,38.00
Xbox One,1002,0889842121575,13.00,18.00,Gears of War 4,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,30.00
Xbox One,1002,5030941116398,45.00,50.00,Mass Effect: Andrómeda (Sin DLC),/product_images/Juegos/Xbox One Juegos/5030941116398_s.jpg,65.00
Xbox One,1002,5030917181863,13.00,18.00,Call Of Duty: Black Ops III,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,30.00
Xbox One,1002,5030947121631,8.00,11.00,Star Wars: Battlefront,/product_images/Juegos/Xbox One Juegos/5030947121631_s.jpg,18.00
Xbox One,1002,5026555297356,11.00,15.00,Mafia III,/product_images/Juegos/Xbox One Juegos/5026555297356_s.jpg,25.00
Xbox One,1002,5030917124358,3.00,5.00,Destiny,/product_images/Juegos/Xbox One Juegos/5030917124358_s.jpg,8.00
Xbox One,1002,885370662023,5.00,7.00,Forza Motorsport 5,/product_images/Juegos/Xbox One Juegos/885370662023_s.jpg,12.00
Xbox One,1002,5030937116425,18.00,26.00,FIFA 17,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,42.00
Xbox One,1002,3307215794722,5.00,7.00,Far Cry 4,/product_images/Juegos/Xbox One Juegos/3307215794722_s.jpg,12.00
Xbox One,1002,885370929669,9.00,12.00,Halo 5: Guardians,/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,20.00
Xbox One,1002,3307215969977,14.00,20.00,Watch Dogs 2,/product_images/Juegos/Xbox One Juegos/3307215969977_s.jpg,32.00
Xbox One,1002,885370951844,4.00,6.00,Gears Of War: Ultimate Edition,/product_images/Juegos/Xbox One Juegos/885370951844_s.jpg,10.00
PlayStation 4,1001,3307215804445,4.00,6.00,"Division, The",/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,18.00
PlayStation 4,1001,3307215803530,6.00,9.00,Assassin's Creed: Unity,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,15.00
PlayStation 4,1001,5021290072985,14.00,20.00,Final Fantasy XV,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,32.00
PlayStation 4,1001,3307215914946,21.00,30.00,For Honor (No DLC),/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,48.00
PlayStation 4,1001,711719407515,14.00,20.00,"Last of Us, The - Remastered",/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,32.00
PlayStation 4,1001,5030917148019,5.00,8.00,Call Of Duty: Advanced Warfare,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,22.00
PlayStation 4,1001,4012927100417,6.00,9.00,Metal Gear Solid V: The Phantom Pain,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,15.00
PlayStation 4,1001,3307215732939,2.00,4.00,Watch Dogs,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,12.00
PlayStation 4,1001,3307215889121,15.00,22.00,Rainbow Six: Siege,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,35.00
PlayStation 4,1001,5030917124549,2.00,3.00,Destiny,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,10.00
PlayStation 4,1001,5055856406242,9.00,13.00,Fallout 4,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,22.00
PlayStation 4,1001,5030941116350,40.00,47.00,Mass Effect: Andrómeda (Sin DLC),/product_images/Juegos/PS4 Juegos/5030941116350_s.jpg,65.00
PlayStation 4,1001,711719277071,6.00,9.00,DriveClub,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,15.00
PlayStation 4,1001,5055856403418,8.00,11.00,Doom (2016),/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,18.00
PlayStation 4,1001,5051893179637,9.00,12.00,Batman: Arkham Knight,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,20.00
PlayStation 4,1001,3391891979016,13.00,18.00,Witcher 3: Wild Hunt,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,30.00
PlayStation 4,1001,3307215793633,4.00,6.00,Far Cry 4,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,18.00
PlayStation 4,1001,711719439912,13.00,18.00,Minecraft,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,30.00
PlayStation 4,1001,711719866534,15.00,22.00,Uncharted: The Nathan Drake Collection,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,35.00
PlayStation 4,1001,5030947112387,0.70,1.50,FIFA 15,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,5.00
PlayStation 4,1001,5035223113737,12.00,17.00,Need For Speed (2015),/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,28.00
PlayStation 4,1001,711719838951,14.00,20.00,"Last Guardian, The",/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,32.00
PlayStation 4,1001,5030932116925,12.00,17.00,Titanfall 2,/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,28.00
PlayStation 4,1001,3307215715239,8.00,11.00,Assassin's Creed 4: Black Flag,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,18.00
PlayStation 4,1001,8023171037745,15.00,22.00,Rocket League,/product_images/Juegos/PS4 Juegos/8023171037745_s.jpg,35.00
PlayStation 4,1001,711719848233,11.00,15.00,Ratchet & Clank (2016),/product_images/Juegos/PS4 Juegos/711719848233_s.jpg,25.00
PlayStation 4,1001,4012927102336,17.00,24.00,Pro Evolution Soccer 2017,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,38.00
PlayStation 4,1001,711719843337,9.00,13.00,God of War 3 - Remasterizado,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,22.00
PlayStation 4,1001,3307215977453,11.00,15.00,Assassin's Creed: The Ezio Collection,/product_images/Juegos/PS4 Juegos/3307215977453_s.jpg,25.00
PlayStation 4,1001,711719817963,24.00,34.00,Nioh,/product_images/Juegos/PS4 Juegos/711719817963_s.jpg,55.00
PlayStation 4,1001,5055856410706,11.00,15.00,Dishonored 2 (Sin DLC),/product_images/Juegos/PS4 Juegos/5055856410706_s.jpg,25.00
PlayStation 4,1001,5021290074811,17.00,24.00,Rise of the Tomb Raider,/product_images/Juegos/PS4 Juegos/5021290074811_s.jpg,38.00
PlayStation 4,1001,711719275473,2.00,4.00,Killzone: Shadow Fall,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,12.00
PlayStation 4,1001,5030936111346,3.00,5.00,Battlefield 4,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,15.00
PlayStation 4,1001,093155149007,6.00,9.00,"Evil Within, The",/product_images/Juegos/PS4 Juegos/093155149007_s.jpg,15.00
