sku,titulo,precio_intercambio,precio_compra,img_caratula,precio_venta,categoria_id,categoria_str
8436010150275,Imperium,0.40,0.20,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,1.50,830,PC
8436016710770,"Whispered World, The - Edición Especial",0.90,0.50,/product_images/Juegos/PC Juegos/8436016710770_s.jpg,2.50,830,PC
8414185051528,Los Sims 2 (SN),3.00,2.00,/product_images/Juegos/PC Juegos/8414185051528_s.jpg,10.00,830,PC
8436010150671,Imperium III,0.70,0.30,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,2.50,830,PC
3307210220134,Splinter Cell Chaos Theory,0.10,0.01,/product_images/Juegos/PC Juegos/3307210220134_s.jpg,0.50,830,PC
5060193302294,Warhammer 40000 - Armageddon (SN),0.30,0.10,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,1.00,830,PC
4260089416369,Tropico Dictator Pack (P),0.40,0.20,/product_images/Juegos/PC Juegos/4260089416369_s.jpg,1.50,830,PC
8436016710787,Blackguards,0.60,0.30,/product_images/Juegos/PC Juegos/8436016710787_s.jpg,2.00,830,PC
3307210211989,Prince of Persia Ed. Col.,0.30,0.10,/product_images/Juegos/PC Juegos/3307210211989_s.jpg,1.00,830,PC
8436010150541,House Of The Dead 2,0.10,0.01,/product_images/Juegos/PC Juegos/8436010150541HD_s.jpg,0.50,830,PC
8414185032275,Batalla por la Tierra Media II,5.00,3.00,/product_images/Juegos/PC Juegos/8414185032275_s.jpg,15.00,830,PC
3307210220295,Splinter Cell Double Agent,0.30,0.10,/product_images/Juegos/PC Juegos/3307210220295_s.jpg,1.00,830,PC
3307211609143,Prince of Persia (2008),0.10,0.01,/product_images/Juegos/PC Juegos/3307211609143_s.jpg,0.50,830,PC
5026555410267,Grand Theft Auto V (5),9.00,6.00,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,15.00,821,PlayStation 3
5030917111761,Call Of Duty: Black Ops II,5.00,3.00,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,15.00,821,PlayStation 3
5030917096808,Call Of Duty: Modern Warfare 3,3.00,2.00,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,6.00,821,PlayStation 3
5030937112373,FIFA 15,5.00,3.00,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,8.00,821,PlayStation 3
5030917085802,Call Of Duty: Black Ops,5.00,3.00,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,8.00,821,PlayStation 3
5026555400251,Grand Theft Auto IV,3.00,2.00,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,6.00,821,PlayStation 3
5030917126116,Call Of Duty: Ghosts,3.00,2.00,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,6.00,821,PlayStation 3
711719190059,Gran Turismo 5,3.00,2.00,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,6.00,821,PlayStation 3
5030917147906,Call Of Duty: Advanced Warfare,9.00,6.00,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,15.00,821,PlayStation 3
5030946112869,FIFA 16,13.00,9.00,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,22.00,821,PlayStation 3
5030933111103,FIFA 14,0.60,0.30,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,2.00,821,PlayStation 3
5030934102902,Battlefield 3,3.00,2.00,/product_images/Juegos/PS3 Juegos/5030934102902_s.jpg,5.00,821,PlayStation 3
711719123996,Uncharted 3: Traicion de Drake,6.00,4.00,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,10.00,821,PlayStation 3
5030934109680,FIFA 13,0.01,0.01,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,0.25,821,PlayStation 3
0711719274551,Last Of Us,13.00,9.00,/product_images/Juegos/PS3 Juegos/0711719274551_s.jpg,22.00,821,PlayStation 3
5030917114083,Call of Duty Black Ops- Declassified,14.00,10.00,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,22.00,990,PlayStation Vita
711719438519,Minecraft,9.00,7.00,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,15.00,990,PlayStation Vita
5030934109192,Need For Speed: Most Wanted 12,9.00,7.00,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,15.00,990,PlayStation Vita
5055277016259,Virtua Tennis 4: Edicion World Tour,11.00,8.00,/product_images/Juegos/PS Vita Juegos/5055277016259_s.jpg,18.00,990,PlayStation Vita
5030934109901,FIFA 13,2.00,1.40,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,6.00,990,PlayStation Vita
5035225113223,FIFA 15,14.00,10.00,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,22.00,990,PlayStation Vita
711719200628,Uncharted: Golden Abyss,13.00,9.00,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,20.00,990,PlayStation Vita
5030939111404,FIFA 14,6.00,4.00,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,10.00,990,PlayStation Vita
4012927066065,Metal Gear Solid Hd Colección,13.00,9.00,/product_images/Juegos/PS Vita Juegos/4012927066065_s.jpg,20.00,990,PlayStation Vita
711719421511,Borderlands 2,9.00,7.00,/product_images/Juegos/PS Vita Juegos/711719421511_s.jpg,15.00,990,PlayStation Vita
711719287667,Invizimals - La Alianza,2.00,1.40,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,6.00,990,PlayStation Vita
711719241638,Gravity Rush,11.00,8.00,/product_images/Juegos/PS Vita Juegos/711719241638_s.jpg,18.00,990,PlayStation Vita
711719291589,Freedom Wars,7.00,5.00,/product_images/Juegos/PS Vita Juegos/711719291589_s.jpg,12.00,990,PlayStation Vita
3307215652312,Assassin's Creed III (3): Liberation,9.00,7.00,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,15.00,990,PlayStation Vita
5051893143447,Lego Marvel Superheroes,7.00,5.00,/product_images/Juegos/PS Vita Juegos/5051893143447_s.jpg,12.00,990,PlayStation Vita
5026555280143,Grand Theft Auto: Liberty City Stories,1.40,0.80,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,4.00,862,PSP
5026555280785,Grand Theft Auto Vice City Stories,1.40,0.80,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,4.00,862,PSP
3307211667679,Assassin's Creed: Bloodlines,1.40,0.80,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,4.00,862,PSP
711719151159,Gran Turismo,0.90,0.40,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,3.00,862,PSP
711719908128,God of War: Chains of Olympus,0.90,0.40,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,3.00,862,PSP
711719651888,Ratchet & Clank: El Tamano Importa,0.90,0.40,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,3.00,862,PSP
8414646244995,Invizimals: Las tribus perdidas,0.10,0.01,/product_images/Juegos/PSP Juegos/8414646244995_s.jpg,0.50,862,PSP
711719143451,Little Big Planet,0.70,0.30,/product_images/Juegos/PSP Juegos/711719143451_s.jpg,2.50,862,PSP
5030917089039,Spiderman 3,0.90,0.40,/product_images/Juegos/PSP Juegos/5030917089039_s.jpg,3.00,862,PSP
711719660071,Tekken Dark Resurrection,0.90,0.40,/product_images/Juegos/PSP Juegos/711719660071_s.jpg,3.00,862,PSP
711719678250,Medievil: Resurreccion,1.40,0.80,/product_images/Juegos/PSP Juegos/711719678250_s.jpg,4.00,862,PSP
711719738657,Play Chapas,0.10,0.01,/product_images/Juegos/PSP Juegos/711719738657_s.jpg,0.50,862,PSP
3296580803354,Dragon Ball Z Shin Budokai 2,0.90,0.40,/product_images/Juegos/PSP Juegos/3296580803354_s.jpg,3.00,862,PSP
711719168171,God of War: Ghost of Sparta,1.60,0.90,/product_images/Juegos/PSP Juegos/711719168171_s.jpg,4.50,862,PSP
711719646266,Daxter,0.90,0.40,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,3.00,862,PSP
045496365202,Mario Kart Wii (Solo Juego),11.00,8.00,/product_images/Juegos/Wii Juegos/045496365202_s.jpg,18.00,831,Wii
045496368098,New Super Mario Bros. Wii,11.00,8.00,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,18.00,831,Wii
045496362201,Wii Play (solo juego),2.00,1.80,/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,4.00,831,Wii
045496367473,Wii Sports Resort (Solo Juego),6.00,4.00,/product_images/Juegos/Wii Juegos/045496367473_s.jpg,10.00,831,Wii
045496363932,Super Mario Galaxy,9.00,6.00,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,15.00,831,Wii
045496365899,Super Smash Bros. Brawl,9.00,6.00,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,15.00,831,Wii
045496368869,Super Mario Galaxy 2,12.00,9.00,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,20.00,831,Wii
045496362102,Wii Sports (Solo Juego),3.00,2.00,/product_images/Juegos/Wii Juegos/045496362102_s.jpg,5.00,831,Wii
045496367916,Wii Fit Plus (Solo Juego),2.00,1.80,/product_images/Juegos/Wii Juegos/045496367916_s.jpg,4.00,831,Wii
045496362393,Legend of Zelda: Twilight Princess,9.00,6.00,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,15.00,831,Wii
045496400736,Legend of Zelda: Skyward Sword,13.00,9.00,/product_images/Juegos/Wii Juegos/045496400736_s.jpg,22.00,831,Wii
045496362867,Mario Party 8,9.00,6.00,/product_images/Juegos/Wii Juegos/045496362867_s.jpg,15.00,831,Wii
045496337087,Legend of Zelda: Breath of the Wild,50.00,45.00,/product_images/Juegos/Wii U Juegos/045496337087_s.jpg,65.00,996,Wii U
045496333288,Mario Kart 8,13.00,9.00,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,22.00,996,Wii U
045496332785,Super Mario 3D World,12.00,9.00,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,20.00,996,Wii U
045496333621,Super Smash Bros,17.00,12.00,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,28.00,996,Wii U
045496334161,Mario Party 10,9.00,6.00,/product_images/Juegos/Wii U Juegos/045496334161_s.jpg,15.00,996,Wii U
045496334475,Splatoon,13.00,9.00,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,22.00,996,Wii U
045496331085,Nintendo Land,5.00,3.00,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,8.00,996,Wii U
045496334987,Super Mario Maker,17.00,12.00,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,28.00,996,Wii U
045496331207,New Super Mario Bros. U,7.00,5.00,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,12.00,996,Wii U
045496333713,Bayonetta 2,12.00,9.00,/product_images/Juegos/Wii U Juegos/045496333713_s.jpg,20.00,996,Wii U
3307215654293,ZombiU,3.00,2.00,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,5.00,996,Wii U
045496332839,Wii Party U (Solo Juego),11.00,8.00,/product_images/Juegos/Wii U Juegos/045496332839_s.jpg,18.00,996,Wii U
045496332198,New Super Mario Bros. U & Super Luigi U,9.00,6.00,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,15.00,996,Wii U
045496334697,Yoshi's Woolly World,17.00,12.00,/product_images/Juegos/Wii U Juegos/045496334697_s.jpg,28.00,996,Wii U
0045496332303,Legend Of Zelda: Wind Waker HD,13.00,9.00,/product_images/Juegos/Wii U Juegos/0045496332303_s.jpg,22.00,996,Wii U
5026555258098,Grand Theft Auto V (5) 2 Disco,12.00,9.00,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,20.00,827,Xbox 360
5030917111679,Call Of Duty: Black Ops II,9.00,6.00,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,15.00,827,Xbox 360
5030917096891,Call Of Duty: Modern Warfare 3,3.00,2.00,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,6.00,827,Xbox 360
5026555245968,Grand Theft Auto IV,5.00,3.00,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,8.00,827,Xbox 360
5030949111104,FIFA 14,3.00,2.00,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,6.00,827,Xbox 360
5035228112377,FIFA 15,7.00,5.00,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,12.00,827,Xbox 360
0885370606515,Minecraft,7.00,5.00,/product_images/Juegos/Xbox 360 Juegos/0885370606515_s.jpg,12.00,827,Xbox 360
5030934109734,FIFA 13,0.70,0.40,/product_images/Juegos/Xbox 360 Juegos/5030934109734_s.jpg,2.00,827,Xbox 360
3307210263421,Assassin's Creed,3.00,2.00,/product_images/Juegos/Xbox 360 Juegos/3307210263421_s.jpg,5.00,827,Xbox 360
5030934102421,Battlefield 3 *2 Discos*,2.00,1.40,/product_images/Juegos/Xbox 360 Juegos/5030934102421_s.jpg,6.00,827,Xbox 360
0885370309607,Gears of War 3,3.00,2.00,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,6.00,827,Xbox 360
882224260145,Gears of War,1.30,0.80,/product_images/Juegos/Xbox 360 Juegos/882224260145_s.jpg,3.50,827,Xbox 360
882224918343,Forza Motorsport 3 (2 Discos),3.00,2.00,/product_images/Juegos/Xbox 360 Juegos/882224918343_s.jpg,5.00,827,Xbox 360
5030917085864,Call Of Duty: Black Ops,4.00,2.00,/product_images/Juegos/Xbox 360 Juegos/5030917085864_s.jpg,12.00,827,Xbox 360
889842148671,Dead Rising 4,24.00,17.00,/product_images/Juegos/Xbox One Juegos/889842148671_s.jpg,38.00,1002,Xbox One
5030937116425,FIFA 17,26.00,18.00,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,42.00,1002,Xbox One
5026555284127,Grand Theft Auto V (5),24.00,17.00,/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,38.00,1002,Xbox One
3307215913161,Ghost Recon: Wildlands (Sin DLC),44.00,36.00,/product_images/Juegos/Xbox One Juegos/3307215913161_s.jpg,65.00,1002,Xbox One
885370929669,Halo 5: Guardians,12.00,9.00,/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,20.00,1002,Xbox One
5030917181863,Call Of Duty: Black Ops III,18.00,13.00,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,30.00,1002,Xbox One
3307215915127,For Honor,39.00,32.00,/product_images/Juegos/Xbox One Juegos/3307215915127_s.jpg,58.00,1002,Xbox One
5030947121631,Star Wars: Battlefront,11.00,8.00,/product_images/Juegos/Xbox One Juegos/5030947121631_s.jpg,18.00,1002,Xbox One
0889842121575,Gears of War 4,18.00,13.00,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,30.00,1002,Xbox One
5035228113763,Battlefield 1,24.00,17.00,/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg,38.00,1002,Xbox One
885370951844,Gears Of War: Ultimate Edition,6.00,4.00,/product_images/Juegos/Xbox One Juegos/885370951844_s.jpg,10.00,1002,Xbox One
5055856406396,Fallout 4,15.00,11.00,/product_images/Juegos/Xbox One Juegos/5055856406396_s.jpg,25.00,1002,Xbox One
3307215805336,Assassin's Creed: Unity,9.00,6.00,/product_images/Juegos/Xbox One Juegos/3307215805336_s.jpg,15.00,1002,Xbox One
885370662221,Ryse: Son Of Rome,11.00,8.00,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,18.00,1002,Xbox One
5021290073081,Final Fantasy XV,20.00,14.00,/product_images/Juegos/Xbox One Juegos/5021290073081_s.jpg,32.00,1002,Xbox One
3307215804445,"Division, The",6.00,4.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,18.00,1001,PlayStation 4
3307215938782,Far Cry Primal,17.00,12.00,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,28.00,1001,PlayStation 4
5021290072985,Final Fantasy XV,24.00,17.00,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,38.00,1001,PlayStation 4
3307215803530,Assassin's Creed: Unity,11.00,8.00,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,18.00,1001,PlayStation 4
3307215732939,Watch Dogs,4.00,2.00,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,12.00,1001,PlayStation 4
5030934121637,Star Wars: Battlefront,12.00,9.00,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,20.00,1001,PlayStation 4
5051893179637,Batman: Arkham Knight,13.00,9.00,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,22.00,1001,PlayStation 4
711719407515,"Last of Us, The - Remastered",22.00,15.00,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,35.00,1001,PlayStation 4
3307215793633,Far Cry 4,6.00,4.00,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,18.00,1001,PlayStation 4
4012927100417,Metal Gear Solid V: The Phantom Pain,12.00,9.00,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,20.00,1001,PlayStation 4
3391891979016,Witcher 3: Wild Hunt,20.00,14.00,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,32.00,1001,PlayStation 4
5030917124549,Destiny,4.00,2.00,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,12.00,1001,PlayStation 4
5055856406242,Fallout 4,15.00,11.00,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,25.00,1001,PlayStation 4
711719838951,"Last Guardian, The",20.00,14.00,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,32.00,1001,PlayStation 4
5030936111346,Battlefield 4,6.00,4.00,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,18.00,1001,PlayStation 4
5055856403418,Doom (2016),11.00,8.00,/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,18.00,1001,PlayStation 4
5030947112387,FIFA 15,1.50,0.70,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,5.00,1001,PlayStation 4
711719843337,God of War 3 - Remasterizado,15.00,11.00,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,25.00,1001,PlayStation 4
711719866534,Uncharted: The Nathan Drake Collection,22.00,15.00,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,35.00,1001,PlayStation 4
5030917148019,Call Of Duty: Advanced Warfare,8.00,5.00,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,22.00,1001,PlayStation 4
711719439912,Minecraft,18.00,13.00,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,30.00,1001,PlayStation 4
0711719278870,InFamous Second Son,15.00,11.00,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,25.00,1001,PlayStation 4
711719817963,Nioh,40.00,33.00,/product_images/Juegos/PS4 Juegos/711719817963_s.jpg,60.00,1001,PlayStation 4
4012927102336,Pro Evolution Soccer 2017,25.00,18.00,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,40.00,1001,PlayStation 4
5051893165128,"Tierra-Media, La: Sombras De Mordor",17.00,12.00,/product_images/Juegos/PS4 Juegos/5051893165128_s.jpg,28.00,1001,PlayStation 4
711719848233,Ratchet & Clank (2016),18.00,13.00,/product_images/Juegos/PS4 Juegos/711719848233_s.jpg,30.00,1001,PlayStation 4
5035223113737,Need For Speed (2015),18.00,13.00,/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,30.00,1001,PlayStation 4
5026555422079,NBA 2K17,28.00,20.00,/product_images/Juegos/PS4 Juegos/5026555422079_s.jpg,45.00,1001,PlayStation 4
711719275473,Killzone: Shadow Fall,4.00,2.00,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,12.00,1001,PlayStation 4
4020628868550,Homefront: The Revolution,9.00,6.00,/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg,15.00,1001,PlayStation 4
0711719800415,Bloodborne,17.00,12.00,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,28.00,1001,PlayStation 4
5051893229059,Mortal Kombat XL,26.00,18.00,/product_images/Juegos/PS4 Juegos/5051893229059_s.jpg,42.00,1001,PlayStation 4
3307215715239,Assassin's Creed 4: Black Flag,12.00,9.00,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,20.00,1001,PlayStation 4
711719277071,DriveClub,12.00,9.00,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,20.00,1001,PlayStation 4
5026555421256,NBA 2K16,5.00,3.00,/product_images/Juegos/PS4 Juegos/5026555421256_s.jpg,15.00,1001,PlayStation 4
711719874737,Until Dawn,15.00,11.00,/product_images/Juegos/PS4 Juegos/711719874737_s.jpg,25.00,1001,PlayStation 4
5021290075924,Hitman: Primera Temporada Completa (Sin DLC),31.00,22.00,/product_images/Juegos/PS4 Juegos/5021290075924_s.jpg,50.00,1001,PlayStation 4
5021290074811,Rise of the Tomb Raider,26.00,18.00,/product_images/Juegos/PS4 Juegos/5021290074811_s.jpg,42.00,1001,PlayStation 4
3391891980685,Dragon Ball: Xenoverse,17.00,12.00,/product_images/Juegos/PS4 Juegos/3391891980685_s.jpg,28.00,1001,PlayStation 4
5021290069459,Just Cause 3,20.00,14.00,/product_images/Juegos/PS4 Juegos/5021290069459_s.jpg,32.00,1001,PlayStation 4
