categoria_id,precio_compra,sku,precio_intercambio,categoria_str,img_caratula,precio_venta,titulo
821,3.00,5030917111761,5.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,15.00,Call Of Duty: Black Ops II
821,9.00,5051893133981,12.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5051893133981_s.jpg,20.00,Midway Arcade Origins
821,3.00,5030937112373,5.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,8.00,FIFA 15
821,2.00,5030917126116,3.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,6.00,Call Of Duty: Ghosts
821,3.00,5030917085802,5.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,8.00,Call Of Duty: Black Ops
821,2.00,5030917070990,3.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030917070990_s.jpg,6.00,Call of Duty: Modern Warfare 2
821,0.30,5030933111103,0.60,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,2.00,FIFA 14
821,9.00,5030946112869,13.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,22.00,FIFA 16
821,6.00,3307215793299,9.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/3307215793299_s.jpg,15.00,Far Cry 4
821,2.00,711719190059,3.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,6.00,Gran Turismo 5
821,2.00,5026555400251,3.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,6.00,Grand Theft Auto IV
821,6.00,3307215721957,9.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/3307215721957_s.jpg,15.00,Watch Dogs
821,6.00,5030917147906,9.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,15.00,Call Of Duty: Advanced Warfare
990,5.00,711719438519,7.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,12.00,Minecraft
990,8.00,5030917114083,11.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,18.00,Call of Duty Black Ops- Declassified
990,7.00,5030934109192,9.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,15.00,Need For Speed: Most Wanted 12
990,1.20,5030934109901,1.90,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,5.00,FIFA 13
990,5.00,5030939111404,7.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,12.00,FIFA 14
990,8.00,711719200628,11.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,18.00,Uncharted: Golden Abyss
990,8.00,711719251163,11.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,18.00,Killzone Mercenary
990,5.00,3307215652312,7.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,12.00,Assassin's Creed III (3): Liberation
990,7.00,3307215916520,9.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/3307215916520_s.jpg,15.00,Assassins Creed Chronicles
990,5.00,3391891983907,7.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/3391891983907_s.jpg,12.00,J-Stars Victory VS+
990,12.00,5035225113223,16.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,25.00,FIFA 15
990,1.20,711719287667,1.90,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,5.00,Invizimals - La Alianza
990,5.00,5055277016259,7.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/5055277016259_s.jpg,12.00,Virtua Tennis 4: Edicion World Tour
990,7.00,5021290057791,9.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/5021290057791_s.jpg,15.00,Final Fantasy X HD Only
