categoria_str,precio_intercambio,precio_compra,precio_venta,titulo,img_caratula,categoria_id,sku
PlayStation 3,12.00,9.00,20.00,Last Of Us,/product_images/Juegos/PS3 Juegos/0711719274551_s.jpg,821,0711719274551
PlayStation Vita,3.00,2.00,6.00,Space Hulk,/product_images/Juegos/PS Vita Juegos/5055377602352_s.jpg,990,5055377602352
PlayStation Vita,9.00,7.00,15.00,Assassin's Creed III (3): Liberation,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,990,3307215652312
PlayStation Vita,1.50,0.90,4.00,FIFA 13,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,990,5030934109901
PlayStation Vita,11.00,8.00,18.00,Uncharted: Golden Abyss,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,990,711719200628
PlayStation Vita,1.90,1.20,5.00,FIFA Football,/product_images/Juegos/PS Vita Juegos/5030934105927_s.jpg,990,5030934105927
PlayStation Vita,11.00,8.00,18.00,Minecraft,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,990,711719438519
PlayStation Vita,9.00,7.00,15.00,Need For Speed: Most Wanted 12,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,990,5030934109192
PlayStation Vita,16.00,12.00,25.00,FIFA 15,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,990,5035225113223
PlayStation Vita,1.90,1.20,5.00,Invizimals - La Alianza,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,990,711719287667
PlayStation Vita,11.00,8.00,18.00,Killzone Mercenary,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,990,711719251163
PlayStation Vita,9.00,7.00,15.00,Lego Marvel Superheroes,/product_images/Juegos/PS Vita Juegos/5051893143447_s.jpg,990,5051893143447
PlayStation Vita,6.00,4.00,10.00,FIFA 14,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,990,5030939111404
PlayStation Vita,7.00,5.00,12.00,Aventuras De Tadeo Jones,/product_images/Juegos/PS Vita Juegos/4020628900403_s.jpg,990,4020628900403
PlayStation Vita,7.00,5.00,12.00,Epic Mickey 2: El Retorno De Dos Heroes,/product_images/Juegos/PS Vita Juegos/711719238867_s.jpg,990,711719238867
PlayStation Vita,13.00,9.00,20.00,Final Fantasy X HD Only,/product_images/Juegos/PS Vita Juegos/5021290057791_s.jpg,990,5021290057791
PSP,1.80,1.00,5.00,Grand Theft Auto Vice City Stories,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,862,5026555280785
PSP,0.90,0.40,3.00,Gran Turismo,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,862,711719151159
PSP,1.80,1.00,5.00,Assassin's Creed: Bloodlines,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,862,3307211667679
PSP,0.10,0.01,0.50,Invizimals La Otra Dimension (Solo Juego,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,862,711719169772
PSP,0.10,0.01,0.50,Invizimals (Solo Juego),/product_images/Juegos/PSP Juegos/711719142058_s.jpg,862,711719142058
PSP,0.90,0.40,3.00,God of War: Chains of Olympus,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,862,711719908128
PSP,0.90,0.40,3.00,Ratchet & Clank: El Tamano Importa,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,862,711719651888
PSP,0.60,0.30,2.00,WWE Smackdown Vs. Raw 2008,/product_images/Juegos/PSP Juegos/4005209098892_s.jpg,862,4005209098892
PSP,1.40,0.80,4.00,FIFA 13,/product_images/Juegos/PSP Juegos/5030934109888_s.jpg,862,5030934109888
PSP,1.80,1.00,5.00,Grand Theft Auto: Liberty City Stories,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,862,5026555280143
PSP,1.40,0.80,4.00,Dragon Ball Z Shin Budokai 2,/product_images/Juegos/PSP Juegos/3296580803354_s.jpg,862,3296580803354
