titulo,img_caratula,sku,precio_intercambio,categoria_id,precio_compra,categoria_str,precio_venta
Invizimals (Solo Juego),/product_images/Juegos/PSP Juegos/711719142058_s.jpg,711719142058,0.10,862,0.01,PSP,0.50
Kingdom Hearts: Birth by Sleep,/product_images/Juegos/PSP Juegos/5021290041585_s.jpg,5021290041585,3.00,862,2.00,PSP,10.00
"Geronimo Stilton, En El Reino De La Fant",/product_images/Juegos/PSP Juegos/711719195399_s.jpg,711719195399,0.40,862,0.20,PSP,1.50
New Super Mario Bros. Wii,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,045496368098,11.00,831,8.00,Wii,18.00
Mario Kart Wii (Solo Juego),/product_images/Juegos/Wii Juegos/045496365202_s.jpg,045496365202,11.00,831,8.00,Wii,18.00
Wii Sports Resort (Solo Juego),/product_images/Juegos/Wii Juegos/045496367473_s.jpg,045496367473,6.00,831,4.00,Wii,10.00
Wii Play (solo juego),/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,045496362201,2.00,831,1.80,Wii,4.00
Wii Sports (Solo Juego),/product_images/Juegos/Wii Juegos/045496362102_s.jpg,045496362102,3.00,831,2.00,Wii,5.00
Super Mario Galaxy,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,045496363932,9.00,831,6.00,Wii,15.00
Super Smash Bros. Brawl,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,045496365899,9.00,831,6.00,Wii,15.00
Legend of Zelda: Twilight Princess,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,045496362393,9.00,831,6.00,Wii,15.00
Legend of Zelda: Skyward Sword,/product_images/Juegos/Wii Juegos/045496400736_s.jpg,045496400736,13.00,831,9.00,Wii,22.00
Super Mario Galaxy 2,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,045496368869,12.00,831,9.00,Wii,20.00
Just Dance,/product_images/Juegos/Wii Juegos/3307211686335_s.jpg,3307211686335,6.00,831,4.00,Wii,10.00
