img_caratula,categoria_id,titulo,precio_venta,precio_compra,precio_intercambio,sku,categoria_str
/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,821,Grand Theft Auto IV,5.00,2.00,3.00,5026555400251,PlayStation 3
/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,821,Call Of Duty: Ghosts,4.00,1.80,2.00,5030917126116,PlayStation 3
/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,821,Call Of Duty: Black Ops,7.00,3.00,4.00,5030917085802,PlayStation 3
/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,821,Call Of Duty: Advanced Warfare,12.00,5.00,7.00,5030917147906,PlayStation 3
/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,821,FIFA 13,0.25,0.01,0.01,5030934109680,PlayStation 3
/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,821,FIFA 15,8.00,1.90,3.00,5030937112373,PlayStation 3
/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,821,Uncharted 3: Traicion de Drake,10.00,4.00,6.00,711719123996,PlayStation 3
/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,821,FIFA 14,2.00,0.30,0.60,5030933111103,PlayStation 3
/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,821,Gran Turismo 5,6.00,1.40,2.00,711719190059,PlayStation 3
/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,821,FIFA 16,22.00,5.00,8.00,5030946112869,PlayStation 3
/product_images/Juegos/PS3 Juegos/3307215633243_s.jpg,821,Far Cry 3,10.00,4.00,6.00,3307215633243,PlayStation 3
/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,990,Assassin's Creed III (3): Liberation,12.00,5.00,7.00,3307215652312,PlayStation Vita
/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,990,Uncharted: Golden Abyss,15.00,7.00,9.00,711719200628,PlayStation Vita
/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,990,Call of Duty Black Ops- Declassified,22.00,10.00,14.00,5030917114083,PlayStation Vita
/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,990,FIFA 14,8.00,3.00,5.00,5030939111404,PlayStation Vita
/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,990,FIFA 15,28.00,13.00,18.00,5035225113223,PlayStation Vita
/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,990,FIFA 13,5.00,1.20,1.90,5030934109901,PlayStation Vita
/product_images/Juegos/PS Vita Juegos/5055377602314_s.jpg,990,XBlaze Code : Embryo,5.00,2.00,3.00,5055377602314,PlayStation Vita
/product_images/Juegos/PS Vita Juegos/5055277016259_s.jpg,990,Virtua Tennis 4: Edicion World Tour,15.00,7.00,9.00,5055277016259,PlayStation Vita
/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,990,Invizimals - La Alianza,6.00,1.40,2.00,711719287667,PlayStation Vita
/product_images/Juegos/PS Vita Juegos/8717418455200_s.jpg,990,Disney Infinity 2.0 Marvel Superheroes Starter  Pack,7.00,3.00,4.00,8717418455200,PlayStation Vita
/product_images/Juegos/PS Vita Juegos/711719200147_s.jpg,990,Resistance: Burning Skies,15.00,7.00,9.00,711719200147,PlayStation Vita
/product_images/Juegos/PS Vita Juegos/5021290057791_s.jpg,990,Final Fantasy X HD Only,20.00,9.00,13.00,5021290057791,PlayStation Vita
/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,990,Killzone Mercenary,15.00,7.00,9.00,711719251163,PlayStation Vita
/product_images/Juegos/PS Vita Juegos/711719292852_s.jpg,990,Soul Sacrifice,12.00,5.00,7.00,711719292852,PlayStation Vita
/product_images/Juegos/PS Vita Juegos/3307215623893_s.jpg,990,Rayman Origins,12.00,5.00,7.00,3307215623893,PlayStation Vita
/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,862,Grand Theft Auto Vice City Stories,5.00,1.00,1.80,5026555280785,PSP
/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,862,Assassin's Creed: Bloodlines,5.00,1.00,1.80,3307211667679,PSP
/product_images/Juegos/PSP Juegos/711719151159_s.jpg,862,Gran Turismo,3.00,0.40,0.90,711719151159,PSP
/product_images/Juegos/PSP Juegos/711719142058_s.jpg,862,Invizimals (Solo Juego),0.50,0.01,0.10,711719142058,PSP
/product_images/Juegos/PSP Juegos/711719169772_s.jpg,862,Invizimals La Otra Dimension (Solo Juego,0.50,0.01,0.10,711719169772,PSP
/product_images/Juegos/PSP Juegos/711719164777_s.jpg,862,EyePet,0.50,0.01,0.10,711719164777,PSP
/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,862,Grand Theft Auto: Liberty City Stories,5.00,1.00,1.80,5026555280143,PSP
/product_images/Juegos/PSP Juegos/711719908128_s.jpg,862,God of War: Chains of Olympus,3.00,0.40,0.90,711719908128,PSP
/product_images/Juegos/PSP Juegos/711719651888_s.jpg,862,Ratchet & Clank: El Tamano Importa,3.00,0.40,0.90,711719651888,PSP
/product_images/Juegos/PSP Juegos/8414646244995_s.jpg,862,Invizimals: Las tribus perdidas,0.50,0.01,0.10,8414646244995,PSP
/product_images/Juegos/PSP Juegos/4012927064740_s.jpg,862,Pro Evolution Soccer (PES) 2011,1.00,0.10,0.30,4012927064740,PSP
/product_images/Juegos/PSP Juegos/711719646266_s.jpg,862,Daxter,3.00,0.40,0.90,711719646266,PSP
/product_images/Juegos/PSP Juegos/711719738657_s.jpg,862,Play Chapas,0.50,0.01,0.10,711719738657,PSP
/product_images/Juegos/PSP Juegos/5030934046206_s.jpg,862,Los Sims 2,1.50,0.20,0.40,5030934046206,PSP
/product_images/Juegos/PSP Juegos/5030934092302_s.jpg,862,FIFA 11,1.00,0.10,0.30,5030934092302,PSP
/product_images/Juegos/Wii Juegos/045496365202_s.jpg,831,Mario Kart Wii (Solo Juego),18.00,8.00,11.00,045496365202,Wii
/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,831,Wii Play (solo juego),6.00,2.00,3.00,045496362201,Wii
/product_images/Juegos/Wii Juegos/045496368098_s.jpg,831,New Super Mario Bros. Wii,25.00,11.00,15.00,045496368098,Wii
/product_images/Juegos/Wii Juegos/045496365899_s.jpg,831,Super Smash Bros. Brawl,15.00,6.00,9.00,045496365899,Wii
/product_images/Juegos/Wii Juegos/045496363932_s.jpg,831,Super Mario Galaxy,15.00,6.00,9.00,045496363932,Wii
/product_images/Juegos/Wii Juegos/045496367473_s.jpg,831,Wii Sports Resort (Solo Juego),15.00,6.00,9.00,045496367473,Wii
/product_images/Juegos/Wii Juegos/045496362102_s.jpg,831,Wii Sports (Solo Juego),5.00,2.00,3.00,045496362102,Wii
/product_images/Juegos/Wii Juegos/045496362393_s.jpg,831,Legend of Zelda: Twilight Princess,12.00,5.00,7.00,045496362393,Wii
/product_images/Juegos/Wii Juegos/045496368869_s.jpg,831,Super Mario Galaxy 2,22.00,9.00,13.00,045496368869,Wii
/product_images/Juegos/Wii Juegos/045496367916_s.jpg,831,Wii Fit Plus (Solo Juego),5.00,2.00,3.00,045496367916,Wii
