sku,precio_compra,titulo,categoria_id,precio_intercambio,categoria_str,precio_venta,img_caratula
711719151159,0.40,Gran Turismo,862,0.90,PSP,3.00,/product_images/Juegos/PSP Juegos/711719151159_s.jpg
711719646266,0.40,Daxter,862,0.90,PSP,3.00,/product_images/Juegos/PSP Juegos/711719646266_s.jpg
711719908128,0.40,God of War: Chains of Olympus,862,0.90,PSP,3.00,/product_images/Juegos/PSP Juegos/711719908128_s.jpg
3307211667679,0.80,Assassin's Creed: Bloodlines,862,1.40,PSP,4.00,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg
711719651888,0.40,Ratchet & Clank: El Tamano Importa,862,0.90,PSP,3.00,/product_images/Juegos/PSP Juegos/711719651888_s.jpg
711719169772,0.01,Invizimals La Otra Dimension (Solo Juego,862,0.10,PSP,0.50,/product_images/Juegos/PSP Juegos/711719169772_s.jpg
4012927064740,0.10,Pro Evolution Soccer (PES) 2011,862,0.30,PSP,1.00,/product_images/Juegos/PSP Juegos/4012927064740_s.jpg
711719195399,0.20,"Geronimo Stilton, En El Reino De La Fant",862,0.40,PSP,1.50,/product_images/Juegos/PSP Juegos/711719195399_s.jpg
8414646244995,0.01,Invizimals: Las tribus perdidas,862,0.10,PSP,0.50,/product_images/Juegos/PSP Juegos/8414646244995_s.jpg
711719738657,0.01,Play Chapas,862,0.10,PSP,0.50,/product_images/Juegos/PSP Juegos/711719738657_s.jpg
711719660071,0.40,Tekken Dark Resurrection,862,0.90,PSP,3.00,/product_images/Juegos/PSP Juegos/711719660071_s.jpg
711719168171,0.90,God of War: Ghost of Sparta,862,1.60,PSP,4.50,/product_images/Juegos/PSP Juegos/711719168171_s.jpg
3296580803354,0.40,Dragon Ball Z Shin Budokai 2,862,0.90,PSP,3.00,/product_images/Juegos/PSP Juegos/3296580803354_s.jpg
045496365202,8.00,Mario Kart Wii (Solo Juego),831,11.00,Wii,18.00,/product_images/Juegos/Wii Juegos/045496365202_s.jpg
045496368098,8.00,New Super Mario Bros. Wii,831,11.00,Wii,18.00,/product_images/Juegos/Wii Juegos/045496368098_s.jpg
045496362201,1.80,Wii Play (solo juego),831,2.00,Wii,4.00,/product_images/Juegos/Wii Juegos/045496362201B_s.jpg
045496367473,4.00,Wii Sports Resort (Solo Juego),831,6.00,Wii,10.00,/product_images/Juegos/Wii Juegos/045496367473_s.jpg
045496363932,6.00,Super Mario Galaxy,831,9.00,Wii,15.00,/product_images/Juegos/Wii Juegos/045496363932_s.jpg
045496365899,6.00,Super Smash Bros. Brawl,831,9.00,Wii,15.00,/product_images/Juegos/Wii Juegos/045496365899_s.jpg
045496362393,6.00,Legend of Zelda: Twilight Princess,831,9.00,Wii,15.00,/product_images/Juegos/Wii Juegos/045496362393_s.jpg
045496368869,9.00,Super Mario Galaxy 2,831,12.00,Wii,20.00,/product_images/Juegos/Wii Juegos/045496368869_s.jpg
045496367916,1.80,Wii Fit Plus (Solo Juego),831,2.00,Wii,4.00,/product_images/Juegos/Wii Juegos/045496367916_s.jpg
045496367299,5.00,Inazuma Eleven Strikers,831,7.00,Wii,12.00,/product_images/Juegos/Wii Juegos/045496367299_s.jpg
045496362102,2.00,Wii Sports (Solo Juego),831,3.00,Wii,5.00,/product_images/Juegos/Wii Juegos/045496362102_s.jpg
