categoria_id,precio_intercambio,img_caratula,precio_venta,precio_compra,titulo,categoria_str,sku
977,1.50,/product_images/Juegos/3DS Juegos/4017244030096_s.jpg,4.00,0.90,Riding Stables 3D,Nintendo 3DS,4017244030096
977,14.00,/product_images/Juegos/3DS Juegos/4017244030188_s.jpg,22.00,10.00,Riding Stables: The Whitakers present Mi,Nintendo 3DS,4017244030188
977,9.00,/product_images/Juegos/3DS Juegos/4017244030195_s.jpg,14.00,6.00,Mahjong: Warriors Of The Emperor,Nintendo 3DS,4017244030195
977,10.00,/product_images/Juegos/3DS Juegos/4017244030201_s.jpg,16.00,7.00,Cats & Dogs - Pets At Play,Nintendo 3DS,4017244030201
977,9.00,/product_images/Juegos/3DS Juegos/4017244030218_s.jpg,14.00,6.00,Caballitos 3D,Nintendo 3DS,4017244030218
977,7.00,/product_images/Juegos/3DS Juegos/4017244030225_s.jpg,12.00,5.00,Mahjong 3D,Nintendo 3DS,4017244030225
977,7.00,/product_images/Juegos/3DS Juegos/4017244030249_s.jpg,12.00,5.00,El Paraiso de las Mascotas,Nintendo 3DS,4017244030249
977,3.00,/product_images/Juegos/3DS Juegos/4017244988243_s.jpg,6.00,2.00,Mi Granja De Caballos 3D,Nintendo 3DS,4017244988243
977,24.00,/product_images/defimg4_s.jpg,38.00,18.00,Shin Megami Tensei IV: Apocalypse,Nintendo 3DS,4020628822804
977,20.00,/product_images/Juegos/3DS Juegos/4020628847432_s.jpg,32.00,15.00,Mighty No.9,Nintendo 3DS,4020628847432
834,0.40,/product_images/defimg2_s.jpg,1.50,0.20,Music Puzzle Gunpey DS,Nintendo DS,3296580803170
977,9.00,/product_images/Juegos/3DS Juegos/4020628851965_s.jpg,15.00,7.00,Horse Life 4,Nintendo 3DS,4020628851965
834,7.00,/product_images/defimg4_s.jpg,12.00,5.00,DragonBall Z Goku Densetsu,Nintendo DS,3296580803644
834,3.00,/product_images/Juegos/DS Juegos/3307210187567_s.jpg,5.00,2.00,Rayman DS,Nintendo DS,3307210187567
834,1.30,/product_images/Juegos/DS Juegos/3307210204332_s.jpg,3.50,0.80,King Kong,Nintendo DS,3307210204332
977,12.00,/product_images/Juegos/3DS Juegos/4510772106894_s.jpg,20.00,9.00,Harvest Moon: A New Beginning,Nintendo 3DS,4510772106894
977,6.00,/product_images/Juegos/3DS Juegos/5016488124348_s.jpg,10.00,4.00,50 Classic Games3,Nintendo 3DS,5016488124348
834,1.10,/product_images/Juegos/DS Juegos/3307210205285_s.jpg,3.00,0.70,Battles Prince of Persia,Nintendo DS,3307210205285
977,0.70,/product_images/Juegos/3DS Juegos/5016488126007_s.jpg,2.00,0.40,Mystery Murders: Jack the,Nintendo 3DS,5016488126007
834,1.30,/product_images/defimg4_s.jpg,3.50,0.80,"Star Wars Episode 3, Revenge of the Sith",Nintendo DS,3307210211880
977,7.00,/product_images/Juegos/3DS Juegos/5016488126342_s.jpg,12.00,5.00,Heavy Fire: The Chosen Few 3D,Nintendo 3DS,5016488126342
830,0.20,/product_images/Juegos/PC Juegos/3307211664043_s.jpg,0.75,0.10,Anatomia de Grey Videojuego,PC,3307211664043
834,1.50,/product_images/Juegos/DS Juegos/3307210241283_s.jpg,4.00,0.90,Star Trek: Tactical Assault,Nintendo DS,3307210241283
977,9.00,/product_images/Juegos/3DS Juegos/5016488126694_s.jpg,15.00,6.00,Disney Frozen: Olaf's Quest,Nintendo 3DS,5016488126694
977,3.00,/product_images/Juegos/3DS Juegos/5016488126717_s.jpg,6.00,2.00,Doodle Jump Adventures,Nintendo 3DS,5016488126717
830,0.40,/product_images/defimg3_s.jpg,1.50,0.20,Hawx,PC,3307212816205
977,10.00,/product_images/Juegos/3DS Juegos/5016488126724_s.jpg,16.00,7.00,Funfair Party Games,Nintendo 3DS,5016488126724
977,7.00,/product_images/Juegos/3DS Juegos/5016488128209_s.jpg,12.00,5.00,Big Hero 6: Batalla En La Bahía,Nintendo 3DS,5016488128209
830,0.01,/product_images/defimg3_s.jpg,0.25,0.01,Ground Control,PC,3348542087835
830,0.01,/product_images/defimg3_s.jpg,0.10,0.01,Barbie El Lago De Los Cisnes,PC,3348542180550
830,2.00,/product_images/defimg2_s.jpg,8.00,1.60,Diablo II + Expansion Set,PC,3348542202061
834,0.20,/product_images/Juegos/DS Juegos/3307210268990_s.jpg,0.75,0.10,Dolphin Island,Nintendo DS,3307210268990
834,1.50,/product_images/Juegos/DS Juegos/3307210323309_s.jpg,4.00,0.90,Quien Quiere Ser Millonario,Nintendo DS,3307210323309
977,5.00,/product_images/Juegos/3DS Juegos/5021290047242_s.jpg,8.00,3.00,Puzzle Bobble Universe,Nintendo 3DS,5021290047242
977,1.70,/product_images/Juegos/3DS Juegos/5026555045483_s.jpg,4.50,1.00,Carnival: Salvaje Oeste 3D,Nintendo 3DS,5026555045483
830,1.60,/product_images/defimg3_s.jpg,4.50,0.90,Cities XL 2011,PC,3512289017589
830,0.01,/product_images/defimg4_s.jpg,0.25,0.01,Sombra Del Zorro,PC,3554540203041
830,0.01,/product_images/defimg4_s.jpg,0.25,0.01,Search & Rescue IV,PC,3700211500715
834,3.00,/product_images/defimg5_s.jpg,5.00,2.00,Mi Tienda de Cachorros,Nintendo DS,3307210409607
834,0.70,/product_images/Juegos/DS Juegos/3307210412959_s.jpg,2.00,0.40,End War,Nintendo DS,3307210412959
977,9.00,/product_images/Juegos/3DS Juegos/5030917098000_s.jpg,14.00,6.00,Skylanders: Spuyro Adv. + 3 Figuras,Nintendo 3DS,5030917098000
977,1.10,/product_images/Juegos/3DS Juegos/5030917106958_s.jpg,3.00,0.70,Battleship,Nintendo 3DS,5030917106958
977,1.50,/product_images/Juegos/3DS Juegos/5030917109775_s.jpg,4.00,0.90,Ice Age 4: Continental Drift,Nintendo 3DS,5030917109775
830,0.60,/product_images/defimg4_s.jpg,2.00,0.30,Aura,PC,3700265653054
830,0.20,/product_images/defimg4_s.jpg,0.75,0.10,7 Sins,PC,3760007413735
830,0.60,/product_images/defimg2_s.jpg,2.00,0.30,Fantasy Wars,PC,3760137142024
834,0.40,/product_images/defimg3_s.jpg,1.50,0.20,Mi Experto en Vida Sana ( Sin Podometer),Nintendo DS,3307210414724
977,4.00,/product_images/Juegos/3DS Juegos/5030917113529_s.jpg,7.00,3.00,Skylanders Giants: Starter Pack,Nintendo 3DS,5030917113529
977,6.00,/product_images/Juegos/3DS Juegos/5030917113802_s.jpg,10.00,4.00,Moshi Monsters: Moshlings Theme Park,Nintendo 3DS,5030917113802
977,1.10,/product_images/Juegos/3DS Juegos/5030917115844_s.jpg,3.00,0.70,Skylanders Giants Booster Pack,Nintendo 3DS,5030917115844
830,0.01,/product_images/Juegos/PC Juegos/4012927072202_s.jpg,0.25,0.01,Pro Evolution Soccer 2008,PC,4012927072202
830,3.00,/product_images/Juegos/PC Juegos/4012927076385_s.jpg,10.00,2.00,Pro Evolution Soccer 2016 (P),PC,4012927076385
830,0.90,/product_images/defimg5_s.jpg,3.00,0.40,Dragons Lair,PC,4020636043031
834,1.50,/product_images/Juegos/DS Juegos/3307210506016_s.jpg,4.00,0.90,Cuida tu Granja,Nintendo DS,3307210506016
834,1.10,/product_images/Juegos/DS Juegos/3307210801753_s.jpg,3.00,0.70,Animal Genious,Nintendo DS,3307210801753
977,4.00,/product_images/Juegos/3DS Juegos/5030917115875_s.jpg,7.00,3.00,Skylanders 2012 - Starter Pack (Incluye,Nintendo 3DS,5030917115875
977,1.50,/product_images/Juegos/3DS Juegos/5030917116780_s.jpg,4.00,0.90,Transformers - Prime,Nintendo 3DS,5030917116780
977,8.00,/product_images/Juegos/3DS Juegos/5030917117411_s.jpg,14.00,6.00,Rompe Ralph,Nintendo 3DS,5030917117411
830,0.01,/product_images/defimg3_s.jpg,0.25,0.01,Panzer Dragoon,PC,4974365850425
830,0.30,/product_images/defimg5_s.jpg,1.00,0.10,Crazy Taxi 3 1CD,PC,5017783013634
821,1.30,/product_images/Juegos/PS3 Juegos/8033102494752_s.jpg,3.50,0.80,SBK 09 Superbike World Championship,PlayStation 3,8033102494752
834,0.30,/product_images/Juegos/DS Juegos/3307211311794_s.jpg,1.00,0.10,Imagina ser Estrella del Pop,Nintendo DS,3307211311794
834,1.30,/product_images/Juegos/DS Juegos/3307211311992_s.jpg,3.50,0.80,Imagina ser Profesora,Nintendo DS,3307211311992
834,1.10,/product_images/Juegos/DS Juegos/3307211503304_s.jpg,3.00,0.70,Rayman Raving Rabbids TV,Nintendo DS,3307211503304
977,5.00,/product_images/Juegos/3DS Juegos/5030917132216_s.jpg,9.00,4.00,Angry Birds: Star Wars,Nintendo 3DS,5030917132216
977,3.00,/product_images/Juegos/3DS Juegos/5030917134968_s.jpg,5.00,2.00,Moshi Monsters: Katsuma Unleashed,Nintendo 3DS,5030917134968
977,6.00,/product_images/Juegos/3DS Juegos/5030917142925_s.jpg,10.00,4.00,Transformers: The Dark Spark,Nintendo 3DS,5030917142925
830,2.00,/product_images/defimg1_s.jpg,5.00,1.70,Stronghold 2,PC,5026555038461
830,0.40,/product_images/Juegos/PC Juegos/5026555039963_s.jpg,1.50,0.20,El Codigo Da Vinci,PC,5026555039963
830,31.00,/product_images/Juegos/PC Juegos/5026555063937_s.jpg,50.00,22.00,Grand Theft Auto V (P),PC,5026555063937
821,3.00,/product_images/Juegos/PS3 Juegos/3296580806126_s.jpg,6.00,2.00,Naruto Ultimate Ninja Storm,PlayStation 3,3296580806126
821,3.00,/product_images/Juegos/PS3 Juegos/3307215630549_s.jpg,5.00,2.00,Ghost Recon: Future Soldier,PlayStation 3,3307215630549
821,2.00,/product_images/Juegos/PS3 Juegos/3348542218901_s.jpg,4.00,1.80,"Conspiracion de Bourne, La",PlayStation 3,3348542218901
834,1.70,/product_images/Juegos/DS Juegos/3307211607668_s.jpg,4.50,1.00,Animalz: Una Familia de Dogz,Nintendo DS,3307211607668
834,1.30,/product_images/defimg1_s.jpg,3.50,0.80,Martin Mystery: Cazador de Monstruos,Nintendo DS,3307211607866
834,1.10,/product_images/defimg1_s.jpg,3.00,0.70,Mi Experto en Perros,Nintendo DS,3307211607972
977,7.00,/product_images/Juegos/3DS Juegos/5030917147098_s.jpg,12.00,5.00,Skylanders Trap Team Starter Pack,Nintendo 3DS,5030917147098
977,7.00,/product_images/Juegos/3DS Juegos/5030917159701_s.jpg,12.00,5.00,Bob Esponja El Heroe,Nintendo 3DS,5030917159701
977,11.00,/product_images/Juegos/3DS Juegos/5030917170287_s.jpg,18.00,8.00,Skylanders - SuperChargers Racing Starter Pack,Nintendo 3DS,5030917170287
830,1.30,/product_images/defimg2_s.jpg,4.50,0.60,Empires Los Albores de la Era Moderna (SN),PC,5030917021466
830,1.60,/product_images/Juegos/PC Juegos/5030917031922_s.jpg,4.50,0.90,Call of Duty 2,PC,5030917031922
830,0.90,/product_images/Juegos/PC Juegos/5030917039171_s.jpg,3.00,0.40,Call of Duty Juego del año Reactivate,PC,5030917039171
821,15.00,/product_images/Juegos/PS3 Juegos/3546430149416_s.jpg,25.00,11.00,Demons Souls,PlayStation 3,3546430149416
821,7.00,/product_images/Juegos/PS3 Juegos/5021290061798_s.jpg,12.00,5.00,Thief,PlayStation 3,5021290061798
821,5.00,/product_images/Juegos/PS3 Juegos/5030917038365_s.jpg,9.00,4.00,Call Of Duty 3,PlayStation 3,5030917038365
834,1.50,/product_images/Juegos/DS Juegos/3307211609051_s.jpg,4.00,0.90,Prince of Persia: El Rey Destronado,Nintendo DS,3307211609051
977,2.00,/product_images/Juegos/3DS Juegos/5030930100247_s.jpg,6.00,1.40,Madden NFL Football,Nintendo 3DS,5030930100247
830,1.40,/product_images/Juegos/PC Juegos/5030934099967_s.jpg,4.00,0.80,Sims 3 Vida En La Ciudad Accesorios,PC,5030934099967
821,1.50,/product_images/Juegos/PS3 Juegos/5030934059053_s.jpg,4.00,0.90,Mercenaries 2: World in Flames,PlayStation 3,5030934059053
834,1.10,/product_images/defimg2_s.jpg,3.00,0.70,Avatar: El Videojuego (Ed. Especial),Nintendo DS,3307211690295
977,9.00,/product_images/Juegos/3DS Juegos/5030934101905_s.jpg,15.00,7.00,Sims 3: Vaya Fauna,Nintendo 3DS,5030934101905
821,3.00,/product_images/Juegos/PS3 Juegos/5060138436442_s.jpg,5.00,2.00,Viking: Battle for Asgard,PlayStation 3,5060138436442
834,1.70,/product_images/defimg5_s.jpg,4.50,1.00,Combate De Gigantes: Insectos Mutantes,Nintendo DS,3307212317146
862,2.00,/product_images/Juegos/PSP Juegos/3546430124796_s.jpg,6.00,1.20,Dungeons & Dragons Tactics,PSP,3546430124796
977,18.00,/product_images/Juegos/3DS Juegos/5036675014542_s.jpg,30.00,13.00,Devil Survivor: Overclocked,Nintendo 3DS,5036675014542
830,2.00,/product_images/defimg5_s.jpg,6.00,1.20,Commandos: Behind Enemy Lines,PC,5032921003636
821,5.00,/product_images/Juegos/PS3 Juegos/711719114888_s.jpg,9.00,4.00,Singstar Dance (Solo Juego),PlayStation 3,711719114888
834,1.50,/product_images/Juegos/DS Juegos/3307212805575_s.jpg,4.00,0.90,Prince of Persia : Las Arenas Olvidadas,Nintendo DS,3307212805575
862,0.60,/product_images/Juegos/PSP Juegos/3546430125441_s.jpg,2.00,0.30,Hot Pixel,PSP,3546430125441
977,15.00,/product_images/Juegos/3DS Juegos/5050740024489_s.jpg,24.00,11.00,3D Game Collection - 55-in-1,Nintendo 3DS,5050740024489
977,6.00,/product_images/Juegos/3DS Juegos/5051892127561_s.jpg,10.00,4.00,LEGO Legends Of Chima: Laval's Journey,Nintendo 3DS,5051892127561
830,0.70,/product_images/defimg1_s.jpg,2.50,0.30,Tomb Raider - Chronicles,PC,5032921013246
821,11.00,/product_images/Juegos/PS3 Juegos/711719290063_s.jpg,18.00,8.00,Ratchet & Clank Nexus,PlayStation 3,711719290063
834,1.70,/product_images/Juegos/DS Juegos/3348542206182_s.jpg,4.50,1.00,Crash Boom Bang,Nintendo DS,3348542206182
862,2.00,/product_images/Juegos/PSP Juegos/3546430127100_s.jpg,8.00,1.60,Asterix & Obelix XXL 2 Mission Wifix,PSP,3546430127100
862,1.80,/product_images/Juegos/PSP Juegos/4005209073332_s.jpg,5.00,1.00,SpongeBob SquarePants: The Yellow Avenge,PSP,4005209073332
977,3.00,/product_images/Juegos/3DS Juegos/5051893058895_s.jpg,5.00,2.00,Green Lantern: Rise Of The Manhunters,Nintendo 3DS,5051893058895
830,6.00,/product_images/defimg2_s.jpg,10.00,4.00,Medieval II Total War,PC,5060004768684
830,0.40,/product_images/Juegos/PC Juegos/3307211622913_s.jpg,1.50,0.20,Tom Clancys Rainbow Six Vegas 2,PC,3307211622913
821,3.00,/product_images/Juegos/PS3 Juegos/711719729150_s.jpg,6.00,2.00,MotorStorm: Pacific Rift,PlayStation 3,711719729150
821,3.00,/product_images/Juegos/PS3 Juegos/8718591181641_s.jpg,5.00,2.00,Tower Of Guns,PlayStation 3,8718591181641
834,0.40,/product_images/Juegos/DS Juegos/3391891957786_s.jpg,1.50,0.20,Ben 10 Triple Pack,Nintendo DS,3391891957786
834,0.40,/product_images/defimg2_s.jpg,1.50,0.20,Martina en la Montana,Nintendo DS,3760137144158
862,1.80,/product_images/Juegos/PSP Juegos/4005209075848_s.jpg,5.00,1.00,"Bob Esponja,  El Vengador Amarillo",PSP,4005209075848
862,0.90,/product_images/Juegos/PSP Juegos/4005209077613_s.jpg,3.00,0.40,Juiced Eliminator,PSP,4005209077613
831,0.50,/product_images/defimg2_s.jpg,1.50,0.30,Glee Karaoke Revolution (Solo Juegos),Wii,4012927094167
977,3.00,/product_images/Juegos/3DS Juegos/5051893074741_s.jpg,5.00,2.00,Happy Feet 2,Nintendo 3DS,5051893074741
830,0.20,/product_images/Juegos/PC Juegos/3307210243935_s.jpg,0.75,0.10,Rayman 2 La Gran Fuga,PC,3307210243935
830,0.01,/product_images/defimg4_s.jpg,0.10,0.01,Erase Una Vez El Hombre,PC,8431474072767
830,0.70,/product_images/defimg5_s.jpg,2.50,0.30,Loki,PC,3760137141591
821,1.10,/product_images/Juegos/PS3 Juegos/3307210267856_s.jpg,3.00,0.70,Beowulf,PlayStation 3,3307210267856
821,7.00,/product_images/Juegos/PS3 Juegos/3307215594605_s.jpg,12.00,5.00,Rayman: Origins,PlayStation 3,3307215594605
821,1.50,/product_images/Juegos/PS3 Juegos/4005209125345_s.jpg,4.00,0.90,WWE Smackdown Vs. Raw 2010,PlayStation 3,4005209125345
834,3.00,/product_images/defimg3_s.jpg,5.00,2.00,Cookie Shop,Nintendo DS,3760137144943
834,1.10,/product_images/Juegos/DS Juegos/3760137145193_s.jpg,3.00,0.70,Hotel Giant DS,Nintendo DS,3760137145193
