titulo,categoria_id,precio_compra,precio_venta,img_caratula,categoria_str,precio_intercambio,sku
Brain Training,834,0.40,2.00,/product_images/Juegos/DS Juegos/045496462567_s.jpg,Nintendo DS,0.70,045496462567
Pokemon Plata SoulSilver Sin Pokewalker,834,15.00,35.00,/product_images/Juegos/DS Juegos/04549646PSSN_s.jpg,Nintendo DS,22.00,04549646
Pokemon Perla,834,6.00,15.00,/product_images/Juegos/DS Juegos/045496464936_s.jpg,Nintendo DS,9.00,045496464936
Pokemon Edicion Blanca,834,6.00,15.00,/product_images/Juegos/DS Juegos/045496471118_s.jpg,Nintendo DS,9.00,045496471118
Super Mario 64 DS,834,8.00,18.00,/product_images/Juegos/DS Juegos/045496462031_s.jpg,Nintendo DS,11.00,045496462031
Super ScribbleNauts,834,5.00,12.00,/product_images/Juegos/DS Juegos/5051893041279_s.jpg,Nintendo DS,7.00,5051893041279
Pokemon Edicion Negra 2,834,11.00,25.00,/product_images/Juegos/DS Juegos/045496462857_s.jpg,Nintendo DS,15.00,045496462857
Inazuma Eleven,834,1.20,5.00,/product_images/Juegos/DS Juegos/045496470647_s.jpg,Nintendo DS,1.90,045496470647
Legend of Zelda: Phantom Hourglass,834,6.00,15.00,/product_images/Juegos/DS Juegos/045496465377_s.jpg,Nintendo DS,9.00,045496465377
Mas Brain Training,834,0.40,2.00,/product_images/Juegos/DS Juegos/045496464721_s.jpg,Nintendo DS,0.70,045496464721
Warhammer 40000 - Armageddon (SN),830,0.10,1.00,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,PC,0.30,5060193302294
"Whispered World, The - Edición Especial",830,0.40,2.00,/product_images/Juegos/PC Juegos/8436016710770_s.jpg,PC,0.70,8436016710770
Splinter Cell,830,0.01,0.25,/product_images/Juegos/PC Juegos/3307210181862_s.jpg,PC,0.01,3307210181862
Stasis,830,0.10,1.00,/product_images/Juegos/PC Juegos/8414606866977_s.jpg,PC,0.30,8414606866977
Yesterday Origins (P),830,2.00,12.00,/product_images/Juegos/PC Juegos/3760156481111_s.jpg,PC,4.00,3760156481111
Divinity: Original Sin (P),830,1.20,5.00,/product_images/Juegos/PC Juegos/740781770142_s.jpg,PC,1.90,740781770142
Crookz: The Big Heist (P),830,0.01,0.15,/product_images/Juegos/PC Juegos/4260089416710_s.jpg,PC,0.01,4260089416710
Blackguards,830,0.10,1.00,/product_images/Juegos/PC Juegos/8436016710787_s.jpg,PC,0.30,8436016710787
Duck Tales Remastered,830,0.10,0.75,/product_images/Juegos/PC Juegos/5055060972328_s.jpg,PC,0.20,5055060972328
Imperium III,830,0.50,3.50,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,PC,1.00,8436010150671
Los Sims 2 (SN),830,2.00,12.00,/product_images/Juegos/PC Juegos/8414185051528_s.jpg,PC,4.00,8414185051528
Caos En Deponia,830,0.10,0.75,/product_images/Juegos/PC Juegos/8436010154587_s.jpg,PC,0.20,8436010154587
Age of Empires (Gold Edition),830,0.90,4.50,/product_images/Juegos/PC Juegos/3307210148971_s.jpg,PC,1.60,3307210148971
Skyhill,830,0.10,0.50,/product_images/Juegos/PC Juegos/8414606866984_s.jpg,PC,0.10,8414606866984
Moto Racer 4 (P),830,3.00,15.00,/product_images/Juegos/PC Juegos/3760156480831_s.jpg,PC,5.00,3760156480831
Grand Theft Auto V (5),821,8.00,18.00,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,PlayStation 3,11.00,5026555410267
Call Of Duty: Modern Warfare 3,821,1.80,4.00,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,PlayStation 3,2.00,5030917096808
Call of Duty: Modern Warfare 2,821,1.80,4.00,/product_images/Juegos/PS3 Juegos/5030917070990_s.jpg,PlayStation 3,2.00,5030917070990
Call Of Duty: Black Ops II,821,3.00,15.00,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,PlayStation 3,5.00,5030917111761
Call Of Duty: Ghosts,821,1.80,4.00,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,PlayStation 3,2.00,5030917126116
Grand Theft Auto IV,821,2.00,5.00,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,PlayStation 3,3.00,5026555400251
Call Of Duty: Advanced Warfare,821,5.00,12.00,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,PlayStation 3,7.00,5030917147906
Call Of Duty: Black Ops,821,3.00,7.00,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,PlayStation 3,4.00,5030917085802
FIFA 13,821,0.01,0.25,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,PlayStation 3,0.01,5030934109680
FIFA 15,821,1.90,8.00,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,PlayStation 3,3.00,5030937112373
Gran Turismo 5,821,1.40,6.00,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,PlayStation 3,2.00,711719190059
Uncharted 3: Traicion de Drake,821,4.00,10.00,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,PlayStation 3,6.00,711719123996
FIFA 14,821,0.30,2.00,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,PlayStation 3,0.60,5030933111103
Battlefield 3,821,1.20,5.00,/product_images/Juegos/PS3 Juegos/5030934102902_s.jpg,PlayStation 3,1.90,5030934102902
Battlefield 4,821,3.00,8.00,/product_images/Juegos/PS3 Juegos/5030930111137_s.jpg,PlayStation 3,5.00,5030930111137
Uncharted: Golden Abyss,990,8.00,18.00,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,PlayStation Vita,11.00,711719200628
FIFA 13,990,1.40,6.00,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,PlayStation Vita,2.00,5030934109901
Assassin's Creed III (3): Liberation,990,7.00,15.00,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,PlayStation Vita,9.00,3307215652312
FIFA 14,990,5.00,12.00,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,PlayStation Vita,7.00,5030939111404
Minecraft,990,8.00,18.00,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,PlayStation Vita,11.00,711719438519
FIFA 15,990,10.00,22.00,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,PlayStation Vita,14.00,5035225113223
Call of Duty Black Ops- Declassified,990,10.00,22.00,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,PlayStation Vita,14.00,5030917114083
Killzone Mercenary,990,8.00,18.00,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,PlayStation Vita,11.00,711719251163
Virtua Tennis 4: Edicion World Tour,990,8.00,18.00,/product_images/Juegos/PS Vita Juegos/5055277016259_s.jpg,PlayStation Vita,11.00,5055277016259
Invizimals - La Alianza,990,1.20,5.00,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,PlayStation Vita,1.90,711719287667
Final Fantasy X HD Only,990,9.00,20.00,/product_images/Juegos/PS Vita Juegos/5021290057791_s.jpg,PlayStation Vita,13.00,5021290057791
Need For Speed: Most Wanted 12,990,8.00,18.00,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,PlayStation Vita,11.00,5030934109192
Soul Sacrifice,990,7.00,15.00,/product_images/Juegos/PS Vita Juegos/711719292852_s.jpg,PlayStation Vita,9.00,711719292852
Space Hulk,990,2.00,6.00,/product_images/Juegos/PS Vita Juegos/5055377602352_s.jpg,PlayStation Vita,3.00,5055377602352
XBlaze Code : Embryo,990,2.00,5.00,/product_images/Juegos/PS Vita Juegos/5055377602314_s.jpg,PlayStation Vita,3.00,5055377602314
Grand Theft Auto Vice City Stories,862,1.00,5.00,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,PSP,1.80,5026555280785
Gran Turismo,862,0.40,3.00,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,PSP,0.90,711719151159
Assassin's Creed: Bloodlines,862,1.00,5.00,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,PSP,1.80,3307211667679
Invizimals La Otra Dimension (Solo Juego,862,0.01,0.50,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,PSP,0.10,711719169772
EyePet,862,0.01,0.50,/product_images/Juegos/PSP Juegos/711719164777_s.jpg,PSP,0.10,711719164777
Invizimals (Solo Juego),862,0.01,0.50,/product_images/Juegos/PSP Juegos/711719142058_s.jpg,PSP,0.10,711719142058
Grand Theft Auto: Liberty City Stories,862,1.00,5.00,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,PSP,1.80,5026555280143
Daxter,862,0.40,3.00,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,PSP,0.90,711719646266
Ratchet & Clank: El Tamano Importa,862,0.40,3.00,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,PSP,0.90,711719651888
Tekken Dark Resurrection,862,0.40,3.00,/product_images/Juegos/PSP Juegos/711719660071_s.jpg,PSP,0.90,711719660071
Invizimals: Las tribus perdidas,862,0.01,0.50,/product_images/Juegos/PSP Juegos/8414646244995_s.jpg,PSP,0.10,8414646244995
Phineas Y Ferb: A Traves De La Segunda..,862,0.20,1.50,/product_images/Juegos/PSP Juegos/711719269335_s.jpg,PSP,0.40,711719269335
Los Sims 2,862,0.20,1.50,/product_images/Juegos/PSP Juegos/5030934046206_s.jpg,PSP,0.40,5030934046206
Grand Theft Auto: China Town Wars,862,0.40,3.00,/product_images/Juegos/PSP Juegos/5026555282338_s.jpg,PSP,0.90,5026555282338
FIFA 12,862,0.30,2.00,/product_images/Juegos/PSP Juegos/5030934104319_s.jpg,PSP,0.60,5030934104319
Mario Kart Wii (Solo Juego),831,8.00,18.00,/product_images/Juegos/Wii Juegos/045496365202_s.jpg,Wii,11.00,045496365202
New Super Mario Bros. Wii,831,11.00,25.00,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,Wii,15.00,045496368098
Wii Play (solo juego),831,2.00,6.00,/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,Wii,3.00,045496362201
Super Smash Bros. Brawl,831,6.00,15.00,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,Wii,9.00,045496365899
Super Mario Galaxy,831,6.00,15.00,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,Wii,9.00,045496363932
Wii Sports Resort (Solo Juego),831,6.00,15.00,/product_images/Juegos/Wii Juegos/045496367473_s.jpg,Wii,9.00,045496367473
Wii Sports (Solo Juego),831,2.00,5.00,/product_images/Juegos/Wii Juegos/045496362102_s.jpg,Wii,3.00,045496362102
Wii Fit Plus (Solo Juego),831,2.00,5.00,/product_images/Juegos/Wii Juegos/045496367916_s.jpg,Wii,3.00,045496367916
Super Mario Galaxy 2,831,9.00,22.00,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,Wii,13.00,045496368869
Legend of Zelda: Twilight Princess,831,5.00,12.00,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,Wii,7.00,045496362393
Just Dance 4,831,8.00,18.00,/product_images/Juegos/Wii Juegos/3307215647196_s.jpg,Wii,11.00,3307215647196
FIFA 14,831,2.00,6.00,/product_images/Juegos/Wii Juegos/5030933111424_s.jpg,Wii,3.00,5030933111424
Super Mario 3D World,996,11.00,25.00,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,Wii U,15.00,045496332785
Super Smash Bros,996,14.00,32.00,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,Wii U,20.00,045496333621
Mario Kart 8,996,12.00,28.00,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,Wii U,17.00,045496333288
Super Mario Maker,996,12.00,28.00,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,Wii U,17.00,045496334987
New Super Mario Bros. U,996,8.00,18.00,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,Wii U,11.00,045496331207
Nintendo Land,996,5.00,12.00,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,Wii U,7.00,045496331085
Splatoon,996,13.00,30.00,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,Wii U,18.00,045496334475
Xenoblade Chronicles X,996,15.00,35.00,/product_images/Juegos/Wii U Juegos/045496335090_s.jpg,Wii U,22.00,045496335090
Rodea The Sky Solider,996,3.00,8.00,/product_images/Juegos/Wii U Juegos/5060112431302_s.jpg,Wii U,5.00,5060112431302
ZombiU,996,2.00,6.00,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,Wii U,3.00,3307215654293
Yoshi's Woolly World,996,13.00,30.00,/product_images/Juegos/Wii U Juegos/045496334697_s.jpg,Wii U,18.00,045496334697
Legend Of Zelda: Wind Waker HD,996,9.00,22.00,/product_images/Juegos/Wii U Juegos/0045496332303_s.jpg,Wii U,13.00,0045496332303
Mario Party 10,996,9.00,20.00,/product_images/Juegos/Wii U Juegos/045496334161_s.jpg,Wii U,12.00,045496334161
Assassins Creed 3,996,4.00,10.00,/product_images/Juegos/Wii U Juegos/3307215655078_s.jpg,Wii U,6.00,3307215655078
Call Of Duty: Black Ops II,996,3.00,8.00,/product_images/Juegos/Wii U Juegos/5030917114014_s.jpg,Wii U,5.00,5030917114014
Grand Theft Auto V (5) 2 Disco,827,9.00,20.00,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,Xbox 360,12.00,5026555258098
Gears of War 2,827,1.80,4.00,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,Xbox 360,2.00,882224721141
Call Of Duty: Black Ops II,827,6.00,15.00,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,Xbox 360,9.00,5030917111679
Call Of Duty: Modern Warfare 3,827,3.00,8.00,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,Xbox 360,5.00,5030917096891
FIFA 15,827,6.00,15.00,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,Xbox 360,9.00,5035228112377
Assassin's Creed,827,1.20,5.00,/product_images/Juegos/Xbox 360 Juegos/3307210263421_s.jpg,Xbox 360,1.90,3307210263421
FIFA 14,827,2.00,5.00,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,Xbox 360,3.00,5030949111104
Call Of Duty: Ghosts *2 Disc*,827,4.00,10.00,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,Xbox 360,6.00,5030917125911
Grand Theft Auto IV,827,3.00,8.00,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,Xbox 360,5.00,5026555245968
Call Of Duty: Black Ops,827,5.00,12.00,/product_images/Juegos/Xbox 360 Juegos/5030917085864_s.jpg,Xbox 360,7.00,5030917085864
Gears of War 3,827,2.00,6.00,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,Xbox 360,3.00,0885370309607
Halo 4 *2 Disc*,827,2.00,6.00,/product_images/Juegos/Xbox 360 Juegos/885370439939_s.jpg,Xbox 360,3.00,885370439939
Battlefield 3 *2 Discos*,827,3.00,8.00,/product_images/Juegos/Xbox 360 Juegos/5030934102421_s.jpg,Xbox 360,5.00,5030934102421
Halo 3,827,0.70,3.00,/product_images/Juegos/Xbox 360 Juegos/882224482479_s.jpg,Xbox 360,1.10,882224482479
For Honor,1002,45.00,65.00,/product_images/Juegos/Xbox One Juegos/3307215915127_s.jpg,Xbox One,50.00,3307215915127
Gears of War 4,1002,15.00,35.00,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,Xbox One,22.00,0889842121575
Ryse: Son Of Rome,1002,9.00,20.00,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,Xbox One,12.00,885370662221
Call Of Duty: Black Ops III,1002,13.00,30.00,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,Xbox One,18.00,5030917181863
FIFA 17,1002,23.00,42.00,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,Xbox One,28.00,5030937116425
Dead Rising 3,1002,8.00,18.00,/product_images/Juegos/Xbox One Juegos/85370663983_s.jpg,Xbox One,11.00,85370663983
Watch Dogs,1002,4.00,10.00,/product_images/Juegos/Xbox One Juegos/3307215733134_s.jpg,Xbox One,6.00,3307215733134
Halo 5: Guardians,1002,9.00,20.00,/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,Xbox One,12.00,885370929669
Resident Evil 7: Biohazard,1002,30.00,55.00,/product_images/Juegos/Xbox One Juegos/5055060965924_s.jpg,Xbox One,37.00,5055060965924
Mafia III,1002,14.00,32.00,/product_images/Juegos/Xbox One Juegos/5026555297356_s.jpg,Xbox One,20.00,5026555297356
Halo: The Master Chief Collection,1002,8.00,18.00,/product_images/Juegos/Xbox One Juegos/0885370863956_s.jpg,Xbox One,11.00,0885370863956
Destiny,1002,2.00,10.00,/product_images/Juegos/Xbox One Juegos/5030917124358_s.jpg,Xbox One,3.00,5030917124358
FIFA 15,1002,0.30,2.50,/product_images/Juegos/Xbox One Juegos/5030939112395_s.jpg,Xbox One,0.70,5030939112395
Call Of Duty: Advanced Warfare,1002,3.00,15.00,/product_images/Juegos/Xbox One Juegos/5030917147791_s.jpg,Xbox One,5.00,5030917147791
Grand Theft Auto V (5),1002,18.00,42.00,/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,Xbox One,26.00,5026555284127
"Last of Us, The - Remastered",1001,15.00,35.00,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,PlayStation 4,22.00,711719407515
Watch Dogs,1001,6.00,15.00,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,PlayStation 4,9.00,3307215732939
Final Fantasy XV,1001,18.00,42.00,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,PlayStation 4,26.00,5021290072985
Far Cry Primal,1001,14.00,32.00,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,PlayStation 4,20.00,3307215938782
Far Cry 4,1001,8.00,18.00,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,PlayStation 4,11.00,3307215793633
Assassin's Creed: Unity,1001,11.00,25.00,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,PlayStation 4,15.00,3307215803530
Batman: Arkham Knight,1001,11.00,25.00,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,PlayStation 4,15.00,5051893179637
Metal Gear Solid V: The Phantom Pain,1001,9.00,20.00,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,PlayStation 4,12.00,4012927100417
"Last Guardian, The",1001,15.00,35.00,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,PlayStation 4,22.00,711719838951
Uncharted: The Nathan Drake Collection,1001,15.00,35.00,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,PlayStation 4,22.00,711719866534
Destiny,1001,2.00,12.00,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,PlayStation 4,4.00,5030917124549
Witcher 3: Wild Hunt,1001,14.00,32.00,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,PlayStation 4,20.00,3391891979016
Call Of Duty: Advanced Warfare,1001,6.00,25.00,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,PlayStation 4,9.00,5030917148019
Fallout 4,1001,14.00,32.00,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,PlayStation 4,20.00,5055856406242
InFamous Second Son,1001,9.00,22.00,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,PlayStation 4,13.00,0711719278870
Doom (2016),1001,9.00,22.00,/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,PlayStation 4,13.00,5055856403418
Minecraft,1001,17.00,38.00,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,PlayStation 4,24.00,711719439912
No Man's Sky,1001,8.00,18.00,/product_images/Juegos/PS4 Juegos/0711719849834_s.jpg,PlayStation 4,11.00,0711719849834
FIFA 15,1001,0.90,6.00,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,PlayStation 4,1.80,5030947112387
Rainbow Six: Siege,1001,18.00,42.00,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,PlayStation 4,26.00,3307215889121
Need For Speed (2015),1001,15.00,35.00,/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,PlayStation 4,22.00,5035223113737
Ratchet & Clank (2016),1001,14.00,32.00,/product_images/Juegos/PS4 Juegos/711719848233_s.jpg,PlayStation 4,20.00,711719848233
"Order 1886, The",1001,9.00,20.00,/product_images/Juegos/PS4 Juegos/0711719284697_s.jpg,PlayStation 4,12.00,0711719284697
Battlefield 4,1001,9.00,22.00,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,PlayStation 4,13.00,5030936111346
Killzone: Shadow Fall,1001,5.00,12.00,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,PlayStation 4,7.00,711719275473
Little Big Planet 3,1001,11.00,25.00,/product_images/Juegos/PS4 Juegos/711719446019_s.jpg,PlayStation 4,15.00,711719446019
Assassin's Creed 4: Black Flag,1001,9.00,20.00,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,PlayStation 4,12.00,3307215715239
Homefront: The Revolution,1001,6.00,15.00,/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg,PlayStation 4,9.00,4020628868550
NBA 2K17,1001,22.00,50.00,/product_images/Juegos/PS4 Juegos/5026555422079_s.jpg,PlayStation 4,31.00,5026555422079
Titanfall 2,1001,14.00,32.00,/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,PlayStation 4,20.00,5030932116925
Pro Evolution Soccer 2017,1001,18.00,42.00,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,PlayStation 4,26.00,4012927102336
Just Cause 3,1001,15.00,35.00,/product_images/Juegos/PS4 Juegos/5021290069459_s.jpg,PlayStation 4,22.00,5021290069459
Dragon Ball: Xenoverse,1001,13.00,30.00,/product_images/Juegos/PS4 Juegos/3391891980685_s.jpg,PlayStation 4,18.00,3391891980685
Dragon Ball Xenoverse 2,1001,24.00,55.00,/product_images/Juegos/PS4 Juegos/3391891990097_s.jpg,PlayStation 4,34.00,3391891990097
Call Of Duty: Ghosts,1001,4.00,20.00,/product_images/Juegos/PS4 Juegos/5030917126215_s.jpg,PlayStation 4,7.00,5030917126215
NBA 2K16,1001,4.00,18.00,/product_images/Juegos/PS4 Juegos/5026555421256_s.jpg,PlayStation 4,6.00,5026555421256
Batman: Return To Arkham,1001,14.00,32.00,/product_images/Juegos/PS4 Juegos/5051893230963_s.jpg,PlayStation 4,20.00,5051893230963
"Tierra-Media, La: Sombras De Mordor",1001,11.00,25.00,/product_images/Juegos/PS4 Juegos/5051893165128_s.jpg,PlayStation 4,15.00,5051893165128
DriveClub,1001,9.00,22.00,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,PlayStation 4,13.00,711719277071
God of War 3 - Remasterizado,1001,11.00,25.00,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,PlayStation 4,15.00,711719843337
