precio_compra,precio_venta,titulo,categoria_str,categoria_id,img_caratula,precio_intercambio,sku
5.00,12.00,Call Of Duty: Advanced Warfare,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,7.00,5030917147906
1.80,4.00,Call of Duty: Modern Warfare 2,PlayStation 3,821,/product_images/Juegos/PS3 Juegos/5030917070990_s.jpg,2.00,5030917070990
5.00,12.00,Assassin's Creed III (3): Liberation,PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,7.00,3307215652312
7.00,15.00,Uncharted: Golden Abyss,PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,9.00,711719200628
9.00,20.00,Minecraft,PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,13.00,711719438519
10.00,22.00,Call of Duty Black Ops- Declassified,PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,14.00,5030917114083
2.00,5.00,XBlaze Code : Embryo,PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/5055377602314_s.jpg,3.00,5055377602314
16.00,35.00,Fate/Extella: The Umbral Star,PlayStation Vita,990,/product_images/defimg5_s.jpg,22.00,635131948381
8.00,18.00,Gravity Rush,PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/711719241638_s.jpg,11.00,711719241638
8.00,18.00,Need For Speed: Most Wanted 12,PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,11.00,5030934109192
1.20,5.00,FIFA 13,PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,1.90,5030934109901
7.00,15.00,Virtua Tennis 4: Edicion World Tour,PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/5055277016259_s.jpg,9.00,5055277016259
7.00,15.00,Resistance: Burning Skies,PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/711719200147_s.jpg,9.00,711719200147
9.00,20.00,Final Fantasy X HD Only,PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/5021290057791_s.jpg,13.00,5021290057791
3.00,8.00,FIFA 14,PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,5.00,5030939111404
13.00,28.00,FIFA 15,PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,18.00,5035225113223
4.00,10.00,Little Big Planet,PlayStation Vita,990,/product_images/Juegos/PS Vita Juegos/711719236542_s.jpg,6.00,711719236542
1.00,5.00,Grand Theft Auto Vice City Stories,PSP,862,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,1.80,5026555280785
0.40,3.00,Gran Turismo,PSP,862,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,0.90,711719151159
1.00,5.00,Assassin's Creed: Bloodlines,PSP,862,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,1.80,3307211667679
1.00,5.00,Grand Theft Auto: Liberty City Stories,PSP,862,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,1.80,5026555280143
0.01,0.50,Invizimals (Solo Juego),PSP,862,/product_images/Juegos/PSP Juegos/711719142058_s.jpg,0.10,711719142058
0.01,0.50,Invizimals La Otra Dimension (Solo Juego,PSP,862,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,0.10,711719169772
0.40,3.00,Medievil: Resurreccion,PSP,862,/product_images/Juegos/PSP Juegos/711719678250_s.jpg,0.90,711719678250
0.40,3.00,God of War: Chains of Olympus,PSP,862,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,0.90,711719908128
0.40,3.00,Grand Theft Auto: China Town Wars,PSP,862,/product_images/Juegos/PSP Juegos/5026555282338_s.jpg,0.90,5026555282338
0.01,0.50,Play Chapas,PSP,862,/product_images/Juegos/PSP Juegos/711719738657_s.jpg,0.10,711719738657
0.80,4.00,FIFA 13,PSP,862,/product_images/Juegos/PSP Juegos/5030934109888_s.jpg,1.40,5030934109888
0.30,2.00,FIFA 12,PSP,862,/product_images/Juegos/PSP Juegos/5030934104319_s.jpg,0.60,5030934104319
0.40,3.00,Daxter,PSP,862,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,0.90,711719646266
0.90,4.50,Los Simpson - El Videojuego,PSP,862,/product_images/Juegos/PSP Juegos/5030934059435_s.jpg,1.60,5030934059435
0.80,4.00,Disney Cars,PSP,862,/product_images/Juegos/PSP Juegos/4005209077484_s.jpg,1.40,4005209077484
2.00,6.00,Wii Play (solo juego),Wii,831,/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,3.00,045496362201
8.00,18.00,Mario Kart Wii (Solo Juego),Wii,831,/product_images/Juegos/Wii Juegos/045496365202_s.jpg,11.00,045496365202
11.00,25.00,New Super Mario Bros. Wii,Wii,831,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,15.00,045496368098
6.00,15.00,Super Mario Galaxy,Wii,831,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,9.00,045496363932
6.00,15.00,Super Smash Bros. Brawl,Wii,831,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,9.00,045496365899
6.00,15.00,Wii Sports Resort (Solo Juego),Wii,831,/product_images/Juegos/Wii Juegos/045496367473_s.jpg,9.00,045496367473
2.00,5.00,Wii Sports (Solo Juego),Wii,831,/product_images/Juegos/Wii Juegos/045496362102_s.jpg,3.00,045496362102
9.00,22.00,Super Mario Galaxy 2,Wii,831,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,13.00,045496368869
5.00,12.00,Legend of Zelda: Twilight Princess,Wii,831,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,7.00,045496362393
8.00,18.00,Mario Party 8,Wii,831,/product_images/Juegos/Wii Juegos/045496362867_s.jpg,11.00,045496362867
9.00,22.00,Legend of Zelda: Skyward Sword,Wii,831,/product_images/Juegos/Wii Juegos/045496400736_s.jpg,13.00,045496400736
2.00,5.00,Wii Fit Plus (Solo Juego),Wii,831,/product_images/Juegos/Wii Juegos/045496367916_s.jpg,3.00,045496367916
12.00,28.00,Mario Kart 8,Wii U,996,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,17.00,045496333288
12.00,28.00,Super Mario 3D World,Wii U,996,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,17.00,045496332785
5.00,12.00,Nintendo Land,Wii U,996,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,7.00,045496331085
12.00,28.00,Splatoon,Wii U,996,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,17.00,045496334475
14.00,32.00,Super Smash Bros,Wii U,996,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,20.00,045496333621
6.00,15.00,New Super Mario Bros. U,Wii U,996,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,9.00,045496331207
13.00,30.00,Super Mario Maker,Wii U,996,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,18.00,045496334987
9.00,20.00,Wii Party U (Solo Juego),Wii U,996,/product_images/Juegos/Wii U Juegos/045496332839_s.jpg,12.00,045496332839
9.00,20.00,Donkey Kong Country: Tropical Freeze,Wii U,996,/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg,12.00,0045496332716
12.00,28.00,Yoshi's Woolly World,Wii U,996,/product_images/Juegos/Wii U Juegos/045496334697_s.jpg,17.00,045496334697
11.00,25.00,Captain Toad: Treasure Tracker,Wii U,996,/product_images/Juegos/Wii U Juegos/045496333782_s.jpg,15.00,045496333782
3.00,7.00,Call Of Duty: Black Ops II,Wii U,996,/product_images/Juegos/Wii U Juegos/5030917114014_s.jpg,4.00,5030917114014
3.00,8.00,ZombiU,Wii U,996,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,5.00,3307215654293
9.00,22.00,Bayonetta 2,Wii U,996,/product_images/Juegos/Wii U Juegos/045496333713_s.jpg,13.00,045496333713
3.00,8.00,Assassins Creed 3,Wii U,996,/product_images/Juegos/Wii U Juegos/3307215655078_s.jpg,5.00,3307215655078
9.00,20.00,Grand Theft Auto V (5) 2 Disco,Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,12.00,5026555258098
3.00,8.00,Grand Theft Auto IV,Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,5.00,5026555245968
6.00,15.00,Call Of Duty: Black Ops II,Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,9.00,5030917111679
1.80,4.00,Gears of War 2,Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,2.00,882224721141
2.00,6.00,Gears of War 3,Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,3.00,0885370309607
3.00,8.00,Call Of Duty: Modern Warfare 3,Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,5.00,5030917096891
2.00,5.00,FIFA 14,Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,3.00,5030949111104
0.70,3.00,Halo 3,Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/882224482479_s.jpg,1.10,882224482479
2.00,5.00,Call of Duty: Modern Warfare 2,Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/5030917071065_s.jpg,3.00,5030917071065
4.00,10.00,Call Of Duty: Ghosts *2 Disc*,Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,6.00,5030917125911
3.00,8.00,Resident Evil 6 *2 Disc*,Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/5055060963852_s.jpg,5.00,5055060963852
5.00,12.00,Call Of Duty: Black Ops,Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/5030917085864_s.jpg,7.00,5030917085864
6.00,15.00,FIFA 15,Xbox 360,827,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,9.00,5035228112377
