titulo,sku,precio_venta,precio_compra,img_caratula,precio_intercambio,categoria_id,categoria_str
Grand Theft Auto IV,5026555400251,6.00,2.00,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,3.00,821,PlayStation 3
FIFA 14,5030933111103,2.00,0.30,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,0.60,821,PlayStation 3
Call Of Duty: Ghosts,5030917126116,5.00,2.00,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,3.00,821,PlayStation 3
Call Of Duty: Modern Warfare 3,5030917096808,5.00,2.00,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,3.00,821,PlayStation 3
Call Of Duty: Black Ops,5030917085802,7.00,3.00,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,4.00,821,PlayStation 3
FIFA 16,5030946112869,22.00,5.00,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,8.00,821,PlayStation 3
Gran Turismo 5,711719190059,4.00,0.90,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,1.50,821,PlayStation 3
FIFA 13,5030934109680,0.75,0.10,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,0.20,821,PlayStation 3
Minecraft,711719412915,12.00,5.00,/product_images/Juegos/PS3 Juegos/711719412915_s.jpg,7.00,821,PlayStation 3
Last Of Us,0711719274551,20.00,9.00,/product_images/Juegos/PS3 Juegos/0711719274551_s.jpg,12.00,821,PlayStation 3
Assassin's Creed III (3),3307215644867,6.00,2.00,/product_images/Juegos/PS3 Juegos/3307215644867_s.jpg,3.00,821,PlayStation 3
Call Of Duty: Advanced Warfare,5030917147906,15.00,6.00,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,9.00,821,PlayStation 3
Minecraft,711719438519,18.00,8.00,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,11.00,990,PlayStation Vita
Invizimals - La Alianza,711719287667,5.00,1.20,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,1.90,990,PlayStation Vita
Call of Duty Black Ops- Declassified,5030917114083,22.00,10.00,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,14.00,990,PlayStation Vita
Uncharted: Golden Abyss,711719200628,18.00,8.00,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,11.00,990,PlayStation Vita
FIFA 13,5030934109901,4.00,0.90,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,1.50,990,PlayStation Vita
FIFA 15,5035225113223,25.00,12.00,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,16.00,990,PlayStation Vita
Need For Speed: Most Wanted 12,5030934109192,15.00,7.00,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,9.00,990,PlayStation Vita
Assassin's Creed III (3): Liberation,3307215652312,15.00,7.00,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,9.00,990,PlayStation Vita
Final Fantasy X HD Only,5021290057791,20.00,9.00,/product_images/Juegos/PS Vita Juegos/5021290057791_s.jpg,13.00,990,PlayStation Vita
Assassins Creed Chronicles,3307215916520,15.00,7.00,/product_images/Juegos/PS Vita Juegos/3307215916520_s.jpg,9.00,990,PlayStation Vita
FIFA 14,5030939111404,10.00,4.00,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,6.00,990,PlayStation Vita
Resistance: Burning Skies,711719200147,18.00,8.00,/product_images/Juegos/PS Vita Juegos/711719200147_s.jpg,11.00,990,PlayStation Vita
Dragon Ball Z: Battle Of Z D1 edition,3391891975971,20.00,9.00,/product_images/Juegos/PS Vita Juegos/3391891975971_s.jpg,13.00,990,PlayStation Vita
Lego Marvel Superheroes,5051893143447,15.00,7.00,/product_images/Juegos/PS Vita Juegos/5051893143447_s.jpg,9.00,990,PlayStation Vita
Gravity Rush,711719241638,15.00,7.00,/product_images/Juegos/PS Vita Juegos/711719241638_s.jpg,9.00,990,PlayStation Vita
Grand Theft Auto: Liberty City Stories,5026555280143,5.00,1.00,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,1.80,862,PSP
Grand Theft Auto Vice City Stories,5026555280785,5.00,1.00,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,1.80,862,PSP
Daxter,711719646266,3.00,0.40,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,0.90,862,PSP
Invizimals: Las tribus perdidas,8414646244995,0.50,0.01,/product_images/Juegos/PSP Juegos/8414646244995_s.jpg,0.10,862,PSP
Gran Turismo,711719151159,3.00,0.40,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,0.90,862,PSP
Assassin's Creed: Bloodlines,3307211667679,5.00,1.00,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,1.80,862,PSP
Ratchet & Clank: El Tamano Importa,711719651888,3.00,0.40,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,0.90,862,PSP
Tekken Dark Resurrection,711719660071,3.00,0.40,/product_images/Juegos/PSP Juegos/711719660071_s.jpg,0.90,862,PSP
Invizimals La Otra Dimension (Solo Juego,711719169772,0.25,0.01,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,0.01,862,PSP
Play Chapas,711719738657,0.50,0.01,/product_images/Juegos/PSP Juegos/711719738657_s.jpg,0.10,862,PSP
God of War: Chains of Olympus,711719908128,3.00,0.40,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,0.90,862,PSP
Pro Evolution Soccer 2012,4012927065174,2.00,0.30,/product_images/Juegos/PSP Juegos/4012927065174_s.jpg,0.60,862,PSP
Spiderman 3,5030917089039,4.00,0.80,/product_images/Juegos/PSP Juegos/5030917089039_s.jpg,1.40,862,PSP
Pro Evolution Soccer (PES) 2013,4012927066225,4.00,0.60,/product_images/Juegos/PSP Juegos/4012927066225_s.jpg,1.20,862,PSP
Grand Theft Auto: China Town Wars,5026555282338,4.00,0.80,/product_images/Juegos/PSP Juegos/5026555282338_s.jpg,1.40,862,PSP
Mario Kart Wii (Solo Juego),045496365202,18.00,8.00,/product_images/Juegos/Wii Juegos/045496365202_s.jpg,11.00,831,Wii
New Super Mario Bros. Wii,045496368098,25.00,11.00,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,15.00,831,Wii
Wii Play (solo juego),045496362201,6.00,1.40,/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,2.00,831,Wii
Super Smash Bros. Brawl,045496365899,15.00,6.00,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,9.00,831,Wii
Super Mario Galaxy,045496363932,15.00,6.00,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,9.00,831,Wii
Wii Sports Resort (Solo Juego),045496367473,15.00,6.00,/product_images/Juegos/Wii Juegos/045496367473_s.jpg,9.00,831,Wii
Wii Sports (Solo Juego),045496362102,4.00,1.80,/product_images/Juegos/Wii Juegos/045496362102_s.jpg,2.00,831,Wii
Super Mario Galaxy 2,045496368869,22.00,9.00,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,13.00,831,Wii
Wii Fit Plus (Solo Juego),045496367916,5.00,1.20,/product_images/Juegos/Wii Juegos/045496367916_s.jpg,1.90,831,Wii
Legend of Zelda: Twilight Princess,045496362393,12.00,5.00,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,7.00,831,Wii
Mario & Sonic Juegos Olimpicos de Invern,5055277000876,15.00,6.00,/product_images/Juegos/Wii Juegos/5055277000876_s.jpg,9.00,831,Wii
Just Dance 4,3307215647196,18.00,8.00,/product_images/Juegos/Wii Juegos/3307215647196_s.jpg,11.00,831,Wii
Super Mario 3D World,045496332785,28.00,12.00,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,17.00,996,Wii U
Mario Kart 8,045496333288,28.00,12.00,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,17.00,996,Wii U
Super Smash Bros,045496333621,32.00,14.00,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,20.00,996,Wii U
ZombiU,3307215654293,8.00,3.00,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,5.00,996,Wii U
Nintendo Land,045496331085,12.00,5.00,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,7.00,996,Wii U
New Super Mario Bros. U,045496331207,15.00,6.00,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,9.00,996,Wii U
Legend Of Zelda: Wind Waker HD,0045496332303,20.00,9.00,/product_images/Juegos/Wii U Juegos/0045496332303_s.jpg,12.00,996,Wii U
Super Mario Maker,045496334987,30.00,13.00,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,18.00,996,Wii U
