categoria_id,precio_venta,precio_compra,img_caratula,titulo,categoria_str,precio_intercambio,sku
977,25.00,12.00,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,Pokemon: Zafiro Alfa,Nintendo 3DS,16.00,045496526320
977,38.00,18.00,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,Pokemon Luna,Nintendo 3DS,24.00,045496473464
977,22.00,10.00,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,Pokemon Y,Nintendo 3DS,14.00,045496524333
977,28.00,13.00,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,Pokemon X,Nintendo 3DS,18.00,045496524227
977,28.00,13.00,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,Super Mario 3D Land,Nintendo 3DS,18.00,045496521233
977,30.00,14.00,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,Mario Kart 7,Nintendo 3DS,19.00,045496521301
977,30.00,14.00,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,New Super Mario Bros. 2,Nintendo 3DS,19.00,045496522582
977,30.00,14.00,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,Super Smash Bros.,Nintendo 3DS,19.00,0045496526283
977,30.00,14.00,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,Animal Crossing: New Leaf,Nintendo 3DS,19.00,045496523848
977,20.00,9.00,/product_images/Juegos/3DS Juegos/045496527075_s.jpg,Monster Hunter 4 Ultimate,Nintendo 3DS,13.00,045496527075
977,32.00,15.00,/product_images/Juegos/3DS Juegos/045496527297_s.jpg,Legend of Zelda Majora's Mask,Nintendo 3DS,20.00,045496527297
977,30.00,14.00,/product_images/Juegos/3DS Juegos/045496472313_s.jpg,Yo-Kai Watch,Nintendo 3DS,19.00,045496472313
834,15.00,6.00,/product_images/Juegos/DS Juegos/045496462338_s.jpg,Mario Kart DS,Nintendo DS,9.00,045496462338
834,20.00,9.00,/product_images/Juegos/DS Juegos/045496463106_s.jpg,New Super Mario Bros.,Nintendo DS,12.00,045496463106
834,15.00,6.00,/product_images/Juegos/DS Juegos/045496464844_s.jpg,Pokemon Diamante,Nintendo DS,9.00,045496464844
834,15.00,6.00,/product_images/Juegos/DS Juegos/045496462543_s.jpg,Animal Crossing: Wild World,Nintendo DS,9.00,045496462543
834,2.00,0.40,/product_images/Juegos/DS Juegos/045496462567_s.jpg,Brain Training,Nintendo DS,0.70,045496462567
834,2.50,0.60,/product_images/Juegos/DS Juegos/045496464721_s.jpg,Mas Brain Training,Nintendo DS,0.90,045496464721
834,30.00,13.00,/product_images/Juegos/DS Juegos/045496469641B_s.jpg,Pokemon Oro HeartGold Sin Pokewalker,Nintendo DS,18.00,045496469641
834,12.00,5.00,/product_images/Juegos/DS Juegos/045496464936_s.jpg,Pokemon Perla,Nintendo DS,7.00,045496464936
834,32.00,14.00,/product_images/Juegos/DS Juegos/04549646PSSN_s.jpg,Pokemon Plata SoulSilver Sin Pokewalker,Nintendo DS,20.00,04549646
834,20.00,9.00,/product_images/Juegos/DS Juegos/045496462031_s.jpg,Super Mario 64 DS,Nintendo DS,12.00,045496462031
834,18.00,8.00,/product_images/Juegos/DS Juegos/045496465377_s.jpg,Legend of Zelda: Phantom Hourglass,Nintendo DS,11.00,045496465377
834,15.00,6.00,/product_images/Juegos/DS Juegos/045496471118_s.jpg,Pokemon Edicion Blanca,Nintendo DS,9.00,045496471118
834,5.00,1.20,/product_images/Juegos/DS Juegos/045496470647_s.jpg,Inazuma Eleven,Nintendo DS,1.90,045496470647
834,10.00,4.00,/product_images/Juegos/DS Juegos/045496463595_s.jpg,Pokemon Mundo Misterioso Equipo Azul,Nintendo DS,6.00,045496463595
834,18.00,8.00,/product_images/Juegos/DS Juegos/045496471057_s.jpg,Pokemon Edicion Negra,Nintendo DS,11.00,045496471057
830,15.00,3.00,/product_images/Juegos/PC Juegos/3760156480831_s.jpg,Moto Racer 4 (P),PC,5.00,3760156480831
830,1.00,0.10,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,Warhammer 40000 - Armageddon (SN),PC,0.30,5060193302294
830,3.50,0.50,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,Imperium III,PC,1.00,8436010150671
830,1.00,0.10,/product_images/Juegos/PC Juegos/8436016710787_s.jpg,Blackguards,PC,0.30,8436016710787
830,1.00,0.10,/product_images/Juegos/PC Juegos/8414606866977_s.jpg,Stasis,PC,0.30,8414606866977
830,0.10,0.01,/product_images/defimg3_s.jpg,PATRICIAN II,PC,0.01,8436010150541
830,1.50,0.20,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,Imperium II,PC,0.40,8436010150572
830,0.25,0.01,/product_images/Juegos/PC Juegos/3307210181862_s.jpg,Splinter Cell,PC,0.01,3307210181862
830,0.10,0.01,/product_images/Juegos/PC Juegos/8436010150527_s.jpg,Torrente El Juego,PC,0.01,8436010150527
830,2.00,0.40,/product_images/Juegos/PC Juegos/8436016710770_s.jpg,"Whispered World, The - Edición Especial",PC,0.70,8436016710770
830,0.15,0.01,/product_images/Juegos/PC Juegos/4260089416710_s.jpg,Crookz: The Big Heist (P),PC,0.01,4260089416710
830,2.00,0.40,/product_images/defimg1_s.jpg,Tropico Dictator Pack (P),PC,0.70,4260089416369
830,0.75,0.10,/product_images/Juegos/PC Juegos/8436010154587_s.jpg,Caos En Deponia,PC,0.20,8436010154587
830,0.50,0.01,/product_images/Juegos/PC Juegos/3307210153470_s.jpg,Beyond Good & Evil,PC,0.10,3307210153470
830,3.00,0.40,/product_images/Juegos/PC Juegos/8414185032879_s.jpg,Los Sims 2 Mascotas Expansion (SN),PC,0.90,8414185032879
821,18.00,8.00,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,Grand Theft Auto V (5),PlayStation 3,11.00,5026555410267
821,4.00,1.80,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,Call Of Duty: Modern Warfare 3,PlayStation 3,2.00,5030917096808
821,4.00,1.80,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,Call Of Duty: Ghosts,PlayStation 3,2.00,5030917126116
821,15.00,3.00,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,Call Of Duty: Black Ops II,PlayStation 3,5.00,5030917111761
821,5.00,2.00,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,Grand Theft Auto IV,PlayStation 3,3.00,5026555400251
821,4.00,1.80,/product_images/Juegos/PS3 Juegos/5030917070990_s.jpg,Call of Duty: Modern Warfare 2,PlayStation 3,2.00,5030917070990
821,7.00,3.00,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,Call Of Duty: Black Ops,PlayStation 3,4.00,5030917085802
821,12.00,5.00,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,Call Of Duty: Advanced Warfare,PlayStation 3,7.00,5030917147906
821,8.00,1.90,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,FIFA 15,PlayStation 3,3.00,5030937112373
821,10.00,4.00,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,Uncharted 3: Traicion de Drake,PlayStation 3,6.00,711719123996
821,0.25,0.01,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,FIFA 13,PlayStation 3,0.01,5030934109680
821,6.00,1.40,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,Gran Turismo 5,PlayStation 3,2.00,711719190059
821,15.00,6.00,/product_images/Juegos/PS3 Juegos/711719412915_s.jpg,Minecraft,PlayStation 3,9.00,711719412915
821,2.00,0.30,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,FIFA 14,PlayStation 3,0.60,5030933111103
821,22.00,5.00,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,FIFA 16,PlayStation 3,8.00,5030946112869
990,18.00,8.00,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,Minecraft,PlayStation Vita,11.00,711719438519
990,18.00,8.00,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,Uncharted: Golden Abyss,PlayStation Vita,11.00,711719200628
990,22.00,10.00,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,Call of Duty Black Ops- Declassified,PlayStation Vita,14.00,5030917114083
990,22.00,10.00,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,FIFA 15,PlayStation Vita,14.00,5035225113223
990,5.00,1.20,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,Invizimals - La Alianza,PlayStation Vita,1.90,711719287667
990,6.00,1.40,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,FIFA 13,PlayStation Vita,2.00,5030934109901
990,15.00,7.00,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,Assassin's Creed III (3): Liberation,PlayStation Vita,9.00,3307215652312
990,6.00,2.00,/product_images/Juegos/PS Vita Juegos/5055377602352_s.jpg,Space Hulk,PlayStation Vita,3.00,5055377602352
990,22.00,10.00,/product_images/Juegos/PS Vita Juegos/711719236467_s.jpg,Jak And Daxter Trilogy,PlayStation Vita,14.00,711719236467
990,20.00,9.00,/product_images/Juegos/PS Vita Juegos/711719279488_s.jpg,God Of War Collection,PlayStation Vita,13.00,711719279488
990,18.00,8.00,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,Killzone Mercenary,PlayStation Vita,11.00,711719251163
990,18.00,8.00,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,Need For Speed: Most Wanted 12,PlayStation Vita,11.00,5030934109192
990,12.00,5.00,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,FIFA 14,PlayStation Vita,7.00,5030939111404
990,5.00,2.00,/product_images/Juegos/PS Vita Juegos/5055377602314_s.jpg,XBlaze Code : Embryo,PlayStation Vita,3.00,5055377602314
990,12.00,5.00,/product_images/Juegos/PS Vita Juegos/4020628900403_s.jpg,Aventuras De Tadeo Jones,PlayStation Vita,7.00,4020628900403
862,4.00,0.80,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,Grand Theft Auto Vice City Stories,PSP,1.40,5026555280785
862,4.00,0.80,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,Grand Theft Auto: Liberty City Stories,PSP,1.40,5026555280143
862,4.00,0.80,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,Assassin's Creed: Bloodlines,PSP,1.40,3307211667679
862,3.00,0.40,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,God of War: Chains of Olympus,PSP,0.90,711719908128
862,3.00,0.40,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,Daxter,PSP,0.90,711719646266
862,3.00,0.40,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,Gran Turismo,PSP,0.90,711719151159
862,0.50,0.01,/product_images/Juegos/PSP Juegos/711719142058_s.jpg,Invizimals (Solo Juego),PSP,0.10,711719142058
862,0.50,0.01,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,Invizimals La Otra Dimension (Solo Juego,PSP,0.10,711719169772
862,3.00,0.40,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,Ratchet & Clank: El Tamano Importa,PSP,0.90,711719651888
862,4.00,0.80,/product_images/Juegos/PSP Juegos/711719678250_s.jpg,Medievil: Resurreccion,PSP,1.40,711719678250
862,0.50,0.01,/product_images/Juegos/PSP Juegos/4012927063354_s.jpg,Pro Evolution Soccer 2009,PSP,0.10,4012927063354
862,3.00,0.40,/product_images/Juegos/PSP Juegos/711719660071_s.jpg,Tekken Dark Resurrection,PSP,0.90,711719660071
862,3.00,0.40,/product_images/Juegos/PSP Juegos/5030934104319_s.jpg,FIFA 12,PSP,0.90,5030934104319
862,1.50,0.20,/product_images/Juegos/PSP Juegos/4012927065174_s.jpg,Pro Evolution Soccer 2012,PSP,0.40,4012927065174
862,4.50,0.90,/product_images/Juegos/PSP Juegos/711719168171_s.jpg,God of War: Ghost of Sparta,PSP,1.60,711719168171
831,18.00,8.00,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,New Super Mario Bros. Wii,Wii,11.00,045496368098
831,18.00,8.00,/product_images/Juegos/Wii Juegos/045496365202_s.jpg,Mario Kart Wii (Solo Juego),Wii,11.00,045496365202
831,15.00,6.00,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,Super Mario Galaxy,Wii,9.00,045496363932
831,4.00,1.80,/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,Wii Play (solo juego),Wii,2.00,045496362201
831,10.00,4.00,/product_images/Juegos/Wii Juegos/045496367473_s.jpg,Wii Sports Resort (Solo Juego),Wii,6.00,045496367473
831,15.00,6.00,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,Super Smash Bros. Brawl,Wii,9.00,045496365899
831,15.00,6.00,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,Legend of Zelda: Twilight Princess,Wii,9.00,045496362393
831,20.00,9.00,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,Super Mario Galaxy 2,Wii,12.00,045496368869
831,4.00,1.80,/product_images/Juegos/Wii Juegos/045496367916_s.jpg,Wii Fit Plus (Solo Juego),Wii,2.00,045496367916
831,22.00,9.00,/product_images/Juegos/Wii Juegos/045496400736_s.jpg,Legend of Zelda: Skyward Sword,Wii,13.00,045496400736
831,5.00,2.00,/product_images/Juegos/Wii Juegos/045496362102_s.jpg,Wii Sports (Solo Juego),Wii,3.00,045496362102
831,8.00,3.00,/product_images/Juegos/Wii Juegos/045496366575_s.jpg,Animal Crossing Lets Go To The City (Solo Juego),Wii,5.00,045496366575
831,15.00,6.00,/product_images/Juegos/Wii Juegos/3307215647196_s.jpg,Just Dance 4,Wii,9.00,3307215647196
996,25.00,11.00,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,Mario Kart 8,Wii U,15.00,045496333288
996,10.00,4.00,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,Nintendo Land,Wii U,6.00,045496331085
996,25.00,11.00,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,Splatoon,Wii U,15.00,045496334475
996,30.00,13.00,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,Super Mario Maker,Wii U,18.00,045496334987
996,22.00,9.00,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,Super Mario 3D World,Wii U,13.00,045496332785
996,30.00,13.00,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,Super Smash Bros,Wii U,18.00,045496333621
996,25.00,11.00,/product_images/Juegos/Wii U Juegos/045496335489_s.jpg,Legend Of Zelda: Twilight Princess HD,Wii U,15.00,045496335489
996,15.00,6.00,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,New Super Mario Bros. U & Super Luigi U,Wii U,9.00,045496332198
996,18.00,8.00,/product_images/Juegos/Wii U Juegos/045496334161_s.jpg,Mario Party 10,Wii U,11.00,045496334161
996,6.00,2.00,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,ZombiU,Wii U,3.00,3307215654293
996,30.00,13.00,/product_images/Juegos/Wii U Juegos/0045496335618_s.jpg,Pokken Tournament (No Mewtwo Card),Wii U,18.00,0045496335618
996,20.00,9.00,/product_images/Juegos/Wii U Juegos/0045496332303_s.jpg,Legend Of Zelda: Wind Waker HD,Wii U,12.00,0045496332303
996,15.00,6.00,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,New Super Mario Bros. U,Wii U,9.00,045496331207
996,20.00,9.00,/product_images/Juegos/Wii U Juegos/045496332839_s.jpg,Wii Party U (Solo Juego),Wii U,12.00,045496332839
996,32.00,14.00,/product_images/Juegos/Wii U Juegos/045496334697_s.jpg,Yoshi's Woolly World,Wii U,20.00,045496334697
827,20.00,9.00,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,Grand Theft Auto V (5) 2 Disco,Xbox 360,12.00,5026555258098
827,6.00,2.00,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,FIFA 14,Xbox 360,3.00,5030949111104
827,4.00,0.90,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,Gears of War 2,Xbox 360,1.50,882224721141
827,6.00,1.40,/product_images/Juegos/Xbox 360 Juegos/5030934102421_s.jpg,Battlefield 3 *2 Discos*,Xbox 360,2.00,5030934102421
827,15.00,6.00,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,Call Of Duty: Black Ops II,Xbox 360,9.00,5030917111679
827,6.00,2.00,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,Call Of Duty: Modern Warfare 3,Xbox 360,3.00,5030917096891
827,12.00,5.00,/product_images/Juegos/Xbox 360 Juegos/0885370606515_s.jpg,Minecraft,Xbox 360,7.00,0885370606515
827,2.00,0.40,/product_images/Juegos/Xbox 360 Juegos/5030934109734_s.jpg,FIFA 13,Xbox 360,0.70,5030934109734
827,3.50,0.80,/product_images/Juegos/Xbox 360 Juegos/882224260145_s.jpg,Gears of War,Xbox 360,1.30,882224260145
827,3.00,0.70,/product_images/Juegos/Xbox 360 Juegos/882224482479_s.jpg,Halo 3,Xbox 360,1.10,882224482479
827,6.00,2.00,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,Gears of War 3,Xbox 360,3.00,0885370309607
827,8.00,3.00,/product_images/Juegos/Xbox 360 Juegos/3307215633342_s.jpg,Far Cry 3,Xbox 360,5.00,3307215633342
827,8.00,3.00,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,Call Of Duty: Ghosts *2 Disc*,Xbox 360,5.00,5030917125911
827,12.00,5.00,/product_images/Juegos/Xbox 360 Juegos/5026555248266_s.jpg,Red Dead Redemption,Xbox 360,7.00,5026555248266
1002,40.00,18.00,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,FIFA 17,Xbox One,25.00,5030937116425
1002,32.00,14.00,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,Gears of War 4,Xbox One,20.00,0889842121575
1002,40.00,18.00,/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg,Battlefield 1,Xbox One,25.00,5035228113763
1002,18.00,8.00,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,Ryse: Son Of Rome,Xbox One,11.00,885370662221
1002,35.00,15.00,/product_images/Juegos/Xbox One Juegos/3307215969977_s.jpg,Watch Dogs 2,Xbox One,22.00,3307215969977
1002,32.00,14.00,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,Call Of Duty: Black Ops III,Xbox One,20.00,5030917181863
1002,38.00,17.00,/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,Grand Theft Auto V (5),Xbox One,24.00,5026555284127
1002,35.00,15.00,/product_images/Juegos/Xbox One Juegos/5021290073081_s.jpg,Final Fantasy XV,Xbox One,22.00,5021290073081
1002,52.00,29.00,/product_images/Juegos/Xbox One Juegos/5055060965924_s.jpg,Resident Evil 7: Biohazard,Xbox One,35.00,5055060965924
1002,35.00,15.00,/product_images/Juegos/Xbox One Juegos/889842148671_s.jpg,Dead Rising 4,Xbox One,22.00,889842148671
1002,12.00,5.00,/product_images/Juegos/Xbox One Juegos/885370951844_s.jpg,Gears Of War: Ultimate Edition,Xbox One,7.00,885370951844
1002,22.00,9.00,/product_images/Juegos/Xbox One Juegos/5055856406396_s.jpg,Fallout 4,Xbox One,13.00,5055856406396
1002,15.00,6.00,/product_images/Juegos/Xbox One Juegos/5030947121631_s.jpg,Star Wars: Battlefront,Xbox One,9.00,5030947121631
1002,58.00,32.00,/product_images/Juegos/Xbox One Juegos/889842149166_s.jpg,Halo Wars 2,Xbox One,39.00,889842149166
1002,28.00,12.00,/product_images/Juegos/Xbox One Juegos/5026555297356_s.jpg,Mafia III,Xbox One,17.00,5026555297356
1001,18.00,8.00,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,Far Cry 4,PlayStation 4,11.00,3307215793633
1001,35.00,15.00,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,"Last of Us, The - Remastered",PlayStation 4,22.00,711719407515
1001,20.00,9.00,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,Assassin's Creed: Unity,PlayStation 4,12.00,3307215803530
1001,20.00,9.00,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,Star Wars: Battlefront,PlayStation 4,12.00,5030934121637
1001,18.00,8.00,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,Metal Gear Solid V: The Phantom Pain,PlayStation 4,11.00,4012927100417
1001,22.00,9.00,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,Assassin's Creed: Syndicate,PlayStation 4,13.00,3307215893227
1001,28.00,12.00,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,Far Cry Primal,PlayStation 4,17.00,3307215938782
1001,22.00,9.00,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,Batman: Arkham Knight,PlayStation 4,13.00,5051893179637
1001,10.00,2.00,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,Destiny,PlayStation 4,3.00,5030917124549
1001,32.00,14.00,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,"Last Guardian, The",PlayStation 4,20.00,711719838951
1001,35.00,15.00,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,Uncharted: The Nathan Drake Collection,PlayStation 4,22.00,711719866534
1001,62.00,34.00,/product_images/Juegos/PS4 Juegos/711719817963_s.jpg,Nioh,PlayStation 4,42.00,711719817963
1001,28.00,12.00,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,Fallout 4,PlayStation 4,17.00,5055856406242
1001,22.00,5.00,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,Call Of Duty: Advanced Warfare,PlayStation 4,8.00,5030917148019
1001,5.00,0.70,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,FIFA 15,PlayStation 4,1.50,5030947112387
1001,30.00,13.00,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,Witcher 3: Wild Hunt,PlayStation 4,18.00,3391891979016
1001,18.00,8.00,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,Battlefield 4,PlayStation 4,11.00,5030936111346
1001,22.00,9.00,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,InFamous Second Son,PlayStation 4,13.00,0711719278870
1001,20.00,9.00,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,God of War 3 - Remasterizado,PlayStation 4,12.00,711719843337
1001,28.00,12.00,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,Bloodborne,PlayStation 4,17.00,0711719800415
1001,10.00,2.00,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,Killzone: Shadow Fall,PlayStation 4,3.00,711719275473
1001,42.00,18.00,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,Rainbow Six: Siege,PlayStation 4,26.00,3307215889121
1001,20.00,9.00,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,DriveClub,PlayStation 4,12.00,711719277071
1001,40.00,18.00,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,Pro Evolution Soccer 2017,PlayStation 4,25.00,4012927102336
1001,20.00,9.00,/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,Doom (2016),PlayStation 4,12.00,5055856403418
1001,25.00,11.00,/product_images/Juegos/PS4 Juegos/5051893165128_s.jpg,"Tierra-Media, La: Sombras De Mordor",PlayStation 4,15.00,5051893165128
1001,40.00,18.00,/product_images/Juegos/PS4 Juegos/5021290074811_s.jpg,Rise of the Tomb Raider,PlayStation 4,25.00,5021290074811
1001,32.00,14.00,/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,Need For Speed (2015),PlayStation 4,20.00,5035223113737
1001,28.00,12.00,/product_images/Juegos/PS4 Juegos/711719874737_s.jpg,Until Dawn,PlayStation 4,17.00,711719874737
1001,12.00,5.00,/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg,Homefront: The Revolution,PlayStation 4,7.00,4020628868550
1001,20.00,9.00,/product_images/Juegos/PS4 Juegos/0711719284697_s.jpg,"Order 1886, The",PlayStation 4,12.00,0711719284697
1001,58.00,26.00,/product_images/Juegos/PS4 Juegos/3391891990097_s.jpg,Dragon Ball Xenoverse 2,PlayStation 4,36.00,3391891990097
1001,52.00,23.00,/product_images/Juegos/PS4 Juegos/5030917188893_s.jpg,Overwatch,PlayStation 4,32.00,5030917188893
1001,32.00,14.00,/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,Titanfall 2,PlayStation 4,20.00,5030932116925
1001,35.00,15.00,/product_images/Juegos/PS4 Juegos/5021290069459_s.jpg,Just Cause 3,PlayStation 4,22.00,5021290069459
1001,32.00,14.00,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,Minecraft,PlayStation 4,20.00,711719439912
1001,22.00,9.00,/product_images/Juegos/PS4 Juegos/5051893163438_s.jpg,Mad Max,PlayStation 4,13.00,5051893163438
1001,22.00,9.00,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,Assassin's Creed 4: Black Flag,PlayStation 4,13.00,3307215715239
1001,32.00,14.00,/product_images/Juegos/PS4 Juegos/3391891980685_s.jpg,Dragon Ball: Xenoverse,PlayStation 4,20.00,3391891980685
