categoria_str,sku,titulo,img_caratula,precio_intercambio,categoria_id,precio_compra,precio_venta
Wii U,0045496332716,Donkey Kong Country: Tropical Freeze,/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg,12.00,996,9.00,20.00
Wii U,3307215654293,ZombiU,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,3.00,996,2.00,6.00
Wii U,045496332198,New Super Mario Bros. U & Super Luigi U,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,9.00,996,6.00,15.00
Wii U,045496335489,Legend Of Zelda: Twilight Princess HD,/product_images/Juegos/Wii U Juegos/045496335489_s.jpg,15.00,996,11.00,25.00
Wii U,045496334697,Yoshi's Woolly World,/product_images/Juegos/Wii U Juegos/045496334697_s.jpg,20.00,996,14.00,32.00
Wii U,045496331207,New Super Mario Bros. U,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,9.00,996,6.00,15.00
Wii U,045496331740,Lego City Undercover,/product_images/Juegos/Wii U Juegos/045496331740_s.jpg,9.00,996,6.00,15.00
Xbox 360,5026555264785,NBA 2K16,/product_images/Juegos/Xbox 360 Juegos/5026555264785_s.jpg,7.00,827,5.00,12.00
Xbox 360,5026555258098,Grand Theft Auto V (5) 2 Disco,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,12.00,827,9.00,20.00
Xbox 360,5030917147685,Call Of Duty: Advanced Warfare (2 Disc),/product_images/Juegos/Xbox 360 Juegos/5030917147685_s.jpg,9.00,827,6.00,15.00
Xbox 360,5035228112377,FIFA 15,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,7.00,827,5.00,12.00
Xbox 360,3307215590010,Assassin's Creed: Revelations,/product_images/Juegos/Xbox 360 Juegos/3307215590010_s.jpg,3.00,827,2.00,6.00
Xbox 360,3307211666658,Assassin's Creed II,/product_images/Juegos/Xbox 360 Juegos/3307211666658_s.jpg,5.00,827,3.00,8.00
Xbox 360,5030917111679,Call Of Duty: Black Ops II,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,9.00,827,6.00,15.00
Xbox 360,5030934109734,FIFA 13,/product_images/Juegos/Xbox 360 Juegos/5030934109734_s.jpg,0.70,827,0.40,2.00
Xbox 360,0885370309607,Gears of War 3,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,3.00,827,2.00,6.00
Xbox 360,5030917096891,Call Of Duty: Modern Warfare 3,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,3.00,827,2.00,6.00
Xbox 360,5026555245968,Grand Theft Auto IV,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,5.00,827,3.00,8.00
Xbox 360,882224482479,Halo 3,/product_images/Juegos/Xbox 360 Juegos/882224482479_s.jpg,1.10,827,0.70,3.00
Xbox 360,5030949111104,FIFA 14,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,3.00,827,2.00,6.00
Xbox 360,0885370606515,Minecraft,/product_images/Juegos/Xbox 360 Juegos/0885370606515_s.jpg,7.00,827,5.00,12.00
Xbox 360,5030917085864,Call Of Duty: Black Ops,/product_images/Juegos/Xbox 360 Juegos/5030917085864_s.jpg,4.00,827,2.00,12.00
Xbox One,889842148671,Dead Rising 4,/product_images/Juegos/Xbox One Juegos/889842148671_s.jpg,22.00,1002,15.00,35.00
Xbox One,0889842121575,Gears of War 4,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,20.00,1002,14.00,32.00
Xbox One,5026555284127,Grand Theft Auto V (5),/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,24.00,1002,17.00,38.00
Xbox One,3307215913161,Ghost Recon: Wildlands (Sin DLC),/product_images/Juegos/Xbox One Juegos/3307215913161_s.jpg,54.00,1002,49.00,70.00
Xbox One,885370929669,Halo 5: Guardians,/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,11.00,1002,8.00,18.00
Xbox One,5030937116425,FIFA 17,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,25.00,1002,18.00,40.00
Xbox One,5030917181863,Call Of Duty: Black Ops III,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,20.00,1002,14.00,32.00
Xbox One,885370984750,Rise Of The Tomb Raider,/product_images/Juegos/Xbox One Juegos/885370984750_s.jpg,15.00,1002,11.00,25.00
