precio_compra,titulo,img_caratula,categoria_str,sku,precio_intercambio,precio_venta,categoria_id
11.00,Pokemon Edicion Blanca 2,/product_images/Juegos/DS Juegos/045496465537_s.jpg,Nintendo DS,045496465537,15.00,25.00,834
6.00,Pokemon Diamante,/product_images/Juegos/DS Juegos/045496464844_s.jpg,Nintendo DS,045496464844,9.00,15.00,834
5.00,Legend of Zelda: Phantom Hourglass,/product_images/Juegos/DS Juegos/045496465377_s.jpg,Nintendo DS,045496465377,7.00,12.00,834
1.00,Inazuma Eleven,/product_images/Juegos/DS Juegos/045496470647_s.jpg,Nintendo DS,045496470647,1.70,4.50,834
8.00,Pokemon Edicion Blanca,/product_images/Juegos/DS Juegos/045496471118_s.jpg,Nintendo DS,045496471118,11.00,18.00,834
0.90,Nintendogs Dalmatian & Friends,/product_images/Juegos/DS Juegos/045496462963_s.jpg,Nintendo DS,045496462963,1.50,4.00,834
0.50,"Whispered World, The - Edición Especial",/product_images/Juegos/PC Juegos/8436016710770_s.jpg,PC,8436016710770,0.90,2.50,830
0.40,Imperium III,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,PC,8436010150671,0.90,3.00,830
3.00,Age of Empires Collectors Edition,/product_images/Juegos/PC Juegos/3307210245281_s.jpg,PC,3307210245281,5.00,14.00,830
2.00,Los Sims 2 (SN),/product_images/Juegos/PC Juegos/8414185051528_s.jpg,PC,8414185051528,3.00,10.00,830
0.20,Imperium,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,PC,8436010150275,0.40,1.50,830
0.10,Imperium II,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,PC,8436010150572,0.30,1.00,830
0.01,"Runaway, A Road To Adventure",/product_images/Juegos/PC Juegos/8436010150398_s.jpg,PC,8436010150398,0.01,0.10,830
0.10,Heroes of Might & Magic V (SN),/product_images/Juegos/PC Juegos/3307210217493_s.jpg,PC,3307210217493,0.30,1.00,830
0.10,Call of Juarez: Bound in Blood,/product_images/Juegos/PC Juegos/3307211657861_s.jpg,PC,3307211657861,0.30,1.00,830
0.30,Warhammer 40000 - Armageddon (SN),/product_images/Juegos/PC Juegos/5060193302294_s.jpg,PC,5060193302294,0.60,2.00,830
0.90,Age of Empires (Gold Edition),/product_images/Juegos/PC Juegos/3307210148971_s.jpg,PC,3307210148971,1.60,4.50,830
0.01,Apache vs Havoc,/product_images/defimg4_s.jpg,PC,8436010150541,0.01,0.10,830
0.10,Prince of Persia (2008),/product_images/Juegos/PC Juegos/3307211609143_s.jpg,PC,3307211609143,0.30,1.00,830
0.01,Ghost Recon Advanced Warfighter 2,/product_images/Juegos/PC Juegos/3307210249555_s.jpg,PC,3307210249555,0.01,0.25,830
6.00,Grand Theft Auto V (5),/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,PlayStation 3,5026555410267,9.00,15.00,821
3.00,FIFA 15,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,PlayStation 3,5030937112373,4.00,7.00,821
2.00,Call Of Duty: Black Ops II,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,PlayStation 3,5030917111761,4.00,12.00,821
2.00,Call Of Duty: Modern Warfare 3,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,PlayStation 3,5030917096808,3.00,5.00,821
2.00,Grand Theft Auto IV,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,PlayStation 3,5026555400251,3.00,6.00,821
0.30,FIFA 14,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,PlayStation 3,5030933111103,0.60,2.00,821
2.00,Call Of Duty: Ghosts,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,PlayStation 3,5030917126116,3.00,5.00,821
3.00,Call Of Duty: Black Ops,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,PlayStation 3,5030917085802,4.00,7.00,821
5.00,FIFA 16,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,PlayStation 3,5030946112869,8.00,22.00,821
0.90,Gran Turismo 5,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,PlayStation 3,711719190059,1.50,4.00,821
9.00,Last Of Us,/product_images/Juegos/PS3 Juegos/0711719274551_s.jpg,PlayStation 3,0711719274551,12.00,20.00,821
0.10,FIFA 13,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,PlayStation 3,5030934109680,0.20,0.75,821
3.00,Uncharted 3: Traicion de Drake,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,PlayStation 3,711719123996,5.00,8.00,821
5.00,Minecraft,/product_images/Juegos/PS3 Juegos/711719412915_s.jpg,PlayStation 3,711719412915,7.00,12.00,821
2.00,Assassin's Creed III (3),/product_images/Juegos/PS3 Juegos/3307215644867_s.jpg,PlayStation 3,3307215644867,3.00,6.00,821
5.00,Minecraft,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,PlayStation Vita,711719438519,7.00,12.00,990
0.90,FIFA 13,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,PlayStation Vita,5030934109901,1.50,4.00,990
0.90,Invizimals - La Alianza,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,PlayStation Vita,711719287667,1.50,4.00,990
9.00,Call of Duty Black Ops- Declassified,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,PlayStation Vita,5030917114083,13.00,20.00,990
9.00,FIFA 15,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,PlayStation Vita,5035225113223,13.00,20.00,990
5.00,Assassin's Creed III (3): Liberation,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,PlayStation Vita,3307215652312,7.00,12.00,990
5.00,Assassins Creed Chronicles,/product_images/Juegos/PS Vita Juegos/3307215916520_s.jpg,PlayStation Vita,3307215916520,7.00,12.00,990
8.00,Uncharted: Golden Abyss,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,PlayStation Vita,711719200628,11.00,18.00,990
7.00,Killzone Mercenary,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,PlayStation Vita,711719251163,9.00,15.00,990
4.00,FIFA 14,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,PlayStation Vita,5030939111404,5.00,9.00,990
3.00,Little Big Planet,/product_images/Juegos/PS Vita Juegos/711719236542_s.jpg,PlayStation Vita,711719236542,5.00,8.00,990
5.00,Need For Speed: Most Wanted 12,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,PlayStation Vita,5030934109192,7.00,12.00,990
4.00,Resistance: Burning Skies,/product_images/Juegos/PS Vita Juegos/711719200147_s.jpg,PlayStation Vita,711719200147,6.00,10.00,990
7.00,Dragon Ball Z: Battle Of Z D1 edition,/product_images/Juegos/PS Vita Juegos/3391891975971_s.jpg,PlayStation Vita,3391891975971,9.00,15.00,990
3.00,Virtua Tennis 4: Edicion World Tour,/product_images/Juegos/PS Vita Juegos/5055277016259_s.jpg,PlayStation Vita,5055277016259,5.00,8.00,990
1.00,Grand Theft Auto Vice City Stories,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,PSP,5026555280785,1.80,5.00,862
1.00,Grand Theft Auto: Liberty City Stories,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,PSP,5026555280143,1.80,5.00,862
0.40,Daxter,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,PSP,711719646266,0.90,3.00,862
1.00,Assassin's Creed: Bloodlines,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,PSP,3307211667679,1.80,5.00,862
0.01,Invizimals: Las tribus perdidas,/product_images/Juegos/PSP Juegos/8414646244995_s.jpg,PSP,8414646244995,0.10,0.50,862
0.40,Gran Turismo,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,PSP,711719151159,0.90,3.00,862
0.40,Tekken Dark Resurrection,/product_images/Juegos/PSP Juegos/711719660071_s.jpg,PSP,711719660071,0.90,3.00,862
0.40,Ratchet & Clank: El Tamano Importa,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,PSP,711719651888,0.90,3.00,862
0.01,Invizimals La Otra Dimension (Solo Juego,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,PSP,711719169772,0.01,0.25,862
0.30,Pro Evolution Soccer 2012,/product_images/Juegos/PSP Juegos/4012927065174_s.jpg,PSP,4012927065174,0.60,2.00,862
0.40,God of War: Chains of Olympus,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,PSP,711719908128,0.90,3.00,862
0.01,Play Chapas,/product_images/Juegos/PSP Juegos/711719738657_s.jpg,PSP,711719738657,0.10,0.50,862
0.80,Spiderman 3,/product_images/Juegos/PSP Juegos/5030917089039_s.jpg,PSP,5030917089039,1.40,4.00,862
0.60,Pro Evolution Soccer (PES) 2013,/product_images/Juegos/PSP Juegos/4012927066225_s.jpg,PSP,4012927066225,1.20,4.00,862
0.80,Cars 2,/product_images/Juegos/PSP Juegos/711719231219_s.jpg,PSP,711719231219,1.40,4.00,862
8.00,Mario Kart Wii (Solo Juego),/product_images/Juegos/Wii Juegos/045496365202_s.jpg,Wii,045496365202,11.00,18.00,831
11.00,New Super Mario Bros. Wii,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,Wii,045496368098,15.00,25.00,831
1.40,Wii Play (solo juego),/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,Wii,045496362201,2.00,6.00,831
6.00,Super Mario Galaxy,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,Wii,045496363932,9.00,15.00,831
6.00,Super Smash Bros. Brawl,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,Wii,045496365899,9.00,15.00,831
9.00,Super Mario Galaxy 2,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,Wii,045496368869,13.00,22.00,831
6.00,Wii Sports Resort (Solo Juego),/product_images/Juegos/Wii Juegos/045496367473_s.jpg,Wii,045496367473,9.00,15.00,831
1.20,Wii Fit Plus (Solo Juego),/product_images/Juegos/Wii Juegos/045496367916_s.jpg,Wii,045496367916,1.90,5.00,831
1.80,Wii Sports (Solo Juego),/product_images/Juegos/Wii Juegos/045496362102_s.jpg,Wii,045496362102,2.00,4.00,831
5.00,Legend of Zelda: Twilight Princess,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,Wii,045496362393,7.00,12.00,831
8.00,Just Dance 4,/product_images/Juegos/Wii Juegos/3307215647196_s.jpg,Wii,3307215647196,11.00,18.00,831
6.00,Mario & Sonic Juegos Olimpicos de Invern,/product_images/Juegos/Wii Juegos/5055277000876_s.jpg,Wii,5055277000876,9.00,15.00,831
12.00,Super Mario 3D World,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,Wii U,045496332785,17.00,28.00,996
12.00,Mario Kart 8,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,Wii U,045496333288,17.00,28.00,996
3.00,ZombiU,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,Wii U,3307215654293,5.00,8.00,996
5.00,Nintendo Land,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,Wii U,045496331085,7.00,12.00,996
14.00,Super Smash Bros,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,Wii U,045496333621,20.00,32.00,996
9.00,Legend Of Zelda: Wind Waker HD,/product_images/Juegos/Wii U Juegos/0045496332303_s.jpg,Wii U,0045496332303,12.00,20.00,996
8.00,New Super Mario Bros. U & Super Luigi U,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,Wii U,045496332198,11.00,18.00,996
13.00,Super Mario Maker,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,Wii U,045496334987,18.00,30.00,996
12.00,Legend Of Zelda: Twilight Princess HD,/product_images/Juegos/Wii U Juegos/045496335489_s.jpg,Wii U,045496335489,17.00,28.00,996
12.00,Splatoon,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,Wii U,045496334475,17.00,28.00,996
6.00,New Super Mario Bros. U,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,Wii U,045496331207,9.00,15.00,996
15.00,Xenoblade Chronicles X,/product_images/Juegos/Wii U Juegos/045496335090_s.jpg,Wii U,045496335090,22.00,35.00,996
3.00,Call Of Duty: Black Ops II,/product_images/Juegos/Wii U Juegos/5030917114014_s.jpg,Wii U,5030917114014,4.00,7.00,996
12.00,Yoshi's Woolly World,/product_images/Juegos/Wii U Juegos/045496334697_s.jpg,Wii U,045496334697,17.00,28.00,996
9.00,Donkey Kong Country: Tropical Freeze,/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg,Wii U,0045496332716,12.00,20.00,996
8.00,Grand Theft Auto V (5) 2 Disco,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,Xbox 360,5026555258098,11.00,18.00,827
5.00,FIFA 15,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,Xbox 360,5035228112377,7.00,12.00,827
0.90,Gears of War,/product_images/Juegos/Xbox 360 Juegos/882224260145_s.jpg,Xbox 360,882224260145,1.50,4.00,827
6.00,Call Of Duty: Black Ops II,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,Xbox 360,5030917111679,9.00,15.00,827
3.00,Call Of Duty: Modern Warfare 3,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,Xbox 360,5030917096891,5.00,8.00,827
2.00,FIFA 14,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,Xbox 360,5030949111104,3.00,6.00,827
2.00,Battlefield 3 *2 Discos*,/product_images/Juegos/Xbox 360 Juegos/5030934102421_s.jpg,Xbox 360,5030934102421,3.00,6.00,827
4.00,Gears of War 3,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,Xbox 360,0885370309607,5.00,9.00,827
2.00,Gears of War 2,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,Xbox 360,882224721141,3.00,5.00,827
3.00,Call Of Duty: Ghosts *2 Disc*,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,Xbox 360,5030917125911,5.00,8.00,827
4.00,Far Cry 3,/product_images/Juegos/Xbox 360 Juegos/3307215633342_s.jpg,Xbox 360,3307215633342,6.00,10.00,827
4.00,Call Of Duty: Black Ops,/product_images/Juegos/Xbox 360 Juegos/5030917085864_s.jpg,Xbox 360,5030917085864,6.00,10.00,827
0.90,Forza Motorsport 3 (2 Discos),/product_images/Juegos/Xbox 360 Juegos/882224918343_s.jpg,Xbox 360,882224918343,1.50,4.00,827
2.00,Grand Theft Auto IV,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,Xbox 360,5026555245968,3.00,6.00,827
25.00,FIFA 17,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,Xbox One,5030937116425,30.00,45.00,1002
18.00,Gears of War 4,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,Xbox One,0889842121575,24.00,38.00,1002
7.00,Dead Rising 3,/product_images/Juegos/Xbox One Juegos/85370663983_s.jpg,Xbox One,85370663983,9.00,15.00,1002
19.00,Battlefield 1,/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg,Xbox One,5035228113763,26.00,40.00,1002
13.00,Call Of Duty: Black Ops III,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,Xbox One,5030917181863,18.00,28.00,1002
7.00,Halo: The Master Chief Collection,/product_images/Juegos/Xbox One Juegos/0885370863956_s.jpg,Xbox One,0885370863956,9.00,15.00,1002
19.00,Grand Theft Auto V (5),/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,Xbox One,5026555284127,26.00,40.00,1002
2.00,Call Of Duty: Advanced Warfare,/product_images/Juegos/Xbox One Juegos/5030917147791_s.jpg,Xbox One,5030917147791,4.00,12.00,1002
8.00,Forza Motorsport 5,/product_images/Juegos/Xbox One Juegos/885370662023_s.jpg,Xbox One,885370662023,11.00,18.00,1002
7.00,Gears Of War: Ultimate Edition,/product_images/Juegos/Xbox One Juegos/885370951844_s.jpg,Xbox One,885370951844,9.00,15.00,1002
12.00,Rise Of The Tomb Raider,/product_images/Juegos/Xbox One Juegos/885370984750_s.jpg,Xbox One,885370984750,16.00,25.00,1002
9.00,Halo 5: Guardians,/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,Xbox One,885370929669,13.00,20.00,1002
7.00,Far Cry 4,/product_images/Juegos/Xbox One Juegos/3307215794722_s.jpg,Xbox One,3307215794722,9.00,15.00,1002
8.00,Ryse: Son Of Rome,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,Xbox One,885370662221,11.00,18.00,1002
7.00,Homefront: The Revolution,/product_images/Juegos/Xbox One Juegos/4020628868543_s.jpg,Xbox One,4020628868543,9.00,15.00,1002
14.00,Batman: Arkham Knight,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,PlayStation 4,5051893179637,19.00,30.00,1001
12.00,Metal Gear Solid V: The Phantom Pain,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,PlayStation 4,4012927100417,16.00,25.00,1001
25.00,"Last Guardian, The",/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,PlayStation 4,711719838951,30.00,45.00,1001
18.00,Far Cry Primal,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,PlayStation 4,3307215938782,24.00,38.00,1001
19.00,"Last of Us, The - Remastered",/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,PlayStation 4,711719407515,26.00,40.00,1001
0.90,FIFA 15,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,PlayStation 4,5030947112387,1.80,6.00,1001
14.00,Assassin's Creed: Unity,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,PlayStation 4,3307215803530,19.00,30.00,1001
21.00,Pro Evolution Soccer 2017,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,PlayStation 4,4012927102336,29.00,45.00,1001
16.00,Witcher 3: Wild Hunt,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,PlayStation 4,3391891979016,22.00,35.00,1001
14.00,Fallout 4,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,PlayStation 4,5055856406242,19.00,30.00,1001
6.00,Call Of Duty: Advanced Warfare,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,PlayStation 4,5030917148019,10.00,28.00,1001
29.00,NBA 2K17,/product_images/Juegos/PS4 Juegos/5026555422079_s.jpg,PlayStation 4,5026555422079,35.00,52.00,1001
20.00,Uncharted: The Nathan Drake Collection,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,PlayStation 4,711719866534,27.00,42.00,1001
19.00,Titanfall 2,/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,PlayStation 4,5030932116925,26.00,40.00,1001
4.00,NBA 2K16,/product_images/Juegos/PS4 Juegos/5026555421256_s.jpg,PlayStation 4,5026555421256,7.00,20.00,1001
12.00,DriveClub,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,PlayStation 4,711719277071,16.00,25.00,1001
13.00,Doom (2016),/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,PlayStation 4,5055856403418,18.00,28.00,1001
8.00,Destiny,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,PlayStation 4,5030917124549,11.00,18.00,1001
13.00,InFamous Second Son,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,PlayStation 4,0711719278870,18.00,28.00,1001
26.00,Rise of the Tomb Raider,/product_images/Juegos/PS4 Juegos/5021290074811_s.jpg,PlayStation 4,5021290074811,35.00,55.00,1001
12.00,Battlefield 4,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,PlayStation 4,5030936111346,16.00,25.00,1001
14.00,Bloodborne,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,PlayStation 4,0711719800415,19.00,30.00,1001
12.00,No Man's Sky,/product_images/Juegos/PS4 Juegos/0711719849834_s.jpg,PlayStation 4,0711719849834,16.00,25.00,1001
8.00,Battlefield Hardline,/product_images/Juegos/PS4 Juegos/5030946112425_s.jpg,PlayStation 4,5030946112425,11.00,18.00,1001
13.00,God of War 3 - Remasterizado,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,PlayStation 4,711719843337,18.00,28.00,1001
19.00,Need For Speed (2015),/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,PlayStation 4,5035223113737,26.00,40.00,1001
9.00,"Order 1886, The",/product_images/Juegos/PS4 Juegos/0711719284697_s.jpg,PlayStation 4,0711719284697,13.00,20.00,1001
18.00,Rainbow Six: Siege,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,PlayStation 4,3307215889121,24.00,38.00,1001
18.00,Minecraft,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,PlayStation 4,711719439912,24.00,38.00,1001
22.00,Dishonored 2 (Sin DLC),/product_images/Juegos/PS4 Juegos/5055856410706_s.jpg,PlayStation 4,5055856410706,27.00,40.00,1001
9.00,Homefront: The Revolution,/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg,PlayStation 4,4020628868550,13.00,20.00,1001
16.00,Just Cause 3,/product_images/Juegos/PS4 Juegos/5021290069459_s.jpg,PlayStation 4,5021290069459,22.00,35.00,1001
12.00,Assassin's Creed 4: Black Flag,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,PlayStation 4,3307215715239,16.00,25.00,1001
19.00,Ratchet & Clank (2016),/product_images/Juegos/PS4 Juegos/711719848233_s.jpg,PlayStation 4,711719848233,26.00,40.00,1001
16.00,Dying Light,/product_images/Juegos/PS4 Juegos/5051893170139_s.jpg,PlayStation 4,5051893170139,22.00,35.00,1001
7.00,Killzone: Shadow Fall,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,PlayStation 4,711719275473,9.00,15.00,1001
4.00,Pro Evolution Soccer 2016,/product_images/Juegos/PS4 Juegos/4012927101179_s.jpg,PlayStation 4,4012927101179,6.00,18.00,1001
16.00,Until Dawn,/product_images/Juegos/PS4 Juegos/711719874737_s.jpg,PlayStation 4,711719874737,22.00,35.00,1001
18.00,Bloodborne - Game Of The Year Edition,/product_images/Juegos/PS4 Juegos/711719844341_s.jpg,PlayStation 4,711719844341,24.00,38.00,1001
16.00,Dragon Ball: Xenoverse,/product_images/Juegos/PS4 Juegos/3391891980685_s.jpg,PlayStation 4,3391891980685,22.00,35.00,1001
