precio_venta,categoria_str,precio_compra,precio_intercambio,titulo,img_caratula,sku,categoria_id
2.00,PSP,0.30,0.60,WWE Smackdown Vs. Raw 2008,/product_images/Juegos/PSP Juegos/4005209098892_s.jpg,4005209098892,862
3.00,PSP,0.40,0.90,Ratchet & Clank: El Tamano Importa,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,711719651888,862
3.00,PSP,0.40,0.90,Medievil: Resurreccion,/product_images/Juegos/PSP Juegos/711719678250_s.jpg,711719678250,862
2.00,PSP,0.30,0.60,Pro Evolution Soccer 2012,/product_images/Juegos/PSP Juegos/4012927065174_s.jpg,4012927065174,862
5.00,PSP,1.00,1.80,Grand Theft Auto: Liberty City Stories,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,5026555280143,862
4.00,PSP,0.80,1.40,FIFA 13,/product_images/Juegos/PSP Juegos/5030934109888_s.jpg,5030934109888,862
0.50,PSP,0.01,0.10,Play Chapas,/product_images/Juegos/PSP Juegos/711719738657_s.jpg,711719738657,862
0.50,PSP,0.01,0.10,Play English,/product_images/Juegos/PSP Juegos/711719122678_s.jpg,711719122678,862
18.00,Wii,8.00,11.00,Mario Kart Wii (Solo Juego),/product_images/Juegos/Wii Juegos/045496365202_s.jpg,045496365202,831
25.00,Wii,11.00,15.00,New Super Mario Bros. Wii,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,045496368098,831
6.00,Wii,2.00,3.00,Wii Play (solo juego),/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,045496362201,831
15.00,Wii,6.00,9.00,Wii Sports Resort (Solo Juego),/product_images/Juegos/Wii Juegos/045496367473_s.jpg,045496367473,831
15.00,Wii,6.00,9.00,Super Smash Bros. Brawl,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,045496365899,831
5.00,Wii,2.00,3.00,Wii Sports (Solo Juego),/product_images/Juegos/Wii Juegos/045496362102_s.jpg,045496362102,831
22.00,Wii,9.00,13.00,Super Mario Galaxy 2,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,045496368869,831
15.00,Wii,6.00,9.00,Super Mario Galaxy,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,045496363932,831
22.00,Wii,9.00,13.00,Legend of Zelda: Skyward Sword,/product_images/Juegos/Wii Juegos/045496400736_s.jpg,045496400736,831
5.00,Wii,2.00,3.00,Wii Fit Plus (Solo Juego),/product_images/Juegos/Wii Juegos/045496367916_s.jpg,045496367916,831
12.00,Wii,5.00,7.00,Legend of Zelda: Twilight Princess,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,045496362393,831
25.00,Wii,11.00,15.00,Just Dance 2016,/product_images/Juegos/Wii Juegos/3307215897843_s.jpg,3307215897843,831
28.00,Wii U,12.00,17.00,Mario Kart 8,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,045496333288,996
20.00,Wii U,9.00,12.00,Donkey Kong Country: Tropical Freeze,/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg,0045496332716,996
28.00,Wii U,12.00,17.00,Super Mario 3D World,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,045496332785,996
12.00,Wii U,5.00,7.00,Nintendo Land,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,045496331085,996
32.00,Wii U,14.00,20.00,Super Smash Bros,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,045496333621,996
28.00,Wii U,12.00,17.00,Splatoon,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,045496334475,996
15.00,Wii U,6.00,9.00,New Super Mario Bros. U,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,045496331207,996
30.00,Wii U,13.00,18.00,Super Mario Maker,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,045496334987,996
18.00,Wii U,8.00,11.00,New Super Mario Bros. U & Super Luigi U,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,045496332198,996
8.00,Wii U,3.00,5.00,ZombiU,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,3307215654293,996
20.00,Wii U,9.00,12.00,Mario Party 10,/product_images/Juegos/Wii U Juegos/045496334161_s.jpg,045496334161,996
30.00,Wii U,13.00,18.00,Paper Mario: Color Splash,/product_images/defimg2_s.jpg,045496337001,996
35.00,Wii U,15.00,22.00,Xenoblade Chronicles X,/product_images/Juegos/Wii U Juegos/045496335090_s.jpg,045496335090,996
20.00,Wii U,9.00,12.00,Legend Of Zelda: Wind Waker HD,/product_images/Juegos/Wii U Juegos/0045496332303_s.jpg,0045496332303,996
28.00,Wii U,12.00,17.00,Yoshi's Woolly World,/product_images/Juegos/Wii U Juegos/045496334697_s.jpg,045496334697,996
20.00,Xbox 360,9.00,12.00,Grand Theft Auto V (5) 2 Disco,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,5026555258098,827
5.00,Xbox 360,2.00,3.00,FIFA 14,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,5030949111104,827
15.00,Xbox 360,6.00,9.00,Call Of Duty: Black Ops II,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,5030917111679,827
10.00,Xbox 360,4.00,6.00,Call Of Duty: Ghosts *2 Disc*,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,5030917125911,827
8.00,Xbox 360,3.00,5.00,Call Of Duty: Modern Warfare 3,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,5030917096891,827
5.00,Xbox 360,2.00,3.00,Call of Duty: Modern Warfare 2,/product_images/Juegos/Xbox 360 Juegos/5030917071065_s.jpg,5030917071065,827
3.00,Xbox 360,0.70,1.10,Halo 3,/product_images/Juegos/Xbox 360 Juegos/882224482479_s.jpg,882224482479,827
4.00,Xbox 360,1.80,2.00,Gears of War 2,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,882224721141,827
8.00,Xbox 360,3.00,5.00,Resident Evil 6 *2 Disc*,/product_images/Juegos/Xbox 360 Juegos/5055060963852_s.jpg,5055060963852,827
15.00,Xbox 360,6.00,9.00,FIFA 15,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,5035228112377,827
8.00,Xbox 360,3.00,5.00,Grand Theft Auto IV,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,5026555245968,827
15.00,Xbox 360,6.00,9.00,Minecraft,/product_images/Juegos/Xbox 360 Juegos/0885370606515_s.jpg,0885370606515,827
6.00,Xbox 360,2.00,3.00,Halo 4 *2 Disc*,/product_images/Juegos/Xbox 360 Juegos/885370439939_s.jpg,885370439939,827
6.00,Xbox 360,2.00,3.00,Gears of War 3,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,0885370309607,827
60.00,Xbox One,42.00,46.00,Resident Evil 7: Biohazard,/product_images/Juegos/Xbox One Juegos/5055060965924_s.jpg,5055060965924,1002
18.00,Xbox One,8.00,11.00,Dead Rising 3,/product_images/Juegos/Xbox One Juegos/85370663983_s.jpg,85370663983,1002
38.00,Xbox One,17.00,24.00,Dead Rising 4,/product_images/Juegos/Xbox One Juegos/889842148671_s.jpg,889842148671,1002
18.00,Xbox One,8.00,11.00,Halo 5: Guardians,/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,885370929669,1002
42.00,Xbox One,18.00,26.00,Final Fantasy XV,/product_images/Juegos/Xbox One Juegos/5021290073081_s.jpg,5021290073081,1002
38.00,Xbox One,17.00,24.00,Gears of War 4,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,0889842121575,1002
40.00,Xbox One,18.00,25.00,Grand Theft Auto V (5),/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,5026555284127,1002
30.00,Xbox One,13.00,18.00,Call Of Duty: Black Ops III,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,5030917181863,1002
42.00,Xbox One,23.00,28.00,FIFA 17,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,5030937116425,1002
42.00,Xbox One,18.00,26.00,Battlefield 1,/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg,5035228113763,1002
15.00,Xbox One,3.00,5.00,Call Of Duty: Advanced Warfare,/product_images/Juegos/Xbox One Juegos/5030917147791_s.jpg,5030917147791,1002
28.00,Xbox One,12.00,17.00,Titanfall 2,/product_images/Juegos/Xbox One Juegos/5030937116920_s.jpg,5030937116920,1002
15.00,Xbox One,6.00,9.00,Doom (2016),/product_images/Juegos/Xbox One Juegos/5055856403524_s.jpg,5055856403524,1002
20.00,Xbox One,9.00,12.00,Ryse: Son Of Rome,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,885370662221,1002
20.00,Xbox One,9.00,12.00,Forza Motorsport 5,/product_images/Juegos/Xbox One Juegos/885370662023_s.jpg,885370662023,1002
15.00,PlayStation 4,6.00,9.00,Destiny,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,5030917124549,1001
48.00,PlayStation 4,21.00,30.00,Final Fantasy XV,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,5021290072985,1001
40.00,PlayStation 4,18.00,25.00,"Last Guardian, The",/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,711719838951,1001
22.00,PlayStation 4,9.00,13.00,Far Cry 4,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,3307215793633,1001
32.00,PlayStation 4,14.00,20.00,Assassin's Creed: Syndicate,/product_images/Juegos/PS4 Juegos/3307215893227_s.jpg,3307215893227,1001
32.00,PlayStation 4,14.00,20.00,Assassin's Creed: Unity,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,3307215803530,1001
30.00,PlayStation 4,13.00,18.00,Batman: Arkham Knight,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,5051893179637,1001
22.00,PlayStation 4,9.00,13.00,Metal Gear Solid V: The Phantom Pain,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,4012927100417,1001
32.00,PlayStation 4,14.00,20.00,Fallout 4,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,5055856406242,1001
42.00,PlayStation 4,18.00,26.00,"Last of Us, The - Remastered",/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,711719407515,1001
55.00,PlayStation 4,38.00,42.00,Kingdom Hearts HD 2.8 Final Chapter Prologue,/product_images/Juegos/PS4 Juegos/5021290072022_s.jpg,5021290072022,1001
8.00,PlayStation 4,1.20,2.00,FIFA 15,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,5030947112387,1001
30.00,PlayStation 4,13.00,18.00,Little Big Planet 3,/product_images/Juegos/PS4 Juegos/711719446019_s.jpg,711719446019,1001
28.00,PlayStation 4,12.00,17.00,Doom (2016),/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,5055856403418,1001
28.00,PlayStation 4,6.00,10.00,Call Of Duty: Advanced Warfare,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,5030917148019,1001
40.00,PlayStation 4,18.00,25.00,Uncharted: The Nathan Drake Collection,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,711719866534,1001
38.00,PlayStation 4,17.00,24.00,Witcher 3: Wild Hunt,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,3391891979016,1001
42.00,PlayStation 4,18.00,26.00,Rainbow Six: Siege,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,3307215889121,1001
28.00,PlayStation 4,12.00,17.00,Battlefield 4,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,5030936111346,1001
22.00,PlayStation 4,9.00,13.00,Assassin's Creed 4: Black Flag,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,3307215715239,1001
30.00,PlayStation 4,13.00,18.00,God of War 3 - Remasterizado,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,711719843337,1001
42.00,PlayStation 4,18.00,26.00,Pro Evolution Soccer 2017,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,4012927102336,1001
35.00,PlayStation 4,15.00,22.00,Until Dawn,/product_images/Juegos/PS4 Juegos/711719874737_s.jpg,711719874737,1001
35.00,PlayStation 4,15.00,22.00,Dragon Ball: Xenoverse,/product_images/Juegos/PS4 Juegos/3391891980685_s.jpg,3391891980685,1001
40.00,PlayStation 4,18.00,25.00,Minecraft,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,711719439912,1001
58.00,PlayStation 4,32.00,39.00,Overwatch,/product_images/Juegos/PS4 Juegos/5030917188893_s.jpg,5030917188893,1001
38.00,PlayStation 4,17.00,24.00,Dishonored 2 (Sin DLC),/product_images/Juegos/PS4 Juegos/5055856410706_s.jpg,5055856410706,1001
42.00,PlayStation 4,18.00,26.00,Need For Speed (2015),/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,5035223113737,1001
15.00,PlayStation 4,6.00,9.00,Battlefield Hardline,/product_images/Juegos/PS4 Juegos/5030946112425_s.jpg,5030946112425,1001
22.00,PlayStation 4,9.00,13.00,No Man's Sky,/product_images/Juegos/PS4 Juegos/0711719849834_s.jpg,0711719849834,1001
28.00,PlayStation 4,12.00,17.00,DriveClub,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,711719277071,1001
32.00,PlayStation 4,14.00,20.00,Tomb Raider: Definitive Edition,/product_images/Juegos/PS4 Juegos/5021290060869_s.jpg,5021290060869,1001
28.00,PlayStation 4,12.00,17.00,Bloodborne,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,0711719800415,1001
50.00,PlayStation 4,22.00,31.00,NBA 2K17,/product_images/Juegos/PS4 Juegos/5026555422079_s.jpg,5026555422079,1001
52.00,PlayStation 4,23.00,32.00,Rise of the Tomb Raider,/product_images/Juegos/PS4 Juegos/5021290074811_s.jpg,5021290074811,1001
28.00,PlayStation 4,12.00,17.00,InFamous Second Son,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,0711719278870,1001
35.00,PlayStation 4,15.00,22.00,Ratchet & Clank (2016),/product_images/Juegos/PS4 Juegos/711719848233_s.jpg,711719848233,1001
38.00,PlayStation 4,17.00,24.00,Titanfall 2,/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,5030932116925,1001
35.00,PlayStation 4,15.00,22.00,Just Cause 3,/product_images/Juegos/PS4 Juegos/5021290069459_s.jpg,5021290069459,1001
