categoria_str,precio_intercambio,precio_venta,img_caratula,precio_compra,titulo,categoria_id,sku
PlayStation 3,5.00,15.00,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,3.00,Call Of Duty: Black Ops II,821,5030917111761
PlayStation 3,3.00,6.00,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,2.00,Call Of Duty: Modern Warfare 3,821,5030917096808
PlayStation 3,3.00,6.00,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,2.00,Grand Theft Auto IV,821,5026555400251
PlayStation 3,5.00,8.00,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,3.00,FIFA 15,821,5030937112373
PlayStation 3,3.00,6.00,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,2.00,Call Of Duty: Ghosts,821,5030917126116
PlayStation 3,5.00,8.00,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,3.00,Call Of Duty: Black Ops,821,5030917085802
PlayStation 3,9.00,15.00,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,6.00,Call Of Duty: Advanced Warfare,821,5030917147906
PlayStation 3,3.00,6.00,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,2.00,Gran Turismo 5,821,711719190059
PlayStation 3,0.60,2.00,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,0.30,FIFA 14,821,5030933111103
PlayStation 3,13.00,22.00,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,9.00,FIFA 16,821,5030946112869
PlayStation 3,6.00,10.00,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,4.00,Uncharted 3: Traicion de Drake,821,711719123996
PlayStation 3,3.00,6.00,/product_images/Juegos/PS3 Juegos/5030917070990_s.jpg,2.00,Call of Duty: Modern Warfare 2,821,5030917070990
PlayStation 3,6.00,10.00,/product_images/Juegos/PS3 Juegos/711719158264_s.jpg,4.00,God of War III (3),821,711719158264
PlayStation 3,3.00,5.00,/product_images/Juegos/PS3 Juegos/5030934102902_s.jpg,2.00,Battlefield 3,821,5030934102902
PlayStation Vita,9.00,15.00,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,7.00,Minecraft,990,711719438519
PlayStation Vita,9.00,15.00,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,7.00,Need For Speed: Most Wanted 12,990,5030934109192
PlayStation Vita,14.00,22.00,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,10.00,Call of Duty Black Ops- Declassified,990,5030917114083
PlayStation Vita,2.00,6.00,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,1.40,FIFA 13,990,5030934109901
PlayStation Vita,9.00,15.00,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,7.00,Assassin's Creed III (3): Liberation,990,3307215652312
PlayStation Vita,6.00,10.00,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,4.00,FIFA 14,990,5030939111404
PlayStation Vita,14.00,22.00,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,10.00,FIFA 15,990,5035225113223
PlayStation Vita,13.00,20.00,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,9.00,Uncharted: Golden Abyss,990,711719200628
PlayStation Vita,2.00,6.00,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,1.40,Invizimals - La Alianza,990,711719287667
PlayStation Vita,7.00,12.00,/product_images/Juegos/PS Vita Juegos/711719291589_s.jpg,5.00,Freedom Wars,990,711719291589
PlayStation Vita,13.00,20.00,/product_images/Juegos/PS Vita Juegos/4012927066065_s.jpg,9.00,Metal Gear Solid Hd Colección,990,4012927066065
PlayStation Vita,13.00,20.00,/product_images/Juegos/PS Vita Juegos/5021290057791_s.jpg,9.00,Final Fantasy X HD Only,990,5021290057791
PlayStation Vita,9.00,15.00,/product_images/Juegos/PS Vita Juegos/711719421511_s.jpg,7.00,Borderlands 2,990,711719421511
PlayStation Vita,11.00,18.00,/product_images/Juegos/PS Vita Juegos/3307215916520_s.jpg,8.00,Assassins Creed Chronicles,990,3307215916520
PlayStation Vita,11.00,18.00,/product_images/Juegos/PS Vita Juegos/711719241638_s.jpg,8.00,Gravity Rush,990,711719241638
PSP,1.40,4.00,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,0.80,Grand Theft Auto: Liberty City Stories,862,5026555280143
PSP,1.40,4.00,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,0.80,Grand Theft Auto Vice City Stories,862,5026555280785
PSP,1.40,4.00,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,0.80,Assassin's Creed: Bloodlines,862,3307211667679
PSP,0.90,3.00,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,0.40,God of War: Chains of Olympus,862,711719908128
PSP,0.90,3.00,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,0.40,Gran Turismo,862,711719151159
PSP,1.60,4.50,/product_images/Juegos/PSP Juegos/711719168171_s.jpg,0.90,God of War: Ghost of Sparta,862,711719168171
PSP,0.90,3.00,/product_images/Juegos/PSP Juegos/711719660071_s.jpg,0.40,Tekken Dark Resurrection,862,711719660071
PSP,0.90,3.00,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,0.40,Ratchet & Clank: El Tamano Importa,862,711719651888
PSP,0.10,0.50,/product_images/Juegos/PSP Juegos/8414646244995_s.jpg,0.01,Invizimals: Las tribus perdidas,862,8414646244995
PSP,0.40,1.50,/product_images/Juegos/PSP Juegos/4012927065174_s.jpg,0.20,Pro Evolution Soccer 2012,862,4012927065174
PSP,0.90,3.00,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,0.40,Daxter,862,711719646266
PSP,0.90,3.00,/product_images/Juegos/PSP Juegos/5030917089039_s.jpg,0.40,Spiderman 3,862,5030917089039
PSP,1.40,4.00,/product_images/Juegos/PSP Juegos/711719678250_s.jpg,0.80,Medievil: Resurreccion,862,711719678250
PSP,0.10,0.50,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,0.01,Invizimals La Otra Dimension (Solo Juego,862,711719169772
PSP,0.40,1.50,/product_images/Juegos/PSP Juegos/711719195399_s.jpg,0.20,"Geronimo Stilton, En El Reino De La Fant",862,711719195399
Wii,11.00,18.00,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,8.00,New Super Mario Bros. Wii,831,045496368098
Wii,11.00,18.00,/product_images/Juegos/Wii Juegos/045496365202_s.jpg,8.00,Mario Kart Wii (Solo Juego),831,045496365202
Wii,3.00,5.00,/product_images/Juegos/Wii Juegos/045496362102_s.jpg,2.00,Wii Sports (Solo Juego),831,045496362102
Wii,2.00,4.00,/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,1.80,Wii Play (solo juego),831,045496362201
Wii,6.00,10.00,/product_images/Juegos/Wii Juegos/045496367473_s.jpg,4.00,Wii Sports Resort (Solo Juego),831,045496367473
Wii,9.00,15.00,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,6.00,Super Smash Bros. Brawl,831,045496365899
Wii,9.00,15.00,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,6.00,Super Mario Galaxy,831,045496363932
Wii,12.00,20.00,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,9.00,Super Mario Galaxy 2,831,045496368869
Wii,9.00,15.00,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,6.00,Legend of Zelda: Twilight Princess,831,045496362393
Wii,2.00,4.00,/product_images/Juegos/Wii Juegos/045496367916_s.jpg,1.80,Wii Fit Plus (Solo Juego),831,045496367916
Wii,9.00,15.00,/product_images/Juegos/Wii Juegos/045496362867_s.jpg,6.00,Mario Party 8,831,045496362867
Wii,6.00,10.00,/product_images/Juegos/Wii Juegos/3307211686335_s.jpg,4.00,Just Dance,831,3307211686335
Wii U,15.00,25.00,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,11.00,Mario Kart 8,996,045496333288
Wii U,50.00,65.00,/product_images/Juegos/Wii U Juegos/045496337087_s.jpg,45.00,Legend of Zelda: Breath of the Wild,996,045496337087
Wii U,13.00,22.00,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,9.00,Super Mario 3D World,996,045496332785
Wii U,15.00,25.00,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,11.00,Splatoon,996,045496334475
Wii U,18.00,30.00,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,13.00,Super Mario Maker,996,045496334987
Wii U,6.00,10.00,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,4.00,Nintendo Land,996,045496331085
Wii U,12.00,20.00,/product_images/Juegos/Wii U Juegos/0045496332303_s.jpg,9.00,Legend Of Zelda: Wind Waker HD,996,0045496332303
Wii U,18.00,30.00,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,13.00,Super Smash Bros,996,045496333621
