precio_compra,img_caratula,categoria_str,sku,categoria_id,precio_venta,precio_intercambio,titulo
3.00,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,PlayStation 3,711719123996,821,8.00,5.00,Uncharted 3: Traicion de Drake
0.01,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,PlayStation 3,5030934109680,821,0.50,0.10,FIFA 13
5.00,/product_images/Juegos/PS3 Juegos/711719412915_s.jpg,PlayStation 3,711719412915,821,12.00,7.00,Minecraft
2.00,/product_images/Juegos/PS Vita Juegos/5055377602352_s.jpg,PlayStation Vita,5055377602352,990,6.00,3.00,Space Hulk
0.90,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,PlayStation Vita,5030934109901,990,4.00,1.50,FIFA 13
8.00,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,PlayStation Vita,711719200628,990,18.00,11.00,Uncharted: Golden Abyss
7.00,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,PlayStation Vita,3307215652312,990,15.00,9.00,Assassin's Creed III (3): Liberation
7.00,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,PlayStation Vita,5030934109192,990,15.00,9.00,Need For Speed: Most Wanted 12
4.00,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,PlayStation Vita,5030939111404,990,10.00,6.00,FIFA 14
8.00,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,PlayStation Vita,711719438519,990,18.00,11.00,Minecraft
3.00,/product_images/Juegos/PS Vita Juegos/5051893165036_s.jpg,PlayStation Vita,5051893165036,990,7.00,4.00,Lego Movie: The Videogame
8.00,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,PlayStation Vita,711719251163,990,18.00,11.00,Killzone Mercenary
1.20,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,PlayStation Vita,711719287667,990,5.00,1.90,Invizimals - La Alianza
7.00,/product_images/Juegos/PS Vita Juegos/5051893143447_s.jpg,PlayStation Vita,5051893143447,990,15.00,9.00,Lego Marvel Superheroes
9.00,/product_images/Juegos/PS Vita Juegos/5021290057791_s.jpg,PlayStation Vita,5021290057791,990,20.00,13.00,Final Fantasy X HD Only
2.00,/product_images/Juegos/PS Vita Juegos/5060102954392_s.jpg,PlayStation Vita,5060102954392,990,6.00,3.00,Superbeat: Xonic
5.00,/product_images/Juegos/PS Vita Juegos/711719238867_s.jpg,PlayStation Vita,711719238867,990,12.00,7.00,Epic Mickey 2: El Retorno De Dos Heroes
7.00,/product_images/Juegos/PS Vita Juegos/3391891985895_s.jpg,PlayStation Vita,3391891985895,990,15.00,9.00,Sword Art Online: Lost Song
1.00,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,PSP,5026555280785,862,5.00,1.80,Grand Theft Auto Vice City Stories
1.00,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,PSP,5026555280143,862,5.00,1.80,Grand Theft Auto: Liberty City Stories
0.40,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,PSP,711719151159,862,3.00,0.90,Gran Turismo
