precio_venta,titulo,precio_compra,categoria_id,img_caratula,precio_intercambio,sku,categoria_str
18.00,New Super Mario Bros. Wii,8.00,831,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,11.00,045496368098,Wii
18.00,Mario Kart Wii (Solo Juego),8.00,831,/product_images/Juegos/Wii Juegos/045496365202_s.jpg,11.00,045496365202,Wii
4.00,Wii Play (solo juego),1.80,831,/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,2.00,045496362201,Wii
15.00,Super Mario Galaxy,6.00,831,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,9.00,045496363932,Wii
10.00,Wii Sports Resort (Solo Juego),4.00,831,/product_images/Juegos/Wii Juegos/045496367473_s.jpg,6.00,045496367473,Wii
15.00,Super Smash Bros. Brawl,6.00,831,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,9.00,045496365899,Wii
15.00,Legend of Zelda: Twilight Princess,6.00,831,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,9.00,045496362393,Wii
20.00,Super Mario Galaxy 2,9.00,831,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,12.00,045496368869,Wii
22.00,Legend of Zelda: Skyward Sword,9.00,831,/product_images/Juegos/Wii Juegos/045496400736_s.jpg,13.00,045496400736,Wii
4.00,Wii Fit Plus (Solo Juego),1.80,831,/product_images/Juegos/Wii Juegos/045496367916_s.jpg,2.00,045496367916,Wii
5.00,Wii Sports (Solo Juego),2.00,831,/product_images/Juegos/Wii Juegos/045496362102_s.jpg,3.00,045496362102,Wii
15.00,Just Dance 4,6.00,831,/product_images/Juegos/Wii Juegos/3307215647196_s.jpg,9.00,3307215647196,Wii
22.00,Mario Party 9,9.00,831,/product_images/Juegos/Wii Juegos/045496401467_s.jpg,13.00,045496401467,Wii
25.00,Mario Kart 8,11.00,996,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,15.00,045496333288,Wii U
10.00,Nintendo Land,4.00,996,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,6.00,045496331085,Wii U
25.00,Splatoon,11.00,996,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,15.00,045496334475,Wii U
30.00,Super Mario Maker,13.00,996,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,18.00,045496334987,Wii U
