titulo,img_caratula,categoria_id,categoria_str,precio_intercambio,sku,precio_venta,precio_compra
New Super Mario Bros. 2,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,977,Nintendo 3DS,18.00,045496522582,28.00,13.00
Animal Crossing: New Leaf,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,977,Nintendo 3DS,19.00,045496523848,30.00,14.00
Legend of Zelda Majora's Mask,/product_images/Juegos/3DS Juegos/045496527297_s.jpg,977,Nintendo 3DS,20.00,045496527297,30.00,16.00
Super Mario 3D Land,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,977,Nintendo 3DS,18.00,045496521233,28.00,13.00
Monster Hunter 4 Ultimate,/product_images/Juegos/3DS Juegos/045496527075_s.jpg,977,Nintendo 3DS,14.00,045496527075,22.00,10.00
New Super Mario Bros.,/product_images/Juegos/DS Juegos/045496463106_s.jpg,834,Nintendo DS,11.00,045496463106,18.00,8.00
Mario Kart DS,/product_images/Juegos/DS Juegos/045496462338_s.jpg,834,Nintendo DS,9.00,045496462338,15.00,6.00
Brain Training,/product_images/Juegos/DS Juegos/045496462567_s.jpg,834,Nintendo DS,0.70,045496462567,2.00,0.40
Pokemon Diamante,/product_images/Juegos/DS Juegos/045496464844_s.jpg,834,Nintendo DS,9.00,045496464844,15.00,6.00
Super Mario 64 DS,/product_images/Juegos/DS Juegos/045496462031_s.jpg,834,Nintendo DS,11.00,045496462031,18.00,8.00
Pokemon Edicion Blanca,/product_images/Juegos/DS Juegos/045496471118_s.jpg,834,Nintendo DS,9.00,045496471118,15.00,6.00
Pokemon Mundo Misterioso Equipo Azul,/product_images/Juegos/DS Juegos/045496463595_s.jpg,834,Nintendo DS,7.00,045496463595,12.00,5.00
NintenDogs Labrador & Friends,/product_images/Juegos/DS Juegos/045496462246_s.jpg,834,Nintendo DS,1.30,045496462246,3.50,0.80
Pokemon Edicion Negra,/product_images/Juegos/DS Juegos/045496471057_s.jpg,834,Nintendo DS,9.00,045496471057,15.00,6.00
Pokemon Platino,/product_images/Juegos/DS Juegos/045496468644_s.jpg,834,Nintendo DS,12.00,045496468644,20.00,9.00
Pokemon Plata SoulSilver Sin Pokewalker,/product_images/Juegos/DS Juegos/04549646PSSN_s.jpg,834,Nintendo DS,22.00,04549646,35.00,15.00
Pokemon Oro HeartGold Sin Pokewalker,/product_images/Juegos/DS Juegos/045496469641B_s.jpg,834,Nintendo DS,20.00,045496469641,32.00,14.00
Animal Crossing: Wild World,/product_images/Juegos/DS Juegos/045496462543_s.jpg,834,Nintendo DS,7.00,045496462543,12.00,5.00
Pokemon Perla,/product_images/Juegos/DS Juegos/045496464936_s.jpg,834,Nintendo DS,9.00,045496464936,15.00,6.00
Profesor Layton y la Caja de Pandora,/product_images/Juegos/DS Juegos/045496468910_s.jpg,834,Nintendo DS,7.00,045496468910,12.00,5.00
Need For Speed: Porsche 2000,/product_images/defimg2_s.jpg,830,PC,0.20,8431474003723,0.75,0.10
Splinter Cell,/product_images/Juegos/PC Juegos/3307210181862_s.jpg,830,PC,0.01,3307210181862,0.25,0.01
Classic Games Collection,/product_images/defimg4_s.jpg,830,PC,0.10,8431474001200,0.50,0.01
Imperium II,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,830,PC,0.40,8436010150572,1.50,0.20
Imperium,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,830,PC,0.40,8436010150275,1.50,0.20
Imperium III,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,830,PC,1.00,8436010150671,3.50,0.50
Warhammer 40000 - Armageddon (SN),/product_images/Juegos/PC Juegos/5060193302294_s.jpg,830,PC,0.30,5060193302294,1.00,0.10
Skyhill,/product_images/Juegos/PC Juegos/8414606866984_s.jpg,830,PC,0.10,8414606866984,0.50,0.10
Blackguards,/product_images/Juegos/PC Juegos/8436016710787_s.jpg,830,PC,0.30,8436016710787,1.00,0.10
Los Sims 2 (SN),/product_images/Juegos/PC Juegos/8414185051528_s.jpg,830,PC,4.00,8414185051528,12.00,2.00
Cine Gramas,/product_images/defimg2_s.jpg,830,PC,0.30,8431474002832,1.00,0.20
Stasis,/product_images/Juegos/PC Juegos/8414606866977_s.jpg,830,PC,0.30,8414606866977,1.00,0.10
Call of Juarez: Bound in Blood,/product_images/Juegos/PC Juegos/3307211657861_s.jpg,830,PC,0.40,3307211657861,1.50,0.20
Torrente El Juego,/product_images/Juegos/PC Juegos/8436010150527_s.jpg,830,PC,0.01,8436010150527,0.10,0.01
Pro Race Driver,/product_images/Juegos/PC Juegos/8436010150909_s.jpg,830,PC,0.01,8436010150909,0.10,0.01
Grand Theft Auto V (5),/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,821,PlayStation 3,9.00,5026555410267,15.00,6.00
Call Of Duty: Black Ops II,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,821,PlayStation 3,4.00,5030917111761,12.00,2.00
FIFA 15,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,821,PlayStation 3,2.00,5030937112373,7.00,1.60
Call Of Duty: Ghosts,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,821,PlayStation 3,3.00,5030917126116,5.00,2.00
Call Of Duty: Modern Warfare 3,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,821,PlayStation 3,3.00,5030917096808,5.00,2.00
Call Of Duty: Black Ops,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,821,PlayStation 3,4.00,5030917085802,7.00,3.00
Grand Theft Auto IV,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,821,PlayStation 3,3.00,5026555400251,6.00,2.00
FIFA 14,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,821,PlayStation 3,0.60,5030933111103,2.00,0.30
FIFA 16,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,821,PlayStation 3,8.00,5030946112869,22.00,5.00
Last Of Us,/product_images/Juegos/PS3 Juegos/0711719274551_s.jpg,821,PlayStation 3,12.00,0711719274551,20.00,9.00
Gran Turismo 5,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,821,PlayStation 3,1.90,711719190059,5.00,1.20
FIFA 13,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,821,PlayStation 3,0.10,5030934109680,0.50,0.01
Uncharted 3: Traicion de Drake,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,821,PlayStation 3,5.00,711719123996,8.00,3.00
Minecraft,/product_images/Juegos/PS3 Juegos/711719412915_s.jpg,821,PlayStation 3,7.00,711719412915,12.00,5.00
Assassin's Creed III (3),/product_images/Juegos/PS3 Juegos/3307215644867_s.jpg,821,PlayStation 3,5.00,3307215644867,8.00,3.00
Space Hulk,/product_images/Juegos/PS Vita Juegos/5055377602352_s.jpg,990,PlayStation Vita,3.00,5055377602352,6.00,2.00
Uncharted: Golden Abyss,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,990,PlayStation Vita,11.00,711719200628,18.00,8.00
FIFA 13,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,990,PlayStation Vita,1.50,5030934109901,4.00,0.90
Invizimals - La Alianza,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,990,PlayStation Vita,1.90,711719287667,5.00,1.20
Assassin's Creed III (3): Liberation,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,990,PlayStation Vita,9.00,3307215652312,15.00,7.00
Minecraft,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,990,PlayStation Vita,11.00,711719438519,18.00,8.00
Killzone Mercenary,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,990,PlayStation Vita,11.00,711719251163,18.00,8.00
Need For Speed: Most Wanted 12,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,990,PlayStation Vita,9.00,5030934109192,15.00,7.00
Final Fantasy X HD Only,/product_images/Juegos/PS Vita Juegos/5021290057791_s.jpg,990,PlayStation Vita,13.00,5021290057791,20.00,9.00
Lego Movie: The Videogame,/product_images/Juegos/PS Vita Juegos/5051893165036_s.jpg,990,PlayStation Vita,4.00,5051893165036,7.00,3.00
Lego Marvel Superheroes,/product_images/Juegos/PS Vita Juegos/5051893143447_s.jpg,990,PlayStation Vita,9.00,5051893143447,15.00,7.00
Superbeat: Xonic,/product_images/Juegos/PS Vita Juegos/5060102954392_s.jpg,990,PlayStation Vita,3.00,5060102954392,6.00,2.00
Little Big Planet,/product_images/Juegos/PS Vita Juegos/711719236542_s.jpg,990,PlayStation Vita,6.00,711719236542,10.00,4.00
FIFA 14,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,990,PlayStation Vita,6.00,5030939111404,10.00,4.00
Aventuras De Tadeo Jones,/product_images/Juegos/PS Vita Juegos/4020628900403_s.jpg,990,PlayStation Vita,7.00,4020628900403,12.00,5.00
Grand Theft Auto: Liberty City Stories,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,862,PSP,1.80,5026555280143,5.00,1.00
Gran Turismo,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,862,PSP,0.90,711719151159,3.00,0.40
Grand Theft Auto Vice City Stories,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,862,PSP,1.80,5026555280785,5.00,1.00
Assassin's Creed: Bloodlines,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,862,PSP,1.80,3307211667679,5.00,1.00
Ratchet & Clank: El Tamano Importa,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,862,PSP,0.90,711719651888,3.00,0.40
Invizimals La Otra Dimension (Solo Juego,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,862,PSP,0.10,711719169772,0.50,0.01
Pro Evolution Soccer 2009,/product_images/Juegos/PSP Juegos/4012927063354_s.jpg,862,PSP,0.10,4012927063354,0.50,0.01
Invizimals: Las tribus perdidas,/product_images/Juegos/PSP Juegos/8414646244995_s.jpg,862,PSP,0.10,8414646244995,0.50,0.01
FIFA 13,/product_images/Juegos/PSP Juegos/5030934109888_s.jpg,862,PSP,1.40,5030934109888,4.00,0.80
God of War: Chains of Olympus,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,862,PSP,0.90,711719908128,3.00,0.40
Little Big Planet,/product_images/Juegos/PSP Juegos/711719143451_s.jpg,862,PSP,0.70,711719143451,2.50,0.30
Pro Evolution Soccer (PES) 2013,/product_images/Juegos/PSP Juegos/4012927066225_s.jpg,862,PSP,1.40,4012927066225,4.00,0.80
Dragon Ball Z Shin Budokai 2,/product_images/Juegos/PSP Juegos/3296580803354_s.jpg,862,PSP,1.40,3296580803354,4.00,0.80
Tekken Dark Resurrection,/product_images/Juegos/PSP Juegos/711719660071_s.jpg,862,PSP,0.90,711719660071,3.00,0.40
Play Chapas,/product_images/Juegos/PSP Juegos/711719738657_s.jpg,862,PSP,0.10,711719738657,0.50,0.01
Mario Kart Wii (Solo Juego),/product_images/Juegos/Wii Juegos/045496365202_s.jpg,831,Wii,11.00,045496365202,18.00,8.00
Wii Play (solo juego),/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,831,Wii,3.00,045496362201,6.00,2.00
New Super Mario Bros. Wii,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,831,Wii,15.00,045496368098,25.00,11.00
Super Mario Galaxy,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,831,Wii,9.00,045496363932,15.00,6.00
Wii Sports Resort (Solo Juego),/product_images/Juegos/Wii Juegos/045496367473_s.jpg,831,Wii,9.00,045496367473,15.00,6.00
Super Smash Bros. Brawl,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,831,Wii,9.00,045496365899,15.00,6.00
Wii Sports (Solo Juego),/product_images/Juegos/Wii Juegos/045496362102_s.jpg,831,Wii,3.00,045496362102,5.00,2.00
Super Mario Galaxy 2,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,831,Wii,13.00,045496368869,22.00,9.00
Legend of Zelda: Skyward Sword,/product_images/Juegos/Wii Juegos/045496400736_s.jpg,831,Wii,13.00,045496400736,22.00,9.00
FIFA 14,/product_images/Juegos/Wii Juegos/5030933111424_s.jpg,831,Wii,3.00,5030933111424,6.00,2.00
Legend of Zelda: Twilight Princess,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,831,Wii,7.00,045496362393,12.00,5.00
Wii Fit Plus (Solo Juego),/product_images/Juegos/Wii Juegos/045496367916_s.jpg,831,Wii,3.00,045496367916,5.00,2.00
Mario Kart 8,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,996,Wii U,17.00,045496333288,28.00,12.00
Super Mario 3D World,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,996,Wii U,17.00,045496332785,28.00,12.00
Super Smash Bros,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,996,Wii U,20.00,045496333621,32.00,14.00
Splatoon,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,996,Wii U,17.00,045496334475,28.00,12.00
Nintendo Land,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,996,Wii U,7.00,045496331085,12.00,5.00
New Super Mario Bros. U,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,996,Wii U,9.00,045496331207,15.00,6.00
Call Of Duty: Black Ops II,/product_images/Juegos/Wii U Juegos/5030917114014_s.jpg,996,Wii U,4.00,5030917114014,7.00,3.00
Super Mario Maker,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,996,Wii U,18.00,045496334987,30.00,13.00
Donkey Kong Country: Tropical Freeze,/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg,996,Wii U,12.00,0045496332716,20.00,9.00
New Super Mario Bros. U & Super Luigi U,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,996,Wii U,11.00,045496332198,18.00,8.00
Yoshi's Woolly World,/product_images/Juegos/Wii U Juegos/045496334697_s.jpg,996,Wii U,17.00,045496334697,28.00,12.00
Wii Party U (Solo Juego),/product_images/Juegos/Wii U Juegos/045496332839_s.jpg,996,Wii U,12.00,045496332839,20.00,9.00
Bayonetta 2,/product_images/Juegos/Wii U Juegos/045496333713_s.jpg,996,Wii U,13.00,045496333713,22.00,9.00
ZombiU,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,996,Wii U,5.00,3307215654293,8.00,3.00
Hyrule Warriors,/product_images/Juegos/Wii U Juegos/045496333577_s.jpg,996,Wii U,13.00,045496333577,22.00,9.00
Grand Theft Auto V (5) 2 Disco,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,827,Xbox 360,11.00,5026555258098,18.00,8.00
Call Of Duty: Black Ops II,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,827,Xbox 360,9.00,5030917111679,15.00,6.00
Grand Theft Auto IV,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,827,Xbox 360,3.00,5026555245968,6.00,2.00
Call Of Duty: Black Ops,/product_images/Juegos/Xbox 360 Juegos/5030917085864_s.jpg,827,Xbox 360,6.00,5030917085864,10.00,4.00
Resident Evil 6 *2 Disc*,/product_images/Juegos/Xbox 360 Juegos/5055060963852_s.jpg,827,Xbox 360,3.00,5055060963852,6.00,2.00
Minecraft,/product_images/Juegos/Xbox 360 Juegos/0885370606515_s.jpg,827,Xbox 360,11.00,0885370606515,18.00,8.00
FIFA 15,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,827,Xbox 360,7.00,5035228112377,12.00,5.00
FIFA 14,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,827,Xbox 360,3.00,5030949111104,6.00,2.00
Forza Motorsport 3 (2 Discos),/product_images/Juegos/Xbox 360 Juegos/882224918343_s.jpg,827,Xbox 360,1.50,882224918343,4.00,0.90
FIFA 16,/product_images/Juegos/Xbox 360 Juegos/5030938112877_s.jpg,827,Xbox 360,17.00,5030938112877,28.00,12.00
Gears of War,/product_images/Juegos/Xbox 360 Juegos/882224260145_s.jpg,827,Xbox 360,1.50,882224260145,4.00,0.90
Gears of War 2,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,827,Xbox 360,3.00,882224721141,5.00,2.00
Call Of Duty: Modern Warfare 3,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,827,Xbox 360,5.00,5030917096891,8.00,3.00
Battlefield 3 *2 Discos*,/product_images/Juegos/Xbox 360 Juegos/5030934102421_s.jpg,827,Xbox 360,3.00,5030934102421,6.00,2.00
Call Of Duty: Black Ops III,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,1002,Xbox One,18.00,5030917181863,28.00,13.00
FIFA 17,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,1002,Xbox One,30.00,5030937116425,45.00,25.00
Gears of War 4,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,1002,Xbox One,24.00,0889842121575,38.00,18.00
Battlefield 1,/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg,1002,Xbox One,26.00,5035228113763,40.00,19.00
Ryse: Son Of Rome,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,1002,Xbox One,11.00,885370662221,18.00,8.00
Final Fantasy XV,/product_images/Juegos/Xbox One Juegos/5021290073081_s.jpg,1002,Xbox One,29.00,5021290073081,45.00,21.00
Call Of Duty: Advanced Warfare,/product_images/Juegos/Xbox One Juegos/5030917147791_s.jpg,1002,Xbox One,4.00,5030917147791,12.00,2.00
Forza Motorsport 5,/product_images/Juegos/Xbox One Juegos/885370662023_s.jpg,1002,Xbox One,11.00,885370662023,18.00,8.00
Grand Theft Auto V (5),/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,1002,Xbox One,26.00,5026555284127,40.00,19.00
Dead Rising 4,/product_images/Juegos/Xbox One Juegos/889842148671_s.jpg,1002,Xbox One,27.00,889842148671,42.00,20.00
Metal Gear Solid V: The Phantom Pain,/product_images/Juegos/Xbox One Juegos/4012927110355_s.jpg,1002,Xbox One,9.00,4012927110355,15.00,7.00
Dead Rising 3,/product_images/Juegos/Xbox One Juegos/85370663983_s.jpg,1002,Xbox One,9.00,85370663983,15.00,7.00
Titanfall,/product_images/Juegos/Xbox One Juegos/5030934111362_s.jpg,1002,Xbox One,1.50,5030934111362,4.00,0.90
Forza Horizon 3,/product_images/Juegos/Xbox One Juegos/889842150070_s.jpg,1002,Xbox One,29.00,889842150070,45.00,21.00
Destiny,/product_images/Juegos/Xbox One Juegos/5030917124358_s.jpg,1002,Xbox One,3.00,5030917124358,8.00,1.90
"Last Guardian, The",/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,1001,PlayStation 4,30.00,711719838951,45.00,25.00
Assassin's Creed: Unity,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,1001,PlayStation 4,19.00,3307215803530,30.00,14.00
Star Wars: Battlefront,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,1001,PlayStation 4,19.00,5030934121637,30.00,14.00
Far Cry 4,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,1001,PlayStation 4,16.00,3307215793633,25.00,12.00
Fallout 4,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,1001,PlayStation 4,19.00,5055856406242,30.00,14.00
"Last of Us, The - Remastered",/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,1001,PlayStation 4,26.00,711719407515,40.00,19.00
Destiny,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,1001,PlayStation 4,11.00,5030917124549,18.00,8.00
Batman: Arkham Knight,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,1001,PlayStation 4,19.00,5051893179637,30.00,14.00
FIFA 15,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,1001,PlayStation 4,1.80,5030947112387,6.00,0.90
Uncharted: The Nathan Drake Collection,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,1001,PlayStation 4,27.00,711719866534,42.00,20.00
Call Of Duty: Advanced Warfare,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,1001,PlayStation 4,10.00,5030917148019,28.00,6.00
Witcher 3: Wild Hunt,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,1001,PlayStation 4,22.00,3391891979016,35.00,16.00
Battlefield 4,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,1001,PlayStation 4,16.00,5030936111346,25.00,12.00
Doom (2016),/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,1001,PlayStation 4,18.00,5055856403418,28.00,13.00
DriveClub,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,1001,PlayStation 4,16.00,711719277071,25.00,12.00
Pro Evolution Soccer 2017,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,1001,PlayStation 4,29.00,4012927102336,45.00,21.00
Homefront: The Revolution,/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg,1001,PlayStation 4,13.00,4020628868550,20.00,9.00
Rise of the Tomb Raider,/product_images/Juegos/PS4 Juegos/5021290074811_s.jpg,1001,PlayStation 4,35.00,5021290074811,55.00,26.00
Assassin's Creed 4: Black Flag,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,1001,PlayStation 4,16.00,3307215715239,25.00,12.00
Dragon Ball: Xenoverse,/product_images/Juegos/PS4 Juegos/3391891980685_s.jpg,1001,PlayStation 4,22.00,3391891980685,35.00,16.00
Battlefield Hardline,/product_images/Juegos/PS4 Juegos/5030946112425_s.jpg,1001,PlayStation 4,11.00,5030946112425,18.00,8.00
Titanfall 2,/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,1001,PlayStation 4,26.00,5030932116925,40.00,19.00
Dying Light The Following: Enhanced Edition,/product_images/Juegos/PS4 Juegos/5051890302113_s.jpg,1001,PlayStation 4,26.00,5051890302113,40.00,19.00
Minecraft,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,1001,PlayStation 4,24.00,711719439912,38.00,18.00
Killzone: Shadow Fall,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,1001,PlayStation 4,9.00,711719275473,15.00,7.00
Need For Speed (2015),/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,1001,PlayStation 4,26.00,5035223113737,40.00,19.00
"Order 1886, The",/product_images/Juegos/PS4 Juegos/0711719284697_s.jpg,1001,PlayStation 4,13.00,0711719284697,20.00,9.00
Dishonored 2 (Sin DLC),/product_images/Juegos/PS4 Juegos/5055856410706_s.jpg,1001,PlayStation 4,27.00,5055856410706,40.00,22.00
Overwatch,/product_images/Juegos/PS4 Juegos/5030917188893_s.jpg,1001,PlayStation 4,37.00,5030917188893,55.00,30.00
Rainbow Six: Siege,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,1001,PlayStation 4,24.00,3307215889121,38.00,18.00
NBA 2K17,/product_images/Juegos/PS4 Juegos/5026555422079_s.jpg,1001,PlayStation 4,35.00,5026555422079,52.00,29.00
Ratchet & Clank (2016),/product_images/Juegos/PS4 Juegos/711719848233_s.jpg,1001,PlayStation 4,26.00,711719848233,40.00,19.00
InFamous Second Son,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,1001,PlayStation 4,18.00,0711719278870,28.00,13.00
God of War 3 - Remasterizado,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,1001,PlayStation 4,18.00,711719843337,28.00,13.00
Bloodborne,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,1001,PlayStation 4,19.00,0711719800415,30.00,14.00
"Evil Within, The",/product_images/Juegos/PS4 Juegos/093155149007_s.jpg,1001,PlayStation 4,16.00,093155149007,25.00,12.00
Dragon Ball Xenoverse 2,/product_images/Juegos/PS4 Juegos/3391891990097_s.jpg,1001,PlayStation 4,44.00,3391891990097,65.00,36.00
NBA 2K16,/product_images/Juegos/PS4 Juegos/5026555421256_s.jpg,1001,PlayStation 4,7.00,5026555421256,20.00,4.00
Just Cause 3,/product_images/Juegos/PS4 Juegos/5021290069459_s.jpg,1001,PlayStation 4,22.00,5021290069459,35.00,16.00
Bloodborne - Game Of The Year Edition,/product_images/Juegos/PS4 Juegos/711719844341_s.jpg,1001,PlayStation 4,24.00,711719844341,38.00,18.00
