precio_intercambio,categoria_str,img_caratula,titulo,precio_venta,categoria_id,precio_compra,sku
4.00,Nintendo DS,/product_images/Juegos/DS Juegos/5051892132480_s.jpg,Lego Legends Of Chima: Laval's Journey,7.00,834,3.00,5051892132480
12.00,Nintendo DS,/product_images/Juegos/DS Juegos/045496463106_s.jpg,New Super Mario Bros.,20.00,834,9.00,045496463106
5.00,Nintendo DS,/product_images/Juegos/DS Juegos/5051893041279_s.jpg,Super ScribbleNauts,8.00,834,3.00,5051893041279
9.00,Nintendo DS,/product_images/Juegos/DS Juegos/045496462338_s.jpg,Mario Kart DS,15.00,834,6.00,045496462338
6.00,Nintendo DS,/product_images/Juegos/DS Juegos/5051893130096_s.jpg,Lego Senor De Los Anillos,10.00,834,4.00,5051893130096
7.00,Nintendo DS,/product_images/Juegos/DS Juegos/5051893027747_s.jpg,Las Aventuras De Aragorn,12.00,834,5.00,5051893027747
9.00,Nintendo DS,/product_images/Juegos/DS Juegos/045496462543_s.jpg,Animal Crossing: Wild World,15.00,834,6.00,045496462543
11.00,Nintendo DS,/product_images/Juegos/DS Juegos/5051893153217_s.jpg,LEGO Friends,18.00,834,8.00,5051893153217
7.00,Nintendo DS,/product_images/Juegos/DS Juegos/045496464936_s.jpg,Pokemon Perla,12.00,834,5.00,045496464936
9.00,Nintendo DS,/product_images/Juegos/DS Juegos/045496464844_s.jpg,Pokemon Diamante,15.00,834,6.00,045496464844
6.00,Nintendo DS,/product_images/Juegos/DS Juegos/045496463595_s.jpg,Pokemon Mundo Misterioso Equipo Azul,10.00,834,4.00,045496463595
11.00,Nintendo DS,/product_images/Juegos/DS Juegos/045496465377_s.jpg,Legend of Zelda: Phantom Hourglass,18.00,834,8.00,045496465377
9.00,Nintendo DS,/product_images/Juegos/DS Juegos/045496471118_s.jpg,Pokemon Edicion Blanca,15.00,834,6.00,045496471118
0.70,Nintendo DS,/product_images/Juegos/DS Juegos/045496462567_s.jpg,Brain Training,2.00,834,0.40,045496462567
11.00,Nintendo DS,/product_images/Juegos/DS Juegos/045496471057_s.jpg,Pokemon Edicion Negra,18.00,834,8.00,045496471057
3.00,PC,/product_images/Juegos/PC Juegos/8414185051528_s.jpg,Los Sims 2 (SN),10.00,830,2.00,8414185051528
0.30,PC,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,Warhammer 40000 - Armageddon (SN),1.00,830,0.10,5060193302294
0.60,PC,/product_images/Juegos/PC Juegos/8414185032879_s.jpg,Los Sims 2 Mascotas Expansion (SN),2.00,830,0.30,8414185032879
0.70,PC,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,Imperium III,2.50,830,0.30,8436010150671
1.20,PC,/product_images/Juegos/PC Juegos/3307210148971_s.jpg,Age of Empires (Gold Edition),4.00,830,0.60,3307210148971
0.90,PC,/product_images/Juegos/PC Juegos/8436016710770_s.jpg,"Whispered World, The - Edición Especial",2.50,830,0.50,8436016710770
0.30,PC,/product_images/Juegos/PC Juegos/5055060972328_s.jpg,Duck Tales Remastered,1.00,830,0.10,5055060972328
0.60,PC,/product_images/Juegos/PC Juegos/8436016710787_s.jpg,Blackguards,2.00,830,0.30,8436016710787
0.20,PC,/product_images/Juegos/PC Juegos/8420266991255_s.jpg,"Longest Journey, The (4 Discs)",0.75,830,0.10,8420266991255
0.40,PC,/product_images/Juegos/PC Juegos/4260089416369_s.jpg,Tropico Dictator Pack (P),1.50,830,0.20,4260089416369
0.40,PC,/product_images/Juegos/PC Juegos/8414185032411_s.jpg,Los Sims 2 Abren Negocios (SN)(CD),1.50,830,0.20,8414185032411
0.10,PC,/product_images/Juegos/PC Juegos/8436010150541HD_s.jpg,House Of The Dead 2,0.50,830,0.01,8436010150541
0.10,PC,/product_images/Juegos/PC Juegos/3307211609143_s.jpg,Prince of Persia (2008),0.50,830,0.01,3307211609143
0.10,PC,/product_images/Juegos/PC Juegos/3307210153470_s.jpg,Beyond Good & Evil,0.50,830,0.01,3307210153470
9.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,Grand Theft Auto V (5),15.00,821,6.00,5026555410267
3.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,Call Of Duty: Modern Warfare 3,6.00,821,2.00,5030917096808
9.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5051893133981_s.jpg,Midway Arcade Origins,15.00,821,6.00,5051893133981
5.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,Call Of Duty: Black Ops II,15.00,821,3.00,5030917111761
3.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,Call Of Duty: Ghosts,6.00,821,2.00,5030917126116
13.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,FIFA 16,22.00,821,9.00,5030946112869
5.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,FIFA 15,8.00,821,3.00,5030937112373
5.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,Call Of Duty: Black Ops,8.00,821,3.00,5030917085802
0.60,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,FIFA 14,2.00,821,0.30,5030933111103
3.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030917070990_s.jpg,Call of Duty: Modern Warfare 2,6.00,821,2.00,5030917070990
3.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,Gran Turismo 5,6.00,821,2.00,711719190059
3.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,Grand Theft Auto IV,6.00,821,2.00,5026555400251
11.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/711719412915_s.jpg,Minecraft,18.00,821,8.00,711719412915
9.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/3307215721957_s.jpg,Watch Dogs,15.00,821,6.00,3307215721957
9.00,PlayStation 3,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,Call Of Duty: Advanced Warfare,15.00,821,6.00,5030917147906
7.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,Minecraft,12.00,990,5.00,711719438519
11.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,Call of Duty Black Ops- Declassified,18.00,990,8.00,5030917114083
9.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,Need For Speed: Most Wanted 12,15.00,990,7.00,5030934109192
1.90,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,FIFA 13,5.00,990,1.20,5030934109901
7.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,FIFA 14,12.00,990,5.00,5030939111404
7.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,Assassin's Creed III (3): Liberation,12.00,990,5.00,3307215652312
11.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,Uncharted: Golden Abyss,18.00,990,8.00,711719200628
11.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,Killzone Mercenary,18.00,990,8.00,711719251163
9.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/3307215916520_s.jpg,Assassins Creed Chronicles,15.00,990,7.00,3307215916520
7.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/3391891983907_s.jpg,J-Stars Victory VS+,12.00,990,5.00,3391891983907
1.90,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,Invizimals - La Alianza,5.00,990,1.20,711719287667
16.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,FIFA 15,25.00,990,12.00,5035225113223
6.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/711719292852_s.jpg,Soul Sacrifice,10.00,990,4.00,711719292852
11.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/711719279488_s.jpg,God Of War Collection,18.00,990,8.00,711719279488
7.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/5055277016259_s.jpg,Virtua Tennis 4: Edicion World Tour,12.00,990,5.00,5055277016259
1.40,PSP,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,Grand Theft Auto: Liberty City Stories,4.00,862,0.80,5026555280143
0.90,PSP,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,God of War: Chains of Olympus,3.00,862,0.40,711719908128
0.90,PSP,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,Gran Turismo,3.00,862,0.40,711719151159
0.10,PSP,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,Invizimals La Otra Dimension (Solo Juego,0.50,862,0.01,711719169772
1.40,PSP,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,Grand Theft Auto Vice City Stories,4.00,862,0.80,5026555280785
1.40,PSP,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,Assassin's Creed: Bloodlines,4.00,862,0.80,3307211667679
1.60,PSP,/product_images/Juegos/PSP Juegos/711719168171_s.jpg,God of War: Ghost of Sparta,4.50,862,0.90,711719168171
0.10,PSP,/product_images/Juegos/PSP Juegos/711719142058_s.jpg,Invizimals (Solo Juego),0.50,862,0.01,711719142058
0.90,PSP,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,Daxter,3.00,862,0.40,711719646266
0.10,PSP,/product_images/Juegos/PSP Juegos/711719738657_s.jpg,Play Chapas,0.50,862,0.01,711719738657
0.90,PSP,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,Ratchet & Clank: El Tamano Importa,3.00,862,0.40,711719651888
0.90,PSP,/product_images/Juegos/PSP Juegos/3296580803354_s.jpg,Dragon Ball Z Shin Budokai 2,3.00,862,0.40,3296580803354
1.40,PSP,/product_images/Juegos/PSP Juegos/711719678250_s.jpg,Medievil: Resurreccion,4.00,862,0.80,711719678250
0.40,PSP,/product_images/Juegos/PSP Juegos/4005209098892_s.jpg,WWE Smackdown Vs. Raw 2008,1.50,862,0.20,4005209098892
0.90,PSP,/product_images/Juegos/PSP Juegos/711719660071_s.jpg,Tekken Dark Resurrection,3.00,862,0.40,711719660071
11.00,Wii,/product_images/Juegos/Wii Juegos/045496365202_s.jpg,Mario Kart Wii (Solo Juego),18.00,831,8.00,045496365202
11.00,Wii,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,New Super Mario Bros. Wii,18.00,831,8.00,045496368098
6.00,Wii,/product_images/Juegos/Wii Juegos/4260231341471_s.jpg,La Voz 2wi,10.00,831,4.00,4260231341471
9.00,Wii,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,Super Mario Galaxy,15.00,831,6.00,045496363932
9.00,Wii,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,Super Smash Bros. Brawl,15.00,831,6.00,045496365899
2.00,Wii,/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,Wii Play (solo juego),4.00,831,1.80,045496362201
3.00,Wii,/product_images/Juegos/Wii Juegos/045496367473_s.jpg,Wii Sports Resort (Solo Juego),10.00,831,2.00,045496367473
9.00,Wii,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,Legend of Zelda: Twilight Princess,15.00,831,6.00,045496362393
5.00,Wii,/product_images/Juegos/Wii Juegos/045496366575_s.jpg,Animal Crossing Lets Go To The City (Solo Juego),8.00,831,3.00,045496366575
12.00,Wii,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,Super Mario Galaxy 2,20.00,831,9.00,045496368869
4.00,Wii,/product_images/Juegos/Wii Juegos/045496367299_s.jpg,Inazuma Eleven Strikers,12.00,831,2.00,045496367299
7.00,Wii,/product_images/Juegos/Wii Juegos/8402862155065_s.jpg,La Voz 3 (No Microphone),12.00,831,5.00,8402862155065
11.00,Wii,/product_images/Juegos/Wii Juegos/045496369477_s.jpg,Donkey Kong Country Returns,18.00,831,8.00,045496369477
42.00,Wii U,/product_images/Juegos/Wii U Juegos/045496337087_s.jpg,Legend of Zelda: Breath of the Wild,55.00,996,38.00,045496337087
13.00,Wii U,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,Mario Kart 8,22.00,996,9.00,045496333288
12.00,Wii U,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,Super Mario 3D World,20.00,996,9.00,045496332785
17.00,Wii U,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,Super Smash Bros,28.00,996,12.00,045496333621
11.00,Wii U,/product_images/Juegos/Wii U Juegos/3307215655184_s.jpg,Rayman Legends,18.00,996,8.00,3307215655184
5.00,Wii U,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,Nintendo Land,8.00,996,3.00,045496331085
7.00,Wii U,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,New Super Mario Bros. U,12.00,996,5.00,045496331207
3.00,Wii U,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,ZombiU,5.00,996,2.00,3307215654293
9.00,Wii U,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,New Super Mario Bros. U & Super Luigi U,15.00,996,6.00,045496332198
13.00,Wii U,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,Splatoon,22.00,996,9.00,045496334475
9.00,Wii U,/product_images/Juegos/Wii U Juegos/045496334161_s.jpg,Mario Party 10,15.00,996,6.00,045496334161
11.00,Wii U,/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg,Donkey Kong Country: Tropical Freeze,18.00,996,8.00,0045496332716
13.00,Wii U,/product_images/Juegos/Wii U Juegos/0045496332303_s.jpg,Legend Of Zelda: Wind Waker HD,22.00,996,9.00,0045496332303
17.00,Wii U,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,Super Mario Maker,28.00,996,12.00,045496334987
7.00,Wii U,/product_images/Juegos/Wii U Juegos/045496331740_s.jpg,Lego City Undercover,12.00,996,5.00,045496331740
12.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,Grand Theft Auto V (5) 2 Disco,20.00,827,9.00,5026555258098
3.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,Call Of Duty: Modern Warfare 3,6.00,827,2.00,5030917096891
7.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/0885370606515_s.jpg,Minecraft,12.00,827,5.00,0885370606515
4.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5030917085864_s.jpg,Call Of Duty: Black Ops,12.00,827,2.00,5030917085864
9.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,Call Of Duty: Black Ops II,15.00,827,6.00,5030917111679
5.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,Call Of Duty: Ghosts *2 Disc*,8.00,827,3.00,5030917125911
7.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,FIFA 15,12.00,827,5.00,5035228112377
3.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,FIFA 14,6.00,827,2.00,5030949111104
5.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,Grand Theft Auto IV,8.00,827,3.00,5026555245968
5.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/3307215633342_s.jpg,Far Cry 3,8.00,827,3.00,3307215633342
3.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,Gears of War 3,6.00,827,2.00,0885370309607
6.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/093155141445_s.jpg,Elder Scrolls V: Skyrim,10.00,827,4.00,093155141445
9.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5030917147685_s.jpg,Call Of Duty: Advanced Warfare (2 Disc),15.00,827,6.00,5030917147685
8.00,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/5030938112877_s.jpg,FIFA 16,22.00,827,5.00,5030938112877
1.50,Xbox 360,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,Gears of War 2,4.00,827,0.90,882224721141
7.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5030917147791_s.jpg,Call Of Duty: Advanced Warfare,12.00,1002,5.00,5030917147791
11.00,Xbox One,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,Ryse: Son Of Rome,18.00,1002,8.00,885370662221
24.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,Grand Theft Auto V (5),38.00,1002,17.00,5026555284127
45.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5030941116398_s.jpg,Mass Effect: Andrómeda (Sin DLC),62.00,1002,39.00,5030941116398
18.00,Xbox One,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,Gears of War 4,30.00,1002,13.00,0889842121575
18.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,Call Of Duty: Black Ops III,30.00,1002,13.00,5030917181863
5.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5030948112881_s.jpg,FIFA 16,8.00,1002,3.00,5030948112881
11.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5030947121631_s.jpg,Star Wars: Battlefront,18.00,1002,8.00,5030947121631
26.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,FIFA 17,42.00,1002,18.00,5030937116425
7.00,Xbox One,/product_images/Juegos/Xbox One Juegos/885370662023_s.jpg,Forza Motorsport 5,12.00,1002,5.00,885370662023
15.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5026555297356_s.jpg,Mafia III,25.00,1002,11.00,5026555297356
44.00,Xbox One,/product_images/Juegos/Xbox One Juegos/3307215913161_s.jpg,Ghost Recon: Wildlands (Sin DLC),65.00,1002,36.00,3307215913161
9.00,Xbox One,/product_images/Juegos/Xbox One Juegos/3307215805336_s.jpg,Assassin's Creed: Unity,15.00,1002,6.00,3307215805336
7.00,Xbox One,/product_images/Juegos/Xbox One Juegos/3307215794722_s.jpg,Far Cry 4,12.00,1002,5.00,3307215794722
5.00,Xbox One,/product_images/Juegos/Xbox One Juegos/5030917124358_s.jpg,Destiny,8.00,1002,3.00,5030917124358
6.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,"Division, The",18.00,1001,4.00,3307215804445
11.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,Star Wars: Battlefront,18.00,1001,8.00,5030934121637
34.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215913024_s.jpg,Ghost Recon: Wildlands (Sin DLC),55.00,1001,24.00,3307215913024
9.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,Metal Gear Solid V: The Phantom Pain,15.00,1001,6.00,4012927100417
9.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,DriveClub,15.00,1001,6.00,711719277071
20.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,"Last of Us, The - Remastered",32.00,1001,14.00,711719407515
22.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,Rainbow Six: Siege,35.00,1001,15.00,3307215889121
45.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030941116350_s.jpg,Mass Effect: Andrómeda (Sin DLC),62.00,1001,39.00,5030941116350
13.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,Fallout 4,22.00,1001,9.00,5055856406242
3.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,Destiny,10.00,1001,2.00,5030917124549
8.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,Call Of Duty: Advanced Warfare,22.00,1001,5.00,5030917148019
30.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,For Honor (No DLC),48.00,1001,21.00,3307215914946
6.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,Far Cry 4,18.00,1001,4.00,3307215793633
4.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,Watch Dogs,12.00,1001,2.00,3307215732939
12.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,Batman: Arkham Knight,20.00,1001,9.00,5051893179637
18.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,Witcher 3: Wild Hunt,30.00,1001,13.00,3391891979016
17.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,Need For Speed (2015),28.00,1001,12.00,5035223113737
22.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,Uncharted: The Nathan Drake Collection,35.00,1001,15.00,711719866534
1.50,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,FIFA 15,5.00,1001,0.70,5030947112387
18.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,Minecraft,30.00,1001,13.00,711719439912
15.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719848233_s.jpg,Ratchet & Clank (2016),25.00,1001,11.00,711719848233
11.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,Doom (2016),18.00,1001,8.00,5055856403418
20.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,"Last Guardian, The",32.00,1001,14.00,711719838951
17.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,Titanfall 2,28.00,1001,12.00,5030932116925
13.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,God of War 3 - Remasterizado,22.00,1001,9.00,711719843337
15.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5055856410706_s.jpg,Dishonored 2 (Sin DLC),25.00,1001,11.00,5055856410706
5.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,Battlefield 4,15.00,1001,3.00,5030936111346
15.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215977453_s.jpg,Assassin's Creed: The Ezio Collection,25.00,1001,11.00,3307215977453
9.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/093155149007_s.jpg,"Evil Within, The",15.00,1001,6.00,093155149007
28.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5030917188893_s.jpg,Overwatch,45.00,1001,20.00,5030917188893
24.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,Pro Evolution Soccer 2017,38.00,1001,17.00,4012927102336
4.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,Killzone: Shadow Fall,12.00,1001,2.00,711719275473
24.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5026555422079_s.jpg,NBA 2K17,38.00,1001,17.00,5026555422079
24.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3391891987332_s.jpg,Dark Souls III,38.00,1001,17.00,3391891987332
11.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,Assassin's Creed 4: Black Flag,18.00,1001,8.00,3307215715239
6.00,PlayStation 4,/product_images/Juegos/PS4 Juegos/5026555421348_s.jpg,WWE 2K16,18.00,1001,4.00,5026555421348
1.50,PlayStation 4,/product_images/Juegos/PS4 Juegos/5026555417501_s.jpg,NBA 2K15,5.00,1001,0.70,5026555417501
