titulo,precio_compra,sku,precio_intercambio,img_caratula,precio_venta,categoria_id,categoria_str
Wii Fit Plus (Solo Juego),1.80,045496367916,2.00,/product_images/Juegos/Wii Juegos/045496367916_s.jpg,4.00,831,Wii
Mario & Sonic en los Juegos Olimpicos,5.00,5060138433625,7.00,/product_images/Juegos/Wii Juegos/5060138433625_s.jpg,12.00,831,Wii
Mario Kart 8,11.00,045496333288,15.00,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,25.00,996,Wii U
Super Mario 3D World,9.00,045496332785,13.00,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,22.00,996,Wii U
Splatoon,11.00,045496334475,15.00,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,25.00,996,Wii U
Legend of Zelda: Breath of the Wild,45.00,045496337087,50.00,/product_images/Juegos/Wii U Juegos/045496337087_s.jpg,65.00,996,Wii U
Nintendo Land,4.00,045496331085,6.00,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,10.00,996,Wii U
Super Mario Maker,13.00,045496334987,18.00,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,30.00,996,Wii U
Legend Of Zelda: Wind Waker HD,9.00,0045496332303,12.00,/product_images/Juegos/Wii U Juegos/0045496332303_s.jpg,20.00,996,Wii U
Super Smash Bros,13.00,045496333621,18.00,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,30.00,996,Wii U
ZombiU,2.00,3307215654293,3.00,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,6.00,996,Wii U
Legend Of Zelda: Twilight Princess HD,11.00,045496335489,15.00,/product_images/Juegos/Wii U Juegos/045496335489_s.jpg,25.00,996,Wii U
New Super Mario Bros. U & Super Luigi U,6.00,045496332198,9.00,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,15.00,996,Wii U
Donkey Kong Country: Tropical Freeze,9.00,0045496332716,12.00,/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg,20.00,996,Wii U
Wii Party U (Solo Juego),9.00,045496332839,12.00,/product_images/Juegos/Wii U Juegos/045496332839_s.jpg,20.00,996,Wii U
New Super Mario Bros. U,6.00,045496331207,9.00,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,15.00,996,Wii U
Pokken Tournament (No Mewtwo Card),13.00,0045496335618,18.00,/product_images/Juegos/Wii U Juegos/0045496335618_s.jpg,30.00,996,Wii U
Grand Theft Auto V (5) 2 Disco,9.00,5026555258098,12.00,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,20.00,827,Xbox 360
FIFA 14,2.00,5030949111104,3.00,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,6.00,827,Xbox 360
Assassin's Creed II,3.00,3307211666658,5.00,/product_images/Juegos/Xbox 360 Juegos/3307211666658_s.jpg,8.00,827,Xbox 360
Gears of War 2,0.90,882224721141,1.50,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,4.00,827,Xbox 360
Call Of Duty: Ghosts *2 Disc*,3.00,5030917125911,5.00,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,8.00,827,Xbox 360
FIFA 15,5.00,5035228112377,7.00,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,12.00,827,Xbox 360
Grand Theft Auto IV,3.00,5026555245968,5.00,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,8.00,827,Xbox 360
Call Of Duty: Modern Warfare 3,2.00,5030917096891,3.00,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,6.00,827,Xbox 360
FIFA 13,0.40,5030934109734,0.70,/product_images/Juegos/Xbox 360 Juegos/5030934109734_s.jpg,2.00,827,Xbox 360
Gears of War 3,2.00,0885370309607,3.00,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,6.00,827,Xbox 360
Call Of Duty: Black Ops II,6.00,5030917111679,9.00,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,15.00,827,Xbox 360
Far Cry 3,3.00,3307215633342,5.00,/product_images/Juegos/Xbox 360 Juegos/3307215633342_s.jpg,8.00,827,Xbox 360
Red Dead Redemption,5.00,5026555248266,7.00,/product_images/Juegos/Xbox 360 Juegos/5026555248266_s.jpg,12.00,827,Xbox 360
Halo 3,0.70,882224482479,1.10,/product_images/Juegos/Xbox 360 Juegos/882224482479_s.jpg,3.00,827,Xbox 360
Gears of War 4,14.00,0889842121575,20.00,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,32.00,1002,Xbox One
Ghost Recon: Wildlands (Sin DLC),49.00,3307215913161,54.00,/product_images/Juegos/Xbox One Juegos/3307215913161_s.jpg,70.00,1002,Xbox One
Call Of Duty: Black Ops III,14.00,5030917181863,20.00,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,32.00,1002,Xbox One
Ryse: Son Of Rome,8.00,885370662221,11.00,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,18.00,1002,Xbox One
Grand Theft Auto V (5),17.00,5026555284127,24.00,/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,38.00,1002,Xbox One
Rise Of The Tomb Raider,11.00,885370984750,15.00,/product_images/Juegos/Xbox One Juegos/885370984750_s.jpg,25.00,1002,Xbox One
Dead Rising 4,15.00,889842148671,22.00,/product_images/Juegos/Xbox One Juegos/889842148671_s.jpg,35.00,1002,Xbox One
Halo 5: Guardians,8.00,885370929669,11.00,/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,18.00,1002,Xbox One
FIFA 17,18.00,5030937116425,25.00,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,40.00,1002,Xbox One
Far Cry Primal,9.00,3307215938508,12.00,/product_images/Juegos/Xbox One Juegos/3307215938508_s.jpg,20.00,1002,Xbox One
Doom (2016),9.00,5055856403524,13.00,/product_images/Juegos/Xbox One Juegos/5055856403524_s.jpg,22.00,1002,Xbox One
Quantum Break,9.00,889842056655,12.00,/product_images/Juegos/Xbox One Juegos/889842056655_s.jpg,20.00,1002,Xbox One
Call Of Duty: Advanced Warfare,3.00,5030917147791,5.00,/product_images/Juegos/Xbox One Juegos/5030917147791_s.jpg,15.00,1002,Xbox One
Star Wars: Battlefront,6.00,5030947121631,9.00,/product_images/Juegos/Xbox One Juegos/5030947121631_s.jpg,15.00,1002,Xbox One
For Honor,34.00,3307215915127,42.00,/product_images/Juegos/Xbox One Juegos/3307215915127_s.jpg,62.00,1002,Xbox One
Final Fantasy XV,17.00,5021290072985,24.00,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,38.00,1001,PlayStation 4
Far Cry Primal,12.00,3307215938782,17.00,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,28.00,1001,PlayStation 4
Assassin's Creed: Unity,9.00,3307215803530,12.00,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,20.00,1001,PlayStation 4
Far Cry 4,8.00,3307215793633,11.00,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,18.00,1001,PlayStation 4
Star Wars: Battlefront,9.00,5030934121637,12.00,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,20.00,1001,PlayStation 4
Metal Gear Solid V: The Phantom Pain,8.00,4012927100417,11.00,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,18.00,1001,PlayStation 4
Destiny,2.00,5030917124549,3.00,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,10.00,1001,PlayStation 4
Watch Dogs,5.00,3307215732939,7.00,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,12.00,1001,PlayStation 4
Batman: Arkham Knight,9.00,5051893179637,13.00,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,22.00,1001,PlayStation 4
"Last of Us, The - Remastered",15.00,711719407515,22.00,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,35.00,1001,PlayStation 4
FIFA 15,0.70,5030947112387,1.50,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,5.00,1001,PlayStation 4
God of War 3 - Remasterizado,9.00,711719843337,12.00,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,20.00,1001,PlayStation 4
Fallout 4,12.00,5055856406242,17.00,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,28.00,1001,PlayStation 4
Doom (2016),9.00,5055856403418,12.00,/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,20.00,1001,PlayStation 4
"Last Guardian, The",14.00,711719838951,20.00,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,32.00,1001,PlayStation 4
Bloodborne,12.00,0711719800415,17.00,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,28.00,1001,PlayStation 4
Witcher 3: Wild Hunt,13.00,3391891979016,18.00,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,30.00,1001,PlayStation 4
Uncharted: The Nathan Drake Collection,15.00,711719866534,22.00,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,35.00,1001,PlayStation 4
Nioh,34.00,711719817963,42.00,/product_images/Juegos/PS4 Juegos/711719817963_s.jpg,62.00,1001,PlayStation 4
Call Of Duty: Advanced Warfare,5.00,5030917148019,8.00,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,22.00,1001,PlayStation 4
Rainbow Six: Siege,18.00,3307215889121,26.00,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,42.00,1001,PlayStation 4
Killzone: Shadow Fall,2.00,711719275473,3.00,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,10.00,1001,PlayStation 4
InFamous Second Son,9.00,0711719278870,13.00,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,22.00,1001,PlayStation 4
Titanfall 2,14.00,5030932116925,20.00,/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,32.00,1001,PlayStation 4
DriveClub,9.00,711719277071,12.00,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,20.00,1001,PlayStation 4
Overwatch,23.00,5030917188893,32.00,/product_images/Juegos/PS4 Juegos/5030917188893_s.jpg,52.00,1001,PlayStation 4
"Tierra-Media, La: Sombras De Mordor",11.00,5051893165128,15.00,/product_images/Juegos/PS4 Juegos/5051893165128_s.jpg,25.00,1001,PlayStation 4
Battlefield 4,8.00,5030936111346,11.00,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,18.00,1001,PlayStation 4
Homefront: The Revolution,5.00,4020628868550,7.00,/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg,12.00,1001,PlayStation 4
Until Dawn,12.00,711719874737,17.00,/product_images/Juegos/PS4 Juegos/711719874737_s.jpg,28.00,1001,PlayStation 4
Assassin's Creed 4: Black Flag,9.00,3307215715239,13.00,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,22.00,1001,PlayStation 4
NBA 2K17,21.00,5026555422079,30.00,/product_images/Juegos/PS4 Juegos/5026555422079_s.jpg,48.00,1001,PlayStation 4
Need For Speed (2015),14.00,5035223113737,20.00,/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,32.00,1001,PlayStation 4
"Order 1886, The",9.00,0711719284697,12.00,/product_images/Juegos/PS4 Juegos/0711719284697_s.jpg,20.00,1001,PlayStation 4
Rise of the Tomb Raider,18.00,5021290074811,25.00,/product_images/Juegos/PS4 Juegos/5021290074811_s.jpg,40.00,1001,PlayStation 4
Pro Evolution Soccer 2017,18.00,4012927102336,25.00,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,40.00,1001,PlayStation 4
Minecraft,14.00,711719439912,20.00,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,32.00,1001,PlayStation 4
Dragon Ball: Xenoverse,14.00,3391891980685,20.00,/product_images/Juegos/PS4 Juegos/3391891980685_s.jpg,32.00,1001,PlayStation 4
Yesterday Origins,8.00,3760156481067,11.00,/product_images/Juegos/PS4 Juegos/3760156481067_s.jpg,18.00,1001,PlayStation 4
No Man's Sky,9.00,0711719849834,12.00,/product_images/Juegos/PS4 Juegos/0711719849834_s.jpg,20.00,1001,PlayStation 4
