sku,categoria_str,categoria_id,titulo,precio_intercambio,precio_compra,img_caratula,precio_venta
045496462031,Nintendo DS,834,Super Mario 64 DS,11.00,8.00,/product_images/Juegos/DS Juegos/045496462031_s.jpg,18.00
045496471118,Nintendo DS,834,Pokemon Edicion Blanca,9.00,6.00,/product_images/Juegos/DS Juegos/045496471118_s.jpg,15.00
045496470647,Nintendo DS,834,Inazuma Eleven,1.90,1.20,/product_images/Juegos/DS Juegos/045496470647_s.jpg,5.00
045496468910,Nintendo DS,834,Profesor Layton y la Caja de Pandora,7.00,5.00,/product_images/Juegos/DS Juegos/045496468910_s.jpg,12.00
045496462963,Nintendo DS,834,Nintendogs Dalmatian & Friends,1.90,1.20,/product_images/Juegos/DS Juegos/045496462963_s.jpg,5.00
045496462857,Nintendo DS,834,Pokemon Edicion Negra 2,15.00,11.00,/product_images/Juegos/DS Juegos/045496462857_s.jpg,25.00
045496465377,Nintendo DS,834,Legend of Zelda: Phantom Hourglass,9.00,6.00,/product_images/Juegos/DS Juegos/045496465377_s.jpg,15.00
8436016710770,PC,830,"Whispered World, The - Edición Especial",0.70,0.40,/product_images/Juegos/PC Juegos/8436016710770_s.jpg,2.00
5060193302294,PC,830,Warhammer 40000 - Armageddon (SN),0.30,0.10,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,1.00
3760156481111,PC,830,Yesterday Origins (P),4.00,2.00,/product_images/Juegos/PC Juegos/3760156481111_s.jpg,12.00
5055060972328,PC,830,Duck Tales Remastered,0.20,0.10,/product_images/Juegos/PC Juegos/5055060972328_s.jpg,0.75
8431474003723,PC,830,Need For Speed: Porsche 2000,0.20,0.10,/product_images/defimg3_s.jpg,0.75
8420266991255,PC,830,"Longest Journey, The (4 Discs)",0.01,0.01,/product_images/Juegos/PC Juegos/8420266991255_s.jpg,0.25
3307210181862,PC,830,Splinter Cell,0.01,0.01,/product_images/Juegos/PC Juegos/3307210181862_s.jpg,0.25
740781770142,PC,830,Divinity: Original Sin (P),1.90,1.20,/product_images/Juegos/PC Juegos/740781770142_s.jpg,5.00
8436016710787,PC,830,Blackguards,0.30,0.10,/product_images/Juegos/PC Juegos/8436016710787_s.jpg,1.00
8436010154587,PC,830,Caos En Deponia,0.20,0.10,/product_images/Juegos/PC Juegos/8436010154587_s.jpg,0.75
3760156480831,PC,830,Moto Racer 4 (P),5.00,3.00,/product_images/Juegos/PC Juegos/3760156480831_s.jpg,15.00
8414185051528,PC,830,Los Sims 2 (SN),4.00,2.00,/product_images/Juegos/PC Juegos/8414185051528_s.jpg,12.00
8436010150275,PC,830,Imperium,0.40,0.20,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,1.50
4260089416710,PC,830,Crookz: The Big Heist (P),0.01,0.01,/product_images/Juegos/PC Juegos/4260089416710_s.jpg,0.15
8414606866977,PC,830,Stasis,0.30,0.10,/product_images/Juegos/PC Juegos/8414606866977_s.jpg,1.00
5026555410267,PlayStation 3,821,Grand Theft Auto V (5),11.00,8.00,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,18.00
5030917096808,PlayStation 3,821,Call Of Duty: Modern Warfare 3,2.00,1.80,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,4.00
5030917070990,PlayStation 3,821,Call of Duty: Modern Warfare 2,2.00,1.80,/product_images/Juegos/PS3 Juegos/5030917070990_s.jpg,4.00
5030917111761,PlayStation 3,821,Call Of Duty: Black Ops II,5.00,3.00,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,15.00
5030917126116,PlayStation 3,821,Call Of Duty: Ghosts,2.00,1.80,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,4.00
5026555400251,PlayStation 3,821,Grand Theft Auto IV,3.00,2.00,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,5.00
5030917147906,PlayStation 3,821,Call Of Duty: Advanced Warfare,7.00,5.00,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,12.00
5030917085802,PlayStation 3,821,Call Of Duty: Black Ops,4.00,3.00,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,7.00
5030934109680,PlayStation 3,821,FIFA 13,0.01,0.01,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,0.25
5030937112373,PlayStation 3,821,FIFA 15,3.00,1.90,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,8.00
711719123996,PlayStation 3,821,Uncharted 3: Traicion de Drake,6.00,4.00,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,10.00
5030933111103,PlayStation 3,821,FIFA 14,0.60,0.30,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,2.00
711719190059,PlayStation 3,821,Gran Turismo 5,2.00,1.40,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,6.00
3307215633243,PlayStation 3,821,Far Cry 3,6.00,4.00,/product_images/Juegos/PS3 Juegos/3307215633243_s.jpg,10.00
5030946112869,PlayStation 3,821,FIFA 16,8.00,5.00,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,22.00
711719200628,PlayStation Vita,990,Uncharted: Golden Abyss,9.00,7.00,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,15.00
5030917114083,PlayStation Vita,990,Call of Duty Black Ops- Declassified,14.00,10.00,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,22.00
3307215652312,PlayStation Vita,990,Assassin's Creed III (3): Liberation,7.00,5.00,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,12.00
5030939111404,PlayStation Vita,990,FIFA 14,5.00,3.00,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,8.00
5035225113223,PlayStation Vita,990,FIFA 15,18.00,13.00,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,28.00
5030934109901,PlayStation Vita,990,FIFA 13,1.90,1.20,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,5.00
711719287667,PlayStation Vita,990,Invizimals - La Alianza,2.00,1.40,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,6.00
711719251163,PlayStation Vita,990,Killzone Mercenary,9.00,7.00,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,15.00
5055377602314,PlayStation Vita,990,XBlaze Code : Embryo,3.00,2.00,/product_images/Juegos/PS Vita Juegos/5055377602314_s.jpg,5.00
5021290057791,PlayStation Vita,990,Final Fantasy X HD Only,13.00,9.00,/product_images/Juegos/PS Vita Juegos/5021290057791_s.jpg,20.00
5055277016259,PlayStation Vita,990,Virtua Tennis 4: Edicion World Tour,9.00,7.00,/product_images/Juegos/PS Vita Juegos/5055277016259_s.jpg,15.00
5055377602352,PlayStation Vita,990,Space Hulk,4.00,3.00,/product_images/Juegos/PS Vita Juegos/5055377602352_s.jpg,7.00
8717418455200,PlayStation Vita,990,Disney Infinity 2.0 Marvel Superheroes Starter  Pack,4.00,3.00,/product_images/Juegos/PS Vita Juegos/8717418455200_s.jpg,7.00
5030934109192,PlayStation Vita,990,Need For Speed: Most Wanted 12,11.00,8.00,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,18.00
711719438519,PlayStation Vita,990,Minecraft,13.00,9.00,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,20.00
5026555280785,PSP,862,Grand Theft Auto Vice City Stories,1.80,1.00,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,5.00
3307211667679,PSP,862,Assassin's Creed: Bloodlines,1.80,1.00,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,5.00
711719151159,PSP,862,Gran Turismo,0.90,0.40,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,3.00
711719142058,PSP,862,Invizimals (Solo Juego),0.10,0.01,/product_images/Juegos/PSP Juegos/711719142058_s.jpg,0.50
711719169772,PSP,862,Invizimals La Otra Dimension (Solo Juego,0.10,0.01,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,0.50
711719164777,PSP,862,EyePet,0.10,0.01,/product_images/Juegos/PSP Juegos/711719164777_s.jpg,0.50
711719651888,PSP,862,Ratchet & Clank: El Tamano Importa,0.90,0.40,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,3.00
711719646266,PSP,862,Daxter,0.90,0.40,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,3.00
711719738657,PSP,862,Play Chapas,0.10,0.01,/product_images/Juegos/PSP Juegos/711719738657_s.jpg,0.50
5026555280143,PSP,862,Grand Theft Auto: Liberty City Stories,1.80,1.00,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,5.00
711719908128,PSP,862,God of War: Chains of Olympus,0.90,0.40,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,3.00
5026555282338,PSP,862,Grand Theft Auto: China Town Wars,0.90,0.40,/product_images/Juegos/PSP Juegos/5026555282338_s.jpg,3.00
711719269335,PSP,862,Phineas Y Ferb: A Traves De La Segunda..,0.40,0.20,/product_images/Juegos/PSP Juegos/711719269335_s.jpg,1.50
5030934046206,PSP,862,Los Sims 2,0.40,0.20,/product_images/Juegos/PSP Juegos/5030934046206_s.jpg,1.50
5030934104319,PSP,862,FIFA 12,0.60,0.30,/product_images/Juegos/PSP Juegos/5030934104319_s.jpg,2.00
045496365202,Wii,831,Mario Kart Wii (Solo Juego),11.00,8.00,/product_images/Juegos/Wii Juegos/045496365202_s.jpg,18.00
045496362201,Wii,831,Wii Play (solo juego),3.00,2.00,/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,6.00
045496368098,Wii,831,New Super Mario Bros. Wii,15.00,11.00,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,25.00
045496363932,Wii,831,Super Mario Galaxy,9.00,6.00,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,15.00
045496367473,Wii,831,Wii Sports Resort (Solo Juego),9.00,6.00,/product_images/Juegos/Wii Juegos/045496367473_s.jpg,15.00
045496365899,Wii,831,Super Smash Bros. Brawl,9.00,6.00,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,15.00
045496362102,Wii,831,Wii Sports (Solo Juego),3.00,2.00,/product_images/Juegos/Wii Juegos/045496362102_s.jpg,5.00
045496368869,Wii,831,Super Mario Galaxy 2,13.00,9.00,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,22.00
045496362393,Wii,831,Legend of Zelda: Twilight Princess,7.00,5.00,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,12.00
045496367916,Wii,831,Wii Fit Plus (Solo Juego),3.00,2.00,/product_images/Juegos/Wii Juegos/045496367916_s.jpg,5.00
3307215647196,Wii,831,Just Dance 4,11.00,8.00,/product_images/Juegos/Wii Juegos/3307215647196_s.jpg,18.00
5030933111424,Wii,831,FIFA 14,3.00,2.00,/product_images/Juegos/Wii Juegos/5030933111424_s.jpg,6.00
045496332785,Wii U,996,Super Mario 3D World,15.00,11.00,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,25.00
045496333288,Wii U,996,Mario Kart 8,17.00,12.00,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,28.00
045496333621,Wii U,996,Super Smash Bros,20.00,14.00,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,32.00
045496334987,Wii U,996,Super Mario Maker,17.00,12.00,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,28.00
045496334475,Wii U,996,Splatoon,18.00,13.00,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,30.00
045496331085,Wii U,996,Nintendo Land,7.00,5.00,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,12.00
045496331207,Wii U,996,New Super Mario Bros. U,11.00,8.00,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,18.00
5060112431302,Wii U,996,Rodea The Sky Solider,5.00,3.00,/product_images/Juegos/Wii U Juegos/5060112431302_s.jpg,8.00
5030917114014,Wii U,996,Call Of Duty: Black Ops II,5.00,3.00,/product_images/Juegos/Wii U Juegos/5030917114014_s.jpg,8.00
045496335090,Wii U,996,Xenoblade Chronicles X,22.00,15.00,/product_images/Juegos/Wii U Juegos/045496335090_s.jpg,35.00
045496334161,Wii U,996,Mario Party 10,12.00,9.00,/product_images/Juegos/Wii U Juegos/045496334161_s.jpg,20.00
045496332839,Wii U,996,Wii Party U (Solo Juego),11.00,8.00,/product_images/Juegos/Wii U Juegos/045496332839_s.jpg,18.00
8718591181337,Wii U,996,Teslagrad,5.00,3.00,/product_images/Juegos/Wii U Juegos/8718591181337_s.jpg,8.00
045496332198,Wii U,996,New Super Mario Bros. U & Super Luigi U,12.00,9.00,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,20.00
045496334697,Wii U,996,Yoshi's Woolly World,18.00,13.00,/product_images/Juegos/Wii U Juegos/045496334697_s.jpg,30.00
5026555258098,Xbox 360,827,Grand Theft Auto V (5) 2 Disco,12.00,9.00,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,20.00
5030917096891,Xbox 360,827,Call Of Duty: Modern Warfare 3,5.00,3.00,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,8.00
5030917111679,Xbox 360,827,Call Of Duty: Black Ops II,9.00,6.00,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,15.00
882224721141,Xbox 360,827,Gears of War 2,2.00,1.80,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,4.00
5026555245968,Xbox 360,827,Grand Theft Auto IV,5.00,3.00,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,8.00
0885370309607,Xbox 360,827,Gears of War 3,3.00,2.00,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,6.00
5030949111104,Xbox 360,827,FIFA 14,3.00,2.00,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,5.00
5030917071065,Xbox 360,827,Call of Duty: Modern Warfare 2,3.00,2.00,/product_images/Juegos/Xbox 360 Juegos/5030917071065_s.jpg,5.00
5030917125911,Xbox 360,827,Call Of Duty: Ghosts *2 Disc*,6.00,4.00,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,10.00
5030917085864,Xbox 360,827,Call Of Duty: Black Ops,7.00,5.00,/product_images/Juegos/Xbox 360 Juegos/5030917085864_s.jpg,12.00
882224482479,Xbox 360,827,Halo 3,1.10,0.70,/product_images/Juegos/Xbox 360 Juegos/882224482479_s.jpg,3.00
3307215633342,Xbox 360,827,Far Cry 3,6.00,4.00,/product_images/Juegos/Xbox 360 Juegos/3307215633342_s.jpg,10.00
885370164169,Xbox 360,827,Halo: Reach,2.00,1.80,/product_images/Juegos/Xbox 360 Juegos/885370164169_s.jpg,4.00
882224918343,Xbox 360,827,Forza Motorsport 3 (2 Discos),1.90,1.20,/product_images/Juegos/Xbox 360 Juegos/882224918343_s.jpg,5.00
0889842121575,Xbox One,1002,Gears of War 4,22.00,15.00,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,35.00
885370662221,Xbox One,1002,Ryse: Son Of Rome,12.00,9.00,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,20.00
5055060965924,Xbox One,1002,Resident Evil 7: Biohazard,37.00,30.00,/product_images/Juegos/Xbox One Juegos/5055060965924_s.jpg,55.00
85370663983,Xbox One,1002,Dead Rising 3,11.00,8.00,/product_images/Juegos/Xbox One Juegos/85370663983_s.jpg,18.00
5030917181863,Xbox One,1002,Call Of Duty: Black Ops III,18.00,13.00,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,30.00
885370929669,Xbox One,1002,Halo 5: Guardians,12.00,9.00,/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,20.00
5026555297356,Xbox One,1002,Mafia III,20.00,14.00,/product_images/Juegos/Xbox One Juegos/5026555297356_s.jpg,32.00
5030937116425,Xbox One,1002,FIFA 17,28.00,23.00,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,42.00
5030917147791,Xbox One,1002,Call Of Duty: Advanced Warfare,5.00,3.00,/product_images/Juegos/Xbox One Juegos/5030917147791_s.jpg,15.00
889842148671,Xbox One,1002,Dead Rising 4,25.00,18.00,/product_images/Juegos/Xbox One Juegos/889842148671_s.jpg,40.00
885370662023,Xbox One,1002,Forza Motorsport 5,11.00,8.00,/product_images/Juegos/Xbox One Juegos/885370662023_s.jpg,18.00
3307215733134,Xbox One,1002,Watch Dogs,6.00,4.00,/product_images/Juegos/Xbox One Juegos/3307215733134_s.jpg,10.00
3307215915127,Xbox One,1002,For Honor,50.00,45.00,/product_images/Juegos/Xbox One Juegos/3307215915127_s.jpg,65.00
5026555284127,Xbox One,1002,Grand Theft Auto V (5),26.00,18.00,/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,42.00
5030947121631,Xbox One,1002,Star Wars: Battlefront,11.00,8.00,/product_images/Juegos/Xbox One Juegos/5030947121631_s.jpg,18.00
711719817963,PlayStation 4,1001,Nioh,50.00,45.00,/product_images/Juegos/PS4 Juegos/711719817963_s.jpg,65.00
3307215938782,PlayStation 4,1001,Far Cry Primal,20.00,14.00,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,32.00
711719407515,PlayStation 4,1001,"Last of Us, The - Remastered",22.00,15.00,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,35.00
3307215803530,PlayStation 4,1001,Assassin's Creed: Unity,15.00,11.00,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,25.00
3307215732939,PlayStation 4,1001,Watch Dogs,9.00,6.00,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,15.00
3307215793633,PlayStation 4,1001,Far Cry 4,11.00,8.00,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,18.00
5051893179637,PlayStation 4,1001,Batman: Arkham Knight,15.00,11.00,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,25.00
4012927100417,PlayStation 4,1001,Metal Gear Solid V: The Phantom Pain,12.00,9.00,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,20.00
711719838951,PlayStation 4,1001,"Last Guardian, The",22.00,15.00,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,35.00
3391891979016,PlayStation 4,1001,Witcher 3: Wild Hunt,20.00,14.00,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,32.00
5030917124549,PlayStation 4,1001,Destiny,4.00,2.00,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,12.00
711719866534,PlayStation 4,1001,Uncharted: The Nathan Drake Collection,22.00,15.00,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,35.00
5055856406242,PlayStation 4,1001,Fallout 4,20.00,14.00,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,32.00
5055856403418,PlayStation 4,1001,Doom (2016),13.00,9.00,/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,22.00
5030947112387,PlayStation 4,1001,FIFA 15,1.80,0.90,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,6.00
0711719278870,PlayStation 4,1001,InFamous Second Son,13.00,9.00,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,22.00
711719439912,PlayStation 4,1001,Minecraft,24.00,17.00,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,38.00
5030917148019,PlayStation 4,1001,Call Of Duty: Advanced Warfare,9.00,6.00,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,25.00
3307215889121,PlayStation 4,1001,Rainbow Six: Siege,26.00,18.00,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,42.00
3307215715239,PlayStation 4,1001,Assassin's Creed 4: Black Flag,12.00,9.00,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,20.00
5030932116925,PlayStation 4,1001,Titanfall 2,20.00,14.00,/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,32.00
4020628868550,PlayStation 4,1001,Homefront: The Revolution,9.00,6.00,/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg,15.00
5051893165128,PlayStation 4,1001,"Tierra-Media, La: Sombras De Mordor",15.00,11.00,/product_images/Juegos/PS4 Juegos/5051893165128_s.jpg,25.00
711719275473,PlayStation 4,1001,Killzone: Shadow Fall,7.00,5.00,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,12.00
711719848233,PlayStation 4,1001,Ratchet & Clank (2016),20.00,14.00,/product_images/Juegos/PS4 Juegos/711719848233_s.jpg,32.00
4012927102336,PlayStation 4,1001,Pro Evolution Soccer 2017,26.00,18.00,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,42.00
711719446019,PlayStation 4,1001,Little Big Planet 3,15.00,11.00,/product_images/Juegos/PS4 Juegos/711719446019_s.jpg,25.00
5030936111346,PlayStation 4,1001,Battlefield 4,13.00,9.00,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,22.00
5035223113737,PlayStation 4,1001,Need For Speed (2015),22.00,15.00,/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,35.00
5030917188893,PlayStation 4,1001,Overwatch,34.00,24.00,/product_images/Juegos/PS4 Juegos/5030917188893_s.jpg,55.00
3391891980685,PlayStation 4,1001,Dragon Ball: Xenoverse,18.00,13.00,/product_images/Juegos/PS4 Juegos/3391891980685_s.jpg,30.00
0711719849834,PlayStation 4,1001,No Man's Sky,11.00,8.00,/product_images/Juegos/PS4 Juegos/0711719849834_s.jpg,18.00
5026555422079,PlayStation 4,1001,NBA 2K17,31.00,22.00,/product_images/Juegos/PS4 Juegos/5026555422079_s.jpg,50.00
5055856410706,PlayStation 4,1001,Dishonored 2 (Sin DLC),22.00,15.00,/product_images/Juegos/PS4 Juegos/5055856410706_s.jpg,35.00
711719843337,PlayStation 4,1001,God of War 3 - Remasterizado,15.00,11.00,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,25.00
093155149007,PlayStation 4,1001,"Evil Within, The",13.00,9.00,/product_images/Juegos/PS4 Juegos/093155149007_s.jpg,22.00
0711719284697,PlayStation 4,1001,"Order 1886, The",12.00,9.00,/product_images/Juegos/PS4 Juegos/0711719284697_s.jpg,20.00
5021290069459,PlayStation 4,1001,Just Cause 3,22.00,15.00,/product_images/Juegos/PS4 Juegos/5021290069459_s.jpg,35.00
711719874737,PlayStation 4,1001,Until Dawn,18.00,13.00,/product_images/Juegos/PS4 Juegos/711719874737_s.jpg,30.00
0711719800415,PlayStation 4,1001,Bloodborne,17.00,12.00,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,28.00
