sku,categoria_id,titulo,precio_intercambio,categoria_str,precio_compra,img_caratula,precio_venta
5030917111679,827,Call Of Duty: Black Ops II,9.00,Xbox 360,6.00,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,15.00
0885370309607,827,Gears of War 3,3.00,Xbox 360,2.00,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,6.00
3391891984775,827,Fighting Edition: Tekken 6/Tekken Tag Tournament 2 Y Soul Calibur V,12.00,Xbox 360,9.00,/product_images/Juegos/Xbox 360 Juegos/3391891984775_s.jpg,20.00
5055060963852,827,Resident Evil 6 *2 Disc*,5.00,Xbox 360,3.00,/product_images/Juegos/Xbox 360 Juegos/5055060963852_s.jpg,8.00
5030917096891,827,Call Of Duty: Modern Warfare 3,3.00,Xbox 360,2.00,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,6.00
0885370606515,827,Minecraft,7.00,Xbox 360,5.00,/product_images/Juegos/Xbox 360 Juegos/0885370606515_s.jpg,12.00
5030917125911,827,Call Of Duty: Ghosts *2 Disc*,5.00,Xbox 360,3.00,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,8.00
5030949111104,827,FIFA 14,3.00,Xbox 360,2.00,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,6.00
882224721141,827,Gears of War 2,1.50,Xbox 360,0.90,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,4.00
3307215633342,827,Far Cry 3,5.00,Xbox 360,3.00,/product_images/Juegos/Xbox 360 Juegos/3307215633342_s.jpg,8.00
5026555245968,827,Grand Theft Auto IV,5.00,Xbox 360,3.00,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,8.00
885370662221,1002,Ryse: Son Of Rome,11.00,Xbox One,8.00,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,18.00
5030917147791,1002,Call Of Duty: Advanced Warfare,7.00,Xbox One,5.00,/product_images/Juegos/Xbox One Juegos/5030917147791_s.jpg,12.00
5026555284127,1002,Grand Theft Auto V (5),24.00,Xbox One,17.00,/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,38.00
0889842121575,1002,Gears of War 4,18.00,Xbox One,13.00,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,30.00
