titulo,categoria_id,precio_compra,precio_intercambio,categoria_str,img_caratula,sku,precio_venta
Space Hulk,990,2.00,3.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/5055377602352_s.jpg,5055377602352,6.00
Rayman Origins,990,7.00,9.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/3307215623893_s.jpg,3307215623893,15.00
Grand Theft Auto Vice City Stories,862,1.00,1.80,PSP,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,5026555280785,5.00
Gran Turismo,862,0.40,0.90,PSP,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,711719151159,3.00
Invizimals La Otra Dimension (Solo Juego,862,0.01,0.10,PSP,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,711719169772,0.50
Invizimals (Solo Juego),862,0.01,0.10,PSP,/product_images/Juegos/PSP Juegos/711719142058_s.jpg,711719142058,0.50
EyePet,862,0.01,0.10,PSP,/product_images/Juegos/PSP Juegos/711719164777_s.jpg,711719164777,0.50
Assassin's Creed: Bloodlines,862,1.00,1.80,PSP,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,3307211667679,5.00
Grand Theft Auto: Liberty City Stories,862,1.00,1.80,PSP,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,5026555280143,5.00
Ratchet & Clank: El Tamano Importa,862,0.40,0.90,PSP,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,711719651888,3.00
Daxter,862,0.40,0.90,PSP,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,711719646266,3.00
Tekken Dark Resurrection,862,0.40,0.90,PSP,/product_images/Juegos/PSP Juegos/711719660071_s.jpg,711719660071,3.00
Invizimals: Las tribus perdidas,862,0.01,0.10,PSP,/product_images/Juegos/PSP Juegos/8414646244995_s.jpg,8414646244995,0.50
FIFA 08,862,0.01,0.10,PSP,/product_images/Juegos/PSP Juegos/5030934059176_s.jpg,5030934059176,0.50
FIFA 12,862,0.30,0.60,PSP,/product_images/Juegos/PSP Juegos/5030934104319_s.jpg,5030934104319,2.00
Medievil: Resurreccion,862,0.40,0.90,PSP,/product_images/Juegos/PSP Juegos/711719678250_s.jpg,711719678250,3.00
God of War: Chains of Olympus,862,0.40,0.90,PSP,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,711719908128,3.00
Mario Kart Wii (Solo Juego),831,8.00,11.00,Wii,/product_images/Juegos/Wii Juegos/045496365202_s.jpg,045496365202,18.00
Wii Play (solo juego),831,2.00,3.00,Wii,/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,045496362201,6.00
New Super Mario Bros. Wii,831,11.00,15.00,Wii,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,045496368098,25.00
