titulo,sku,precio_intercambio,precio_compra,categoria_str,precio_venta,categoria_id,img_caratula
Mario Kart 8,045496333288,17.00,12.00,Wii U,28.00,996,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg
Donkey Kong Country: Tropical Freeze,0045496332716,12.00,9.00,Wii U,20.00,996,/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg
Nintendo Land,045496331085,7.00,5.00,Wii U,12.00,996,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg
Splatoon,045496334475,17.00,12.00,Wii U,28.00,996,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg
Super Smash Bros,045496333621,20.00,14.00,Wii U,32.00,996,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg
Super Mario 3D World,045496332785,17.00,12.00,Wii U,28.00,996,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg
New Super Mario Bros. U,045496331207,9.00,6.00,Wii U,15.00,996,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg
Super Mario Maker,045496334987,18.00,13.00,Wii U,30.00,996,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg
New Super Mario Bros. U & Super Luigi U,045496332198,11.00,8.00,Wii U,18.00,996,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg
ZombiU,3307215654293,5.00,3.00,Wii U,8.00,996,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg
Call Of Duty: Black Ops II,5030917114014,4.00,3.00,Wii U,7.00,996,/product_images/Juegos/Wii U Juegos/5030917114014_s.jpg
Legend Of Zelda: Wind Waker HD,0045496332303,12.00,9.00,Wii U,20.00,996,/product_images/Juegos/Wii U Juegos/0045496332303_s.jpg
Yoshi's Woolly World,045496334697,17.00,12.00,Wii U,28.00,996,/product_images/Juegos/Wii U Juegos/045496334697_s.jpg
Mario Party 10,045496334161,12.00,9.00,Wii U,20.00,996,/product_images/Juegos/Wii U Juegos/045496334161_s.jpg
Just Dance 4,3307215654460,5.00,3.00,Wii U,8.00,996,/product_images/Juegos/Wii U Juegos/3307215654460_s.jpg
Grand Theft Auto V (5) 2 Disco,5026555258098,12.00,9.00,Xbox 360,20.00,827,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg
FIFA 14,5030949111104,3.00,2.00,Xbox 360,5.00,827,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg
Call of Duty: Modern Warfare 2,5030917071065,3.00,2.00,Xbox 360,5.00,827,/product_images/Juegos/Xbox 360 Juegos/5030917071065_s.jpg
Call Of Duty: Modern Warfare 3,5030917096891,5.00,3.00,Xbox 360,8.00,827,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg
Call Of Duty: Black Ops II,5030917111679,9.00,6.00,Xbox 360,15.00,827,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg
Grand Theft Auto IV,5026555245968,5.00,3.00,Xbox 360,8.00,827,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg
Gears of War 2,882224721141,2.00,1.80,Xbox 360,4.00,827,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg
Gears of War 3,0885370309607,3.00,2.00,Xbox 360,6.00,827,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg
Resident Evil 6 *2 Disc*,5055060963852,5.00,3.00,Xbox 360,8.00,827,/product_images/Juegos/Xbox 360 Juegos/5055060963852_s.jpg
Halo 3,882224482479,1.10,0.70,Xbox 360,3.00,827,/product_images/Juegos/Xbox 360 Juegos/882224482479_s.jpg
Call Of Duty: Ghosts *2 Disc*,5030917125911,6.00,4.00,Xbox 360,10.00,827,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg
Minecraft,0885370606515,9.00,6.00,Xbox 360,15.00,827,/product_images/Juegos/Xbox 360 Juegos/0885370606515_s.jpg
FIFA 15,5035228112377,9.00,6.00,Xbox 360,15.00,827,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg
Halo 4 *2 Disc*,885370439939,3.00,2.00,Xbox 360,6.00,827,/product_images/Juegos/Xbox 360 Juegos/885370439939_s.jpg
Resident Evil 7: Biohazard,5055060965924,46.00,42.00,Xbox One,60.00,1002,/product_images/Juegos/Xbox One Juegos/5055060965924_s.jpg
Homefront: The Revolution,4020628868543,6.00,4.00,Xbox One,10.00,1002,/product_images/Juegos/Xbox One Juegos/4020628868543_s.jpg
Dead Rising 4,889842148671,24.00,17.00,Xbox One,38.00,1002,/product_images/Juegos/Xbox One Juegos/889842148671_s.jpg
Dead Rising 3,85370663983,11.00,8.00,Xbox One,18.00,1002,/product_images/Juegos/Xbox One Juegos/85370663983_s.jpg
Grand Theft Auto V (5),5026555284127,25.00,18.00,Xbox One,40.00,1002,/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg
FIFA 17,5030937116425,28.00,23.00,Xbox One,42.00,1002,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg
Halo 5: Guardians,885370929669,11.00,8.00,Xbox One,18.00,1002,/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg
Ryse: Son Of Rome,885370662221,12.00,9.00,Xbox One,20.00,1002,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg
Final Fantasy XV,5021290073081,26.00,18.00,Xbox One,42.00,1002,/product_images/Juegos/Xbox One Juegos/5021290073081_s.jpg
Doom (2016),5055856403524,9.00,6.00,Xbox One,15.00,1002,/product_images/Juegos/Xbox One Juegos/5055856403524_s.jpg
Forza Horizon 3,889842150070,28.00,20.00,Xbox One,45.00,1002,/product_images/Juegos/Xbox One Juegos/889842150070_s.jpg
Gears of War 4,0889842121575,24.00,17.00,Xbox One,38.00,1002,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg
Call Of Duty: Advanced Warfare,5030917147791,5.00,3.00,Xbox One,15.00,1002,/product_images/Juegos/Xbox One Juegos/5030917147791_s.jpg
