img_caratula,titulo,precio_intercambio,precio_compra,categoria_str,categoria_id,sku,precio_venta
/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,Super Smash Bros.,19.00,14.00,Nintendo 3DS,977,0045496526283,30.00
/product_images/Juegos/3DS Juegos/045496521233_s.jpg,Super Mario 3D Land,18.00,13.00,Nintendo 3DS,977,045496521233,28.00
/product_images/Juegos/3DS Juegos/045496474287_s.jpg,Super Mario Maker,24.00,18.00,Nintendo 3DS,977,045496474287,38.00
/product_images/Juegos/3DS Juegos/045496524333_s.jpg,Pokemon Y,16.00,12.00,Nintendo 3DS,977,045496524333,25.00
/product_images/Juegos/3DS Juegos/045496524227_s.jpg,Pokemon X,16.00,12.00,Nintendo 3DS,977,045496524227,25.00
/product_images/Juegos/3DS Juegos/045496521301_s.jpg,Mario Kart 7,18.00,13.00,Nintendo 3DS,977,045496521301,28.00
/product_images/Juegos/3DS Juegos/045496472313_s.jpg,Yo-Kai Watch,19.00,14.00,Nintendo 3DS,977,045496472313,30.00
/product_images/Juegos/3DS Juegos/045496527075_s.jpg,Monster Hunter 4 Ultimate,14.00,10.00,Nintendo 3DS,977,045496527075,22.00
/product_images/Juegos/3DS Juegos/045496522582_s.jpg,New Super Mario Bros. 2,18.00,13.00,Nintendo 3DS,977,045496522582,28.00
/product_images/Juegos/DS Juegos/045496463106_s.jpg,New Super Mario Bros.,11.00,8.00,Nintendo DS,834,045496463106,18.00
/product_images/Juegos/DS Juegos/045496462338_s.jpg,Mario Kart DS,9.00,6.00,Nintendo DS,834,045496462338,15.00
/product_images/Juegos/DS Juegos/045496464844_s.jpg,Pokemon Diamante,9.00,6.00,Nintendo DS,834,045496464844,15.00
/product_images/Juegos/DS Juegos/045496462567_s.jpg,Brain Training,0.70,0.40,Nintendo DS,834,045496462567,2.00
/product_images/Juegos/DS Juegos/045496471118_s.jpg,Pokemon Edicion Blanca,9.00,6.00,Nintendo DS,834,045496471118,15.00
/product_images/Juegos/DS Juegos/04549646PSSN_s.jpg,Pokemon Plata SoulSilver Sin Pokewalker,22.00,15.00,Nintendo DS,834,04549646,35.00
/product_images/Juegos/DS Juegos/045496462543_s.jpg,Animal Crossing: Wild World,7.00,5.00,Nintendo DS,834,045496462543,12.00
/product_images/Juegos/DS Juegos/045496462246_s.jpg,NintenDogs Labrador & Friends,1.30,0.80,Nintendo DS,834,045496462246,3.50
/product_images/Juegos/DS Juegos/045496471057_s.jpg,Pokemon Edicion Negra,9.00,6.00,Nintendo DS,834,045496471057,15.00
/product_images/Juegos/DS Juegos/045496462857_s.jpg,Pokemon Edicion Negra 2,15.00,11.00,Nintendo DS,834,045496462857,25.00
/product_images/Juegos/DS Juegos/045496470647_s.jpg,Inazuma Eleven,1.90,1.20,Nintendo DS,834,045496470647,5.00
/product_images/Juegos/DS Juegos/045496464936_s.jpg,Pokemon Perla,9.00,6.00,Nintendo DS,834,045496464936,15.00
/product_images/Juegos/DS Juegos/045496462031_s.jpg,Super Mario 64 DS,11.00,8.00,Nintendo DS,834,045496462031,18.00
/product_images/Juegos/DS Juegos/045496469641B_s.jpg,Pokemon Oro HeartGold Sin Pokewalker,20.00,14.00,Nintendo DS,834,045496469641,32.00
/product_images/Juegos/DS Juegos/045496470210_s.jpg,Art Academy,0.90,0.60,Nintendo DS,834,045496470210,2.50
/product_images/Juegos/PC Juegos/8436016710770_s.jpg,"Whispered World, The - Edición Especial",0.70,0.40,PC,830,8436016710770,2.00
/product_images/Juegos/PC Juegos/5060193302294_s.jpg,Warhammer 40000 - Armageddon (SN),0.30,0.10,PC,830,5060193302294,1.00
/product_images/defimg5_s.jpg,Need For Speed: Porsche 2000,0.20,0.10,PC,830,8431474003723,0.75
/product_images/Juegos/PC Juegos/5055060972328_s.jpg,Duck Tales Remastered,0.20,0.10,PC,830,5055060972328,0.75
/product_images/Juegos/PC Juegos/8420266991255_s.jpg,"Longest Journey, The (4 Discs)",0.01,0.01,PC,830,8420266991255,0.25
/product_images/Juegos/PC Juegos/3307210181862_s.jpg,Splinter Cell,0.01,0.01,PC,830,3307210181862,0.25
/product_images/Juegos/PC Juegos/8436016710787_s.jpg,Blackguards,0.30,0.10,PC,830,8436016710787,1.00
/product_images/Juegos/PC Juegos/8436010154587_s.jpg,Caos En Deponia,0.20,0.10,PC,830,8436010154587,0.75
/product_images/Juegos/PC Juegos/8436010150527_s.jpg,Torrente El Juego,0.01,0.01,PC,830,8436010150527,0.10
/product_images/defimg2_s.jpg,Classic Games Collection,0.10,0.01,PC,830,8431474001200,0.50
/product_images/Juegos/PC Juegos/8414606866977_s.jpg,Stasis,0.30,0.10,PC,830,8414606866977,1.00
/product_images/Juegos/PC Juegos/3307210220134_s.jpg,Splinter Cell Chaos Theory,0.10,0.01,PC,830,3307210220134,0.50
/product_images/Juegos/PC Juegos/8436010150671_s.jpg,Imperium III,1.00,0.50,PC,830,8436010150671,3.50
/product_images/Juegos/PC Juegos/8436010154037_s.jpg,"Fuga De Deponia, La",0.20,0.10,PC,830,8436010154037,0.75
/product_images/Juegos/PC Juegos/740781770142_s.jpg,Divinity: Original Sin (P),1.90,1.20,PC,830,740781770142,5.00
/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,Grand Theft Auto V (5),11.00,8.00,PlayStation 3,821,5026555410267,18.00
/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,Call Of Duty: Modern Warfare 3,2.00,1.80,PlayStation 3,821,5030917096808,4.00
/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,Call Of Duty: Black Ops II,5.00,3.00,PlayStation 3,821,5030917111761,15.00
/product_images/Juegos/PS3 Juegos/5030917070990_s.jpg,Call of Duty: Modern Warfare 2,2.00,1.80,PlayStation 3,821,5030917070990,4.00
/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,Grand Theft Auto IV,3.00,2.00,PlayStation 3,821,5026555400251,5.00
/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,Call Of Duty: Ghosts,2.00,1.80,PlayStation 3,821,5030917126116,4.00
/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,Call Of Duty: Black Ops,4.00,3.00,PlayStation 3,821,5030917085802,7.00
/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,Call Of Duty: Advanced Warfare,7.00,5.00,PlayStation 3,821,5030917147906,12.00
/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,FIFA 15,3.00,1.90,PlayStation 3,821,5030937112373,8.00
/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,Uncharted 3: Traicion de Drake,6.00,4.00,PlayStation 3,821,711719123996,10.00
/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,FIFA 14,0.60,0.30,PlayStation 3,821,5030933111103,2.00
/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,FIFA 13,0.01,0.01,PlayStation 3,821,5030934109680,0.25
/product_images/Juegos/PS3 Juegos/3307215793299_s.jpg,Far Cry 4,9.00,6.00,PlayStation 3,821,3307215793299,15.00
/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,Gran Turismo 5,2.00,1.40,PlayStation 3,821,711719190059,6.00
/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,FIFA 16,8.00,5.00,PlayStation 3,821,5030946112869,22.00
/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,Assassin's Creed III (3): Liberation,7.00,5.00,PlayStation Vita,990,3307215652312,12.00
/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,Uncharted: Golden Abyss,9.00,7.00,PlayStation Vita,990,711719200628,15.00
/product_images/defimg4_s.jpg,Fate/Extella: The Umbral Star,22.00,16.00,PlayStation Vita,990,635131948381,35.00
/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,Call of Duty Black Ops- Declassified,14.00,10.00,PlayStation Vita,990,5030917114083,22.00
/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,FIFA 13,1.90,1.20,PlayStation Vita,990,5030934109901,5.00
/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,FIFA 14,5.00,3.00,PlayStation Vita,990,5030939111404,8.00
/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,Minecraft,13.00,9.00,PlayStation Vita,990,711719438519,20.00
/product_images/Juegos/PS Vita Juegos/5055377602314_s.jpg,XBlaze Code : Embryo,3.00,2.00,PlayStation Vita,990,5055377602314,5.00
/product_images/Juegos/PS Vita Juegos/5021290057791_s.jpg,Final Fantasy X HD Only,13.00,9.00,PlayStation Vita,990,5021290057791,20.00
/product_images/Juegos/PS Vita Juegos/5055277016259_s.jpg,Virtua Tennis 4: Edicion World Tour,9.00,7.00,PlayStation Vita,990,5055277016259,15.00
/product_images/Juegos/PS Vita Juegos/711719200147_s.jpg,Resistance: Burning Skies,9.00,7.00,PlayStation Vita,990,711719200147,15.00
/product_images/Juegos/PS Vita Juegos/8717418455200_s.jpg,Disney Infinity 2.0 Marvel Superheroes Starter  Pack,4.00,3.00,PlayStation Vita,990,8717418455200,7.00
/product_images/Juegos/PS Vita Juegos/711719292852_s.jpg,Soul Sacrifice,7.00,5.00,PlayStation Vita,990,711719292852,12.00
/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,Need For Speed: Most Wanted 12,11.00,8.00,PlayStation Vita,990,5030934109192,18.00
/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,Killzone Mercenary,9.00,7.00,PlayStation Vita,990,711719251163,15.00
/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,Grand Theft Auto Vice City Stories,1.80,1.00,PSP,862,5026555280785,5.00
/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,Assassin's Creed: Bloodlines,1.80,1.00,PSP,862,3307211667679,5.00
/product_images/Juegos/PSP Juegos/711719142058_s.jpg,Invizimals (Solo Juego),0.10,0.01,PSP,862,711719142058,0.50
/product_images/Juegos/PSP Juegos/711719169772_s.jpg,Invizimals La Otra Dimension (Solo Juego,0.10,0.01,PSP,862,711719169772,0.50
/product_images/Juegos/PSP Juegos/711719151159_s.jpg,Gran Turismo,0.90,0.40,PSP,862,711719151159,3.00
/product_images/Juegos/PSP Juegos/711719164777_s.jpg,EyePet,0.10,0.01,PSP,862,711719164777,0.50
/product_images/Juegos/PSP Juegos/711719908128_s.jpg,God of War: Chains of Olympus,0.90,0.40,PSP,862,711719908128,3.00
/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,Grand Theft Auto: Liberty City Stories,1.80,1.00,PSP,862,5026555280143,5.00
/product_images/Juegos/PSP Juegos/711719646266_s.jpg,Daxter,0.90,0.40,PSP,862,711719646266,3.00
/product_images/Juegos/PSP Juegos/4012927064740_s.jpg,Pro Evolution Soccer (PES) 2011,0.30,0.10,PSP,862,4012927064740,1.00
/product_images/Juegos/PSP Juegos/8414646244995_s.jpg,Invizimals: Las tribus perdidas,0.10,0.01,PSP,862,8414646244995,0.50
/product_images/Juegos/PSP Juegos/711719651888_s.jpg,Ratchet & Clank: El Tamano Importa,0.90,0.40,PSP,862,711719651888,3.00
/product_images/Juegos/PSP Juegos/5030934046206_s.jpg,Los Sims 2,0.40,0.20,PSP,862,5030934046206,1.50
/product_images/Juegos/PSP Juegos/5026555282338_s.jpg,Grand Theft Auto: China Town Wars,0.90,0.40,PSP,862,5026555282338,3.00
/product_images/Juegos/PSP Juegos/711719738657_s.jpg,Play Chapas,0.10,0.01,PSP,862,711719738657,0.50
/product_images/Juegos/Wii Juegos/045496365202_s.jpg,Mario Kart Wii (Solo Juego),11.00,8.00,Wii,831,045496365202,18.00
/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,Wii Play (solo juego),3.00,2.00,Wii,831,045496362201,6.00
/product_images/Juegos/Wii Juegos/045496368098_s.jpg,New Super Mario Bros. Wii,15.00,11.00,Wii,831,045496368098,25.00
/product_images/Juegos/Wii Juegos/045496363932_s.jpg,Super Mario Galaxy,9.00,6.00,Wii,831,045496363932,15.00
/product_images/Juegos/Wii Juegos/045496365899_s.jpg,Super Smash Bros. Brawl,9.00,6.00,Wii,831,045496365899,15.00
/product_images/Juegos/Wii Juegos/045496367473_s.jpg,Wii Sports Resort (Solo Juego),9.00,6.00,Wii,831,045496367473,15.00
/product_images/Juegos/Wii Juegos/045496362393_s.jpg,Legend of Zelda: Twilight Princess,7.00,5.00,Wii,831,045496362393,12.00
/product_images/Juegos/Wii Juegos/045496362102_s.jpg,Wii Sports (Solo Juego),3.00,2.00,Wii,831,045496362102,5.00
/product_images/Juegos/Wii Juegos/045496368869_s.jpg,Super Mario Galaxy 2,13.00,9.00,Wii,831,045496368869,22.00
/product_images/Juegos/Wii Juegos/045496362867_s.jpg,Mario Party 8,11.00,8.00,Wii,831,045496362867,18.00
/product_images/Juegos/Wii Juegos/045496367916_s.jpg,Wii Fit Plus (Solo Juego),3.00,2.00,Wii,831,045496367916,5.00
/product_images/Juegos/Wii Juegos/5060138433625_s.jpg,Mario & Sonic en los Juegos Olimpicos,9.00,6.00,Wii,831,5060138433625,15.00
/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,Super Mario 3D World,15.00,11.00,Wii U,996,045496332785,25.00
/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,Mario Kart 8,17.00,12.00,Wii U,996,045496333288,28.00
/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,Super Smash Bros,20.00,14.00,Wii U,996,045496333621,32.00
/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,Splatoon,18.00,13.00,Wii U,996,045496334475,30.00
/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,New Super Mario Bros. U,11.00,8.00,Wii U,996,045496331207,18.00
/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,Nintendo Land,7.00,5.00,Wii U,996,045496331085,12.00
/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,Super Mario Maker,17.00,12.00,Wii U,996,045496334987,28.00
/product_images/Juegos/Wii U Juegos/045496333782_s.jpg,Captain Toad: Treasure Tracker,17.00,12.00,Wii U,996,045496333782,28.00
/product_images/Juegos/Wii U Juegos/045496335090_s.jpg,Xenoblade Chronicles X,22.00,15.00,Wii U,996,045496335090,35.00
/product_images/Juegos/Wii U Juegos/045496332839_s.jpg,Wii Party U (Solo Juego),11.00,8.00,Wii U,996,045496332839,18.00
/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,ZombiU,3.00,2.00,Wii U,996,3307215654293,6.00
/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,New Super Mario Bros. U & Super Luigi U,12.00,9.00,Wii U,996,045496332198,20.00
/product_images/Juegos/Wii U Juegos/045496333577_s.jpg,Hyrule Warriors,15.00,11.00,Wii U,996,045496333577,25.00
/product_images/Juegos/Wii U Juegos/3307215655078_s.jpg,Assassins Creed 3,6.00,4.00,Wii U,996,3307215655078,10.00
/product_images/Juegos/Wii U Juegos/5030917114014_s.jpg,Call Of Duty: Black Ops II,5.00,3.00,Wii U,996,5030917114014,8.00
/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,Grand Theft Auto V (5) 2 Disco,12.00,9.00,Xbox 360,827,5026555258098,20.00
/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,Call Of Duty: Black Ops II,9.00,6.00,Xbox 360,827,5030917111679,15.00
/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,Call Of Duty: Modern Warfare 3,5.00,3.00,Xbox 360,827,5030917096891,8.00
/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,Grand Theft Auto IV,5.00,3.00,Xbox 360,827,5026555245968,8.00
/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,Gears of War 3,3.00,2.00,Xbox 360,827,0885370309607,6.00
/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,Gears of War 2,2.00,1.80,Xbox 360,827,882224721141,4.00
/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,FIFA 14,3.00,2.00,Xbox 360,827,5030949111104,5.00
/product_images/Juegos/Xbox 360 Juegos/5055060963852_s.jpg,Resident Evil 6 *2 Disc*,5.00,3.00,Xbox 360,827,5055060963852,8.00
/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,Call Of Duty: Ghosts *2 Disc*,6.00,4.00,Xbox 360,827,5030917125911,10.00
/product_images/Juegos/Xbox 360 Juegos/882224482479_s.jpg,Halo 3,1.10,0.70,Xbox 360,827,882224482479,3.00
/product_images/Juegos/Xbox 360 Juegos/3307215633342_s.jpg,Far Cry 3,6.00,4.00,Xbox 360,827,3307215633342,10.00
/product_images/Juegos/Xbox 360 Juegos/885370439939_s.jpg,Halo 4 *2 Disc*,3.00,2.00,Xbox 360,827,885370439939,6.00
/product_images/Juegos/Xbox 360 Juegos/5030917071065_s.jpg,Call of Duty: Modern Warfare 2,3.00,2.00,Xbox 360,827,5030917071065,5.00
/product_images/Juegos/Xbox 360 Juegos/882224260145_s.jpg,Gears of War,1.30,0.80,Xbox 360,827,882224260145,3.50
/product_images/Juegos/Xbox One Juegos/5055060965924_s.jpg,Resident Evil 7: Biohazard,37.00,30.00,Xbox One,1002,5055060965924,55.00
/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,Ryse: Son Of Rome,12.00,9.00,Xbox One,1002,885370662221,20.00
/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,Grand Theft Auto V (5),26.00,18.00,Xbox One,1002,5026555284127,42.00
/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,Gears of War 4,22.00,15.00,Xbox One,1002,0889842121575,35.00
/product_images/Juegos/Xbox One Juegos/85370663983_s.jpg,Dead Rising 3,11.00,8.00,Xbox One,1002,85370663983,18.00
/product_images/Juegos/Xbox One Juegos/889842148671_s.jpg,Dead Rising 4,25.00,18.00,Xbox One,1002,889842148671,40.00
/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg,Battlefield 1,28.00,20.00,Xbox One,1002,5035228113763,45.00
/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,FIFA 17,28.00,23.00,Xbox One,1002,5030937116425,42.00
/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,Halo 5: Guardians,12.00,9.00,Xbox One,1002,885370929669,20.00
/product_images/Juegos/Xbox One Juegos/885370662023_s.jpg,Forza Motorsport 5,11.00,8.00,Xbox One,1002,885370662023,18.00
/product_images/Juegos/Xbox One Juegos/5055856406396_s.jpg,Fallout 4,15.00,11.00,Xbox One,1002,5055856406396,25.00
/product_images/Juegos/Xbox One Juegos/0885370863956_s.jpg,Halo: The Master Chief Collection,11.00,8.00,Xbox One,1002,0885370863956,18.00
/product_images/Juegos/Xbox One Juegos/3307215733134_s.jpg,Watch Dogs,6.00,4.00,Xbox One,1002,3307215733134,10.00
/product_images/Juegos/Xbox One Juegos/5030917124358_s.jpg,Destiny,3.00,2.00,Xbox One,1002,5030917124358,10.00
/product_images/Juegos/Xbox One Juegos/5026555297356_s.jpg,Mafia III,20.00,14.00,Xbox One,1002,5026555297356,32.00
/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,Watch Dogs,9.00,6.00,PlayStation 4,1001,3307215732939,15.00
/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,"Last of Us, The - Remastered",22.00,15.00,PlayStation 4,1001,711719407515,35.00
/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,Batman: Arkham Knight,15.00,11.00,PlayStation 4,1001,5051893179637,25.00
/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,Destiny,4.00,2.00,PlayStation 4,1001,5030917124549,12.00
/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,Far Cry Primal,20.00,14.00,PlayStation 4,1001,3307215938782,32.00
/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,Far Cry 4,11.00,8.00,PlayStation 4,1001,3307215793633,18.00
/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,Metal Gear Solid V: The Phantom Pain,12.00,9.00,PlayStation 4,1001,4012927100417,20.00
/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,Fallout 4,20.00,14.00,PlayStation 4,1001,5055856406242,32.00
/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,"Last Guardian, The",22.00,15.00,PlayStation 4,1001,711719838951,35.00
/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,Witcher 3: Wild Hunt,20.00,14.00,PlayStation 4,1001,3391891979016,32.00
/product_images/Juegos/PS4 Juegos/711719817963_s.jpg,Nioh,50.00,45.00,PlayStation 4,1001,711719817963,65.00
/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,Call Of Duty: Advanced Warfare,9.00,6.00,PlayStation 4,1001,5030917148019,25.00
/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,FIFA 15,1.80,0.90,PlayStation 4,1001,5030947112387,6.00
/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,Uncharted: The Nathan Drake Collection,22.00,15.00,PlayStation 4,1001,711719866534,35.00
/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,Assassin's Creed 4: Black Flag,12.00,9.00,PlayStation 4,1001,3307215715239,20.00
/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,Minecraft,24.00,17.00,PlayStation 4,1001,711719439912,38.00
/product_images/Juegos/PS4 Juegos/3307215914946_s.jpg,For Honor (No DLC),50.00,45.00,PlayStation 4,1001,3307215914946,65.00
/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,Doom (2016),13.00,9.00,PlayStation 4,1001,5055856403418,22.00
/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,Rainbow Six: Siege,26.00,18.00,PlayStation 4,1001,3307215889121,42.00
/product_images/Juegos/PS4 Juegos/5051893165128_s.jpg,"Tierra-Media, La: Sombras De Mordor",15.00,11.00,PlayStation 4,1001,5051893165128,25.00
/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,Pro Evolution Soccer 2017,26.00,18.00,PlayStation 4,1001,4012927102336,42.00
/product_images/Juegos/PS4 Juegos/5030917188893_s.jpg,Overwatch,34.00,24.00,PlayStation 4,1001,5030917188893,55.00
/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,Killzone: Shadow Fall,7.00,5.00,PlayStation 4,1001,711719275473,12.00
/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,Battlefield 4,13.00,9.00,PlayStation 4,1001,5030936111346,22.00
/product_images/Juegos/PS4 Juegos/5055856410706_s.jpg,Dishonored 2 (Sin DLC),22.00,15.00,PlayStation 4,1001,5055856410706,35.00
/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,Bloodborne,17.00,12.00,PlayStation 4,1001,0711719800415,28.00
/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,God of War 3 - Remasterizado,15.00,11.00,PlayStation 4,1001,711719843337,25.00
/product_images/Juegos/PS4 Juegos/093155149007_s.jpg,"Evil Within, The",13.00,9.00,PlayStation 4,1001,093155149007,22.00
/product_images/Juegos/PS4 Juegos/711719446019_s.jpg,Little Big Planet 3,15.00,11.00,PlayStation 4,1001,711719446019,25.00
/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,Need For Speed (2015),22.00,15.00,PlayStation 4,1001,5035223113737,35.00
/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg,Homefront: The Revolution,9.00,6.00,PlayStation 4,1001,4020628868550,15.00
/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,Titanfall 2,20.00,14.00,PlayStation 4,1001,5030932116925,32.00
/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,InFamous Second Son,13.00,9.00,PlayStation 4,1001,0711719278870,22.00
/product_images/Juegos/PS4 Juegos/711719874737_s.jpg,Until Dawn,18.00,13.00,PlayStation 4,1001,711719874737,30.00
/product_images/Juegos/PS4 Juegos/3391891990097_s.jpg,Dragon Ball Xenoverse 2,34.00,24.00,PlayStation 4,1001,3391891990097,55.00
/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,DriveClub,13.00,9.00,PlayStation 4,1001,711719277071,22.00
/product_images/Juegos/PS4 Juegos/5026555421256_s.jpg,NBA 2K16,6.00,4.00,PlayStation 4,1001,5026555421256,18.00
/product_images/Juegos/PS4 Juegos/5021290072022_s.jpg,Kingdom Hearts HD 2.8 Final Chapter Prologue,35.00,29.00,PlayStation 4,1001,5021290072022,52.00
/product_images/Juegos/PS4 Juegos/3391891987332_s.jpg,Dark Souls III,30.00,21.00,PlayStation 4,1001,3391891987332,48.00
/product_images/Juegos/PS4 Juegos/0711719849834_s.jpg,No Man's Sky,11.00,8.00,PlayStation 4,1001,0711719849834,18.00
