sku,precio_intercambio,img_caratula,precio_venta,categoria_id,titulo,precio_compra,categoria_str
045496362201,2.00,/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,6.00,831,Wii Play (solo juego),1.40,Wii
045496365899,9.00,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,15.00,831,Super Smash Bros. Brawl,6.00,Wii
045496367473,9.00,/product_images/Juegos/Wii Juegos/045496367473_s.jpg,15.00,831,Wii Sports Resort (Solo Juego),6.00,Wii
045496363932,9.00,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,15.00,831,Super Mario Galaxy,6.00,Wii
045496362102,2.00,/product_images/Juegos/Wii Juegos/045496362102_s.jpg,4.00,831,Wii Sports (Solo Juego),1.80,Wii
045496368869,13.00,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,22.00,831,Super Mario Galaxy 2,9.00,Wii
045496362393,7.00,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,12.00,831,Legend of Zelda: Twilight Princess,5.00,Wii
045496367916,1.90,/product_images/Juegos/Wii Juegos/045496367916_s.jpg,5.00,831,Wii Fit Plus (Solo Juego),1.20,Wii
5030933111424,1.50,/product_images/Juegos/Wii Juegos/5030933111424_s.jpg,4.00,831,FIFA 14,0.90,Wii
5055277000876,9.00,/product_images/Juegos/Wii Juegos/5055277000876_s.jpg,15.00,831,Mario & Sonic Juegos Olimpicos de Invern,6.00,Wii
045496332785,17.00,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,28.00,996,Super Mario 3D World,12.00,Wii U
045496333621,20.00,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,32.00,996,Super Smash Bros,14.00,Wii U
045496333288,17.00,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,28.00,996,Mario Kart 8,12.00,Wii U
045496331207,9.00,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,15.00,996,New Super Mario Bros. U,6.00,Wii U
045496334475,17.00,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,28.00,996,Splatoon,12.00,Wii U
045496331085,7.00,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,12.00,996,Nintendo Land,5.00,Wii U
3307215654293,5.00,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,8.00,996,ZombiU,3.00,Wii U
045496334697,17.00,/product_images/Juegos/Wii U Juegos/045496334697_s.jpg,28.00,996,Yoshi's Woolly World,12.00,Wii U
0045496332303,12.00,/product_images/Juegos/Wii U Juegos/0045496332303_s.jpg,20.00,996,Legend Of Zelda: Wind Waker HD,9.00,Wii U
045496335489,17.00,/product_images/Juegos/Wii U Juegos/045496335489_s.jpg,28.00,996,Legend Of Zelda: Twilight Princess HD,12.00,Wii U
045496332198,11.00,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,18.00,996,New Super Mario Bros. U & Super Luigi U,8.00,Wii U
045496334987,18.00,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,30.00,996,Super Mario Maker,13.00,Wii U
045496335090,22.00,/product_images/Juegos/Wii U Juegos/045496335090_s.jpg,35.00,996,Xenoblade Chronicles X,15.00,Wii U
045496333713,13.00,/product_images/Juegos/Wii U Juegos/045496333713_s.jpg,22.00,996,Bayonetta 2,9.00,Wii U
0045496332716,12.00,/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg,20.00,996,Donkey Kong Country: Tropical Freeze,9.00,Wii U
5026555258098,11.00,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,18.00,827,Grand Theft Auto V (5) 2 Disco,8.00,Xbox 360
5035228112377,7.00,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,12.00,827,FIFA 15,5.00,Xbox 360
5030917111679,9.00,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,15.00,827,Call Of Duty: Black Ops II,6.00,Xbox 360
5030917096891,5.00,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,8.00,827,Call Of Duty: Modern Warfare 3,3.00,Xbox 360
882224260145,1.50,/product_images/Juegos/Xbox 360 Juegos/882224260145_s.jpg,4.00,827,Gears of War,0.90,Xbox 360
5030949111104,3.00,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,6.00,827,FIFA 14,2.00,Xbox 360
5026555245968,3.00,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,6.00,827,Grand Theft Auto IV,2.00,Xbox 360
0885370309607,5.00,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,9.00,827,Gears of War 3,4.00,Xbox 360
5030917125911,5.00,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,8.00,827,Call Of Duty: Ghosts *2 Disc*,3.00,Xbox 360
882224721141,3.00,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,5.00,827,Gears of War 2,2.00,Xbox 360
882224918343,1.50,/product_images/Juegos/Xbox 360 Juegos/882224918343_s.jpg,4.00,827,Forza Motorsport 3 (2 Discos),0.90,Xbox 360
882224482479,0.90,/product_images/Juegos/Xbox 360 Juegos/882224482479_s.jpg,2.50,827,Halo 3,0.60,Xbox 360
5030917085864,6.00,/product_images/Juegos/Xbox 360 Juegos/5030917085864_s.jpg,10.00,827,Call Of Duty: Black Ops,4.00,Xbox 360
5030917071065,5.00,/product_images/Juegos/Xbox 360 Juegos/5030917071065_s.jpg,8.00,827,Call of Duty: Modern Warfare 2,3.00,Xbox 360
5030937116425,30.00,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,45.00,1002,FIFA 17,25.00,Xbox One
5035228113763,26.00,/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg,40.00,1002,Battlefield 1,19.00,Xbox One
0889842121575,24.00,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,38.00,1002,Gears of War 4,18.00,Xbox One
5030917147791,4.00,/product_images/Juegos/Xbox One Juegos/5030917147791_s.jpg,12.00,1002,Call Of Duty: Advanced Warfare,2.00,Xbox One
