titulo,precio_venta,sku,precio_compra,precio_intercambio,img_caratula,categoria_str,categoria_id
Invizimals - La Alianza,5.00,711719287667,1.20,1.90,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,PlayStation Vita,990
Resistance: Burning Skies,18.00,711719200147,8.00,11.00,/product_images/Juegos/PS Vita Juegos/711719200147_s.jpg,PlayStation Vita,990
FIFA 14,10.00,5030939111404,4.00,6.00,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,PlayStation Vita,990
XBlaze Code : Embryo,6.00,5055377602314,2.00,3.00,/product_images/Juegos/PS Vita Juegos/5055377602314_s.jpg,PlayStation Vita,990
Assassin's Creed III (3): Liberation,15.00,3307215652312,7.00,9.00,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,PlayStation Vita,990
Final Fantasy X HD Only,20.00,5021290057791,9.00,13.00,/product_images/Juegos/PS Vita Juegos/5021290057791_s.jpg,PlayStation Vita,990
Lego Marvel Superheroes,15.00,5051893143447,7.00,9.00,/product_images/Juegos/PS Vita Juegos/5051893143447_s.jpg,PlayStation Vita,990
Little Big Planet,10.00,711719236542,4.00,6.00,/product_images/Juegos/PS Vita Juegos/711719236542_s.jpg,PlayStation Vita,990
Killzone Mercenary,18.00,711719251163,8.00,11.00,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,PlayStation Vita,990
Gravity Rush,15.00,711719241638,7.00,9.00,/product_images/Juegos/PS Vita Juegos/711719241638_s.jpg,PlayStation Vita,990
Soul Sacrifice,12.00,711719292852,5.00,7.00,/product_images/Juegos/PS Vita Juegos/711719292852_s.jpg,PlayStation Vita,990
Grand Theft Auto: Liberty City Stories,5.00,5026555280143,1.00,1.80,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,PSP,862
Grand Theft Auto Vice City Stories,5.00,5026555280785,1.00,1.80,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,PSP,862
Gran Turismo,3.00,711719151159,0.40,0.90,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,PSP,862
Daxter,3.00,711719646266,0.40,0.90,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,PSP,862
Dragon Ball Z Shin Budokai 2,5.00,3296580803354,1.00,1.80,/product_images/Juegos/PSP Juegos/3296580803354_s.jpg,PSP,862
Invizimals: Las tribus perdidas,0.50,8414646244995,0.01,0.10,/product_images/Juegos/PSP Juegos/8414646244995_s.jpg,PSP,862
Ratchet & Clank: El Tamano Importa,3.00,711719651888,0.40,0.90,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,PSP,862
FIFA 13,5.00,5030934109888,0.70,1.50,/product_images/Juegos/PSP Juegos/5030934109888_s.jpg,PSP,862
Invizimals La Otra Dimension (Solo Juego,0.25,711719169772,0.01,0.01,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,PSP,862
Assassin's Creed: Bloodlines,5.00,3307211667679,1.00,1.80,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,PSP,862
Spiderman 3,4.00,5030917089039,0.80,1.40,/product_images/Juegos/PSP Juegos/5030917089039_s.jpg,PSP,862
FIFA 14,8.00,5030947111403,1.20,2.00,/product_images/Juegos/PSP Juegos/5030947111403_s.jpg,PSP,862
Play Chapas,0.50,711719738657,0.01,0.10,/product_images/Juegos/PSP Juegos/711719738657_s.jpg,PSP,862
Little Big Planet,2.50,711719143451,0.30,0.70,/product_images/Juegos/PSP Juegos/711719143451_s.jpg,PSP,862
Pro Evolution Soccer 2012,2.00,4012927065174,0.30,0.60,/product_images/Juegos/PSP Juegos/4012927065174_s.jpg,PSP,862
Mario Kart Wii (Solo Juego),18.00,045496365202,8.00,11.00,/product_images/Juegos/Wii Juegos/045496365202_s.jpg,Wii,831
New Super Mario Bros. Wii,25.00,045496368098,11.00,15.00,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,Wii,831
Wii Play (solo juego),6.00,045496362201,1.40,2.00,/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,Wii,831
Super Smash Bros. Brawl,15.00,045496365899,6.00,9.00,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,Wii,831
Super Mario Galaxy,15.00,045496363932,6.00,9.00,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,Wii,831
Wii Sports Resort (Solo Juego),15.00,045496367473,6.00,9.00,/product_images/Juegos/Wii Juegos/045496367473_s.jpg,Wii,831
Wii Sports (Solo Juego),4.00,045496362102,1.80,2.00,/product_images/Juegos/Wii Juegos/045496362102_s.jpg,Wii,831
Super Mario Galaxy 2,22.00,045496368869,9.00,13.00,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,Wii,831
Legend of Zelda: Skyward Sword,20.00,045496400736,9.00,12.00,/product_images/Juegos/Wii Juegos/045496400736_s.jpg,Wii,831
Legend of Zelda: Twilight Princess,12.00,045496362393,5.00,7.00,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,Wii,831
Wii Fit Plus (Solo Juego),5.00,045496367916,1.20,1.90,/product_images/Juegos/Wii Juegos/045496367916_s.jpg,Wii,831
FIFA 14,4.00,5030933111424,0.90,1.50,/product_images/Juegos/Wii Juegos/5030933111424_s.jpg,Wii,831
Mario Kart 8,28.00,045496333288,12.00,17.00,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,Wii U,996
Super Mario 3D World,28.00,045496332785,12.00,17.00,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,Wii U,996
Super Smash Bros,32.00,045496333621,14.00,20.00,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,Wii U,996
New Super Mario Bros. U,15.00,045496331207,6.00,9.00,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,Wii U,996
Splatoon,28.00,045496334475,12.00,17.00,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,Wii U,996
Legend Of Zelda: Wind Waker HD,20.00,0045496332303,9.00,12.00,/product_images/Juegos/Wii U Juegos/0045496332303_s.jpg,Wii U,996
Legend Of Zelda: Twilight Princess HD,28.00,045496335489,12.00,17.00,/product_images/Juegos/Wii U Juegos/045496335489_s.jpg,Wii U,996
Donkey Kong Country: Tropical Freeze,20.00,0045496332716,9.00,12.00,/product_images/Juegos/Wii U Juegos/0045496332716_s.jpg,Wii U,996
Yoshi's Woolly World,28.00,045496334697,12.00,17.00,/product_images/Juegos/Wii U Juegos/045496334697_s.jpg,Wii U,996
Nintendo Land,12.00,045496331085,5.00,7.00,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,Wii U,996
ZombiU,8.00,3307215654293,3.00,5.00,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,Wii U,996
Call Of Duty: Black Ops II,7.00,5030917114014,3.00,4.00,/product_images/Juegos/Wii U Juegos/5030917114014_s.jpg,Wii U,996
Super Mario Maker,30.00,045496334987,13.00,18.00,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,Wii U,996
Xenoblade Chronicles X,35.00,045496335090,15.00,22.00,/product_images/Juegos/Wii U Juegos/045496335090_s.jpg,Wii U,996
New Super Mario Bros. U & Super Luigi U,18.00,045496332198,8.00,11.00,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,Wii U,996
Grand Theft Auto V (5) 2 Disco,18.00,5026555258098,8.00,11.00,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,Xbox 360,827
Call Of Duty: Black Ops II,15.00,5030917111679,6.00,9.00,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,Xbox 360,827
FIFA 15,12.00,5035228112377,5.00,7.00,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,Xbox 360,827
Call Of Duty: Modern Warfare 3,8.00,5030917096891,3.00,5.00,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,Xbox 360,827
Gears of War,4.00,882224260145,0.90,1.50,/product_images/Juegos/Xbox 360 Juegos/882224260145_s.jpg,Xbox 360,827
Call Of Duty: Black Ops,10.00,5030917085864,4.00,6.00,/product_images/Juegos/Xbox 360 Juegos/5030917085864_s.jpg,Xbox 360,827
Grand Theft Auto IV,6.00,5026555245968,2.00,3.00,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,Xbox 360,827
FIFA 14,6.00,5030949111104,2.00,3.00,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,Xbox 360,827
Call Of Duty: Ghosts *2 Disc*,8.00,5030917125911,3.00,5.00,/product_images/Juegos/Xbox 360 Juegos/5030917125911_s.jpg,Xbox 360,827
Minecraft,18.00,0885370606515,8.00,11.00,/product_images/Juegos/Xbox 360 Juegos/0885370606515_s.jpg,Xbox 360,827
Gears of War 2,5.00,882224721141,2.00,3.00,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,Xbox 360,827
Forza Motorsport 3 (2 Discos),4.00,882224918343,0.90,1.50,/product_images/Juegos/Xbox 360 Juegos/882224918343_s.jpg,Xbox 360,827
Gears of War 3,9.00,0885370309607,4.00,5.00,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,Xbox 360,827
Resident Evil 6 *2 Disc*,6.00,5055060963852,2.00,3.00,/product_images/Juegos/Xbox 360 Juegos/5055060963852_s.jpg,Xbox 360,827
FIFA 17,45.00,5030937116425,25.00,30.00,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,Xbox One,1002
Call Of Duty: Black Ops III,28.00,5030917181863,13.00,18.00,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,Xbox One,1002
Gears of War 4,38.00,0889842121575,18.00,24.00,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,Xbox One,1002
Forza Motorsport 5,18.00,885370662023,8.00,11.00,/product_images/Juegos/Xbox One Juegos/885370662023_s.jpg,Xbox One,1002
Dead Rising 3,15.00,85370663983,7.00,9.00,/product_images/Juegos/Xbox One Juegos/85370663983_s.jpg,Xbox One,1002
Battlefield 1,40.00,5035228113763,19.00,26.00,/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg,Xbox One,1002
Call Of Duty: Advanced Warfare,12.00,5030917147791,2.00,4.00,/product_images/Juegos/Xbox One Juegos/5030917147791_s.jpg,Xbox One,1002
Grand Theft Auto V (5),40.00,5026555284127,19.00,26.00,/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,Xbox One,1002
Dead Rising 4,42.00,889842148671,20.00,27.00,/product_images/Juegos/Xbox One Juegos/889842148671_s.jpg,Xbox One,1002
Ryse: Son Of Rome,18.00,885370662221,8.00,11.00,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,Xbox One,1002
"Division, The",22.00,3307215804315,10.00,14.00,/product_images/Juegos/Xbox One Juegos/3307215804315_s.jpg,Xbox One,1002
Homefront: The Revolution,15.00,4020628868543,7.00,9.00,/product_images/Juegos/Xbox One Juegos/4020628868543_s.jpg,Xbox One,1002
Halo 5: Guardians,20.00,885370929669,9.00,13.00,/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,Xbox One,1002
Metal Gear Solid V: The Phantom Pain,15.00,4012927110355,7.00,9.00,/product_images/Juegos/Xbox One Juegos/4012927110355_s.jpg,Xbox One,1002
Rise Of The Tomb Raider,25.00,885370984750,12.00,16.00,/product_images/Juegos/Xbox One Juegos/885370984750_s.jpg,Xbox One,1002
"Last Guardian, The",45.00,711719838951,25.00,30.00,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,PlayStation 4,1001
Batman: Arkham Knight,30.00,5051893179637,14.00,19.00,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,PlayStation 4,1001
Star Wars: Battlefront,30.00,5030934121637,14.00,19.00,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,PlayStation 4,1001
"Last of Us, The - Remastered",40.00,711719407515,19.00,26.00,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,PlayStation 4,1001
Metal Gear Solid V: The Phantom Pain,25.00,4012927100417,12.00,16.00,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,PlayStation 4,1001
Far Cry 4,25.00,3307215793633,12.00,16.00,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,PlayStation 4,1001
FIFA 15,6.00,5030947112387,0.90,1.80,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,PlayStation 4,1001
Fallout 4,30.00,5055856406242,14.00,19.00,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,PlayStation 4,1001
Destiny,18.00,5030917124549,8.00,11.00,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,PlayStation 4,1001
Pro Evolution Soccer 2017,45.00,4012927102336,21.00,29.00,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,PlayStation 4,1001
Witcher 3: Wild Hunt,35.00,3391891979016,16.00,22.00,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,PlayStation 4,1001
DriveClub,25.00,711719277071,12.00,16.00,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,PlayStation 4,1001
Call Of Duty: Advanced Warfare,28.00,5030917148019,6.00,10.00,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,PlayStation 4,1001
Battlefield 4,25.00,5030936111346,12.00,16.00,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,PlayStation 4,1001
Doom (2016),28.00,5055856403418,13.00,18.00,/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,PlayStation 4,1001
Uncharted: The Nathan Drake Collection,42.00,711719866534,20.00,27.00,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,PlayStation 4,1001
Titanfall 2,40.00,5030932116925,19.00,26.00,/product_images/Juegos/PS4 Juegos/5030932116925_s.jpg,PlayStation 4,1001
Rise of the Tomb Raider,55.00,5021290074811,26.00,35.00,/product_images/Juegos/PS4 Juegos/5021290074811_s.jpg,PlayStation 4,1001
Rainbow Six: Siege,38.00,3307215889121,18.00,24.00,/product_images/Juegos/PS4 Juegos/3307215889121_s.jpg,PlayStation 4,1001
Battlefield Hardline,18.00,5030946112425,8.00,11.00,/product_images/Juegos/PS4 Juegos/5030946112425_s.jpg,PlayStation 4,1001
Homefront: The Revolution,20.00,4020628868550,9.00,13.00,/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg,PlayStation 4,1001
Bloodborne,30.00,0711719800415,14.00,19.00,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,PlayStation 4,1001
Ratchet & Clank (2016),40.00,711719848233,19.00,26.00,/product_images/Juegos/PS4 Juegos/711719848233_s.jpg,PlayStation 4,1001
Killzone: Shadow Fall,15.00,711719275473,7.00,9.00,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,PlayStation 4,1001
NBA 2K16,20.00,5026555421256,4.00,7.00,/product_images/Juegos/PS4 Juegos/5026555421256_s.jpg,PlayStation 4,1001
Dishonored 2 (Sin DLC),40.00,5055856410706,22.00,27.00,/product_images/Juegos/PS4 Juegos/5055856410706_s.jpg,PlayStation 4,1001
Minecraft,38.00,711719439912,18.00,24.00,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,PlayStation 4,1001
No Man's Sky,25.00,0711719849834,12.00,16.00,/product_images/Juegos/PS4 Juegos/0711719849834_s.jpg,PlayStation 4,1001
InFamous Second Son,28.00,0711719278870,13.00,18.00,/product_images/Juegos/PS4 Juegos/0711719278870_s.jpg,PlayStation 4,1001
Dragon Ball: Xenoverse,35.00,3391891980685,16.00,22.00,/product_images/Juegos/PS4 Juegos/3391891980685_s.jpg,PlayStation 4,1001
Assassin's Creed 4: Black Flag,25.00,3307215715239,12.00,16.00,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,PlayStation 4,1001
NBA 2K17,52.00,5026555422079,29.00,35.00,/product_images/Juegos/PS4 Juegos/5026555422079_s.jpg,PlayStation 4,1001
Just Cause 3,35.00,5021290069459,16.00,22.00,/product_images/Juegos/PS4 Juegos/5021290069459_s.jpg,PlayStation 4,1001
Overwatch,55.00,5030917188893,30.00,37.00,/product_images/Juegos/PS4 Juegos/5030917188893_s.jpg,PlayStation 4,1001
Dying Light The Following: Enhanced Edition,40.00,5051890302113,19.00,26.00,/product_images/Juegos/PS4 Juegos/5051890302113_s.jpg,PlayStation 4,1001
God of War 3 - Remasterizado,28.00,711719843337,13.00,18.00,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,PlayStation 4,1001
Dying Light,35.00,5051893170139,16.00,22.00,/product_images/Juegos/PS4 Juegos/5051893170139_s.jpg,PlayStation 4,1001
Need For Speed (2015),40.00,5035223113737,19.00,26.00,/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,PlayStation 4,1001
Bloodborne - Game Of The Year Edition,38.00,711719844341,18.00,24.00,/product_images/Juegos/PS4 Juegos/711719844341_s.jpg,PlayStation 4,1001
"Order 1886, The",20.00,0711719284697,9.00,13.00,/product_images/Juegos/PS4 Juegos/0711719284697_s.jpg,PlayStation 4,1001
