precio_compra,precio_intercambio,img_caratula,categoria_id,sku,titulo,categoria_str,precio_venta
8.00,11.00,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,831,045496368098,New Super Mario Bros. Wii,Wii,18.00
6.00,9.00,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,831,045496363932,Super Mario Galaxy,Wii,15.00
4.00,6.00,/product_images/Juegos/Wii Juegos/045496367473_s.jpg,831,045496367473,Wii Sports Resort (Solo Juego),Wii,10.00
9.00,12.00,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,831,045496368869,Super Mario Galaxy 2,Wii,20.00
6.00,9.00,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,831,045496365899,Super Smash Bros. Brawl,Wii,15.00
2.00,3.00,/product_images/Juegos/Wii Juegos/045496362102_s.jpg,831,045496362102,Wii Sports (Solo Juego),Wii,5.00
6.00,9.00,/product_images/Juegos/Wii Juegos/045496362867_s.jpg,831,045496362867,Mario Party 8,Wii,15.00
6.00,9.00,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,831,045496362393,Legend of Zelda: Twilight Princess,Wii,15.00
6.00,9.00,/product_images/Juegos/Wii Juegos/3307215647196_s.jpg,831,3307215647196,Just Dance 4,Wii,15.00
3.00,5.00,/product_images/Juegos/Wii Juegos/045496366575_s.jpg,831,045496366575,Animal Crossing Lets Go To The City (Solo Juego),Wii,8.00
9.00,13.00,/product_images/Juegos/Wii Juegos/045496401467_s.jpg,831,045496401467,Mario Party 9,Wii,22.00
11.00,15.00,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,996,045496333288,Mario Kart 8,Wii U,25.00
9.00,13.00,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,996,045496332785,Super Mario 3D World,Wii U,22.00
4.00,6.00,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,996,045496331085,Nintendo Land,Wii U,10.00
13.00,18.00,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,996,045496333621,Super Smash Bros,Wii U,30.00
13.00,18.00,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,996,045496334987,Super Mario Maker,Wii U,30.00
6.00,9.00,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,996,045496331207,New Super Mario Bros. U,Wii U,15.00
11.00,15.00,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,996,045496334475,Splatoon,Wii U,25.00
8.00,11.00,/product_images/Juegos/Wii U Juegos/045496334161_s.jpg,996,045496334161,Mario Party 10,Wii U,18.00
9.00,12.00,/product_images/Juegos/Wii U Juegos/045496332839_s.jpg,996,045496332839,Wii Party U (Solo Juego),Wii U,20.00
