sku,precio_compra,categoria_str,categoria_id,precio_venta,img_caratula,titulo,precio_intercambio
045496526313,13.00,Nintendo 3DS,977,28.00,/product_images/Juegos/3DS Juegos/045496526313_s.jpg,Pokemon Rubi Omega,18.00
045496520830,10.00,Nintendo 3DS,977,22.00,/product_images/Juegos/3DS Juegos/045496520830_s.jpg,Legend Of Zelda Ocarina Of Time 3D,14.00
045496524333,12.00,Nintendo 3DS,977,25.00,/product_images/Juegos/3DS Juegos/045496524333_s.jpg,Pokemon Y,16.00
045496473464,16.00,Nintendo 3DS,977,35.00,/product_images/Juegos/3DS Juegos/045496473464_s.jpg,Pokemon Luna,22.00
045496521301,14.00,Nintendo 3DS,977,30.00,/product_images/Juegos/3DS Juegos/045496521301_s.jpg,Mario Kart 7,19.00
045496521233,14.00,Nintendo 3DS,977,30.00,/product_images/Juegos/3DS Juegos/045496521233_s.jpg,Super Mario 3D Land,19.00
045496523848,15.00,Nintendo 3DS,977,32.00,/product_images/Juegos/3DS Juegos/045496523848_s.jpg,Animal Crossing: New Leaf,20.00
045496524227,10.00,Nintendo 3DS,977,22.00,/product_images/Juegos/3DS Juegos/045496524227_s.jpg,Pokemon X,14.00
0045496526283,14.00,Nintendo 3DS,977,30.00,/product_images/Juegos/3DS Juegos/0045496526283_s.jpg,Super Smash Bros.,19.00
045496524531,9.00,Nintendo 3DS,977,20.00,/product_images/Juegos/3DS Juegos/045496524531_s.jpg,Legend of Zelda: A Link Between Worlds,13.00
045496526320,10.00,Nintendo 3DS,977,22.00,/product_images/Juegos/3DS Juegos/045496526320_s.jpg,Pokemon: Zafiro Alfa,14.00
045496522582,14.00,Nintendo 3DS,977,30.00,/product_images/Juegos/3DS Juegos/045496522582_s.jpg,New Super Mario Bros. 2,19.00
045496529703,13.00,Nintendo 3DS,977,28.00,/product_images/Juegos/3DS Juegos/045496529703_s.jpg,Pokemon Mundo Megamisterioso,18.00
045496463106,9.00,Nintendo DS,834,20.00,/product_images/Juegos/DS Juegos/045496463106_s.jpg,New Super Mario Bros.,12.00
045496462338,6.00,Nintendo DS,834,15.00,/product_images/Juegos/DS Juegos/045496462338_s.jpg,Mario Kart DS,9.00
045496462567,0.40,Nintendo DS,834,2.00,/product_images/Juegos/DS Juegos/045496462567_s.jpg,Brain Training,0.70
045496463595,4.00,Nintendo DS,834,10.00,/product_images/Juegos/DS Juegos/045496463595_s.jpg,Pokemon Mundo Misterioso Equipo Azul,6.00
045496462543,6.00,Nintendo DS,834,15.00,/product_images/Juegos/DS Juegos/045496462543_s.jpg,Animal Crossing: Wild World,9.00
04549646,14.00,Nintendo DS,834,32.00,/product_images/Juegos/DS Juegos/04549646PSSN_s.jpg,Pokemon Plata SoulSilver Sin Pokewalker,20.00
045496462031,9.00,Nintendo DS,834,20.00,/product_images/Juegos/DS Juegos/045496462031_s.jpg,Super Mario 64 DS,12.00
045496464844,6.00,Nintendo DS,834,15.00,/product_images/Juegos/DS Juegos/045496464844_s.jpg,Pokemon Diamante,9.00
045496462246,0.80,Nintendo DS,834,3.50,/product_images/Juegos/DS Juegos/045496462246_s.jpg,NintenDogs Labrador & Friends,1.30
045496464936,5.00,Nintendo DS,834,12.00,/product_images/Juegos/DS Juegos/045496464936_s.jpg,Pokemon Perla,7.00
045496471118,6.00,Nintendo DS,834,15.00,/product_images/Juegos/DS Juegos/045496471118_s.jpg,Pokemon Edicion Blanca,9.00
045496465537,9.00,Nintendo DS,834,22.00,/product_images/Juegos/DS Juegos/045496465537_s.jpg,Pokemon Edicion Blanca 2,13.00
045496464721,0.60,Nintendo DS,834,2.50,/product_images/Juegos/DS Juegos/045496464721_s.jpg,Mas Brain Training,0.90
5060138433519,6.00,Nintendo DS,834,15.00,/product_images/Juegos/DS Juegos/5060138433519_s.jpg,Mario & Sonic en los Juegos Olimpicos,9.00
045496465896,5.00,Nintendo DS,834,12.00,/product_images/Juegos/DS Juegos/045496465896_s.jpg,Mario Party DS,7.00
3307210181862,0.01,PC,830,0.50,/product_images/Juegos/PC Juegos/3307210181862_s.jpg,Splinter Cell,0.10
5060193302294,0.10,PC,830,1.00,/product_images/Juegos/PC Juegos/5060193302294_s.jpg,Warhammer 40000 - Armageddon (SN),0.30
8436016710770,0.50,PC,830,2.50,/product_images/Juegos/PC Juegos/8436016710770_s.jpg,"Whispered World, The - Edición Especial",0.90
8436010150671,0.30,PC,830,2.50,/product_images/Juegos/PC Juegos/8436010150671_s.jpg,Imperium III,0.70
8436010150275,0.20,PC,830,1.50,/product_images/Juegos/PC Juegos/8436010150275_s.jpg,Imperium,0.40
8414185051528,2.00,PC,830,10.00,/product_images/Juegos/PC Juegos/8414185051528_s.jpg,Los Sims 2 (SN),3.00
3307210220134,0.01,PC,830,0.50,/product_images/Juegos/PC Juegos/3307210220134_s.jpg,Splinter Cell Chaos Theory,0.10
4260089416369,0.20,PC,830,1.50,/product_images/Juegos/PC Juegos/4260089416369_s.jpg,Tropico Dictator Pack (P),0.40
8436016710787,0.30,PC,830,2.00,/product_images/Juegos/PC Juegos/8436016710787_s.jpg,Blackguards,0.60
8436010154037,0.01,PC,830,0.50,/product_images/Juegos/PC Juegos/8436010154037_s.jpg,"Fuga De Deponia, La",0.10
3307210153470,0.01,PC,830,0.50,/product_images/Juegos/PC Juegos/3307210153470_s.jpg,Beyond Good & Evil,0.10
8436010150541,0.01,PC,830,0.50,/product_images/Juegos/PC Juegos/8436010150541HD_s.jpg,House Of The Dead 2,0.10
3307210211989,0.10,PC,830,1.00,/product_images/Juegos/PC Juegos/3307210211989_s.jpg,Prince of Persia Ed. Col.,0.30
8436010150572,0.30,PC,830,2.00,/product_images/Juegos/PC Juegos/8436010150572_s.jpg,Imperium II,0.60
8431474001200,0.01,PC,830,0.50,/product_images/Juegos/PC Juegos/8431474001200_s.jpg,Classic Games Collection,0.10
5026555410267,6.00,PlayStation 3,821,15.00,/product_images/Juegos/PS3 Juegos/5026555410267_s.jpg,Grand Theft Auto V (5),9.00
5030917111761,3.00,PlayStation 3,821,15.00,/product_images/Juegos/PS3 Juegos/5030917111761_s.jpg,Call Of Duty: Black Ops II,5.00
5030917096808,2.00,PlayStation 3,821,6.00,/product_images/Juegos/PS3 Juegos/5030917096808_s.jpg,Call Of Duty: Modern Warfare 3,3.00
5030917085802,3.00,PlayStation 3,821,8.00,/product_images/Juegos/PS3 Juegos/5030917085802_s.jpg,Call Of Duty: Black Ops,5.00
5026555400251,2.00,PlayStation 3,821,6.00,/product_images/Juegos/PS3 Juegos/5026555400251_s.jpg,Grand Theft Auto IV,3.00
5030937112373,3.00,PlayStation 3,821,8.00,/product_images/Juegos/PS3 Juegos/5030937112373_s.jpg,FIFA 15,5.00
5030917126116,2.00,PlayStation 3,821,6.00,/product_images/Juegos/PS3 Juegos/5030917126116_s.jpg,Call Of Duty: Ghosts,3.00
5030917147906,6.00,PlayStation 3,821,15.00,/product_images/Juegos/PS3 Juegos/5030917147906_s.jpg,Call Of Duty: Advanced Warfare,9.00
5030933111103,0.30,PlayStation 3,821,2.00,/product_images/Juegos/PS3 Juegos/5030933111103_s.jpg,FIFA 14,0.60
5030946112869,9.00,PlayStation 3,821,22.00,/product_images/Juegos/PS3 Juegos/5030946112869_s.jpg,FIFA 16,13.00
711719123996,4.00,PlayStation 3,821,10.00,/product_images/Juegos/PS3 Juegos/711719123996_s.jpg,Uncharted 3: Traicion de Drake,6.00
711719190059,2.00,PlayStation 3,821,6.00,/product_images/Juegos/PS3 Juegos/711719190059_s.jpg,Gran Turismo 5,3.00
5030934102902,2.00,PlayStation 3,821,5.00,/product_images/Juegos/PS3 Juegos/5030934102902_s.jpg,Battlefield 3,3.00
5030934109680,0.01,PlayStation 3,821,0.25,/product_images/Juegos/PS3 Juegos/5030934109680_s.jpg,FIFA 13,0.01
0711719274551,9.00,PlayStation 3,821,22.00,/product_images/Juegos/PS3 Juegos/0711719274551_s.jpg,Last Of Us,13.00
5030917114083,10.00,PlayStation Vita,990,22.00,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,Call of Duty Black Ops- Declassified,14.00
711719438519,7.00,PlayStation Vita,990,15.00,/product_images/Juegos/PS Vita Juegos/711719438519_s.jpg,Minecraft,9.00
5055277016259,8.00,PlayStation Vita,990,18.00,/product_images/Juegos/PS Vita Juegos/5055277016259_s.jpg,Virtua Tennis 4: Edicion World Tour,11.00
5030934109192,7.00,PlayStation Vita,990,15.00,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,Need For Speed: Most Wanted 12,9.00
5035225113223,10.00,PlayStation Vita,990,22.00,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,FIFA 15,14.00
5030934109901,1.40,PlayStation Vita,990,6.00,/product_images/Juegos/PS Vita Juegos/5030934109901_s.jpg,FIFA 13,2.00
711719200628,9.00,PlayStation Vita,990,20.00,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,Uncharted: Golden Abyss,13.00
5030939111404,4.00,PlayStation Vita,990,10.00,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,FIFA 14,6.00
711719287667,1.40,PlayStation Vita,990,6.00,/product_images/Juegos/PS Vita Juegos/711719287667_s.jpg,Invizimals - La Alianza,2.00
4012927066065,9.00,PlayStation Vita,990,20.00,/product_images/Juegos/PS Vita Juegos/4012927066065_s.jpg,Metal Gear Solid Hd Colección,13.00
711719241638,8.00,PlayStation Vita,990,18.00,/product_images/Juegos/PS Vita Juegos/711719241638_s.jpg,Gravity Rush,11.00
3307215652312,7.00,PlayStation Vita,990,15.00,/product_images/Juegos/PS Vita Juegos/3307215652312_s.jpg,Assassin's Creed III (3): Liberation,9.00
711719421511,7.00,PlayStation Vita,990,15.00,/product_images/Juegos/PS Vita Juegos/711719421511_s.jpg,Borderlands 2,9.00
711719291589,5.00,PlayStation Vita,990,12.00,/product_images/Juegos/PS Vita Juegos/711719291589_s.jpg,Freedom Wars,7.00
5051893229387,7.00,PlayStation Vita,990,15.00,/product_images/Juegos/PS Vita Juegos/5051893229387_s.jpg,LEGO Star Wars: El Despertar De La Fuerza (Episodio 7),9.00
5026555280143,0.80,PSP,862,4.00,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,Grand Theft Auto: Liberty City Stories,1.40
3307211667679,0.80,PSP,862,4.00,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,Assassin's Creed: Bloodlines,1.40
5026555280785,0.80,PSP,862,4.00,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,Grand Theft Auto Vice City Stories,1.40
711719908128,0.40,PSP,862,3.00,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,God of War: Chains of Olympus,0.90
711719151159,0.40,PSP,862,3.00,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,Gran Turismo,0.90
711719651888,0.40,PSP,862,3.00,/product_images/Juegos/PSP Juegos/711719651888_s.jpg,Ratchet & Clank: El Tamano Importa,0.90
8414646244995,0.01,PSP,862,0.50,/product_images/Juegos/PSP Juegos/8414646244995_s.jpg,Invizimals: Las tribus perdidas,0.10
711719660071,0.40,PSP,862,3.00,/product_images/Juegos/PSP Juegos/711719660071_s.jpg,Tekken Dark Resurrection,0.90
711719143451,0.30,PSP,862,2.50,/product_images/Juegos/PSP Juegos/711719143451_s.jpg,Little Big Planet,0.70
3296580803354,0.40,PSP,862,3.00,/product_images/Juegos/PSP Juegos/3296580803354_s.jpg,Dragon Ball Z Shin Budokai 2,0.90
711719738657,0.01,PSP,862,0.50,/product_images/Juegos/PSP Juegos/711719738657_s.jpg,Play Chapas,0.10
5030917089039,0.40,PSP,862,3.00,/product_images/Juegos/PSP Juegos/5030917089039_s.jpg,Spiderman 3,0.90
711719678250,0.80,PSP,862,4.00,/product_images/Juegos/PSP Juegos/711719678250_s.jpg,Medievil: Resurreccion,1.40
711719646266,0.40,PSP,862,3.00,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,Daxter,0.90
711719195399,0.20,PSP,862,1.50,/product_images/Juegos/PSP Juegos/711719195399_s.jpg,"Geronimo Stilton, En El Reino De La Fant",0.40
045496365202,8.00,Wii,831,18.00,/product_images/Juegos/Wii Juegos/045496365202_s.jpg,Mario Kart Wii (Solo Juego),11.00
045496368098,8.00,Wii,831,18.00,/product_images/Juegos/Wii Juegos/045496368098_s.jpg,New Super Mario Bros. Wii,11.00
045496362201,1.80,Wii,831,4.00,/product_images/Juegos/Wii Juegos/045496362201B_s.jpg,Wii Play (solo juego),2.00
045496367473,4.00,Wii,831,10.00,/product_images/Juegos/Wii Juegos/045496367473_s.jpg,Wii Sports Resort (Solo Juego),6.00
045496363932,6.00,Wii,831,15.00,/product_images/Juegos/Wii Juegos/045496363932_s.jpg,Super Mario Galaxy,9.00
045496365899,6.00,Wii,831,15.00,/product_images/Juegos/Wii Juegos/045496365899_s.jpg,Super Smash Bros. Brawl,9.00
045496368869,9.00,Wii,831,20.00,/product_images/Juegos/Wii Juegos/045496368869_s.jpg,Super Mario Galaxy 2,12.00
045496362102,2.00,Wii,831,5.00,/product_images/Juegos/Wii Juegos/045496362102_s.jpg,Wii Sports (Solo Juego),3.00
045496367916,1.80,Wii,831,4.00,/product_images/Juegos/Wii Juegos/045496367916_s.jpg,Wii Fit Plus (Solo Juego),2.00
045496362393,6.00,Wii,831,15.00,/product_images/Juegos/Wii Juegos/045496362393_s.jpg,Legend of Zelda: Twilight Princess,9.00
045496400736,9.00,Wii,831,22.00,/product_images/Juegos/Wii Juegos/045496400736_s.jpg,Legend of Zelda: Skyward Sword,13.00
045496362867,6.00,Wii,831,15.00,/product_images/Juegos/Wii Juegos/045496362867_s.jpg,Mario Party 8,9.00
045496337087,43.00,Wii U,996,62.00,/product_images/Juegos/Wii U Juegos/045496337087_s.jpg,Legend of Zelda: Breath of the Wild,48.00
045496333288,9.00,Wii U,996,22.00,/product_images/Juegos/Wii U Juegos/045496333288_s.jpg,Mario Kart 8,13.00
045496332785,9.00,Wii U,996,20.00,/product_images/Juegos/Wii U Juegos/045496332785_s.jpg,Super Mario 3D World,12.00
045496333621,12.00,Wii U,996,28.00,/product_images/Juegos/Wii U Juegos/045496333621_s.jpg,Super Smash Bros,17.00
045496334475,9.00,Wii U,996,22.00,/product_images/Juegos/Wii U Juegos/045496334475_s.jpg,Splatoon,13.00
045496334161,6.00,Wii U,996,15.00,/product_images/Juegos/Wii U Juegos/045496334161_s.jpg,Mario Party 10,9.00
045496334987,12.00,Wii U,996,28.00,/product_images/Juegos/Wii U Juegos/045496334987_s.jpg,Super Mario Maker,17.00
045496331085,3.00,Wii U,996,8.00,/product_images/Juegos/Wii U Juegos/045496331085_s.jpg,Nintendo Land,5.00
045496331207,5.00,Wii U,996,12.00,/product_images/Juegos/Wii U Juegos/045496331207_s.jpg,New Super Mario Bros. U,7.00
045496333713,9.00,Wii U,996,20.00,/product_images/Juegos/Wii U Juegos/045496333713_s.jpg,Bayonetta 2,12.00
3307215654293,2.00,Wii U,996,5.00,/product_images/Juegos/Wii U Juegos/3307215654293_s.jpg,ZombiU,3.00
045496332198,6.00,Wii U,996,15.00,/product_images/Juegos/Wii U Juegos/045496332198_s.jpg,New Super Mario Bros. U & Super Luigi U,9.00
045496332839,8.00,Wii U,996,18.00,/product_images/Juegos/Wii U Juegos/045496332839_s.jpg,Wii Party U (Solo Juego),11.00
045496334697,12.00,Wii U,996,28.00,/product_images/Juegos/Wii U Juegos/045496334697_s.jpg,Yoshi's Woolly World,17.00
0045496332303,9.00,Wii U,996,22.00,/product_images/Juegos/Wii U Juegos/0045496332303_s.jpg,Legend Of Zelda: Wind Waker HD,13.00
5026555258098,9.00,Xbox 360,827,20.00,/product_images/Juegos/Xbox 360 Juegos/5026555258098_s.jpg,Grand Theft Auto V (5) 2 Disco,12.00
5030917111679,6.00,Xbox 360,827,15.00,/product_images/Juegos/Xbox 360 Juegos/5030917111679_s.jpg,Call Of Duty: Black Ops II,9.00
5030917096891,2.00,Xbox 360,827,6.00,/product_images/Juegos/Xbox 360 Juegos/5030917096891_s.jpg,Call Of Duty: Modern Warfare 3,3.00
5026555245968,3.00,Xbox 360,827,8.00,/product_images/Juegos/Xbox 360 Juegos/5026555245968_s.jpg,Grand Theft Auto IV,5.00
5035228112377,5.00,Xbox 360,827,12.00,/product_images/Juegos/Xbox 360 Juegos/5035228112377_s.jpg,FIFA 15,7.00
5030949111104,2.00,Xbox 360,827,6.00,/product_images/Juegos/Xbox 360 Juegos/5030949111104_s.jpg,FIFA 14,3.00
0885370606515,5.00,Xbox 360,827,12.00,/product_images/Juegos/Xbox 360 Juegos/0885370606515_s.jpg,Minecraft,7.00
5030934109734,0.40,Xbox 360,827,2.00,/product_images/Juegos/Xbox 360 Juegos/5030934109734_s.jpg,FIFA 13,0.70
882224721141,0.90,Xbox 360,827,4.00,/product_images/Juegos/Xbox 360 Juegos/882224721141_s.jpg,Gears of War 2,1.50
5030917085864,2.00,Xbox 360,827,12.00,/product_images/Juegos/Xbox 360 Juegos/5030917085864_s.jpg,Call Of Duty: Black Ops,4.00
5055060963852,3.00,Xbox 360,827,8.00,/product_images/Juegos/Xbox 360 Juegos/5055060963852_s.jpg,Resident Evil 6 *2 Disc*,5.00
5030934102421,1.40,Xbox 360,827,6.00,/product_images/Juegos/Xbox 360 Juegos/5030934102421_s.jpg,Battlefield 3 *2 Discos*,2.00
3307210263421,2.00,Xbox 360,827,5.00,/product_images/Juegos/Xbox 360 Juegos/3307210263421_s.jpg,Assassin's Creed,3.00
0885370309607,2.00,Xbox 360,827,6.00,/product_images/Juegos/Xbox 360 Juegos/0885370309607_s.jpg,Gears of War 3,3.00
889842148671,17.00,Xbox One,1002,38.00,/product_images/Juegos/Xbox One Juegos/889842148671_s.jpg,Dead Rising 4,24.00
5026555284127,17.00,Xbox One,1002,38.00,/product_images/Juegos/Xbox One Juegos/5026555284127_s.jpg,Grand Theft Auto V (5),24.00
5030937116425,18.00,Xbox One,1002,42.00,/product_images/Juegos/Xbox One Juegos/5030937116425_s.jpg,FIFA 17,26.00
3307215913161,36.00,Xbox One,1002,65.00,/product_images/Juegos/Xbox One Juegos/3307215913161_s.jpg,Ghost Recon: Wildlands (Sin DLC),44.00
5030917181863,13.00,Xbox One,1002,30.00,/product_images/Juegos/Xbox One Juegos/5030917181863_s.jpg,Call Of Duty: Black Ops III,18.00
3307215915127,32.00,Xbox One,1002,58.00,/product_images/Juegos/Xbox One Juegos/3307215915127_s.jpg,For Honor,39.00
0889842121575,13.00,Xbox One,1002,30.00,/product_images/Juegos/Xbox One Juegos/0889842121575_s.jpg,Gears of War 4,18.00
5035228113763,17.00,Xbox One,1002,38.00,/product_images/Juegos/Xbox One Juegos/5035228113763_s.jpg,Battlefield 1,24.00
885370929669,9.00,Xbox One,1002,20.00,/product_images/Juegos/Xbox One Juegos/885370929669_s.jpg,Halo 5: Guardians,12.00
885370951844,4.00,Xbox One,1002,10.00,/product_images/Juegos/Xbox One Juegos/885370951844_s.jpg,Gears Of War: Ultimate Edition,6.00
5055856406396,11.00,Xbox One,1002,25.00,/product_images/Juegos/Xbox One Juegos/5055856406396_s.jpg,Fallout 4,15.00
885370662221,8.00,Xbox One,1002,18.00,/product_images/Juegos/Xbox One Juegos/885370662221_s.jpg,Ryse: Son Of Rome,11.00
5030947121631,8.00,Xbox One,1002,18.00,/product_images/Juegos/Xbox One Juegos/5030947121631_s.jpg,Star Wars: Battlefront,11.00
5026555297356,11.00,Xbox One,1002,25.00,/product_images/Juegos/Xbox One Juegos/5026555297356_s.jpg,Mafia III,15.00
5021290073081,14.00,Xbox One,1002,32.00,/product_images/Juegos/Xbox One Juegos/5021290073081_s.jpg,Final Fantasy XV,20.00
3307215804445,4.00,PlayStation 4,1001,18.00,/product_images/Juegos/PS4 Juegos/3307215804445_s.jpg,"Division, The",6.00
3307215938782,12.00,PlayStation 4,1001,28.00,/product_images/Juegos/PS4 Juegos/3307215938782_s.jpg,Far Cry Primal,17.00
5021290072985,17.00,PlayStation 4,1001,38.00,/product_images/Juegos/PS4 Juegos/5021290072985_s.jpg,Final Fantasy XV,24.00
3307215803530,8.00,PlayStation 4,1001,18.00,/product_images/Juegos/PS4 Juegos/3307215803530_s.jpg,Assassin's Creed: Unity,11.00
3307215732939,2.00,PlayStation 4,1001,12.00,/product_images/Juegos/PS4 Juegos/3307215732939_s.jpg,Watch Dogs,4.00
5030934121637,9.00,PlayStation 4,1001,20.00,/product_images/Juegos/PS4 Juegos/5030934121637_s.jpg,Star Wars: Battlefront,12.00
5051893179637,9.00,PlayStation 4,1001,22.00,/product_images/Juegos/PS4 Juegos/5051893179637_s.jpg,Batman: Arkham Knight,13.00
711719407515,15.00,PlayStation 4,1001,35.00,/product_images/Juegos/PS4 Juegos/711719407515_s.jpg,"Last of Us, The - Remastered",22.00
3307215793633,4.00,PlayStation 4,1001,18.00,/product_images/Juegos/PS4 Juegos/3307215793633_s.jpg,Far Cry 4,6.00
4012927100417,9.00,PlayStation 4,1001,20.00,/product_images/Juegos/PS4 Juegos/4012927100417_s.jpg,Metal Gear Solid V: The Phantom Pain,12.00
3391891979016,14.00,PlayStation 4,1001,32.00,/product_images/Juegos/PS4 Juegos/3391891979016_s.jpg,Witcher 3: Wild Hunt,20.00
5030917124549,2.00,PlayStation 4,1001,12.00,/product_images/Juegos/PS4 Juegos/5030917124549_s.jpg,Destiny,4.00
5055856406242,11.00,PlayStation 4,1001,25.00,/product_images/Juegos/PS4 Juegos/5055856406242_s.jpg,Fallout 4,15.00
711719838951,14.00,PlayStation 4,1001,32.00,/product_images/Juegos/PS4 Juegos/711719838951_s.jpg,"Last Guardian, The",20.00
5030947112387,0.70,PlayStation 4,1001,5.00,/product_images/Juegos/PS4 Juegos/5030947112387_s.jpg,FIFA 15,1.50
5030936111346,4.00,PlayStation 4,1001,18.00,/product_images/Juegos/PS4 Juegos/5030936111346_s.jpg,Battlefield 4,6.00
711719843337,11.00,PlayStation 4,1001,25.00,/product_images/Juegos/PS4 Juegos/711719843337_s.jpg,God of War 3 - Remasterizado,15.00
711719866534,15.00,PlayStation 4,1001,35.00,/product_images/Juegos/PS4 Juegos/711719866534_s.jpg,Uncharted: The Nathan Drake Collection,22.00
711719439912,13.00,PlayStation 4,1001,30.00,/product_images/Juegos/PS4 Juegos/711719439912_s.jpg,Minecraft,18.00
5055856403418,8.00,PlayStation 4,1001,18.00,/product_images/Juegos/PS4 Juegos/5055856403418_s.jpg,Doom (2016),11.00
5030917148019,5.00,PlayStation 4,1001,22.00,/product_images/Juegos/PS4 Juegos/5030917148019_s.jpg,Call Of Duty: Advanced Warfare,8.00
711719817963,33.00,PlayStation 4,1001,60.00,/product_images/Juegos/PS4 Juegos/711719817963_s.jpg,Nioh,40.00
4012927102336,18.00,PlayStation 4,1001,40.00,/product_images/Juegos/PS4 Juegos/4012927102336_s.jpg,Pro Evolution Soccer 2017,25.00
5051893165128,12.00,PlayStation 4,1001,28.00,/product_images/Juegos/PS4 Juegos/5051893165128_s.jpg,"Tierra-Media, La: Sombras De Mordor",17.00
5035223113737,13.00,PlayStation 4,1001,30.00,/product_images/Juegos/PS4 Juegos/5035223113737_s.jpg,Need For Speed (2015),18.00
711719275473,2.00,PlayStation 4,1001,12.00,/product_images/Juegos/PS4 Juegos/711719275473_s.jpg,Killzone: Shadow Fall,4.00
5026555422079,20.00,PlayStation 4,1001,45.00,/product_images/Juegos/PS4 Juegos/5026555422079_s.jpg,NBA 2K17,28.00
5026555421256,3.00,PlayStation 4,1001,15.00,/product_images/Juegos/PS4 Juegos/5026555421256_s.jpg,NBA 2K16,5.00
0711719800415,12.00,PlayStation 4,1001,28.00,/product_images/Juegos/PS4 Juegos/0711719800415_s.jpg,Bloodborne,17.00
711719848233,13.00,PlayStation 4,1001,30.00,/product_images/Juegos/PS4 Juegos/711719848233_s.jpg,Ratchet & Clank (2016),18.00
5051893229059,18.00,PlayStation 4,1001,42.00,/product_images/Juegos/PS4 Juegos/5051893229059_s.jpg,Mortal Kombat XL,26.00
3391891980685,12.00,PlayStation 4,1001,28.00,/product_images/Juegos/PS4 Juegos/3391891980685_s.jpg,Dragon Ball: Xenoverse,17.00
711719277071,9.00,PlayStation 4,1001,20.00,/product_images/Juegos/PS4 Juegos/711719277071_s.jpg,DriveClub,12.00
3307215715239,9.00,PlayStation 4,1001,20.00,/product_images/Juegos/PS4 Juegos/3307215715239_s.jpg,Assassin's Creed 4: Black Flag,12.00
711719874737,11.00,PlayStation 4,1001,25.00,/product_images/Juegos/PS4 Juegos/711719874737_s.jpg,Until Dawn,15.00
5055856410706,13.00,PlayStation 4,1001,30.00,/product_images/Juegos/PS4 Juegos/5055856410706_s.jpg,Dishonored 2 (Sin DLC),18.00
4020628868550,6.00,PlayStation 4,1001,15.00,/product_images/Juegos/PS4 Juegos/4020628868550_s.jpg,Homefront: The Revolution,9.00
5021290075924,22.00,PlayStation 4,1001,50.00,/product_images/Juegos/PS4 Juegos/5021290075924_s.jpg,Hitman: Primera Temporada Completa (Sin DLC),31.00
5021290074811,18.00,PlayStation 4,1001,42.00,/product_images/Juegos/PS4 Juegos/5021290074811_s.jpg,Rise of the Tomb Raider,26.00
