precio_compra,precio_intercambio,categoria_str,img_caratula,precio_venta,sku,titulo,categoria_id
7.00,9.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/5030934109192_s.jpg,15.00,5030934109192,Need For Speed: Most Wanted 12,990
10.00,14.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/5030917114083_s.jpg,22.00,5030917114083,Call of Duty Black Ops- Declassified,990
8.00,11.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/711719200628_s.jpg,18.00,711719200628,Uncharted: Golden Abyss,990
4.00,6.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/711719236542_s.jpg,10.00,711719236542,Little Big Planet,990
12.00,16.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/5035225113223_s.jpg,25.00,5035225113223,FIFA 15,990
8.00,11.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/711719251163_s.jpg,18.00,711719251163,Killzone Mercenary,990
1.20,1.90,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/5030934105927_s.jpg,5.00,5030934105927,FIFA Football,990
9.00,13.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/5021290057791_s.jpg,20.00,5021290057791,Final Fantasy X HD Only,990
4.00,6.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/5030939111404_s.jpg,10.00,5030939111404,FIFA 14,990
7.00,9.00,PlayStation Vita,/product_images/Juegos/PS Vita Juegos/711719286417_s.jpg,15.00,711719286417,Unit 13,990
1.00,1.80,PSP,/product_images/Juegos/PSP Juegos/5026555280143_s.jpg,5.00,5026555280143,Grand Theft Auto: Liberty City Stories,862
1.00,1.80,PSP,/product_images/Juegos/PSP Juegos/3307211667679_s.jpg,5.00,3307211667679,Assassin's Creed: Bloodlines,862
1.00,1.80,PSP,/product_images/Juegos/PSP Juegos/5026555280785_s.jpg,5.00,5026555280785,Grand Theft Auto Vice City Stories,862
0.40,0.90,PSP,/product_images/Juegos/PSP Juegos/711719646266_s.jpg,3.00,711719646266,Daxter,862
0.01,0.10,PSP,/product_images/Juegos/PSP Juegos/711719169772_s.jpg,0.50,711719169772,Invizimals La Otra Dimension (Solo Juego,862
0.40,0.90,PSP,/product_images/Juegos/PSP Juegos/711719151159_s.jpg,3.00,711719151159,Gran Turismo,862
0.40,0.90,PSP,/product_images/Juegos/PSP Juegos/711719678250_s.jpg,3.00,711719678250,Medievil: Resurreccion,862
0.30,0.60,PSP,/product_images/Juegos/PSP Juegos/4005209098892_s.jpg,2.00,4005209098892,WWE Smackdown Vs. Raw 2008,862
0.40,0.90,PSP,/product_images/Juegos/PSP Juegos/711719908128_s.jpg,3.00,711719908128,God of War: Chains of Olympus,862
0.80,1.40,PSP,/product_images/Juegos/PSP Juegos/5021290046405_s.jpg,4.00,5021290046405,Lord Of Arcana: Slayer Edition,862
0.01,0.10,PSP,/product_images/Juegos/PSP Juegos/711719142058_s.jpg,0.50,711719142058,Invizimals (Solo Juego),862
