categoria_id,precio_venta,categoria_str,precio_intercambio,precio_compra,titulo,sku,img_caratula
827,25.00,Xbox 360,15.00,11.00,Star Ocean: Tha Last Hope (Ed. Lim.),5060121825482,/product_images/Juegos/Xbox 360 Juegos/5060121825482_s.jpg
827,4.00,Xbox 360,1.50,0.90,Earth defence force 2017,5060125481417,/product_images/Juegos/Xbox 360 Juegos/5060125481417_s.jpg
834,4.00,Nintendo DS,1.50,0.90,Heroes of Mana,5060121822009,/product_images/defimg2_s.jpg
834,8.00,Nintendo DS,5.00,3.00,Arkanoid DS,5060121823365,/product_images/Juegos/DS Juegos/5060121823365_s.jpg
834,5.00,Nintendo DS,3.00,2.00,Exit DS,5060121823785,/product_images/Juegos/DS Juegos/5060121823785_s.jpg
834,8.00,Nintendo DS,5.00,3.00,Legend of Kage 2,5060121823884,/product_images/Juegos/DS Juegos/5060121823884_s.jpg
834,28.00,Nintendo DS,17.00,12.00,Portada de Rhapsody: A Musical Adventure,50601218241952,/product_images/Juegos/DS Juegos/50601218241952_s.jpg
834,10.00,Nintendo DS,6.00,4.00,My Pet Shop - Mascotas a Montones,5060121824386,/product_images/defimg5_s.jpg
834,25.00,Nintendo DS,15.00,11.00,Valkyrie Profile: Covenant of the Plume,5060121824898,/product_images/Juegos/DS Juegos/5060121824898_s.jpg
834,5.00,Nintendo DS,3.00,2.00,Puzzle Bobble Galaxy,5060121825253,/product_images/defimg3_s.jpg
834,3.00,Nintendo DS,1.10,0.70,Puffy Ami Yumi The Genie & The Amp,5060125480489,/product_images/defimg3_s.jpg
834,3.00,Nintendo DS,1.10,0.70,Party Carnival (3),5060125480748,/product_images/defimg5_s.jpg
834,2.50,Nintendo DS,0.90,0.60,Essential Sudoku DS,5060125480823,/product_images/defimg3_s.jpg
834,4.00,Nintendo DS,1.50,0.90,Fossil League,5060125481196,/product_images/defimg5_s.jpg
834,8.00,Nintendo DS,-1,-1,Ben 10 Protector of the Earth (INGLES),5060125481462,/product_images/defimg5_s.jpg
834,8.00,Nintendo DS,5.00,3.00,Puzzle Quest Galactrix (UK),5060125482360,/product_images/defimg4_s.jpg
834,18.00,Nintendo DS,11.00,8.00,Shaun: El Cordero,5060125482520,/product_images/defimg5_s.jpg
834,1.50,Nintendo DS,0.40,0.20,Ben 10: Alien Force,5060125482537,/product_images/Juegos/DS Juegos/5060125482537_s.jpg
834,4.00,Nintendo DS,1.50,0.90,Bangai-O Spirits,5060125482933,/product_images/Juegos/DS Juegos/5060125482933_s.jpg
834,5.00,Nintendo DS,3.00,2.00,Crazy Frog Racer,5060127630004,/product_images/defimg2_s.jpg
834,5.00,Nintendo DS,3.00,2.00,Paint By Ds,5060127630592,/product_images/defimg2_s.jpg
834,4.00,Nintendo DS,1.50,0.90,Mech Assault: Phantom War,5060136650000,/product_images/defimg2_s.jpg
834,3.00,Nintendo DS,1.10,0.70,Super Black Bass Fishing,5060136650024,/product_images/Juegos/DS Juegos/5060136650024_s.jpg
834,1.00,Nintendo DS,0.30,0.10,Dino Master,5060136650031,/product_images/Juegos/DS Juegos/5060136650031_s.jpg
834,1.00,Nintendo DS,0.30,0.10,F24 Stealth Fighter,5060136650062,/product_images/Juegos/DS Juegos/5060136650062_s.jpg
834,4.00,Nintendo DS,1.50,0.90,Cake Mania,5060136650086,/product_images/defimg5_s.jpg
834,2.00,Nintendo DS,0.70,0.40,Toon-Doku - Sudoku With Pictures,5060136650109,/product_images/defimg5_s.jpg
