id_company;company
321;Tose
320;Kan Navi
319;n-Space
318;Rebellion Developments
317;Dynamix
316;Sierra
315;Trion Worlds
314;4A Games
313;Success Corporation
312;Konami Computer Entertainment Japan
311;Digital Dialect
310;Ultra Games
309;2015
308;Rockstar Leeds
307;Rockstar Vienna
306;Rockstar Toronto
305;Remedy Entertainment
304;Quicksilver Software
303;Jaleco
302;Massive Bear Studios
301;2K Czech
300;Nintendo Creative Department
299;Hellbent Games
298;Sierra Northwest
296;3G Studios
295;Origin Systems
294;Telltale Games
293;TT Games
292;Traveller's Tales
291;Nixxes Software
290;IO Interactive
287;Acclaim Entertainment
285;Tiertex Design Studios
284;Maxis
283;The Sims Studio
282;Trilobyte
281;Tigon Studios
280;Starbreeze Studios
279;4J Studios
278;Silicon & Synapse
277;EA Canada
276;EA UK
275;Titan Computer
274;Sir-Tech Canada
273;Sir-tech Software
272;Madlab Software
271;The Collective
270;JoWooD Productions Software
269;Enlight Software
268;Global Star Software
267;TalonSoft
266;Tarantula Studios
265;Contraband Entertainment
264;HanbitSoft
263;Namco
262;Flagship Studios
261;Quantic Dream
260;Argonaut Games
259;Warthog Games
258;KnowWonder
257;Sierra Studios
256;NCsoft
255;ArenaNet
254;Widescreen Games
253;Square Europe
252;Square Electronic Arts
251;Sunsoft
250;Square
249;Crytek
248;Bandai Namco Entertainment
247;14 Degrees East
246;Micro Forté
245;ZeniMax Media
244;Edusoft
243;Sony Online Entertainment
242;Verant Interactive
241;989 Studios
240;Stainless Steel Studios
239;Gas Powered Games
238;Typhoon Games
237;Crimson Cow
236;DreamCatcher Interactive
235;Heuristic Park
234;Cryo Interactive
233;Piranha Games
232;Triptych Games
231;Tec Toy Indústria de Brinquedos
230;MachineWorks Northwest
229;SEGA of America
228;FormGen
227;U.S. Gold
226;Aardvark Software
225;Lobotomy Software
224;3D Realms
223;Edge of Reality
222;BioWare Edmonton
221;Splash Damage
219;Team Little Devils
218;Vatical Entertainment
217;Morning Star Multimedia
216;Glu Mobile
215;WizardWorks Software
214;Sylum Entertainment
213;Infogrames
212;Sunstorm Interactive
211;Blue Castle Games
210;Southlogic Studios
209;Wideload Games
208;Frontier Developments
207;PopTop Software
206;Epic MegaGames
205;GT Interactive
204;Gathering of Developers
203;Illusion Softworks
202;Pterodon
201;Cyberlore Studios
200;Electronic Arts Victor
199;Sonokong
198;Iron Lore Entertainment
197;THQ
196;Relic Entertainment
195;Brøderbund Software
194;Hothouse Creations
193;Jellyvision
192;Zodttd
191;Imagineer
190;Atari Corporation
189;BAM! Entertainment
188;Apogee Software
187;Nerve Software, LLC
186;Stalker Entertainment
185;Ninjaforce
184;id Software
183;Hasbro Interactive
182;Nihilistic Software
181;Blue Fang Games
180;Mythos Games
179;Activision Blizzard
178;Intelligent Games
177;duplicate company name
176;FX Interactive
175;Haemimont Games
174;Digital Mayhem
173;The Omni Group
170;Kojima Productions
169;MercurySteam
168;Epic Games, Inc.
167;People Can Fly
166;Shadows in Darkness
165;DC Entertainment
164;Rocksteady Studios
163;Climax Studios
162;Vatra Games
161;Konami Digital Entertainment
160;Double Helix Games
159;Konami Computer Entertainment Tokyo
158;Crytek UK
157;1C Company
155;Easy Studios
154;Neowiz Games
153;Digital Illusions CE: Canada
152;MicroProse
151;Simtex
150;Hidden Path Entertainment
149;Ritual Entertainment
148;Gearbox Software
147;Vivendi Universal
146;Strategy First
145;cdv Software Entertainment
144;GSC Game World
143;EA Games
142;Westwood Pacific
141;Virgin Interactive Entertainment (Europe) Ltd.
140;EA Los Angeles
139;Take-Two Interactive
138;Refraction Games
137;Digital Illusions CE
136;Planet Moon Studios
135;Sunflowers
134;Max Design
133;Rogue Entertainment
132;Destineer
131;Robot Entertainment
130;MacSoft Games
129;Konami
128;Microsoft
127;Funcom Productions
126;Bethesda Game Studios
125;Crytek Budapest
122;Crytek Frankfurt
121;Blizzard Classic Arcade
120;MacPlay
119;Mass Media Interactive Entertainment
118;Paradox Development
117;Troika Games
116;Bohemia Interactive Studio
115;Codemasters
114;reLINE Software
113;Westwood Studios
112;Sega
111;The Creative Assembly
110;Focus Home Interactive
108;Techland
107;Lego Media
106;Loki Software
104;Ubisoft Entertainment
103;Black Hole Entertainment
